,https://roic.ai/company/SENS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
67,Total Stockholders Equity,- -,- -,7913000,-9697000,-4877000,7267000,71261000,-8649000,-144083000,-185535000
68,Total Liabilities And Stockholders Equity,- -,- -,19995000,5492000,22271000,45944000,159973000,132801000,35918000,198928000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,19995000,5492000,22271000,45944000,159973000,132801000,35918000,198928000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1616543/000161654315000002/0001616543-15-000002-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1616543/000155837017000899/0001558370-17-000899-index.html,https://www.sec.gov/Archives/edgar/data/1616543/000155837018001999/0001558370-18-001999-index.html,https://www.sec.gov/Archives/edgar/data/1616543/000155837019002135/0001558370-19-002135-index.html,https://www.sec.gov/Archives/edgar/data/1616543/000155837020002758/0001558370-20-002758-index.html,https://www.sec.gov/Archives/edgar/data/1616543/000155837021002458/0001558370-21-002458-index.htm,https://www.sec.gov/Archives/edgar/data/1616543/000155837022002569/0001558370-22-002569-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,- -,-18885000,-29877000,-43930000,-59101000,-93971000,-115549000,-175168000,- -
74,Depreciation and Amortization,- -,- -,189000,118000,155000,227000,270000,1001000,1141000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,539000,1433000,2421000,3993000,6412000,8052000,7314000,- -
77,Change in Working Capital,- -,- -,-1172000,-2325491,12177000,11969000,107445000,-128170000,12558000,-1504000
78,Accounts Receivable,- -,- -,- -,- -,-250000,-3131000,-3715000,-3282000,7393000,- -
79,Inventory,- -,- -,- -,- -,-477000,-2741000,-7441000,-10668000,15819000,- -
80,Accounts Payable,- -,- -,-674000,3232000,1817000,4642000,-3395000,-122000,-2522000,- -
81,Other Working Capital,- -,- -,17593000,-2371000,9806000,21775000,129220000,1050000,13608000,- -
82,Other Non-Cash Items,- -,- -,59000,5186491,-8839000,-12827000,-110927000,98619000,86733000,1504000
83,Cash Provided by Operating Activities,- -,- -,-19270000,-25465000,-38016000,-55739000,-90771000,-136047000,-67422000,- -
84,CAPEX,- -,- -,-29000,-202000,-479000,-345000,-989000,-1045000,-181000,-210000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-7291000,-33181000,-7935000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,20300000,28350000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-479000,-345000,-989000,-1045000,-181000,- -
89,Cash Used for Investing Activites,- -,- -,-29000,-202000,-7770000,-13226000,19426000,-1045000,-181000,- -
90,Debt Repayment,- -,- -,-3000,- -,-12500000,-80000,-10020000,-52000000,-66050000,-2838000
91,Common Stock Issued,- -,- -,- -,- -,45737000,66861000,149502000,28750000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-12000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,29979000,10695000,21657000,5287000,52506000,119487000,55920000,222921000
95,Cash Used/Provided by Financing Activities,- -,- -,29976000,10683000,54894000,72068000,191988000,96237000,-10130000,220083000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,10677000,-14984000,9108000,3103000,120643000,-40855000,-77733000,220083000
98,Cash at the End of Period,- -,- -,18923000,3939000,13047000,16150000,136793000,95938000,18205000,- -
99,Cash at the Beginning of Period,- -,- -,8246000,18923000,3939000,13047000,16150000,136793000,95938000,18205000
100,Free Cash Flow,- -,- -,-19299000,-25667000,-38495000,-56084000,-91760000,-137092000,-67603000,- -
101,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1616543/000161654315000002/0001616543-15-000002-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1616543/000155837017000899/0001558370-17-000899-index.html,https://www.sec.gov/Archives/edgar/data/1616543/000155837018001999/0001558370-18-001999-index.html,https://www.sec.gov/Archives/edgar/data/1616543/000155837019002135/0001558370-19-002135-index.html,https://www.sec.gov/Archives/edgar/data/1616543/000155837020002758/0001558370-20-002758-index.html,https://www.sec.gov/Archives/edgar/data/1616543/000155837021002458/0001558370-21-002458-index.htm,https://www.sec.gov/Archives/edgar/data/1616543/000155837022002569/0001558370-22-002569-index.htm
102,false,,,,,,,,,,
