,https://roic.ai/company/VRUS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
16,EBITDA ratio,-5.8360,-2.1235,-1.0223,-3.5340,-0.8492,-0.8205,-1.6848,-2.5766,-2.9482,-0.2652,-0.3885,-0.4315,-0.0821,-0.6354
17,Operating Income,-602716,-2073602,-987456,-2437667,-392649,-1001441,-3706004,-4554187,-6071127,-471692,-1278547,-910498,-4116881,-9446468
18,Operating Income ratio,-6.0272,-2.3564,-1.9749,-5.1865,-1.2270,-0.8559,-3.2226,-4.1756,-4.9322,-0.5431,-0.4427,-0.1569,-0.3025,-0.4344
19,Total Other Income Expenses (Gains),2716,-16398,-382544,-642333,-57351,41441,-53996,-51143,-615053,-435038,-109153,-2172982,1727031,-6223725
20,Income Before Tax,-600000,-2090000,-1370000,-3080000,-450000,-960000,-3760000,-4605330,-6686180,-906730,-1387700,-3083480,-2389850,-15670193
21,Income Before Tax Ratio,-6.0000,-2.3750,-2.7400,-6.5532,-1.4063,-0.8205,-3.2696,-4.2225,-5.4319,-1.0440,-0.4805,-0.5314,-0.1756,-0.7206
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-600000,-2090000,-1080000,-3080000,-450000,-960000,-3760000,-4605330,-6353350,-906730,-1278210,-2824290,-2389850,-15670193
24,Net Income ratio,-6.0000,-2.3750,-2.1600,-6.5532,-1.4063,-0.8205,-3.2696,-4.2225,-5.1615,-1.0440,-0.4426,-0.4868,-0.1756,-0.7206
25,EPS,-12.00,-9458.06,-3257.70,-9251.26,-621.41,-1255.83,-130.00,-40.00,-30.00,-5.00,-5.00,-1.91,-0.65,-2.67
26,EPS Diluted,-12.00,-9458.06,-3257.70,-9251.26,-621.41,-1255.83,-130.00,-40.00,-30.00,-5.00,-5.00,-1.91,-0.65,-2.67
27,Weighted Average Shares Outstanding,46797,221,333,333,730,767,32517,131257,213867,299251,458789,1481264,3704963,5863894
28,Weighted Average Shares Outstanding Diluted,46797,221,333,333,730,767,32517,131257,213867,299251,458789,1481264,3704963,5863894
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1301081/000119312507273372/0001193125-07-273372-index.html,https://www.sec.gov/Archives/edgar/data/1301081/000119312508252040/0001193125-08-252040-index.html,https://www.sec.gov/Archives/edgar/data/1301081/000119312509242500/0001193125-09-242500-index.html,https://www.sec.gov/Archives/edgar/data/1301081/000119312510267564/0001193125-10-267564-index.html,https://www.sec.gov/Archives/edgar/data/1301081/000119312511311300/0001193125-11-311300-index.html,https://www.sec.gov/Archives/edgar/data/1430523/000114420413010306/0001144204-13-010306-index.htm,https://www.sec.gov/Archives/edgar/data/1430523/000114420414010308/0001144204-14-010308-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1430523/000143774916025662/0001437749-16-025662-index.htm,https://www.sec.gov/Archives/edgar/data/1430523/000149315217001331/0001493152-17-001331-index.htm,https://www.sec.gov/Archives/edgar/data/1430523/000149315218003916/0001493152-18-003916-index.htm,https://www.sec.gov/Archives/edgar/data/1430523/000149315219003604/0001493152-19-003604-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1430523/000149315221006452/0001493152-21-006452-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,110000,40000,40000,10000,10000,40000,1300000,20070,307770,148890,251300,28550,371900,21509
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,110000,40000,40000,10000,10000,40000,1300000,20070,307770,148890,251300,28550,371900,21509
34,Net Receivables,10000,10000,10000,- -,- -,30000,80000,118410,155650,26470,812750,1246300,3319690,5158690
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,341190,90590,598520,60378
36,Other Current Assets,20000,20000,20000,10000,- -,- -,10000,3290,3310,3300,58290,21050,74370,225550
37,Total Current Assets,140000,70000,70000,20000,10000,70000,1390000,141770,466730,178660,1463530,1386490,4364480,5466127
38,PP&E,60000,30000,30000,10000,- -,- -,60000,45780,34750,10310,- -,15620,23260,530723
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,560000,350000,2100000,110000,- -,4800000,4250000,- -,- -,- -,- -,- -,837710,628172
41,Intangible Assets,560000,350000,2100000,110000,- -,4800000,4250000,- -,- -,- -,- -,- -,837710,628172
42,Investments,- -,2182,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-2182,- -,- -,- -,- -,- -,3832230,-10,- -,- -,- -,-10,- -
45,Total Non-Current Assets,620000,380000,2130000,120000,- -,4800000,4310000,3878010,34740,10310,- -,15620,860960,1158895
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,760000,450000,2200000,140000,10000,4870000,5700000,4019780,501470,188970,1463530,1402110,5225440,6625022
48,Accounts Payable,270000,550000,560000,580000,620000,- -,- -,- -,- -,- -,- -,- -,- -,2730738
49,Short-Term Debt,8929,3828,177197,533103,260447,50000,471214,230000,220000,1044681,975250,2027126,2408855,1903445
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,41859,31310,45565,26494,17250,- -,- -,- -,- -
52,Other Current Liabilities,191071,556172,432803,486897,609553,2288141,1257476,2185515,1372426,928289,1286860,933214,3742905,343632
53,Total Current Liabilities,470000,1110000,1170000,1600000,1490000,2380000,1760000,2461080,1618920,1990220,2262110,2960340,6151760,4977815
54,Long-Term Debt,40000,10000,10000,- -,- -,- -,- -,2610,690210,- -,- -,- -,- -,249110
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,37500,-178520,- -,- -,- -,- -,-1
58,Total Non-Current Liabilities,40000,10000,10000,- -,- -,- -,- -,40110,511690,- -,- -,- -,- -,249109
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,36470,14259,10430,6234,- -,- -,- -,- -,- -,- -,- -,- -,- -,392611
61,Total Liabilities,510000,1120000,1180000,1600000,1490000,2380000,1760000,2501190,2130610,1990220,2262110,2960340,6151760,5226924
62,Preferred Stock,- -,22309,33397,- -,- -,100000,94010,66802,46224,45751,260,44730,45,30
63,Common Stock,20000,20000,30000,30000,70000,- -,50000,84980,133690,155520,249370,1956090,2310,10
64,Retained Earnings,-600000,-2690000,-3780000,-6880000,-7330000,-6090000,-10380000,-14250560,-20796180,-21878460,-23403960,-26104740,-28494590,-44164783
65,Other Comprehensive Income/Loss,- -,-10000,-30000,-50000,-60000,-5849,-19215,40042,-60626,-63588,-53285,- -,- -,-104536
66,Other Total Stockholders Equity,828215,1989278,4770788,5439826,5834138,8575242,14191825,15614834,19047752,20125564,22409038,22545691,27565915,45667377
67,Total Stockholders Equity,248215,-668413,1024185,-1460174,-1485862,2485242,3936620,1556098,-1629140,-1615213,-798577,-1558229,-926320,1398098
68,Total Liabilities And Stockholders Equity,758215,451587,2204185,139826,4138,4865242,5696620,4057288,501470,375007,1463533,1402111,5225440,6625022
69,Minority Interest,1785,-1587,-4185,174,5862,4758,3380,-37508,- -,-186037,-3,-1,- -,- -
70,Total Liabilities & Equity,760000,450000,2200000,140000,10000,4870000,5700000,4019780,501470,188970,1463530,1402110,5225440,6625022
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1301081/000119312507273372/0001193125-07-273372-index.html,https://www.sec.gov/Archives/edgar/data/1301081/000119312508252040/0001193125-08-252040-index.html,https://www.sec.gov/Archives/edgar/data/1301081/000119312509242500/0001193125-09-242500-index.html,https://www.sec.gov/Archives/edgar/data/1301081/000119312510267564/0001193125-10-267564-index.html,https://www.sec.gov/Archives/edgar/data/1301081/000119312511311300/0001193125-11-311300-index.html,https://www.sec.gov/Archives/edgar/data/1430523/000114420413010306/0001144204-13-010306-index.htm,https://www.sec.gov/Archives/edgar/data/1430523/000114420414010308/0001144204-14-010308-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1430523/000143774916025662/0001437749-16-025662-index.htm,https://www.sec.gov/Archives/edgar/data/1430523/000149315217001331/0001493152-17-001331-index.htm,https://www.sec.gov/Archives/edgar/data/1430523/000149315218003916/0001493152-18-003916-index.htm,https://www.sec.gov/Archives/edgar/data/1430523/000149315219003604/0001493152-19-003604-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1430523/000149315221006452/0001493152-21-006452-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-600000,-2090000,-1080000,-3080000,-450000,-960000,-3760000,-4605330,-6353350,-906730,-1278210,-2824290,-2389850,-15670193
74,Depreciation and Amortization,16403,213767,236716,775998,116978,- -,1380186,1791202,1918115,24436,10311,- -,68136,252517
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,213145,209005,15888,1560,- -,646030,982823,612390,46700,626469,299635,3380469,8426873
77,Change in Working Capital,350462,633861,152837,102311,287081,917651,-673522,-825637,533873,320467,-223223,-36890,-1144725,-1379652
78,Accounts Receivable,- -,- -,- -,- -,- -,-3087,-120401,-42361,47456,41678,-795838,-433553,-2618016,-1839003
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-341188,250599,-507926,538137
80,Accounts Payable,- -,554750,-59128,-122859,66157,- -,263776,- -,- -,- -,897752,150484,2066054,88000
81,Other Working Capital,- -,- -,- -,48231,-15731,542419,-816625,-1012301,112015,-9244,-17250,7992,- -,9386
82,Other Non-Cash Items,176254,9712,49684,1842458,13736,-3220,235064,349983,1761227,176239,-84680,1491246,-2152394,5883516
83,Cash Provided by Operating Activities,-56881,-1019515,-431758,-343345,-30645,-45569,-2172242,-2306959,-1527745,-338888,-949333,-1070299,-2238364,-2486939
84,CAPEX,-430902,-18216,-182085,-21760,- -,- -,-59195,-749580,-120547,- -,- -,-15622,-11470,-142223
85,Acquisitions Net,35382,- -,-5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99650,-100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,5064,- -,- -,- -,-411311,-743745,-102859,- -,- -,- -,-11470,-142223
89,Cash Used for Investing Activites,-395520,-18216,-182021,-21760,- -,- -,-470506,-749580,-120547,- -,- -,-15622,-111120,-242223
90,Debt Repayment,- -,-7582,-253829,-4196,-6234,-29260,-63786,-21214,-75000,- -,- -,-118000,-1577172,- -
91,Common Stock Issued,553937,960159,561500,- -,- -,- -,3826000,842668,276000,680000,15000,- -,500000,877022
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-5857,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,17601,9676,304329,338514,39812,- -,148500,891520,1735000,-500000,1075860,908250,3770000,1501751
95,Cash Used/Provided by Financing Activities,565681,962253,612000,334318,33578,-29260,3910714,1712974,1936000,180000,1090860,790250,2692828,2378773
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,59257,- -,- -,-10303,72924,- -,- -
97,Net Change In Cash,565681,-75478,-1779,-30787,2933,-74829,1267966,-1284308,287708,-158887,131224,-222747,343344,-350389
98,Cash at the End of Period,113280,37802,36023,5236,8169,36408,1304374,20066,307774,148887,280111,28554,371898,21509
99,Cash at the Beginning of Period,- -,113280,37802,36023,5236,111237,36408,1304374,20066,307774,148887,251301,28554,371898
100,Free Cash Flow,-487783,-1037731,-613843,-365105,-30645,-45569,-2231437,-3056539,-1648292,-338888,-949333,-1085921,-2249834,-2629162
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1301081/000119312507273372/0001193125-07-273372-index.html,https://www.sec.gov/Archives/edgar/data/1301081/000119312508252040/0001193125-08-252040-index.html,https://www.sec.gov/Archives/edgar/data/1301081/000119312509242500/0001193125-09-242500-index.html,https://www.sec.gov/Archives/edgar/data/1301081/000119312510267564/0001193125-10-267564-index.html,https://www.sec.gov/Archives/edgar/data/1301081/000119312511311300/0001193125-11-311300-index.html,https://www.sec.gov/Archives/edgar/data/1430523/000114420413010306/0001144204-13-010306-index.htm,https://www.sec.gov/Archives/edgar/data/1430523/000114420414010308/0001144204-14-010308-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1430523/000143774916025662/0001437749-16-025662-index.htm,https://www.sec.gov/Archives/edgar/data/1430523/000149315217001331/0001493152-17-001331-index.htm,https://www.sec.gov/Archives/edgar/data/1430523/000149315218003916/0001493152-18-003916-index.htm,https://www.sec.gov/Archives/edgar/data/1430523/000149315219003604/0001493152-19-003604-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1430523/000149315221006452/0001493152-21-006452-index.htm
102,false,,,,,,,,,,,,,,
