,https://roic.ai/company/AMSU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,310000,320000,300000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,310000,320000,300000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,92604,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,20000,10000,10000,10000,10000,1030000,540000,600000,87396,90000,50000,100000,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,20000,30000,340000,350000,320000,1460000,780000,730000,190000,90000,50000,100000,40000,- -,- -,- -,- -,- -,- -,25080,11019,25
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20000,70000,420000,440000,330000,3200000,2500000,1710000,890000,640000,330000,140000,50000,10000,9030,44280,6040,5430,9560,49800,11066,25
48,Accounts Payable,- -,- -,- -,- -,- -,20000,20000,30000,50000,10000,10000,10000,50000,- -,37779,- -,- -,- -,- -,13402,11165,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,35850,- -,- -,24341,1193,2060,14212,- -,- -,43625,214191,228855,278255,356720,404635,452641,14
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,8547,10332,10332,27945,32223,- -,- -,28057,28829,29933,30750,31056,32668,29
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,100000,- -,- -,24150,40000,140000,15659,28807,47940,35788,50000,110000,92739,74859,104445,168215,182300,235183,245084,776
53,Total Current Liabilities,- -,- -,100000,- -,- -,80000,60000,170000,90000,40000,60000,60000,100000,110000,174143,289050,333300,446470,539020,653220,708890,790
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,420000,470000,- -,- -,- -,- -,10000,- -,- -,-210,-230,-270,-290,10720,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,420000,470000,- -,- -,- -,- -,10000,- -,- -,-210,-230,-270,-290,10720,- -,11
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25084,11019,- -
61,Total Liabilities,- -,- -,100000,- -,- -,80000,480000,640000,90000,40000,60000,60000,110000,110000,174143,288840,333070,446200,538730,663940,708890,801
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,44001,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,30000,30000,30000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,44101,44100,44100,44100,44100,44100,44101,44
64,Retained Earnings,-50000,-280000,-360000,-470000,-570000,-1180000,-2300000,-3280000,-3930000,-4140000,-4470000,-4650000,-4800000,-4940000,-5008333,-5087820,-5170040,-5283420,-5371550,-5456420,4115,-5618
65,Other Comprehensive Income/Loss,- -,- -,-10000,-10000,-10000,4995,441315,441315,54550,75507,-348,1930,2638,4476,5761,5590,5360,5001,4736,4636,4115,5
66,Other Total Stockholders Equity,60000,316014,659627,885901,868458,4258403,4259219,5239219,4640641,4578667,5026998,4693377,4700636,4795915,- -,4768792,4793552,4793550,4793550,4793552,-749798,4794
67,Total Stockholders Equity,20000,66014,319627,435901,328458,3123398,2440534,2440534,805191,598175,596650,85307,-56726,-99609,-164919,-269338,-327028,-440769,-529164,-614132,-697467,-775
68,Total Liabilities And Stockholders Equity,20000,70000,419627,440000,330000,3203398,2920534,3080534,895191,638175,656650,145307,53274,10391,9224,19502,6042,5431,9566,49808,11423,25
69,Minority Interest,- -,- -,373,- -,- -,-3398,-420534,-1370534,-5191,1825,-326650,-5307,-3274,-391,-194,24778,-2,-1,-6,-8,-357,-0
70,Total Liabilities & Equity,20000,70000,420000,440000,330000,3200000,2500000,1710000,890000,640000,330000,140000,50000,10000,9030,44280,6040,5430,9560,49800,11066,25
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1142801/000109690612000908/0001096906-12-000908-index.htm,https://www.sec.gov/Archives/edgar/data/1142801/000109690613000908/0001096906-13-000908-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1142801/000135448816006857/0001354488-16-006857-index.html,https://www.sec.gov/Archives/edgar/data/1142801/000165495417003356/0001654954-17-003356-index.htm,https://www.sec.gov/Archives/edgar/data/1142801/000165495418003756/0001654954-18-003756-index.htm,https://www.sec.gov/Archives/edgar/data/1142801/000165495419003787/0001654954-19-003787-index.html,https://www.sec.gov/Archives/edgar/data/1142801/000165495420003528/0001654954-20-003528-index.htm,https://www.sec.gov/Archives/edgar/data/1142801/000165495421003437/0001654954-21-003437-index.htm,https://www.sec.gov/Archives/edgar/data/1142801/000165495422004621/0001654954-22-004621-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-50000,-224737,-76387,-110126,-107443,-567921,-1119184,-1119184,-628616,-271533,-261533,-186555,-142741,-144721,-66595,-79490,-82220,-113380,-88130,-84870,-82814,-78993
74,Depreciation and Amortization,- -,3060,9532,22406,22157,58777,28814,28814,39138,1775,1775,1775,749,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,40000,-60000,110000,-80000,1650000,- -,-850000,-200000,-100000,-290000,-240000,-70000,-10000,-65113,-79657,-82490,-113780,-88420,-99040,-80343,708053
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,15813,15813,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,21242,- -,5443,48,44614,- -,- -,- -,- -,-1091,7736,-889,-2479,- -
81,Other Working Capital,- -,40000,-20000,90000,10000,1660000,1660000,810000,610000,510000,220000,-20000,-90000,-100000,-165113,-244770,-327260,-441040,-529460,-628500,-708843,-790
82,Other Non-Cash Items,50000,-23789,60000,-111585,82690,-1532126,188421,1038421,500404,208612,388884,230603,114862,3163,49585,43427,114838,172946,118605,159018,123616,-662883
83,Cash Provided by Operating Activities,- -,-205466,-66855,-89305,-82596,-391270,-901949,-901949,-289074,-161146,-160874,-194177,-97130,-151558,-82123,-115720,-49872,-54214,-57945,-24892,-39541,-33823
84,CAPEX,- -,-25859,- -,- -,- -,-459987,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,148898,- -,-270,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-1801384,-150000,-150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,242711,242711,- -,- -,160000,235000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-8028,-155000,3028,- -,-238595,-47637,-47637,75000,160000,- -,- -,83640,3000,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-33887,-155000,3028,- -,-2499966,45074,45074,223898,160000,159730,235000,83640,3000,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68635,- -,- -,- -,- -,-10367,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,274540,265000,99900,- -,3500000,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,5985
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-99000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,100,- -,- -,- -,- -,426014,426014,23642,2030,2030,24954,7893,56800,76910,152136,21500,53609,55802,21813,39377,27828
95,Cash Used/Provided by Financing Activities,- -,274640,265000,99900,- -,3401000,426014,426014,23642,2030,2030,-43681,7893,156800,76910,152136,11133,53609,55802,21813,39377,33813
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,4995,10306,10306,30824,- -,-2,175,4,- -,1401,-167,498,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,274640,43145,13623,-82596,514759,-420555,-420555,-10710,884,884,-2683,-5593,8242,-3812,36249,-38241,-605,-2143,-3079,-164,- -
98,Cash at the End of Period,- -,35287,78432,92055,9459,524218,102763,102763,7583,8467,8467,9193,3600,11842,8030,44279,6038,5433,3290,211,47,- -
99,Cash at the Beginning of Period,- -,- -,35287,78432,92055,9459,523318,523318,18293,7583,7583,11876,9193,3600,11842,8030,44279,6038,5433,3290,211,47
100,Free Cash Flow,- -,-231325,-66855,-89305,-82596,-851257,-901949,-901949,-289074,-161146,-160874,-194177,-97130,-151558,-82123,-115720,-49872,-54214,-57945,-24892,-39541,-33823
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1142801/000109690612000908/0001096906-12-000908-index.htm,https://www.sec.gov/Archives/edgar/data/1142801/000109690613000908/0001096906-13-000908-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1142801/000135448816006857/0001354488-16-006857-index.html,https://www.sec.gov/Archives/edgar/data/1142801/000165495417003356/0001654954-17-003356-index.htm,https://www.sec.gov/Archives/edgar/data/1142801/000165495418003756/0001654954-18-003756-index.htm,https://www.sec.gov/Archives/edgar/data/1142801/000165495419003787/0001654954-19-003787-index.html,https://www.sec.gov/Archives/edgar/data/1142801/000165495420003528/0001654954-20-003528-index.htm,https://www.sec.gov/Archives/edgar/data/1142801/000165495421003437/0001654954-21-003437-index.htm,https://www.sec.gov/Archives/edgar/data/1142801/000165495422004621/0001654954-22-004621-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
