,https://roic.ai/company/AQB,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9229,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-169991,93956,-1154222,-282260,267833
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,230712
81,Other Working Capital,-3330501,23062885,16565533,10084911,5707657,5813444,1387811,-191950,1484495,4626849,853646,2537237,-1326755,2593681,2788903,95599382,187139325
82,Other Non-Cash Items,4515788,-24080619,6631868,6856837,4721654,572161,1937519,1729195,-1734279,-2989559,3712643,-1034113,3714781,-4461925,-374406,-92630602,-91871415
83,Cash Provided by Operating Activities,-1926736,-5501167,-6719772,-6280467,-4491748,-4642301,-4948254,-3715455,-4457628,-6560900,-6748298,-7448893,-9100778,-9816765,-11248747,-14288821,-20472259
84,CAPEX,-94617,-325908,-349340,-118114,-169775,-117428,-82367,-122051,-141749,-152251,-104485,-1097141,-19046927,-4104737,-2477484,-4324982,-5668696
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-29119666,-31127381,-17193636,- -,- -,-1546330,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101813882
87,Sales/Maturities of Investments,- -,11243819,36694733,22575852,- -,- -,5077245,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-5161,-58899,-62239,-42288,3432679,809467,-0,-69204,-42255,-35340,-30372,18180,941,23233,15848,1086571,-56121
89,Cash Used for Investing Activites,-99777,-18260653,5155774,5221814,3262904,692039,3448548,-122045,-141755,-152251,-104485,-1073297,-19045986,-4081504,-2461636,-3238411,-107538699
90,Debt Repayment,-189233,-1032696,-96370,-88950,-74377,-61062,-65272,-68575,-568327,- -,- -,-6268,-35812,-55615,-85802,-70826,-272102
91,Common Stock Issued,129023,33287752,10039,- -,- -,4855236,3108,1742478,5725607,9743486,3000000,- -,24989257,10616046,12395348,104625615,119120437
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2167578,-3439702,- -,- -,- -,535469,613870,878657,969199,280791,44004,10547142,284309,5888391,1173184,6448219,2330299
95,Cash Used/Provided by Financing Activities,2107368,28815354,-86331,-88950,-74377,5329643,551706,2552560,6126479,10024277,3044004,10540874,25237754,16448822,13482730,111003008,121178634
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,2481,132,-23613,-41062,-7496,77262,-53218,23840,-23360,36152
97,Net Change In Cash,80854,5053534,-1650329,-1147603,-1303221,1379382,-948001,-1282459,1527228,3287513,-3849841,2011188,-2831748,2497335,-203813,93452416,-6796172
98,Cash at the End of Period,-2009310,23294555,16738195,10485916,5634897,6126584,1577412,348521,1875749,5163262,1313421,3324609,492861,2990196,2798744,96251160,89454988
99,Cash at the Beginning of Period,-2090165,18241020,18388524,11633520,6938118,4747202,2525413,1630980,348521,1875749,5163262,1313421,3324609,492861,3002557,2798744,96251160
100,Free Cash Flow,-2021353,-5827074,-7069112,-6398582,-4661523,-4759728,-5030622,-3837506,-4599377,-6713151,-6852783,-8546034,-28147705,-13921502,-13726231,-18613803,-26140955
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1603978/000160397817000006/0001603978-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1603978/000160397818000025/0001603978-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1603978/000160397819000016/0001603978-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1603978/000160397820000052/0001603978-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1603978/000160397821000015/0001603978-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1603978/000160397822000011/0001603978-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,
