,https://roic.ai/company/ASPS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3289000,4450000,13627000,6135000,7579000,12581000,23296000,21118000,24397000,26110000,22780000,10116000,12426000,13461000
37,Total Current Assets,19354000,65403000,89256000,90265000,203850000,245847000,302098000,306101000,325477000,271641000,201534000,184188000,100155000,138004000
38,PP&E,9304000,11408000,17493000,25600000,50399000,87252000,127759000,119121000,103473000,73273000,45631000,53600000,30107000,14467000
39,Goodwill,11540000,9324000,11836000,14915000,14915000,97375000,90851000,82801000,86283000,86283000,81387000,73849000,73849000,55960000
40,Intangible Assets,36391000,33719000,72428000,64950000,56586000,276162000,245246000,197003000,155432000,120065000,91653000,61046000,46326000,36859000
41,Intangible Assets,47931000,43043000,84264000,79865000,71501000,373537000,336097000,279804000,241715000,206348000,173040000,134895000,120175000,92819000
42,Investments,- -,- -,- -,14470000,12729000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,1206000,4373000,4073000,622000,- -,3619000,7292000,303707000,309089000,1626000,5398000,6386000
44,Other Non-Current Assets,86000,702000,5581000,9586000,86674000,17580000,22267000,19337000,11255000,10195000,12406000,10810000,9850000,6132000
45,Total Non-Current Assets,57321000,55153000,108544000,133894000,225376000,478991000,486123000,421881000,363735000,593523000,540166000,200931000,165530000,119804000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,76675000,120556000,197800000,224159000,429226000,724838000,788221000,727982000,689212000,865164000,741700000,385119000,265685000,257808000
48,Accounts Payable,283000,1114000,- -,2974000,5079000,11600000,22880000,11644000,8787000,15682000,27853000,22431000,16797000,15978000
49,Short-Term Debt,2039000,536000,680000,634000,7462000,8207000,10733000,5945000,5945000,5945000,- -,11398000,7609000,2893000
50,Tax Payable,- -,- -,- -,6419000,8750000,11211000,7643000,3316000,308000,87000,165000,1700000,4334000,4650000
51,Deferred Revenue,- -,- -,- -,- -,2482000,36742000,9829000,15060000,8797000,9802000,10108000,5183000,5461000,4342000
52,Other Current Liabilities,10697000,29017000,41000000,51832000,56609000,73791000,97325000,96493000,125409000,78132000,66417000,48566000,41678000,31534000
53,Total Current Liabilities,13019000,30667000,41680000,55440000,71632000,130340000,140767000,129142000,148938000,109561000,104378000,87578000,71545000,54747000
54,Long-Term Debt,- -,- -,- -,- -,196027000,391281000,582669000,528417000,467600000,403336000,331476000,287882000,254937000,248666000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,2101000,19000,88000,504000,- -
56,Deferred Tax Liabilities,2670000,2769000,- -,- -,- -,- -,2694000,- -,- -,- -,- -,- -,8801000,9028000
57,Other Non-Current Liabilities,440000,772000,4222000,2776000,1738000,45476000,20648000,18153000,10480000,10181000,9159000,30928000,12454000,14237000
58,Total Non-Current Liabilities,3110000,3541000,4222000,2776000,197765000,436757000,606011000,546570000,478080000,415618000,340654000,318898000,276696000,271931000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,1356000,664000,1532000,836000,233000,- -,- -,- -,- -,- -,- -,31105000,19890000,7922000
61,Total Liabilities,16129000,34208000,45902000,58216000,269397000,567097000,746778000,675712000,627018000,525179000,445032000,406476000,348241000,326678000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6059000,24145000,25413000,25413000,25413000,25413000,25413000,25413000,25413000,25413000,25413000,25413000,25413000,25413000
64,Retained Earnings,- -,11665000,58546000,126161000,124127000,239561000,367967000,369270000,333786000,626600000,590655000,272026000,190383000,186592000
65,Other Comprehensive Income/Loss,-86799000,-27490000,-31882000,-40233000,-51848000,-70170000,-95372000,-129555000,-1745000,733000,- -,-167316000,- -,- -
66,Other Total Stockholders Equity,141286000,78028000,96761000,51414000,60767000,-38105000,-257614000,-214150000,-296665000,-314134000,-320637000,-152949000,-299561000,- -
67,Total Stockholders Equity,60546000,86348000,148838000,162755000,158459000,156699000,40394000,50978000,60789000,338612000,295431000,-22826000,-83765000,-70142000
68,Total Liabilities And Stockholders Equity,76675000,120556000,194740000,220971000,427856000,723796000,787172000,726690000,687807000,863791000,740463000,383650000,264476000,256536000
69,Minority Interest,- -,- -,3060000,3188000,1370000,1042000,1049000,1292000,1405000,1373000,1237000,1469000,1209000,1272000
70,Total Liabilities & Equity,76675000,120556000,197800000,224159000,429226000,724838000,788221000,727982000,689212000,865164000,741700000,385119000,265685000,257808000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1462418/000095012310025337/0000950123-10-025337-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000095012311015633/c12905e10vk.htm,https://www.sec.gov/Archives/edgar/data/1462418/000119312512064465/0001193125-12-064465-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000110465913009969/0001104659-13-009969-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000110465914009378/a13-24850_110k.htm,https://www.sec.gov/Archives/edgar/data/1462418/000162828015001367/asps-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1462418/000162828016012704/0001628280-16-012704-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000146241817000006/0001462418-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000146241818000011/0001462418-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000146241819000009/0001462418-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000146241820000016/0001462418-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000146241821000008/0001462418-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1462418/000146241822000007/0001462418-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,9219000,25971000,49271000,71112000,110627000,129973000,134484000,41598000,28693000,308891000,-5382000,-307969000,-67156000,11812000
74,Depreciation and Amortization,10390000,8104000,12049000,13642000,17806000,47232000,66726000,77605000,84364000,71814000,59211000,49299000,39855000,21994000
75,Deferred Income Tax,1197000,-1179000,-1119000,-381000,2992000,2015000,1166000,-1326000,-2597000,-297336000,-5791000,307339000,5033000,-705000
76,Stock Based Compensation,- -,296000,3110000,3932000,3644000,2400000,2236000,4812000,6188000,4255000,10192000,11874000,7804000,2825000
77,Change in Working Capital,7850000,28401000,12840000,-12751000,97393000,-16711000,45824000,15628000,-420000,-14459000,-64924000,-546000,-68000000,-10692000
78,Accounts Receivable,7693000,-21420000,-16725000,812000,-39999000,-5602000,-22492000,2401000,15980000,29965000,14556000,-12207000,14973000,2963000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,6335000,34736000,47576000,34825000,132218000,115507000,161331000,176959000,176539000,162080000,97156000,96610000,28610000,- -
82,Other Non-Cash Items,249000,-28309000,-23339000,36057000,-115933000,20565000,-52943000,57035000,10590000,-7083000,75096000,-13309000,60063000,-85639000
83,Cash Provided by Operating Activities,28905000,33284000,52812000,111611000,116529000,185474000,197493000,195352000,126818000,66082000,68402000,46688000,-22401000,-60405000
84,CAPEX,-5216000,-7536000,-11614000,-16442000,-35563000,-34134000,-64846000,-36188000,-23269000,-10514000,-3916000,-2161000,-2705000,-1379000
85,Acquisitions Net,- -,- -,- -,-2515000,- -,-255348000,-34720000,-28675000,-9409000,- -,15000000,38632000,3307000,104141000
86,Purchases of Investments,- -,- -,- -,-15000000,-75000000,-50000,- -,-29966000,-48219000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,28112000,- -,- -,- -,7994000,46622000,- -
88,Other Investing Activites,- -,- -,-27875000,887000,- -,73588000,-1702000,722000,674000,478000,- -,422000,- -,- -
89,Cash Used for Investing Activites,-5216000,-7536000,-39489000,-33070000,-110563000,-215944000,-101268000,-65995000,-80223000,-10036000,11084000,44887000,47224000,102762000
90,Debt Repayment,-34716000,-1815000,-743000,-696000,-603000,-3729000,-4959000,-50373000,-50723000,-59761000,-486759000,-44996000,-46622000,-20000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-17788000,-62151000,-16781000,-141018000,-255713000,-58949000,-37662000,-39011000,-40362000,-19995000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12327000,-465000,-3114000,-5703000,84795000,200039000,195484000,-2069000,11757000,-1562000,402838000,-4047000,-2688000,17696000
95,Cash Used/Provided by Financing Activities,-22389000,-2280000,-21645000,-68550000,67411000,55292000,-65188000,-111391000,-76628000,-100334000,-124283000,-69038000,-49310000,-2304000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1300000,23468000,-8322000,9991000,73377000,24822000,31037000,17966000,-30033000,-44288000,-44797000,22537000,-24487000,40053000
98,Cash at the End of Period,6988000,30456000,22134000,32125000,105502000,130324000,161361000,179327000,149294000,105006000,64046000,86583000,62096000,102149000
99,Cash at the Beginning of Period,5688000,6988000,30456000,22134000,32125000,105502000,130324000,161361000,179327000,149294000,108843000,64046000,86583000,62096000
100,Free Cash Flow,23689000,25748000,41198000,95169000,80966000,151340000,132647000,159164000,103549000,55568000,64486000,44527000,-25106000,-61784000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1462418/000095012310025337/0000950123-10-025337-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000095012311015633/c12905e10vk.htm,https://www.sec.gov/Archives/edgar/data/1462418/000119312512064465/0001193125-12-064465-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000110465913009969/0001104659-13-009969-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000110465914009378/a13-24850_110k.htm,https://www.sec.gov/Archives/edgar/data/1462418/000162828015001367/asps-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1462418/000162828016012704/0001628280-16-012704-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000146241817000006/0001462418-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000146241818000011/0001462418-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000146241819000009/0001462418-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000146241820000016/0001462418-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000146241821000008/0001462418-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1462418/000146241822000007/0001462418-22-000007-index.htm
102,false,,,,,,,,,,,,,,
