,https://roic.ai/company/PSTG,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
18,Operating Income ratio,- -,-1.8283,-1.0346,-0.4773,-0.3363,-0.1810,-0.1245,-0.1164,-0.1550,-0.0451
19,Total Other Income Expenses (Gains),- -,-141000,-1412000,-2002000,1627000,11445000,-8016000,-3383000,-9127000,-30098000
20,Income Before Tax,- -,-78270000,-181894000,-212183000,-243179000,-173713000,-177273000,-194666000,-270160000,-128496000
21,Income Before Tax Ratio,- -,-1.8316,-1.0427,-0.4819,-0.3340,-0.1698,-0.1304,-0.1185,-0.1604,-0.0589
22,Income Tax expense (Gain),- -,291000,1337000,1569000,1887000,3889000,1089000,6321000,11916000,14763000
23,Net Income,- -,-78561000,-183231000,-213752000,-245066000,-177602000,-178362000,-200987000,-282076000,-143259000
24,Net Income ratio,- -,-1.8384,-1.0503,-0.4854,-0.3366,-0.1736,-0.1312,-0.1223,-0.1675,-0.0657
25,EPS,- -,-0.51,-1.26,-2.59,-1.26,-0.84,-0.77,-0.79,-1.05,-0.50
26,EPS Diluted,- -,-0.51,-1.26,-2.59,-1.26,-0.84,-0.77,-0.79,-1.05,-0.50
27,Weighted Average Shares Outstanding,- -,155435000,145719000,82460000,194714000,211609000,232042000,252820000,267824000,285882000
28,Weighted Average Shares Outstanding Diluted,- -,155435000,145719000,82460000,194714000,211609000,232042000,252820000,267824000,285882000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1474432/000162828021005538/0001628280-21-005538-index.htm,https://www.sec.gov/Archives/edgar/data/1474432/000162828022008643/0001628280-22-008643-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,130885000,192707000,604742000,183675000,244057000,447990000,362635000,337147000,466199000
32,Short-Term Investments,- -,- -,- -,- -,362986000,353289000,749482000,936518000,916388000,947073000
33,Cash and Short-Term Investments,- -,130885000,192707000,604742000,546661000,597346000,1197472000,1299153000,1253535000,1413272000
34,Net Receivables,- -,14835000,59032000,126324000,168978000,243001000,378729000,458643000,460879000,542144000
35,Inventory,- -,7892000,21605000,20649000,23498000,34497000,44687000,38518000,46733000,38942000
36,Other Current Assets,- -,10324000,20626000,36355000,40944000,69989000,80939000,94078000,147019000,197821000
37,Total Current Assets,- -,163936000,293970000,788070000,780081000,944833000,1701827000,1890392000,1908166000,2192179000
38,PP&E,- -,12153000,39859000,52629000,81695000,89142000,125353000,235594000,297709000,307045000
39,Goodwill,- -,- -,- -,- -,- -,- -,10997000,37584000,358736000,358736000
40,Intangible Assets,- -,- -,8284000,6980000,6560000,5057000,20118000,58257000,76648000,62646000
41,Intangible Assets,- -,- -,8284000,6980000,6560000,5057000,31115000,95841000,435384000,421382000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,2525000,5529000,536000,844000,1060000,1060000,- -,- -,- -
44,Other Non-Current Assets,- -,6390000,14177000,22568000,30565000,39315000,113670000,142377000,178181000,214709000
45,Total Non-Current Assets,- -,21068000,67849000,82713000,119664000,134574000,271198000,473812000,911274000,943136000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,185004000,361819000,870783000,899745000,1079407000,1973025000,2364204000,2819440000,3135315000
48,Accounts Payable,- -,7518000,11007000,38187000,52719000,84420000,103462000,77651000,67530000,70704000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,32231000,35098000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,4097000,- -
51,Deferred Revenue,- -,7933000,32199000,94514000,158095000,209377000,266584000,356011000,438321000,562576000
52,Other Current Liabilities,- -,13706000,32231000,51831000,62311000,87047000,139770000,181079000,222571000,283942000
53,Total Current Liabilities,- -,29157000,75437000,184532000,273125000,380844000,509816000,614741000,760653000,952320000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,449828000,477007000,876175000,880258000
55,Deferred Revenue,- -,8894000,41470000,121690000,145031000,196632000,269336000,341277000,405376000,517296000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,5323000,- -,- -
57,Other Non-Current Liabilities,- -,263040000,544742000,1207000,3159000,4025000,6265000,95738000,27230000,31105000
58,Total Non-Current Liabilities,- -,271934000,586212000,122897000,148190000,200657000,725429000,919345000,1308781000,1428659000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,120241000,152592000,- -
61,Total Liabilities,- -,301091000,661649000,307429000,421315000,581501000,1235245000,1534086000,2069434000,2380979000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3000,4000,19000,20000,22000,24000,26000,28000,29000
64,Retained Earnings,- -,-128233000,-341583000,-555335000,-802480000,-980082000,-1081949000,-1282936000,-1565012000,-1708271000
65,Other Comprehensive Income/Loss,- -,-8121000,-22458000,-52209000,-1000000,-2000000,-204173000,5000000,7410000,-8365000
66,Other Total Stockholders Equity,- -,20264000,64207000,1170879000,1281890000,1479966000,2023878000,2108028000,2307580000,2470943000
67,Total Stockholders Equity,- -,-116087000,-299830000,563354000,478430000,497906000,737780000,830118000,750006000,754336000
68,Total Liabilities And Stockholders Equity,- -,185004000,361819000,870783000,899745000,1079407000,1973025000,2364204000,2819440000,3135315000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,185004000,361819000,870783000,899745000,1079407000,1973025000,2364204000,2819440000,3135315000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1474432/000162828021005538/0001628280-21-005538-index.htm,https://www.sec.gov/Archives/edgar/data/1474432/000162828022008643/0001628280-22-008643-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,-78561000,-183231000,-213752000,-245066000,-177602000,-178362000,-200987000,-282076000,-143259000
74,Depreciation and Amortization,- -,4431000,15392000,32254000,50203000,61744000,70878000,89710000,70042000,83151000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-3696000,- -,- -,- -
76,Stock Based Compensation,- -,8298000,25399000,58225000,116668000,150673000,210645000,226705000,242344000,286963000
77,Change in Working Capital,- -,-1489000,83754000,385005000,-96582000,57033000,628022000,83640000,-128138000,- -
78,Accounts Receivable,- -,-12038000,-44197000,-67292000,-44049000,-74505000,-135649000,-79442000,410000,-81247000
79,Inventory,- -,-5077000,-13713000,1481000,-3776000,-12595000,-12289000,2393000,-8690000,4118000
80,Accounts Payable,- -,5243000,3474000,24901000,10644000,29278000,14293000,-18856000,-14364000,6711000
81,Other Working Capital,- -,134779000,218533000,603538000,506956000,563989000,1192011000,1275651000,1147513000,1239859000
82,Other Non-Cash Items,- -,92000,-85009000,-269588000,160415000,-19092000,-563064000,-9494000,285469000,183272000
83,Cash Provided by Operating Activities,- -,-67229000,-143695000,-7856000,-14362000,72756000,164423000,189574000,187641000,410127000
84,CAPEX,- -,-12273000,-51352000,-39355000,-77773000,-65060000,-100246000,-96847000,-94975000,-102287000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-14000000,-52000000,-339641000,- -
86,Purchases of Investments,- -,- -,- -,- -,-526717000,-202656000,-670357000,-795580000,-573959000,-617043000
87,Sales/Maturities of Investments,- -,- -,- -,- -,162867000,210557000,273158000,619310000,595466000,366165000
88,Other Investing Activites,- -,-3034000,-10738000,-2485000,-5600000,-2029000,101000,406000,-5000000,199882000
89,Cash Used for Investing Activites,- -,-15307000,-52965000,-41840000,-447223000,-59188000,-511344000,-324711000,-418109000,-153283000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-6101000,-11555000,- -,-4274000
91,Common Stock Issued,- -,- -,- -,459425000,- -,- -,- -,- -,- -,48709000
92,Common Stock Repurchased,- -,-7202000,-30120000,- -,- -,- -,-20000000,-15017000,-135175000,36641000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,170503000,288602000,2306000,40518000,46814000,578015000,75818000,335412000,-208868000
95,Cash Used/Provided by Financing Activities,- -,163301000,258482000,461731000,40518000,46814000,551914000,49246000,200237000,-127792000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,80765000,61822000,412035000,-421067000,60382000,204993000,-85891000,-30231000,- -
98,Cash at the End of Period,- -,130885000,192707000,604742000,183675000,244057000,463813000,377922000,347691000,476743000
99,Cash at the Beginning of Period,- -,50120000,130885000,192707000,604742000,183675000,258820000,463813000,377922000,476743000
100,Free Cash Flow,- -,-79502000,-195047000,-47211000,-92135000,7696000,64177000,92727000,92666000,307840000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1474432/000162828021005538/0001628280-21-005538-index.htm,https://www.sec.gov/Archives/edgar/data/1474432/000162828022008643/0001628280-22-008643-index.htm
102,false,,,,,,,,,,
