,https://roic.ai/company/O,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,23283000,-23200000,25973000,26189000,25983000,44128000,34742000,38687000,42725000,44707000,49931000,125589000,66510000,81117000,104799000,119398000,113006000,120824000,152705000,187595000,363404000,425746000,458513000,501909000,557234000,623928000,660444000,750253000,994815000
11,COGS and Expenses,23283000,-23200000,25973000,26189000,25983000,44128000,34742000,38687000,42725000,44707000,49931000,125589000,66510000,81117000,104799000,119398000,119920000,128156000,160141000,194864000,402242000,479617000,513865000,564774000,626714000,690254000,749029000,854856000,1128420000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13847000
13,Interest Expense (Gain),- -,- -,- -,- -,8226000,- -,24473000,31547000,26466000,23536000,26974000,- -,40949000,- -,- -,93956000,85528000,93237000,108301000,116302000,172430000,202611000,218441000,209967000,236548000,257268000,274951000,290698000,319090000
14,Depreciation and Amortization,- -,13800000,14849000,16422000,18596000,21935000,25952000,29003000,29426000,31428000,34416000,40339000,46450000,59492000,77192000,95781000,91383000,95513000,121751000,149597000,306577000,374661000,409215000,449943000,498788000,539780000,593961000,677038000,897835000
15,EBITDA,29318000,29000000,40449000,48645000,61592000,63239000,96666000,115338000,123450000,133631000,147825000,144435000,186518000,171020000,218993000,321578000,308038000,320927000,388554000,426481000,727305000,851368000,914591000,978743000,1060178000,1166002000,1311552000,1377915000,1608038000
16,EBITDA ratio,0.5981,0.5930,0.7846,0.8541,0.9071,0.7428,0.9249,0.9749,0.9777,0.9479,0.9469,0.8227,0.9484,0.7123,0.7386,0.9739,0.9403,0.9302,0.9228,0.8969,0.9344,0.9120,0.8938,0.8872,0.8720,0.8781,0.8793,0.8343,0.7729
17,Operating Income,25735000,72100000,25582000,30768000,41914000,41004000,69768000,79623000,83546000,96273000,106183000,49966000,130166000,158983000,191714000,210802000,207661000,216853000,260918000,280646000,376133000,453888000,509420000,538398000,589054000,637584000,742562000,796769000,952043000
18,Operating Income ratio,0.5250,1.4744,0.4962,0.5402,0.6173,0.4817,0.6676,0.6730,0.6616,0.6829,0.6802,0.2846,0.6618,0.6622,0.6466,0.6384,0.6339,0.6285,0.6197,0.5902,0.4832,0.4862,0.4978,0.4880,0.4845,0.4802,0.4978,0.4824,0.4576
19,Total Other Income Expenses (Gains),- -,- -,- -,1500000,- -,500000,- -,- -,- -,- -,- -,34831000,- -,-52171000,-62939000,- -,- -,-94044000,-108311000,-133245000,-194219000,-181287000,-221396000,-218659000,-263692000,-267646000,-298926000,-385570000,-559639000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84797000,- -,106812000,128775000,- -,- -,122809000,152607000,147401000,181914000,272601000,288024000,319739000,325362000,369938000,443636000,411199000,392404000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4830,- -,0.4449,0.4343,- -,- -,0.3560,0.3624,0.3100,0.2337,0.2920,0.2815,0.2898,0.2676,0.2786,0.2974,0.2490,0.1886
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,699000,- -,747000,1392000,- -,- -,1393000,1470000,1430000,2734000,3461000,3169000,3262000,6044000,5340000,6158000,14693000,31657000
23,Net Income,29318000,15200000,25600000,32223000,34770000,41304000,46241000,54788000,67558000,78667000,86435000,103397000,99119000,110781000,140409000,131841000,131127000,130784000,157032000,159152000,245564000,270635000,283766000,315571000,318798000,363614000,436482000,395486000,359456000
24,Net Income ratio,0.5981,0.3108,0.4966,0.5657,0.5121,0.4852,0.4425,0.4631,0.5350,0.5580,0.5537,0.5890,0.5040,0.4614,0.4735,0.3993,0.4003,0.3791,0.3729,0.3347,0.3155,0.2899,0.2773,0.2861,0.2622,0.2738,0.2926,0.2395,0.1728
25,EPS,0.74,0.39,0.64,0.70,0.74,0.78,0.77,0.84,0.99,1.01,1.08,1.15,1.12,1.11,1.16,1.06,1.03,1.01,1.05,0.86,1.06,1.04,1.09,1.13,1.10,1.26,1.38,1.15,0.87
26,EPS Diluted,0.74,0.39,0.64,0.70,0.74,0.78,0.77,0.84,0.99,1.01,1.07,1.15,1.12,1.11,1.16,0.91,1.03,1.01,1.05,0.86,1.06,1.04,1.09,1.13,1.10,1.26,1.38,1.14,0.87
27,Weighted Average Shares Outstanding,39512195,38974359,40461926,45955674,47137662,53295484,53644570,53369196,58450718,67867498,71128282,78406957,79950255,89766714,100195031,101178191,103577507,105869637,126142696,132817472,191754857,218805769,235491743,255301770,274103636,288582540,315837012,343900870,414535283
28,Weighted Average Shares Outstanding Diluted,39512195,38974359,40461926,46336634,47145430,53295484,53652180,53401612,58562240,67976314,71222628,78406957,80208593,89917554,100333966,101209883,103581053,105942721,126189399,132884933,191781622,218805769,235891368,255301770,274103636,288582540,316601350,346917544,414769846
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/726728/000072672821000043/0000726728-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672822000046/0000726728-22-000046-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1650000,1559000,2123000,2533000,773000,3815000,2467000,8921000,4837000,2141000,65704000,10573000,193101000,46815000,10026000,17607000,4165000,5248000,10257000,3852000,40294000,9420000,6898000,10387000,54011000,824476000,258579000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,1650000,1559000,2123000,2533000,773000,3815000,2467000,8921000,4837000,2141000,65704000,10573000,193101000,46815000,10026000,17607000,4165000,5248000,10257000,3852000,40294000,9420000,6898000,10387000,54011000,824476000,258579000
34,Net Receivables,- -,- -,2131000,2288000,3236000,2973000,3407000,5053000,4857000,4408000,3950000,4075000,5044000,5953000,7142000,10624000,10396000,11301000,15375000,84865000,107245000,82728000,99583000,109974000,128719000,144991000,273543000,418122000,755144000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,1927000,2183000,3170000,15471000,15078000,13490000,11508000,11517000,1334264000,1418893000,1833034000,2512776000,2859903000,2919534000,- -,- -,- -,30513000,33854000,65517000,28204000,45227000,27704000,32609000,127946000,53019000,145633000
37,Total Current Assets,- -,- -,5708000,6030000,8529000,20977000,19258000,22358000,18832000,24846000,1343051000,1425109000,1903782000,2529302000,3060146000,2976973000,20422000,28908000,19540000,120626000,151356000,152097000,168081000,164621000,163321000,187987000,455500000,1295617000,1159356000
38,PP&E,- -,- -,389364000,426233000,547591000,718280000,867093000,894278000,967670000,1038178000,1320645000,1406710000,1754963000,2485081000,2824255000,2862153000,2816882000,3401247000,4157855000,- -,- -,- -,- -,- -,- -,- -,157434000,230634000,849847000
39,Goodwill,- -,- -,22567000,21834000,20901000,19977000,19053000,18130000,17206000,17206000,17206000,17206000,17206000,17206000,17206000,17206000,17206000,17206000,17206000,16945000,15660000,15470000,15321000,15067000,14970000,14630000,14430000,14180000,3676705000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26221000,153336000,242125000,935459000,1039724000,1034417000,1082320000,1194930000,1199597000,1493383000,1710655000,5275304000
41,Intangible Assets,- -,- -,22567000,21834000,20901000,19977000,19053000,18130000,17206000,17206000,17206000,17206000,17206000,17206000,17206000,17206000,17206000,43427000,170542000,259070000,951119000,1055194000,1049738000,1097387000,1209900000,1214227000,1507813000,1724835000,8952009000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148459000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1320645000,-1406710000,-1754963000,-2485081000,-2824255000,-2862153000,60277000,62008000,71452000,5063667000,8821966000,9805331000,10648051000,11890863000,12684945000,13858269000,16434049000,17489199000,32027831000
45,Total Non-Current Assets,- -,- -,411931000,448067000,568492000,738257000,886146000,912408000,984876000,1055384000,17206000,17206000,17206000,17206000,17206000,17206000,2894365000,3506682000,4399849000,5322737000,9773085000,10860525000,11697789000,12988250000,13894845000,15072496000,18099296000,19444668000,41978146000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,417639000,454097000,577021000,759234000,905404000,934766000,1003708000,1080230000,1360257000,1442315000,1920988000,2546508000,3077352000,2994179000,2914787000,3535590000,4419389000,5443363000,9924441000,11012622000,11865870000,13152871000,14058166000,15260483000,18554796000,20740285000,43137502000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38445000,13779000,18809000,- -,102511000,123287000,115826000,121156000,109523000,133765000,177039000,241336000,351128000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1370000000,1354600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1551376000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36672000,66622000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130231000,242122000
52,Other Current Liabilities,- -,- -,17000000,10000000,11000000,14000000,22000000,15000000,17000000,18000000,26000000,25000000,40000000,51000000,69000000,-1300000000,-1337674000,52291000,61366000,94171000,41452000,43675000,50344000,55235000,60799000,67789000,50369000,-71928000,-35799000
53,Total Current Liabilities,- -,- -,17000000,10000000,11000000,14000000,22000000,15000000,17000000,18000000,26000000,25000000,40000000,51000000,69000000,70000000,55371000,66070000,80175000,94171000,143963000,166962000,166170000,176391000,170322000,201554000,227408000,299639000,2108827000
54,Long-Term Debt,- -,- -,18597000,70000000,132600000,294800000,349200000,404000000,315300000,339700000,506400000,503600000,891700000,920000000,1470000000,1370000000,1354600000,1600000000,2055181000,2883868000,4166840000,4930947000,4841486000,5839605000,6111471000,6499976000,7901547000,9022545000,14509097000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20929000,31144000,36122000,42840000,74098000,105284000,115380000,127687000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,403000,- -,400000,200000,-200000,- -,-300000,300000,-400000,400000,300000,- -,- -,- -,16807000,22555000,29179000,31601000,161136000,237492000,262041000,275724000,280381000,322595000,493996000,400371000,1390178000
58,Total Non-Current Liabilities,- -,- -,19000000,70000000,133000000,295000000,349000000,404000000,315000000,340000000,506000000,504000000,892000000,920000000,1470000000,1370000000,1371407000,1622555000,2084360000,2936398000,4359120000,5204561000,5146367000,6189427000,6497136000,6937951000,8523230000,9422916000,15899275000
59,Other Liabilities,- -,- -,38218000,- -,- -,590025000,- -,808197000,- -,- -,1012491000,- -,- -,- -,2940260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4397000,4707000,5016000,5326000,5636000,128231000,120815000,505735000
61,Total Liabilities,- -,- -,36218000,79856000,143706000,309025000,370573000,419197000,331915000,357775000,532491000,528580000,931774000,970516000,1539260000,1439518000,1426778000,1688625000,2164535000,3030569000,4503083000,5371523000,5312537000,6365818000,6667458000,7139505000,8750638000,9722555000,18008102000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,99368000,99368000,123787000,123804000,337781000,337790000,337790000,337790000,337790000,337790000,609363000,609363000,395378000,395378000,395378000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,22976000,22980000,25698000,26817000,636611000,630932000,795505000,855818000,969030000,1038973000,1134300000,1540365000,1545037000,1624622000,1629237000,2066287000,2563048000,2572092000,5767878000,6464987000,7666428000,8228594000,9624264000,10754495000,12873849000,14700050000,29578212000
64,Retained Earnings,- -,- -,-157674000,-164743000,-174833000,-186277000,-201459000,-214731000,-223080000,-232731000,-240632000,-249025000,-268890000,-302154000,-344735000,-407751000,-479018000,-557112000,-645984000,-768661000,-991794000,-1246964000,-1530210000,-1857168000,-2252763000,-2657655000,-3082291000,-3659933000,-4530571000
65,Other Comprehensive Income/Loss,- -,- -,-126062000,-138307000,-152206000,-171555000,-195386000,-212379000,-233848000,-254250000,-272647000,-301728000,-341193000,-396854000,-470695000,-553417000,-630840000,-711615000,-814126000,- -,- -,- -,- -,- -,- -,-8000000,-17000000,-54634000,4933000
66,Other Total Stockholders Equity,- -,- -,642181000,654311000,734656000,781224000,295065000,311747000,333216000,254250000,272647000,301728000,341193000,396854000,470695000,553417000,630840000,711615000,814126000,- -,- -,- -,- -,- -,- -,-98000,-102000,- -,- -
67,Total Stockholders Equity,- -,- -,381421000,374241000,433315000,450209000,534831000,515569000,671793000,722455000,827766000,913735000,989214000,1575992000,1538092000,1554661000,1488009000,1846965000,2254854000,2412794000,5385447000,5613401000,6531596000,6766804000,7371501000,8088742000,9774456000,10985483000,25052574000
68,Total Liabilities And Stockholders Equity,- -,- -,417639000,454097000,577021000,759234000,905404000,934766000,1003708000,1080230000,1360257000,1442315000,1920988000,2546508000,3077352000,2994179000,2914787000,3535590000,4419389000,5443363000,9888530000,10984924000,11844133000,13132622000,14038959000,15228247000,18525094000,20708038000,43060676000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35911000,27698000,21737000,20249000,19207000,32236000,29702000,32247000,76826000
70,Total Liabilities & Equity,- -,- -,417639000,454097000,577021000,759234000,905404000,934766000,1003708000,1080230000,1360257000,1442315000,1920988000,2546508000,3077352000,2994179000,2914787000,3535590000,4419389000,5443363000,9924441000,11012622000,11865870000,13152871000,14058166000,15260483000,18554796000,20740285000,43137502000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/726728/000072672821000043/0000726728-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672822000046/0000726728-22-000046-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,29318000,15200000,25600000,32223000,34770000,41304000,46241000,54788000,67558000,78667000,86435000,103397000,99119000,110781000,140409000,131841000,131127000,130784000,157032000,159152000,245564000,270635000,283766000,315571000,318798000,363614000,436482000,395486000,359456000
74,Depreciation and Amortization,- -,13800000,14849000,16422000,18596000,21935000,25952000,29003000,29426000,31428000,34416000,40339000,46450000,59492000,77192000,95781000,91383000,95513000,121751000,149597000,306577000,374661000,409215000,449943000,498788000,539780000,593961000,677038000,897835000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10001000,20785000,11959000,10391000,12007000,13946000,27267000,13662000,16503000,41773000
77,Change in Working Capital,- -,-11292000,- -,7322000,1499000,9448000,-9719000,10100000,-5526000,5014000,1310205000,83058000,463673000,614520000,512844000,-84173000,-2941922000,-2213000,-23473000,87090000,-19062000,-22258000,16776000,-13681000,4769000,-6566000,241659000,767886000,-35073000
78,Accounts Receivable,- -,-1000000,- -,-600000,-844000,100000,25000,485000,1125000,202000,1751000,1094000,-3292000,4418000,-49000,-930000,3607000,5270000,5209000,2775000,-3131000,-4311000,-2641000,-1232000,-92000,-6901000,-8954000,-79240000,-38292000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,600000,-100000,1000000,- -,1600000,- -,- -,- -,- -,- -,-1050000,8290000,3382000,21675000,- -,- -,- -,- -,8844000,12846000,21479000,6168000,34468000,26096000,18695000,24056000,19720000,3219000
81,Other Working Capital,- -,-11292000,-11292000,-3970000,-2471000,6977000,-2742000,7358000,1832000,6846000,1317051000,1400109000,1863782000,2478302000,2991146000,2906973000,-34949000,-37162000,-60635000,26455000,7393000,-14865000,1911000,-11770000,-7001000,-13567000,228092000,995978000,- -
82,Other Non-Cash Items,9167000,10792000,-137000,-7894000,-2173000,-8042000,9680000,-37301000,-1423000,9698000,-1357099000,-48457000,-499685000,-697848000,-412276000,102706000,2946119000,19284000,43642000,-79371000,-34958000,-7305000,-27845000,40205000,39549000,16647000,-216827000,-741370000,58198000
83,Cash Provided by Operating Activities,38485000,28500000,40312000,48073000,52692000,64645000,72154000,56590000,90035000,124807000,73957000,178337000,109557000,86945000,318169000,246155000,226707000,243368000,298952000,326469000,518906000,627692000,692303000,804045000,875850000,940742000,1068937000,1115543000,1322189000
84,CAPEX,- -,-3500000,-65890000,-55705000,-140389000,-192588000,-174056000,-56142000,- -,- -,- -,-195470000,-426841000,-655086000,-507357000,-397000,-860000,-15385000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7500000,-200000,- -,- -,38345000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-132291000,-134427000,-280587000,- -,-417347000,- -,- -,-194106000,-60459000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,22536000,39543000,19728000,20773000,34601000,22300000,9806000,- -,24630000,15595000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,3800000,-365000,4405000,4432000,2770000,7718000,-450000,- -,- -,- -,- -,407853000,-937000,7739000,-397000,-860000,-697358000,-934863000,-1008374000,-1332011000,-1174859000,-1179055000,-1701111000,-1247007000,-1639484000,-3501809000,-2032379000,-6476040000
89,Cash Used for Investing Activites,- -,300000,-66255000,-51300000,-135957000,-189818000,-166338000,-34056000,-92748000,-114699000,-259814000,-160869000,-404541000,-645280000,-498621000,-169873000,-45724000,-697358000,-934863000,-1008374000,-1332011000,-1174859000,-1179055000,-1701111000,-1254507000,-1639684000,-3501809000,-2032379000,-6437695000
90,Debt Repayment,- -,-900000,-44600000,-15297000,-164400000,-162700000,-186800000,-102900000,-285000000,-308300000,-443900000,-283228000,-287200000,-659900000,-407800000,-100000000,-20000000,-616800000,-375679000,-1165129000,-3339510000,-1662529000,-1781353000,-3503743000,-3381368000,-2129771000,-2456091000,-4864989000,-9371490000
91,Common Stock Issued,- -,- -,46630000,- -,68953000,28448000,- -,216000,164817000,59701000,112261000,171644000,93159000,403114000,816000,74536000,- -,432591000,489236000,- -,1133574000,528615000,793559000,383572000,704938000,- -,845061000,728883000,1263235000
92,Common Stock Repurchased,- -,- -,- -,-188000,- -,- -,- -,-6499000,-169000,- -,- -,-206284000,- -,- -,- -,- -,- -,- -,- -,-127500000,- -,-220000000,-6750000,-9026000,-408750000,-2752000,-21123000,- -,- -
93,Dividends Paid,- -,-44700000,-36700000,-48100000,- -,-52300000,-61154000,-67974000,-74583000,-87755000,-93555000,-106483000,-117978000,-139070000,-182242000,-193908000,-202261000,-206753000,-243550000,-275793000,-451152000,-517556000,-560318000,-637596000,-695462000,-761582000,-852134000,-964167000,-1169026000
94,Other Financing Activites,- -,-800000,50590000,66721000,179276000,312135000,340378000,157665000,196300000,332700000,606967000,404187000,670566000,899060000,952206000,-3196000,4489000,852533000,752462000,2251410000,3475202000,2412232000,2078056000,4632985000,4155760000,3601976000,4976889000,6792352000,13854401000
95,Cash Used/Provided by Financing Activities,- -,-46400000,15920000,3136000,83829000,125583000,92424000,-19492000,1365000,-3654000,181773000,-20164000,358547000,503204000,362980000,-222568000,-217772000,461571000,622469000,682988000,818114000,540762000,523194000,866192000,375118000,707871000,2492602000,1692079000,4577120000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9796000,4431000,20076000
97,Net Change In Cash,- -,-46400000,-10023000,-91000,564000,410000,-1760000,3042000,-1348000,6454000,-4084000,-2696000,63563000,-55131000,182528000,-146286000,-36789000,7581000,-13442000,1083000,5009000,-6405000,36442000,-30874000,-3539000,8929000,49934000,779674000,-518310000
98,Cash at the End of Period,- -,- -,1650000,1559000,2123000,2533000,773000,3815000,2467000,8921000,4837000,2141000,65704000,10573000,193101000,46815000,10026000,17607000,4165000,5248000,10257000,3852000,40294000,9420000,12142000,21071000,71005000,850679000,332369000
99,Cash at the Beginning of Period,- -,29300000,11673000,1650000,1559000,2123000,2533000,773000,3815000,2467000,8921000,4837000,2141000,65704000,10573000,193101000,46815000,10026000,17607000,4165000,5248000,10257000,3852000,40294000,15681000,12142000,21071000,71005000,850679000
100,Free Cash Flow,38485000,25000000,-25578000,-7632000,-87697000,-127943000,-101902000,448000,90035000,124807000,73957000,-17133000,-317284000,-568141000,-189188000,245758000,225847000,227983000,298952000,326469000,518906000,627692000,692303000,804045000,875850000,940742000,1068937000,1115543000,1322189000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/726728/000072672821000043/0000726728-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672822000046/0000726728-22-000046-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
