,https://roic.ai/company/ROYL,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,Operating Expenses,4100000,2800000,2600000,4200000,6900000,4600000,6191474,8564206,8342205,10345631,13700170,12141455,16087690,12924296,11471386,6273719,10445219,8246309,6888193,4394767,4962759,5003536,3820475,2326656,2308971,513036,2222846
11,COGS and Expenses,6500000,7500000,8200000,7400000,8400000,7300000,8189053,11686759,12527010,16410914,22172491,23385934,28084659,20442543,36084449,11772454,14727335,17816659,8678257,5909300,7275331,6876781,6486565,2878310,4645274,2745717,5962646
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),100000,100000,- -,- -,300000,- -,427304,54455,105405,194997,273050,444271,523139,152547,221667,101675,46613,138218,195009,304472,81605,86088,114159,159268,177171,20559,12949
14,Depreciation and Amortization,500000,400000,500000,700000,1500000,1500000,1371809,1282640,1694028,2418922,3714271,4062587,5833904,3585682,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,474
15,EBITDA,600000,1000000,1900000,2300000,2700000,1600000,4870108,5454154,1606906,9231844,7486136,6320031,2645288,-299462,-14362885,-3146869,2060900,-5643891,-4331108,1453625,-2070251,-1924728,-4030303,-2267901,-23327156,-327824,-8134724
16,EBITDA ratio,0.0909,0.1205,0.1900,0.2527,0.3214,0.2051,0.4167,0.3439,0.1292,0.3968,0.2885,0.2465,0.1063,-0.0181,-0.7491,-0.3648,0.1777,-0.4836,-0.9855,0.5649,-0.6426,-1.1235,-3.3203,-2.2513,-7.1054,-0.1105,-5.1231
17,Operating Income,100000,800000,1800000,1700000,- -,500000,3498299,4171514,-87122,6854223,3771865,2257444,-3188616,-3885144,-14362885,-3146869,1153221,-5643891,-4338156,1453625,-2070251,-1924728,-4831667,-2341226,-3204056,-845071,-2674329
18,Operating Income ratio,0.0152,0.0964,0.1800,0.1868,- -,0.0641,0.2993,0.2630,-0.0070,0.2946,0.1454,0.0880,-0.1281,-0.2346,-0.7491,-0.3648,0.0994,-0.4836,-0.9871,0.5649,-0.6426,-1.1235,-3.9805,-2.3241,-0.9759,-0.2848,-1.6842
19,Total Other Income Expenses (Gains),- -,-200000,-400000,-100000,1200000,- -,-427304,-54455,-105405,-194997,-273050,-444271,-523139,-152547,-221667,-101675,861066,-138218,-187961,-304472,-81605,-86088,687205,-85943,-20300271,496688,-5473818
20,Income Before Tax,- -,- -,- -,1600000,-300000,- -,3070995,4117059,-192527,6659226,3498815,1813173,-3711755,-4037691,-14584552,-3248544,2014287,-5782109,-4526117,1149153,-2151856,-2010816,-4144462,-2427169,-23504327,-348383,-8148147
21,Income Before Tax Ratio,- -,- -,- -,0.1758,-0.0357,- -,0.2628,0.2596,-0.0155,0.2862,0.1349,0.0707,-0.1491,-0.2439,-0.7606,-0.3766,0.1737,-0.4954,-1.0299,0.4466,-0.6680,-1.1738,-3.4143,-2.4094,-7.1593,-0.1174,-5.1315
22,Income Tax expense (Gain),- -,- -,- -,100000,100000,- -,80000,370535,-55491,2217005,1306063,627270,-1062054,-1258484,-5806938,-1051401,706259,-1677771,7434909,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,500000,1400000,1500000,800000,100000,2990995,3746524,-137036,4400920,2192752,1185903,-2649701,-2779207,-8777614,-2197143,1308028,-4104338,-11961026,1149153,-2151856,-2010816,-4144462,-2427169,-23504327,-348383,-8148147
24,Net Income ratio,- -,0.0602,0.1400,0.1648,0.0952,0.0128,0.2559,0.2363,-0.0110,0.1892,0.0845,0.0462,-0.1064,-0.1679,-0.4578,-0.2547,0.1128,-0.3517,-2.7217,0.4466,-0.6680,-1.1738,-3.4143,-2.4094,-7.1593,-0.1174,-5.1315
25,EPS,0.00,0.07,0.16,0.19,0.10,0.02,0.37,0.50,-0.02,0.62,0.30,0.15,-0.33,-0.35,-1.06,-0.24,0.13,-0.39,-1.07,0.08,-0.14,-0.13,-0.22,-0.11,-0.55,-0.02,-0.17
26,EPS Diluted,0.00,0.07,0.16,0.18,0.09,0.02,0.35,0.46,-0.02,0.58,0.29,0.15,-0.33,-0.35,-1.06,-0.24,0.12,-0.39,-1.07,0.08,-0.14,-0.13,-0.22,-0.11,-0.55,-0.02,-0.17
27,Weighted Average Shares Outstanding,10743443,7450565,8601155,7726303,7726303,5222130,8009931,7561289,7214819,7058040,7297753,7906020,8029397,7940591,8246972,8974786,10245033,10655258,11133377,13853290,14943323,15194534,19185896,21836975,44174209,50871447,53292647
28,Weighted Average Shares Outstanding Diluted,10743443,7450565,8601155,7726303,8023557,5222130,8558556,8101381,7214819,7594094,7533164,7906020,8029397,7940591,8246972,8974786,11095646,10655258,11133377,13853290,14943323,15194534,19185896,21836975,44174209,50871447,53292647
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1694617/000118518519000541/0001185185-19-000541-index.htm,https://www.sec.gov/Archives/edgar/data/1694617/000118518520000394/0001185185-20-000394-index.htm,https://www.sec.gov/Archives/edgar/data/1694617/000118518521000424/0001185185-21-000424-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,2229944,4877618,7627045,4716772,7377604,3848968,1330739,3835282,4630722,2946131,1489930,4878233,3061841,3763819,4994598,3338693,1853742,1031014,255112
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218938,- -,- -,31027,- -,16448,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,2229944,4877618,7627045,4716772,7377604,3848968,1549677,3835282,4630722,2977158,1489930,4894681,3061841,3763819,4994598,3338693,1853742,1031014,255112
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,3736236,5143491,3903941,4221601,2906290,4090341,3750557,2493108,2451047,1872067,3969160,1680792,2253476,529128,980175,870022,1728118,1779043,462777
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,63148,128223,147478,382810,401521,344339,216459,845874,850385,664458,612464,317043,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1819764,2335460,4726188,2493801,2496882,891039,3374433,842226,1127928,1093813,469038,684848,158404,114036,63308,149367,4676152,5902257,4352666
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,7849092,12484792,16404652,11814984,13182297,9174687,8891126,8016490,9060082,6607496,6540592,7577364,5473721,4406983,6038081,4358082,8258012,8712314,5070555
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,15176635,22903766,26137071,31220651,20525960,23389741,10263517,8800293,10258240,8075344,10955797,7237382,7594666,6532478,1733424,1302242,6407490,4983764,2541001
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6583931,6185995,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5029007,5740414,4495145,6055803,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,275000,281946,6946,6946,6946,6946,6946,6946,6946,6946,6946,946,510821,730844,610779,511120,509955,708554,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,15451635,23185712,26144017,31227597,20532906,23396687,15299470,14547653,14760331,14138093,10962743,7238328,8105487,7263322,2344203,1813362,13501376,11878313,2541001
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,23300727,35670504,42548669,43042581,33715203,32571374,24190596,22564143,23820413,20745589,17503335,14815692,13579208,11670305,8382284,6171444,21759388,20590627,7611556
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,6031046,8752593,9628066,7375161,7158612,10080034,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2589518,3107012,4161109
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69944,90746,233045,- -,- -,50417,- -,- -,2258668,22916,29031,30528,- -,- -,390839,55573,132624
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,2566188,4034881,5279417,6490111,5018261,3947097,4005800,4979605,3866319,4879853,8693743,6125933,- -,- -,- -,1580000,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10320187,5128987,5235166,4543981,4934243,5334098,12440345,11352754,11943246,10530777,12003012,8974741,4821259
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,8597234,12787474,14977427,13956018,12409918,14027131,14325987,10159009,9101485,9423834,15886654,11482947,12469376,11383282,11943246,12110777,14983369,12137326,9114992
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,3500000,4390000,5977642,6630598,3810000,5175974,1975974,2440000,3200000,2750000,- -,1477084,1446853,1416325,- -,- -,- -,- -,52937
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3028030,4138317,3892048,1673922,581181,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1,206884,278051,257216,273049,402278,494168,514361,580568,575612,954088,862369,804206,1096179,952110,1000908,5289265,6786304,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3500001,7624914,10394010,10779862,5756971,6159433,2470142,2954361,3780568,3325612,954088,2339453,2251059,2512504,952110,1000908,5289265,6786304,52937
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5507034
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,393343,231057
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,12097235,20412388,25371437,24735880,18166889,20186564,16796129,13113370,12882053,12749446,16840742,13822400,14720435,13895786,12895356,13111685,20272634,18923630,14569089
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,191813,163926,167979,167979,167979,167979,154014,154014,154014,154014,154014,154014,136149,136149,- -,- -,20718613,21453338,22216238
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,16692095,19108978,19591039,19500374,19511963,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41265449,49421,51854,54605
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-5611288,-4693393,-2500641,-1314738,-3964439,-7140695,-15918309,-18115452,-16807424,-20911762,-34186930,-37471388,-39623243,-41634059,-45778521,-48205690,-72304630,-73387738,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-5660206,-7977575,-11660011,-15744503,-18746763,-22151640,-25845017,-26784820,-27588523,-28849018,-29084216,-8404907,-8508707,-8910716,-7587326,-7707687,-7528379,-7690210,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,5591078,8656180,11578866,15697589,18579574,41677145,49157793,54351045,55334307,57756923,63933739,46869587,46990723,48319294,48852775,7707687,60551729,61239753,-28415306
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,11203492,15258116,17177232,18306701,15548314,12384810,7394467,9450773,10938360,7996143,662593,993292,-1141227,-2225481,-4513072,-6940241,1486754,1666997,-6144463
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,23300727,35670504,42548669,43042581,33715203,32571374,24190596,22564143,23820413,20745589,17503335,14815692,13579208,11670305,8382284,6171444,21759388,20590627,8424626
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-813070
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,23300727,35670504,42548669,43042581,33715203,32571374,24190596,22564143,23820413,20745589,17503335,14815692,13579208,11670305,8382284,6171444,21759388,20590627,7611556
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1694617/000118518519000541/0001185185-19-000541-index.htm,https://www.sec.gov/Archives/edgar/data/1694617/000118518520000394/0001185185-20-000394-index.htm,https://www.sec.gov/Archives/edgar/data/1694617/000118518521000424/0001185185-21-000424-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,500000,1400000,1500000,800000,100000,2990995,3746524,-137036,4400920,2192752,1185903,-2649701,-2779207,-8777614,-2197143,1308028,-4104338,-11961026,1149153,-2151856,-2010816,-4144462,-2427169,-23504327,-348383,-8148147
74,Depreciation and Amortization,500000,400000,500000,700000,1500000,1500000,1371809,1282640,1694028,2418922,3714271,4062587,5833904,3585682,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,474
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2219273,-1114712,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97580,222582,179559,107598,39260,- -,33785,230749,645986,- -,64954,528626,337
77,Change in Working Capital,400000,- -,- -,- -,- -,- -,- -,- -,-748142,445460,1729907,-3568259,2913413,-5624823,-582417,3292342,2101116,-2774935,-6529724,5440479,-3090072,19356,1071134,-1847530,1027338,3300345,-619425
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-227737,1001971,-1092,492686,145333,2141664,- -,- -,- -,- -,- -,- -,46
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-227737,1001971,-1092,492686,145333,2141664,- -,- -,- -,- -,286109,960638,-166
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-748142,-302682,1427225,-2141034,772379,-4852444,-5434861,-2142519,-41403,-2816338,-9346062,-3905583,-6995655,-6976299,-5905165,-7752695,-6725357,-3425012,-4044437
82,Other Non-Cash Items,100000,1000000,-100000,800000,900000,1100000,-947686,2799176,2030118,2619798,381370,4715211,-471950,10360072,10803375,-2202150,-1525186,8434060,18677683,-9500632,2056194,-1734727,-844289,3075260,19546206,-6730708,8766381
83,Cash Provided by Operating Activities,1000000,1900000,1800000,3000000,3200000,2700000,3415118,7828340,2838968,9885100,8018300,6395442,3406393,4427012,1540924,-884369,2063517,1662385,226193,-2911000,-3151949,-3495438,-3271631,-1199439,-2865829,-3250120,-381
84,CAPEX,-2200000,-700000,-700000,-7000000,-4900000,-2700000,-2234845,-3851233,-5240883,-11016044,-6915103,-9888809,-3091316,-8835180,-9865255,-1430955,-2895475,-4754817,-4536358,-6998949,-3182600,-3753134,-2058357,-4388967,-3221099,-9487884,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-633427,-8857,-177624,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275000,- -,- -,- -,110619,339402,1085303,- -,35575,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5024054,143652,5698911,134482,14719,-3948464,-4521668,5233341,4542273,7290271,5266735,3932501,11404943,10981159,-1235
89,Cash Used for Investing Activites,-2100000,-700000,-700000,-7000000,-4900000,-2700000,-2234845,-3851233,-5240883,-11016044,-6640103,-9888809,1932738,-8691528,-4689152,-965928,-1973077,-3948464,-4486093,5233341,1359673,3537137,3208378,-456466,8183844,1493275,-1235
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3200000,-6979738,-8315000,-1150000,-2400000,-1183333,-24116,-29031,-1446853,- -,-401666,-535656,-66
91,Common Stock Issued,600000,- -,- -,- -,- -,- -,7500,- -,- -,- -,- -,98247,- -,- -,3724999,2810164,- -,- -,2119510,1021668,- -,689310,1160885,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-200000,-400000,- -,- -,- -,- -,-335124,-286356,-188912,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-397049,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,763
94,Other Financing Activites,500000,-200000,-100000,3600000,1100000,100000,-97911,-2952089,1500000,4113742,1657586,673759,-2678299,1132929,105000,8524414,9020000,1751488,3084189,1227627,- -,- -,1580000,- -,-1900000,-186012,-555
95,Cash Used/Provided by Financing Activities,1100000,-200000,-100000,3400000,700000,100000,-90411,-2952089,1500000,3778618,1371230,583094,-2678299,735880,629999,4354840,705000,601488,2803699,1065962,-24116,660279,1294032,- -,-2301666,-721668,142
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1100000,-200000,-100000,3400000,700000,- -,1089862,1025018,-901915,2647674,2749427,-2910273,2660832,-3528636,-2518229,2504543,795440,-1684591,-1456201,3388303,-1816392,701978,1230779,-1655905,3016349,-2478513,-1475
98,Cash at the End of Period,- -,- -,- -,- -,- -,1000000,2106841,3131859,2229944,4877618,7627045,4716772,7377604,3848968,1330739,3835282,4630722,2946131,1489930,4878233,3061841,3763819,4994598,3338693,6355042,3876529,2402
99,Cash at the Beginning of Period,700000,700000,1600000,2600000,2000000,1000000,1016979,2106841,3131859,2229944,4877618,7627045,4716772,7377604,3848968,1330739,3835282,4630722,2946131,1489930,4878233,3061841,3763819,4994598,3338693,6355042,3877
100,Free Cash Flow,-1200000,1200000,1100000,-4000000,-1700000,- -,1180273,3977107,-2401915,-1130944,1103197,-3493367,315077,-4408168,-8324331,-2315324,-831958,-3092432,-4310165,-9909949,-6334549,-7248572,-5329988,-5588406,-6086928,-12738004,-381
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1694617/000118518519000541/0001185185-19-000541-index.htm,https://www.sec.gov/Archives/edgar/data/1694617/000118518520000394/0001185185-20-000394-index.htm,https://www.sec.gov/Archives/edgar/data/1694617/000118518521000424/0001185185-21-000424-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
