,https://roic.ai/company/LUVU,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-23445,-6335,- -,-1033952,-801252,- -,-288485,-376056,-473746,-312000,203000,147000,-157000,860000,2563000
24,Net Income ratio,-0.2679,-0.0774,- -,-0.0933,-0.0463,- -,-0.0208,-0.0255,-0.0305,-0.0185,0.0120,0.0089,-0.0092,0.0468,0.1109
25,EPS,-0.02,-0.01,- -,-0.02,-0.01,-0.01,-0.00,-0.01,-0.01,-0.00,0.00,0.00,-0.00,0.01,0.03
26,EPS Diluted,-0.02,-0.01,- -,-0.02,-0.01,-0.01,-0.00,-0.01,-0.01,-0.00,0.00,0.00,-0.00,0.01,0.03
27,Weighted Average Shares Outstanding,1200000,1200000,- -,62103434,75396312,82784225,70702596,70702596,70702596,71190301,72707391,73452596,73452596,73452596,74296689
28,Weighted Average Shares Outstanding Diluted,1200000,1200000,- -,62103434,75396312,82784225,70702596,70702596,70702596,71190301,73134994,74478742,73452596,75256596,75494948
29,SEC Link,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1374567/000101738613000246/0001017386-13-000246-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738614000259/0001017386-14-000259-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738615000267/0001017386-15-000267-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738616000540/0001017386-16-000540-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738617000216/0001017386-17-000216-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738618000279/0001017386-18-000279-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738619000274/0001017386-19-000274-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738620000391/0001017386-20-000391-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000165495421010471/0001654954-21-010471-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1875,2613,- -,388659,514048,- -,397860,592501,492448,545000,742000,431000,649000,1152000,977000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1875,2613,- -,388659,514048,- -,397860,592501,492448,545000,742000,431000,649000,1152000,977000
34,Net Receivables,15000,15000,- -,562872,761380,- -,522900,615744,747904,794000,631000,657000,830000,1135000,1134000
35,Inventory,- -,- -,- -,908851,2068735,- -,1409703,1371832,1302654,1444000,1545000,1692000,1751000,1985000,3391000
36,Other Current Assets,- -,- -,- -,212438,77728,- -,76932,97558,98204,96000,80000,135000,52000,55000,145000
37,Total Current Assets,16875,17613,- -,2072820,3421891,- -,2407395,2677635,2641210,2879000,2998000,2915000,3282000,4327000,5647000
38,PP&E,1421,694,- -,1075315,981499,- -,756990,630217,627840,870000,869000,786000,792000,1103000,4515000
39,Goodwill,- -,- -,- -,- -,1633592,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,847082,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,2480674,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,5341,- -,4479,2996,2996,3000,9000,12000,13000,17000,84000
45,Total Non-Current Assets,1421,694,- -,1075315,3467514,- -,761469,633213,630836,873000,878000,798000,805000,1120000,4599000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18296,18307,- -,3148135,6889405,- -,3168864,3310848,3272046,3752000,3876000,3713000,4087000,5447000,10246000
48,Accounts Payable,494,50,- -,1579138,2391339,- -,1607765,1651152,2094152,2363000,2177000,2273000,2561000,2435000,2669000
49,Short-Term Debt,16614,26860,- -,760006,1194692,1420311,1052243,1719560,1422411,2397000,2115000,2359000,2373000,2688000,1849000
50,Tax Payable,56,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3556,100,- -,410665,820797,- -,980739,992635,888691,477000,535000,565000,618000,623000,694000
53,Total Current Liabilities,20664,27010,- -,2749809,4406828,1420311,3640747,4363347,4405254,5237000,4827000,5197000,5552000,5746000,5212000
54,Long-Term Debt,- -,- -,- -,175539,71393,- -,40927,70668,154363,853000,1094000,440000,656000,975000,3711000
55,Deferred Revenue,- -,- -,- -,- -,296192,- -,125553,44290,214753,188000,147000,97000,34000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,40927,70668,154363,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,961249,748474,- -,896608,654332,667961,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,1136788,1116059,- -,1104015,839958,1191440,1041000,1241000,537000,690000,975000,3711000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,63739,63739,73566,62349,102504,224712,133000,76000,35000,8000,199000,2700000
61,Total Liabilities,20664,27010,- -,3886597,5522887,- -,4744762,5203305,5596694,6278000,6068000,5734000,6242000,6721000,8923000
62,Preferred Stock,- -,- -,- -,- -,430,430,430,430,430,- -,- -,- -,- -,- -,- -
63,Common Stock,12000,12000,- -,631826,919470,- -,707026,707026,707026,715000,735000,735000,735000,735000,750000
64,Retained Earnings,-15855,-22190,- -,-6175531,-6976783,- -,-8047685,-8423741,-8897487,-9209000,-9006000,-8859000,-9016000,-8156000,-5593000
65,Other Comprehensive Income/Loss,-2623,-3350,- -,- -,-2166599,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,4110,4837,- -,4805243,9590000,- -,5764331,5823828,5865383,5968000,6079000,6103000,6126000,6147000,6166000
67,Total Stockholders Equity,-2368,-8703,- -,-738462,1366518,-1321793,-1575898,-1892457,-2324648,-2526000,-2192000,-2021000,-2155000,-1274000,1323000
68,Total Liabilities And Stockholders Equity,18296,18307,- -,3148135,6889405,- -,3168864,3310848,3272046,3752000,3876000,3713000,4087000,5447000,10246000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18296,18307,- -,3148135,6889405,- -,3168864,3310848,3272046,3752000,3876000,3713000,4087000,5447000,10246000
71,SEC Link,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1374567/000101738613000246/0001017386-13-000246-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738614000259/0001017386-14-000259-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738615000267/0001017386-15-000267-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738616000540/0001017386-16-000540-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738617000216/0001017386-17-000216-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738618000279/0001017386-18-000279-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738619000274/0001017386-19-000274-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738620000391/0001017386-20-000391-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000165495421010471/0001654954-21-010471-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-23445,-6335,- -,-1033952,-801252,- -,-288485,-376056,-473746,-312000,203000,147000,-157000,860000,2563000
74,Depreciation and Amortization,781,728,- -,249380,246405,342855,176946,232849,219168,225000,208000,193000,165000,151000,515000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,9955,18310,71946,34380,59497,41555,36000,31000,24000,23000,21000,15000
77,Change in Working Capital,-22909,-5608,- -,-667592,-307948,984937,-1233352,-452360,-78332,-593956,529000,-453000,12000,851000,-1490000
78,Accounts Receivable,- -,- -,- -,-216442,-198420,-59012,214632,-105946,-144864,-60000,179000,-47000,-172000,-304000,1000
79,Inventory,- -,- -,- -,-208448,-537572,-16346,-267934,37871,42828,-175000,-132000,-114000,-82000,-293000,-1438000
80,Accounts Payable,3994,-3844,- -,-668707,339921,-100967,-35639,43387,443001,270000,-190000,97000,288000,-126000,234000
81,Other Working Capital,-3789,-9397,- -,-676989,-984937,- -,-1233352,-1685712,-1764044,-2358000,-1829000,-2282000,-2270000,-1419000,- -
82,Other Non-Cash Items,26903,1708,- -,-219431,280146,-1868279,1206746,336674,657410,670956,-624000,299000,115000,-1516000,-1063000
83,Cash Provided by Operating Activities,-18670,-9507,- -,-1661640,-564339,-468541,-103765,-199396,366055,26000,347000,210000,158000,367000,540000
84,CAPEX,-246,- -,- -,-189178,-94635,-99616,-262261,-35417,-59567,-212000,-71000,-40000,-13000,-227000,-210000
85,Acquisitions Net,- -,- -,- -,- -,- -,529428,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,130153,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,238345,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-246,- -,- -,-189178,35518,668157,-262261,-35417,-59567,-212000,-71000,-40000,-13000,-227000,-210000
90,Debt Repayment,- -,- -,- -,-2179792,-5502067,-406185,-710486,-648198,-379020,-1303000,-1776000,-1887000,-2437000,-2090000,-992000
91,Common Stock Issued,- -,- -,- -,301500,- -,248750,- -,- -,- -,75000,100000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,18839,10245,- -,2302136,6156277,106121,979952,1077652,-27521,1467000,1597000,1406000,2510000,2453000,487000
95,Cash Used/Provided by Financing Activities,18839,10245,- -,423844,654210,-51314,269466,429454,-406541,239000,-79000,-481000,73000,363000,-505000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-77,738,- -,-1426974,125389,148302,-96560,194641,-100053,53000,197000,-311000,218000,503000,-175000
98,Cash at the End of Period,1875,2613,- -,388659,514048,494420,397860,592501,492448,545000,742000,431000,649000,1152000,977000
99,Cash at the Beginning of Period,1952,1875,- -,1815633,388659,346118,494420,397860,592501,492000,545000,742000,431000,649000,1152000
100,Free Cash Flow,-18916,-9507,- -,-1850818,-658974,-568157,-366026,-234813,306488,-186000,276000,170000,145000,140000,330000
101,SEC Link,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1374567/000101738613000246/0001017386-13-000246-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738614000259/0001017386-14-000259-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738615000267/0001017386-15-000267-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738616000540/0001017386-16-000540-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738617000216/0001017386-17-000216-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738618000279/0001017386-18-000279-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738619000274/0001017386-19-000274-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000101738620000391/0001017386-20-000391-index.htm,https://www.sec.gov/Archives/edgar/data/1374567/000165495421010471/0001654954-21-010471-index.htm
102,false,,,,,,,,,,,,,,,
