,https://roic.ai/company/JKSM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/860543/000107878203000113/0001078782-03-000113-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/860543/000107878206000163/astv305ksba.htm,https://www.sec.gov/Archives/edgar/data/860543/000107878206000575/asiapremium10k062306.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/860543/000102022910000003/final1.htm,https://www.sec.gov/Archives/edgar/data/860543/000102022911000004/final.htm,- -,https://www.sec.gov/Archives/edgar/data/860543/000107878212003311/0001078782-12-003311-index.html,https://www.sec.gov/Archives/edgar/data/860543/000107878213002485/0001078782-13-002485-index.html,https://www.sec.gov/Archives/edgar/data/860543/000147793217006213/cgnd_10k.htm,https://www.sec.gov/Archives/edgar/data/860543/000147793217006241/cgnd_10k.htm,https://www.sec.gov/Archives/edgar/data/860543/000147793218000286/cgnd_10k.htm,https://www.sec.gov/Archives/edgar/data/860543/000147793217006213/0001477932-17-006213-index.html,- -,https://www.sec.gov/Archives/edgar/data/860543/000147793220002348/jksm_10k.htm,https://www.sec.gov/Archives/edgar/data/860543/000147793221001923/0001477932-21-001923-index.htm,https://www.sec.gov/Archives/edgar/data/860543/000147793222001870/0001477932-22-001870-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,300000,- -,- -,- -,1100000,2930000,5405112,62618,30000,80000,10000,- -,10000,- -,- -,- -,- -,1074105,453620,489560,344811
32,Short-Term Investments,- -,- -,- -,- -,- -,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,300000,- -,- -,- -,1180000,2930000,5405112,62618,30000,80000,10000,- -,10000,- -,- -,- -,- -,1074105,453620,489560,344811
34,Net Receivables,- -,- -,- -,- -,- -,5290000,9000000,8443782,257467,10000,10000,10000,10000,10000,- -,- -,- -,- -,25485,105510,292835,591169
35,Inventory,- -,24811000,- -,- -,- -,- -,- -,- -,367,- -,- -,- -,- -,- -,- -,- -,- -,- -,764095,189840,189423,196712
36,Other Current Assets,- -,48460000,- -,- -,- -,3840000,3310000,3175433,13126,-10000,- -,- -,- -,- -,- -,- -,- -,5000,37500,251540,148459,8600
37,Total Current Assets,- -,73571000,- -,- -,- -,10310000,15240000,17024327,333578,30000,90000,20000,10000,20000,- -,- -,- -,5000,1901185,1000510,1120277,1141292
38,PP&E,- -,- -,- -,- -,- -,490000,940000,1132981,678098,10000,30000,20000,20000,- -,- -,- -,- -,- -,14346,22580,3348,1472
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,4172982,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,949944,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,5122926,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,10000,- -,- -,240000,- -,20000,20000,20000,10000,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,500000,940000,1132981,6041024,10000,50000,40000,40000,10000,- -,- -,- -,- -,14346,22580,3348,1472
46,Other Assets,- -,8113674000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,8187245000,- -,- -,- -,10810000,16180000,18157308,6374602,40000,140000,60000,50000,30000,- -,- -,- -,5000,1915531,1023090,1123625,1142764
48,Accounts Payable,- -,- -,2510000,30000,190000,8950000,12960000,10222006,44725,110000,30000,30000,30000,30000,22160,22160,21190,21190,456163,347850,681439,- -
49,Short-Term Debt,- -,9874,4000000,4000000,4000000,4259819,4149761,764496,- -,- -,- -,- -,1091353,1280513,1219814,1219814,1219814,1219814,3289412,1223151,918346,701175
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54272,130262,141803,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,906964,1343983,1024466,171771
52,Other Current Liabilities,- -,4733731126,4013419000,100000,80000,1550181,1670239,1729022,379387,110000,600000,810000,-31353,-513,198446,256546,305246,353946,1723556,2495656,4056884,3819661
53,Total Current Liabilities,- -,4733741000,4019929000,4130000,4270000,14760000,18780000,12715524,424112,220000,630000,840000,1090000,1310000,1440420,1498520,1546250,1594950,6376095,5410640,6681135,4692607
54,Long-Term Debt,- -,14159000,17419000,- -,- -,- -,110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000,147942,705038
58,Total Non-Current Liabilities,- -,14159000,17419000,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000,147942,705038
59,Other Liabilities,- -,956927000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9837,- -,- -
61,Total Liabilities,- -,5676509000,-4002510000,4130000,4270000,14760000,18880000,12715524,424112,220000,630000,840000,1090000,1310000,1440420,1498520,1546250,1594950,6376095,5630640,6829077,5397645
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,7623000,812186000,1240000,1620000,1620000,1620000,3446,6487,70000,- -,- -,- -,- -,3270,3270,33270,33270,48272,62870,66366,74490
64,Retained Earnings,- -,- -,- -,-8790000,-58170000,-1390000,-270000,2745378,-3973729,-10350000,-10660000,-10910000,-11180000,-11390000,-11542740,-11600830,-11685490,-11738010,-4519497,-8066780,- -,-11130807
65,Other Comprehensive Income/Loss,- -,- -,-49100000,-87809677,-57526882,-110000,23418,266029,-204628,65152,60934,32282,31421,-857,- -,- -,- -,- -,- -,-7360,- -,- -
66,Other Total Stockholders Equity,- -,- -,-767105929,91226883,109806710,-4071120,-4076242,- -,- -,10034988,10177920,10151080,10164969,10101861,10099046,10099038,10105971,10114795,- -,3403727,-5771816,6542014
67,Total Stockholders Equity,- -,2510736,-4019929,-4132794,-4270172,-3951120,-2702824,5441784,6060679,-179860,-492080,-778920,-1045031,-1288139,-1440424,-1498522,-1546249,-1589945,-4460564,-4607543,-5705450,-4514303
68,Total Liabilities And Stockholders Equity,- -,5679019736,-4006529929,-2794,-172,10808880,16177176,18157308,6484791,40140,137920,61080,44969,21861,-4,-2,1,5005,1915531,1023097,1123627,883342
69,Minority Interest,- -,2508225264,4006529929,2794,172,1120,2824,- -,-110189,-140,2080,-1080,5031,8139,4,2,-1,-5,- -,-7,-2,259422
70,Total Liabilities & Equity,- -,8187245000,- -,- -,- -,10810000,16180000,18157308,6374602,40000,140000,60000,50000,30000,- -,- -,- -,5000,1915531,1023090,1123625,1142764
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/860543/000107878203000113/0001078782-03-000113-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/860543/000107878206000163/astv305ksba.htm,https://www.sec.gov/Archives/edgar/data/860543/000107878206000575/asiapremium10k062306.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/860543/000102022910000003/final1.htm,https://www.sec.gov/Archives/edgar/data/860543/000102022911000004/final.htm,- -,https://www.sec.gov/Archives/edgar/data/860543/000107878212003311/0001078782-12-003311-index.html,https://www.sec.gov/Archives/edgar/data/860543/000107878213002485/0001078782-13-002485-index.html,https://www.sec.gov/Archives/edgar/data/860543/000147793217006213/cgnd_10k.htm,https://www.sec.gov/Archives/edgar/data/860543/000147793217006241/cgnd_10k.htm,https://www.sec.gov/Archives/edgar/data/860543/000147793218000286/cgnd_10k.htm,https://www.sec.gov/Archives/edgar/data/860543/000147793217006213/0001477932-17-006213-index.html,- -,https://www.sec.gov/Archives/edgar/data/860543/000147793220002348/jksm_10k.htm,https://www.sec.gov/Archives/edgar/data/860543/000147793221001923/0001477932-21-001923-index.htm,https://www.sec.gov/Archives/edgar/data/860543/000147793222001870/0001477932-22-001870-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-727871,-3667691000,-120000,-49380000,340000,1120000,2564432,-6719119,-4380000,-310000,-260000,-270000,-210000,-153140,-58100,-84650,-52530,-1939873,-3544880,-3059,-5474
74,Depreciation and Amortization,- -,10010,- -,45,57,74628,112773,156317,845681,195011,6604,8728,9029,13239,1882,- -,- -,- -,1067,1066,9932,1876
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15227
77,Change in Working Capital,- -,636128,4015799000,-140000,-180000,910000,2497382,5351421,-4399337,-99466,-350000,-280000,-260000,-210000,-150420,-58100,-47730,-43700,-2884960,64780,-1150728,2009543
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,47558,- -,- -,- -,- -,- -,- -,- -,- -,-25485,-80025,-187325,-298334
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,40003,- -,- -,- -,- -,- -,- -,- -,- -,- -,-768614,171592,418,18000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-245239,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-4019929000,-4130000,-4270000,-4450000,-3540000,-1042618,4308803,-90534,-190000,-540000,-820000,-1080000,-1290000,-1440420,-1498520,-1546250,-1589950,-4474910,-4410130,-5560858,-3551315
82,Other Non-Cash Items,- -,50099,-349221241,261750,49475961,-755313,-1649926,-6118744,9312411,3357462,275433,282224,303866,282047,212976,116200,125456,87398,3417085,1182746,38159,-3258517
83,Cash Provided by Operating Activities,- -,-31634,-1113241,1795,-83982,569315,2080229,1953426,-960364,-926993,-377963,-249048,-217105,-124714,-88702,- -,-6924,-8832,-1406681,-2296288,-1105696,-1237345
84,CAPEX,- -,-918000,- -,-1795,- -,-400629,-569376,-260275,-4975861,- -,-31224,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-1890759,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193500,- -,- -,- -
88,Other Investing Activites,- -,456,- -,- -,- -,74925,87009,-19044,-240000,493945,-16330,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-917544,- -,-1795,- -,-325704,-482367,-279319,-7106620,493945,-47554,- -,- -,- -,- -,- -,- -,- -,193500,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49072,- -,- -,- -,- -,- -,- -,- -,-94088,-440912,-888307,- -
91,Common Stock Issued,- -,- -,1112950,- -,83982,- -,- -,- -,7957452,222339,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1438300,614198
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-340000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,949478,- -,- -,- -,-190685,200410,499590,56814,114353,531284,178228,212589,168482,76594,- -,6924,8832,1575000,2116718,591640,478398
95,Cash Used/Provided by Financing Activities,- -,949478,1112950,- -,83982,-190685,200410,499590,8014266,336692,482212,178228,212589,168482,76594,- -,6924,8832,1140912,1675806,1141633,1092596
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,36346,103011,-54191,99838,-4746,-1186,-940,-32571,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,949478,1112950,- -,83982,52926,1834618,2276708,-106909,-16356,51949,-72006,-5456,11197,76594,- -,6924,8832,-72269,-620482,35937,-144749
98,Cash at the End of Period,- -,300,- -,- -,- -,1098080,2932698,5209406,62618,26424,78373,6367,911,12108,- -,- -,- -,- -,1074105,453623,489560,344811
99,Cash at the Beginning of Period,- -,- -,291,- -,- -,1045154,1098080,2932698,169527,42780,26424,78373,6367,911,12108,- -,- -,- -,1146374,1074105,453623,489560
100,Free Cash Flow,- -,-949634,-1113241,- -,-83982,168686,1510853,1693151,-5936225,-926993,-409187,-249048,-217105,-124714,-88702,- -,-6924,-8832,-1406681,-2296288,-1105696,-1237345
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/860543/000107878203000113/0001078782-03-000113-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/860543/000107878206000163/astv305ksba.htm,https://www.sec.gov/Archives/edgar/data/860543/000107878206000575/asiapremium10k062306.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/860543/000102022910000003/final1.htm,https://www.sec.gov/Archives/edgar/data/860543/000102022911000004/final.htm,- -,https://www.sec.gov/Archives/edgar/data/860543/000107878212003311/0001078782-12-003311-index.html,https://www.sec.gov/Archives/edgar/data/860543/000107878213002485/0001078782-13-002485-index.html,https://www.sec.gov/Archives/edgar/data/860543/000147793217006213/cgnd_10k.htm,https://www.sec.gov/Archives/edgar/data/860543/000147793217006241/cgnd_10k.htm,https://www.sec.gov/Archives/edgar/data/860543/000147793218000286/cgnd_10k.htm,https://www.sec.gov/Archives/edgar/data/860543/000147793217006213/0001477932-17-006213-index.html,- -,https://www.sec.gov/Archives/edgar/data/860543/000147793220002348/jksm_10k.htm,https://www.sec.gov/Archives/edgar/data/860543/000147793221001923/0001477932-21-001923-index.htm,https://www.sec.gov/Archives/edgar/data/860543/000147793222001870/0001477932-22-001870-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
