,https://roic.ai/company/IONM,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1798270/000155837021003716/0001558370-21-003716-index.htm,https://www.sec.gov/Archives/edgar/data/1798270/000155837022003471/0001558370-22-003471-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-67034,-88607,-68344,-62215,-171529,-40087,-47945,-27369,-54078,-5501158,4319768,2542000,-15036000,-2756000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,205836,406967,537000,1014000,1114000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1675658,573563,684000,-1949000,- -
76,Stock Based Compensation,24929,- -,- -,- -,- -,- -,- -,- -,- -,74148,364167,1259000,548000,1913000
77,Change in Working Capital,2024,-28909,149468,-66730,-167465,-39233,213085,-53663,232449,16177085,5777961,-188689,-4719000,16899000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11473965,-5551373,-6865000,2104000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3825,14021,-11077,-1881,11025,- -,- -,- -,- -,1613933,511275,509000,- -,- -
81,Other Working Capital,100642,71732,221201,154470,-12995,-52228,160857,107194,339643,16516728,22294689,22106000,17387000,34286000
82,Other Non-Cash Items,- -,89571,-164463,65587,171182,71827,-224488,38472,-209846,-11955531,-11803599,-9061311,17609000,-17170000
83,Cash Provided by Operating Activities,-40081,-27945,-83339,-63358,-167813,-7493,-59348,-42560,-31475,-2675278,-361173,-4228000,-2533000,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39532,-296392,-48000,-319000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-466000,-7736000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-46571,- -,- -,- -,- -,- -,- -,-185998,1133601,1171292,979000,558000,- -
89,Cash Used for Investing Activites,- -,-46571,- -,- -,- -,- -,- -,- -,-185998,1094069,874900,465000,-7497000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-102686,-976889,-1228000,-3069000,- -
91,Common Stock Issued,164339,- -,217465,- -,- -,- -,- -,- -,306116,2263618,- -,- -,10822000,- -
92,Common Stock Repurchased,- -,- -,-3020,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-676769,- -,- -,- -,- -
94,Other Financing Activites,-49062,- -,- -,- -,- -,7983,249384,- -,-23065,223489,1078802,4219000,6604000,- -
95,Cash Used/Provided by Financing Activities,115276,- -,214446,- -,- -,7983,249384,- -,283050,1707652,101913,2991000,14357000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,75195,-74515,131107,-63358,-167813,490,190036,-42560,65578,126443,615640,-772000,4327000,- -
98,Cash at the End of Period,147174,96539,232177,164079,583,1035,190985,117207,186586,215326,830966,59000,4386000,- -
99,Cash at the Beginning of Period,71979,171054,101070,227438,168396,545,949,159767,121008,88883,215326,831000,59000,4386000
100,Free Cash Flow,-40081,-27945,-83339,-63358,-167813,-7493,-59348,-42560,-31475,-2714810,-657565,-4276000,-2852000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1798270/000155837021003716/0001558370-21-003716-index.htm,https://www.sec.gov/Archives/edgar/data/1798270/000155837022003471/0001558370-22-003471-index.htm
102,false,,,,,,,,,,,,,,
