,https://roic.ai/company/CSR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798359/000079835912000073/0000798359-12-000073-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000079835913000065/0000798359-13-000065-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000079835914000048/0000798359-14-000048-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000114036115025776/0001140361-15-025776-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000155837016006536/0001558370-16-006536-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000155837017004986/0001558370-17-004986-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000162828018008587/0001628280-18-008587-index.htm,- -,https://www.sec.gov/Archives/edgar/data/798359/000162828021002665/0001628280-21-002665-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000079835922000035/0000798359-22-000035-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4772742,2715274,1718257,2132220,3713053,3449264,6356063,12333426,15564714,31704000,23538000,17485000,44516000,53481000,33244000,54791000,41191000,39989000,94133000,47267000,48970000,66698000,28819000,11891000,26579000,392000,31267
32,Short-Term Investments,4829809,4411857,4738925,4257226,2964434,3174231,3012113,10500000,3077260,2336000,2459000,2402000,2048000,420000,420000,420000,625000,634000,- -,- -,- -,- -,- -,- -,- -,- -,1870854
33,Cash and Short-Term Investments,9602551,7127131,6457182,6389446,6677487,6623495,9368176,22833426,18641974,34040000,25997000,19887000,46564000,53901000,33664000,55211000,41816000,40623000,94133000,47267000,48970000,66698000,28819000,11891000,26579000,392000,1902121
34,Net Receivables,60260,30269,332814,55326,77438,1523363,1925429,3233765,4604150,8131000,8603000,11838000,15729000,18276000,18750000,22236000,24579000,30325000,30888000,37302000,29886000,8703000,10422000,29850000,33636000,31852000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,10503276,20006000,- -,- -,- -,1728000,1139000,1705000,2680000,3966000,17693000,28470000,38068000,229148000,45889000,7057000,24404000,12620000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,33749400,62177000,- -,- -,- -,73905000,53553000,79152000,69075000,74914000,142714000,113039000,116924000,304549000,85130000,48798000,84619000,44864000,1902121
38,PP&E,84408412,122377909,177891168,213211369,280311442,418216516,548767731,685555802,847413044,1010363000,1069807000,1127906000,1317992000,1457645000,1473430000,1502123000,1704000,1454000,1221000,1681000,1542000,1011000,901000,820000,1277000,2674000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,1550246,1440817,1440817,1441000,1441000,1441000,1397000,1392000,1392000,1388000,1127000,1120000,1106000,1100000,1911000,1680000,1572000,1553000,1086000,986000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26449000,33240000,61649000,52173000,50700000,49832000,44588000,40457000,32639000,27267000,1858000,658000,1469000,1212000,1150000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,1550246,1440817,1440817,1441000,1441000,27890000,34637000,63041000,53565000,52088000,50959000,45708000,41563000,33739000,29178000,3538000,2230000,3022000,2298000,2136000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,3077260,2336000,- -,- -,- -,- -,- -,- -,1458089000,1557108000,639000,329000,329000,50000,- -,- -,7055000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23435000,24543000,27567000,35536000,35183000,1703417000,1720433000,1849864000,1451029000,1386253000,1374018000,1297169000,1414509000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,851931121,1014140000,- -,- -,- -,1544121000,1551538000,1581778000,1546288000,1639453000,1746840000,1756182000,1880913000,1455628000,1389384000,1377860000,1307799000,1419319000,- -
46,Other Assets,94890994,131355638,186993943,224718514,291493311,432978299,570322124,730209018,1737611642,2090457000,1151158000,1207315000,1435389000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37940
47,Total Assets,94890994,131355638,186993943,224718514,291493311,432978299,570322124,730209018,885680521,1076317000,1151158000,1207315000,1435389000,1618026000,1605091000,1660930000,1615363000,1714367000,1889554000,1869221000,1997837000,1760177000,1474514000,1426658000,1392418000,1464183000,1940061
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,539397202,633124000,19168000,2451000,11000,- -,5500000,6550000,30000000,39000000,- -,- -,- -,- -,- -,- -,- -,- -,299344
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33757000,32773000,38514000,37879000,47403000,50797000,59105000,71072000,117439000,70412000,29018000,47155000,55609000,- -
53,Total Current Liabilities,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,539397202,633124000,19168000,2451000,11000,33757000,38273000,45064000,67879000,86403000,50797000,59105000,71072000,117439000,70412000,29018000,47155000,55609000,299344
54,Long-Term Debt,- -,- -,- -,135059974,175071069,6452420,- -,459568905,11247531,25586000,709405000,769390000,951139000,1063858000,1070158000,1057619000,993803000,1048689000,1059206000,1020189000,1179443000,916954000,760827000,703433000,648801000,719191000,76000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,978000,1516000,3132000,8404000,14012000,18170000,69381000,6368000,7522000,7181000,6708000,- -,- -,543106
58,Total Non-Current Liabilities,- -,- -,- -,135059974,175071069,6452420,- -,459568905,11247531,25586000,709405000,769390000,951139000,1064836000,1071674000,1060751000,1002207000,1062701000,1077376000,1089570000,1185811000,924476000,768008000,710141000,648801000,719191000,619106
59,Other Liabilities,17796850,41643718,87995322,283336589,366300544,255392458,350086105,954920669,48168264,81142000,1427192000,1564078000,1932158000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,56796850,80643718,126995322,148276615,191229475,287940038,389086105,495351764,576317935,688680000,736955000,797139000,981030000,1098593000,1109947000,1105815000,1070086000,1149104000,1128173000,1148675000,1256883000,1041915000,838420000,739159000,695956000,774800000,918450
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,27343000,27317000,27317000,27317000,27317000,27317000,27317000,27317000,27317000,138674000,138674000,138674000,138674000,111357000,99456000,116016000,110090000,- -
63,Common Stock,41560587,54263917,65073951,74708559,93095819,119233172,132148768,163376549,240645207,292400000,324180000,339384000,354495000,- -,- -,- -,- -,- -,784454000,843268000,951868000,922084000,916121000,907843000,917400000,968263000,- -
64,Retained Earnings,-3466443,-3551997,-5162837,-6666555,-7255958,-9094076,-13073157,-17798418,-25884102,-41083000,-56303000,-77093000,-96827000,-122498000,-155956000,- -,-237563000,-278377000,-310341000,-389758000,-438432000,-442000000,-466541000,-395669000,-390196000,-427681000,-474318
65,Other Comprehensive Income/Loss,-13084483,-13551571,-16948156,-21516129,-26112399,-33232952,-44093145,-58925517,-75638772,-31000,-22000,-48000,-16000,- -,- -,-201412000,-237563000,-278377000,-1673000,-2041000,-1464000,-1058000,-1199000,1779000,-7607000,-15905000,-4435
66,Other Total Stockholders Equity,13084483,13551571,17035663,29916024,40536374,68132117,106253553,148204640,75638772,- -,- -,- -,- -,861310000,914928000,864665000,784071000,845063000,1673000,2041000,1464000,1058000,1199000,- -,- -,- -,1475033
67,Total Stockholders Equity,38094144,50711920,59998621,76441899,100263836,145038261,181236019,234857254,214761105,278629000,295172000,289560000,284969000,345006000,333935000,409523000,411690000,432989000,612787000,592184000,652110000,618758000,560937000,613409000,635613000,634767000,996280
68,Total Liabilities And Stockholders Equity,94890994,131355638,186993943,224718514,291493311,432978299,570322124,730209018,791079040,967309000,1032127000,1086699000,1265999000,1443599000,1443882000,1515338000,1481776000,1582093000,1740960000,1740859000,1908993000,1660673000,1399357000,1352568000,1331569000,1409567000,1914730
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,94601481,109008000,119031000,120616000,169390000,174427000,161209000,145592000,133587000,132274000,148594000,128362000,88844000,99504000,75157000,74090000,60849000,54616000,25331
70,Total Liabilities & Equity,94890994,131355638,186993943,224718514,291493311,432978299,570322124,730209018,885680521,1076317000,1151158000,1207315000,1435389000,1618026000,1605091000,1660930000,1615363000,1714367000,1889554000,1869221000,1997837000,1760177000,1474514000,1426658000,1392418000,1464183000,1940061
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798359/000079835912000073/0000798359-12-000073-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000079835913000065/0000798359-13-000065-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000079835914000048/0000798359-14-000048-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000114036115025776/0001140361-15-025776-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000155837016006536/0001558370-16-006536-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000155837017004986/0001558370-17-004986-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000162828018008587/0001628280-18-008587-index.htm,- -,https://www.sec.gov/Archives/edgar/data/798359/000162828021002665/0001628280-21-002665-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000079835922000035/0000798359-22-000035-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3971108,4611970,3897849,5014909,7604135,8807845,8694240,10600129,12248161,9440000,15076000,11567000,14110000,12088000,8526000,4001000,20082000,8212000,25530000,-13174000,24087000,72006000,43347000,116788000,79206000,5081000,-2101000
74,Depreciation and Amortization,1866230,2359624,3645179,4898015,6121551,8676209,12727720,16064368,20306618,26034000,35803000,39219000,46695000,52423000,57832000,61184000,61344000,61954000,67559000,73723000,72078000,65455000,56612000,91802000,75408000,76596000,92165
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2215000,2256000,6000,1587000,1905000,2106000,2687000
77,Change in Working Capital,29234,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40148000,-24868000,18808000,-32892000,-12685000,103406000,-37983000,-8082000,141258000,-172392000,5062000,17684000,-48209000,12347777
78,Accounts Receivable,- -,- -,- -,-500000,2200000,-1808000,-2050767,-4982756,1804358,-13788000,-28000,-5413000,-2715000,-1754000,-603000,-3371000,-914000,1542000,-2044000,-413000,3994000,1378000,268000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-200000,500000,-852000,1103799,1484469,3386226,3469000,611000,2428000,4334000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15750000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40148000,15280000,34088000,1196000,-11489000,91917000,53934000,45852000,187110000,14718000,19780000,37464000,-10745000,1602777
82,Other Non-Cash Items,-212273,-736792,-981701,-740118,1937297,-1206969,906785,253716,5960376,-6747000,-2598000,-2386000,-2364000,-42780000,18645000,-22581000,10240000,7656000,-118777000,69948000,23881000,-214482000,146357000,-167204000,-104579000,25654000,71002058
83,Cash Provided by Operating Activities,5654299,6234802,6561327,9172806,15662983,16277085,22328745,26918213,38515155,28727000,48281000,48400000,58441000,61879000,60135000,61412000,58774000,65137000,77718000,92514000,114179000,66493000,73930000,48035000,69624000,61228000,84028000
84,CAPEX,-10859997,-32462846,- -,-22894602,-45325061,-121931571,-72319419,-62301069,-78100677,-135658000,-121544000,-97810000,-184613000,-149008000,-59077000,-80069000,-62824000,-141771000,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-653952,-1784981,-3432173,-2561179,-9236311,-14474617,-4960010,-25592304,-38621268,-11492000,-35000,-57000,-132000,-54000,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,-6942000,-179000,- -
87,Sales/Maturities of Investments,441644,- -,- -,500000,1400000,8183000,250172,3085208,3500000,2500000,- -,174000,525000,1740000,- -,- -,95000,430000,- -,314000,- -,279000,50000,- -,- -,3856000,-27518
88,Other Investing Activites,4032090,3450082,-35983577,2566326,1380046,8182124,864106,84538664,53946394,6975000,51176000,15055000,22840000,2069000,4710000,1112000,74713000,13076000,-134142000,-122148000,-176407000,133973000,202213000,104189000,13949000,-168642000,-267197482
89,Cash Used for Investing Activites,-7040215,-30797745,-39415750,-22389455,-51781326,-120041064,-76165151,- -,-59275551,-137675000,-70403000,-82638000,-161380000,-145253000,-54367000,-78957000,11684000,-128265000,-134142000,-121834000,-176407000,134252000,202263000,104189000,7007000,-164965000,-267225000
90,Debt Repayment,- -,- -,- -,-2751301,-3774614,-7902981,-14083544,-10932930,-31251375,-97774000,-61097000,-23482000,-88345000,-45832000,-81303000,-196049000,-239308000,-87149000,-160387000,-119310000,-157307000,-384639000,-550666000,-523409000,-430561000,-85657000,-145000000
91,Common Stock Issued,5288343,9820470,9025706,8421858,16300000,24022000,11001509,37630172,31912977,38307000,15806000,156000,318000,66679000,5978000,108271000,19598000,47938000,86155000,41194000,48701000,1493000,- -,- -,22019000,58852000,156038000
92,Common Stock Repurchased,- -,-218128,-1795416,-3077791,- -,-4832000,-5497952,-2225399,-28827,- -,-64000,-17000,-15000,- -,- -,-11000,-10000,-14000,- -,- -,- -,-35000000,-34219000,-133727000,-26170000,-5679000,- -
93,Dividends Paid,-1485708,-1338046,-1930455,-2228086,-2804074,-4315662,-5963290,-8362657,-11663416,-21536000,-20130000,-22021000,-23237000,-27241000,-45259000,-40968000,-46661000,-38849000,-44930000,-52278000,-57242000,-71577000,-66651000,-42452000,-40089000,-42213000,- -
94,Other Financing Activites,364445,14248476,26557571,13265932,27977864,96528833,71286482,38811991,35022325,203691000,79441000,73549000,241249000,98733000,94579000,167849000,182323000,140000000,229730000,112848000,229779000,306706000,337464000,530436000,425031000,139627000,203474000
95,Cash Used/Provided by Financing Activities,4167080,22512772,31857406,13630612,37699176,103500190,56743205,54921177,23991684,122688000,13956000,28185000,129970000,92339000,-26005000,39092000,-84058000,61926000,110568000,-17546000,63931000,-183017000,-314072000,-169152000,-49770000,64930000,214512000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2781164,-2050171,-997017,413963,1580833,-263789,2906799,5977363,3231288,13740000,-8166000,-6053000,27031000,8965000,-20237000,21547000,-13600000,-1202000,54144000,-46866000,1703000,17728000,-37879000,-16928000,26861000,-38807000,31315000
98,Cash at the End of Period,4772742,2715274,1718257,2132220,3713053,3449264,6356063,12333426,15564714,31704000,23538000,17485000,44516000,53481000,33244000,54791000,41191000,39989000,94133000,47267000,48970000,66698000,28819000,11891000,46117000,7310000,38625000
99,Cash at the Beginning of Period,1991578,4765445,2715274,1718257,2132220,3713053,3449264,6356063,12333426,17964000,31704000,23538000,17485000,44516000,53481000,33244000,54791000,41191000,39989000,94133000,47267000,48970000,66698000,28819000,19256000,46117000,7310000
100,Free Cash Flow,-5205698,-26228044,6561327,-13721796,-29662078,-105654486,-49990674,-35382856,-39585522,-106931000,-73263000,-49410000,-126172000,-87129000,1058000,-18657000,-4050000,-76634000,77718000,92514000,114179000,66493000,73930000,48035000,69624000,61228000,84028000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798359/000079835912000073/0000798359-12-000073-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000079835913000065/0000798359-13-000065-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000079835914000048/0000798359-14-000048-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000114036115025776/0001140361-15-025776-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000155837016006536/0001558370-16-006536-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000155837017004986/0001558370-17-004986-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000162828018008587/0001628280-18-008587-index.htm,- -,https://www.sec.gov/Archives/edgar/data/798359/000162828021002665/0001628280-21-002665-index.htm,https://www.sec.gov/Archives/edgar/data/798359/000079835922000035/0000798359-22-000035-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
