,https://roic.ai/company/SKAS,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-656000,700000,594000,463000,190000,1032000,887000,584000,197000,399000,-430960
23,Net Income,-573499,-1914297,-3336759,184454,-4905422,-411042,1472925,404496,549511,-1823092,133747,695208,880430,477628,311536,667644,-1748928
24,Net Income ratio,-Infinity,-0.1387,-0.0851,0.0039,-0.5706,-0.0472,0.1219,0.0251,0.0325,-0.1235,0.0073,0.0435,0.0599,0.0397,0.0280,0.0577,-0.4988
25,EPS,-4.20,-12.60,-10.20,0.30,-4.20,-0.30,1.20,0.30,0.60,-1.80,0.12,0.60,0.90,0.30,0.30,0.66,-1.71
26,EPS Diluted,-4.20,-12.60,-10.20,0.30,-4.20,-0.30,1.20,0.30,0.60,-1.80,0.12,0.60,0.90,0.30,0.30,0.65,-1.71
27,Weighted Average Shares Outstanding,137865,325048,755360,1219497,1219420,1143801,1105470,1101460,1101336,1101678,1103548,1103740,1105242,1108754,1029000,1008979,1024907
28,Weighted Average Shares Outstanding Diluted,137865,325048,755360,1219497,1219420,1143801,1119870,1166640,1145780,1101678,1110916,1119940,1110522,1137676,1039599,1021865,1024907
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1128281/000114420412017304/0001144204-12-017304-index.html,https://www.sec.gov/Archives/edgar/data/1128281/000114420413018879/0001144204-13-018879-index.html,https://www.sec.gov/Archives/edgar/data/1128281/000114420414022390/0001144204-14-022390-index.htm,https://www.sec.gov/Archives/edgar/data/1128281/000114420415019851/0001144204-15-019851-index.htm,https://www.sec.gov/Archives/edgar/data/1128281/000114420416093620/0001144204-16-093620-index.htm,https://www.sec.gov/Archives/edgar/data/1128281/000114420417018007/0001144204-17-018007-index.html,https://www.sec.gov/Archives/edgar/data/1128281/000143774918006049/0001437749-18-006049-index.html,https://www.sec.gov/Archives/edgar/data/1128281/000143774919006042/0001437749-19-006042-index.html,https://www.sec.gov/Archives/edgar/data/1128281/000143774920006515/0001437749-20-006515-index.htm,https://www.sec.gov/Archives/edgar/data/1128281/000143774921007824/0001437749-21-007824-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14117,1330450,1181870,2400152,322098,574847,1541992,451957,250408,146405,531003,414661,2192057,1724504,2838649,3597491,1899082
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14117,1330450,1181870,2400152,322098,574847,1541992,451957,250408,146405,531003,414661,2192057,1724504,2838649,3597491,1899082
34,Net Receivables,15510,3421455,5083524,5226006,605356,920159,1454466,1633750,2182580,1742858,2049842,2820955,1744407,2208664,1117814,866873,262101
35,Inventory,- -,191254,193413,324314,229699,277941,207947,285171,301234,338513,299339,67860,113105,163129,170865,181204,163619
36,Other Current Assets,2668,221595,280923,472750,5018839,166156,646473,577385,641018,999479,524942,354485,437586,531691,566474,564644,1213129
37,Total Current Assets,32295,5164754,6739730,8423222,6175992,1939103,3850878,2948263,3375240,3227255,3405126,3657961,4487155,4627988,4693802,5210212,3537931
38,PP&E,- -,1151998,1286376,1169316,751730,1088386,1918104,2539198,2184358,2444840,2086794,1496656,1074397,669957,388072,818693,258856
39,Goodwill,- -,4194770,4194770,4194770,2368284,2368284,2368284,2368284,2368284,1080380,530000,530000,750000,750000,750000,750000,750000
40,Intangible Assets,- -,1006464,784064,570726,100000,100000,100000,135000,135000,360000,142500,35000,35000,- -,- -,- -,- -
41,Intangible Assets,- -,5201234,4978834,4765496,2468284,2468284,2468284,2503284,2503284,1440380,672500,565000,785000,750000,750000,750000,750000
42,Investments,- -,- -,- -,- -,- -,- -,- -,181259,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,362000,- -,- -,- -,363000,173000,323000,454000,507000,476000,- -
44,Other Non-Current Assets,13400,376500,176500,36800,929312,1051392,846261,300712,372513,256304,178524,350297,297251,46717,2512,2512,- -
45,Total Non-Current Assets,13400,6729732,6441710,5971612,4149326,4608062,5594649,5524453,5060155,4141524,3300818,2584953,2479648,1920674,1647584,2047205,1008856
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,45695,11894486,13181440,14394834,10325318,6547165,9445527,8472716,8435395,7368779,6705944,6242914,6966803,6548662,6341386,7257417,4546787
48,Accounts Payable,198693,4149912,5627406,6252043,274869,431899,443814,781675,978401,869968,996431,682916,842411,495194,348291,397343,62021
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1138846,714000,1367862,922457,272374,345000,345000,57722,- -,43306
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,138756,- -,131548,134761,126257,126572,126843,126843,130395,- -
52,Other Current Liabilities,- -,3399186,1135596,1210134,6656667,1979719,2394890,385872,770143,555177,505070,589417,361443,292341,288630,753602,605018
53,Total Current Liabilities,198693,7549098,6763002,7462177,6931536,2411618,2838704,2445149,2462544,2924555,2558719,1670964,1675426,1259378,821486,1281340,710345
54,Long-Term Debt,380000,437686,393805,296788,139535,949817,1106475,1809902,960066,1284440,956979,652500,457500,112500,173399,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,203000,140000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1543963,- -,- -,- -,100026,- -,- -,- -,10,- -,- -,- -,- -,- -,399733,- -
58,Total Non-Current Liabilities,380000,1981649,393805,296788,139535,1049843,1106475,1809902,1163066,1424450,956979,652500,457500,112500,173399,399733,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,376933
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,460408,420239
61,Total Liabilities,578693,9530747,7156807,7758965,7071071,3461461,3945179,4255051,3625610,4349005,3515698,2323464,2132926,1371878,994885,1681073,1087278
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6026,13915,36584,36583,37183,33164,33164,33040,33040,33057,33107,33157,33157,32117,30203,30604,30866
64,Retained Earnings,-573499,-4634412,-12410928,-12226474,-17131888,-17542930,-16070005,-15665509,-15115998,-16939090,-16805343,-16110135,-15229705,-14752077,-14440541,-14272897,- -
65,Other Comprehensive Income/Loss,- -,-88717,-272788,-361577,-383059,-518751,-668260,-961189,-1255160,-1249362,-1711543,-2116676,-2622066,-3158664,-3630731,-3676488,- -
66,Other Total Stockholders Equity,34475,7072953,18671765,19187337,19982163,20151412,20319694,20811323,21147903,21175169,21674025,22113104,22652491,23055408,23387570,23495125,3876866
67,Total Stockholders Equity,-532998,2363739,6024633,6635869,2504399,2122895,3614593,4217665,4809785,3019774,3190246,3919450,4833877,5176784,5346501,5576344,3907732
68,Total Liabilities And Stockholders Equity,45695,11894486,13181440,14394834,9575470,5584356,7559772,8472716,8435395,7368779,6705944,6242914,6966803,6548662,6341386,7257417,4995010
69,Minority Interest,- -,- -,- -,- -,749848,962809,1885755,- -,- -,- -,- -,- -,- -,- -,- -,- -,-448223
70,Total Liabilities & Equity,45695,11894486,13181440,14394834,10325318,6547165,9445527,8472716,8435395,7368779,6705944,6242914,6966803,6548662,6341386,7257417,4546787
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1128281/000114420412017304/0001144204-12-017304-index.html,https://www.sec.gov/Archives/edgar/data/1128281/000114420413018879/0001144204-13-018879-index.html,https://www.sec.gov/Archives/edgar/data/1128281/000114420414022390/0001144204-14-022390-index.htm,https://www.sec.gov/Archives/edgar/data/1128281/000114420415019851/0001144204-15-019851-index.htm,https://www.sec.gov/Archives/edgar/data/1128281/000114420416093620/0001144204-16-093620-index.htm,https://www.sec.gov/Archives/edgar/data/1128281/000114420417018007/0001144204-17-018007-index.html,https://www.sec.gov/Archives/edgar/data/1128281/000143774918006049/0001437749-18-006049-index.html,https://www.sec.gov/Archives/edgar/data/1128281/000143774919006042/0001437749-19-006042-index.html,https://www.sec.gov/Archives/edgar/data/1128281/000143774920006515/0001437749-20-006515-index.htm,https://www.sec.gov/Archives/edgar/data/1128281/000143774921007824/0001437749-21-007824-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-573499,-1914297,-3336759,184454,-4905422,-411042,1472925,404496,549511,-1823092,133747,695208,880430,477628,311536,667644,-1748928
74,Depreciation and Amortization,200,466321,1358320,415427,345131,147506,189102,358044,397702,487764,626919,568821,505390,536598,472067,124264,119039
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,476000
76,Stock Based Compensation,- -,- -,- -,- -,- -,268435,18773,13087,42609,33064,36675,33946,33997,33997,33997,33997,74659
77,Change in Working Capital,151789,-2217946,2361072,984317,-1716589,283029,1484689,-509060,409582,-609996,543707,1140590,824732,556881,503706,56556,-1101286
78,Accounts Receivable,- -,- -,- -,- -,- -,-28322,-550333,-172470,-226509,261116,-423203,-471113,1046548,-364257,240586,-106267,205730
79,Inventory,- -,-3680,-2159,-133553,-77566,-47381,69994,-77224,-16063,156789,39174,-21524,26405,-50024,-7736,-10339,17585
80,Accounts Payable,- -,- -,- -,- -,- -,-487772,11915,337861,196726,-184129,126463,-313515,159495,-347217,-146903,49052,-335322
81,Other Working Capital,-166398,-2384344,-23272,961045,-755544,-472515,1012174,503114,912696,302700,846407,1986997,2811729,3368610,3872316,3928872,2827586
82,Other Non-Cash Items,69227,2711355,-2270427,-100643,4155153,-876165,-1036928,884740,-69471,2504188,-185007,-1448020,2,-1551781,-465048,241401,590069
83,Cash Provided by Operating Activities,-352283,-954567,-1887794,1483555,-2121727,-588237,2128561,1151307,1329933,591928,1156041,990545,2244551,53323,856258,1123862,-1590447
84,CAPEX,- -,-87652,-207554,-318797,-217730,-472347,-1018820,-1082184,-357876,-759378,-190956,-152375,-74781,-132158,-190182,-174590,-4913
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,94263,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-13600,-4304816,200000,225657,-220943,-905058,123668,65247,101076,-914806,192329,- -,30000,125000,850264,87208,- -
89,Cash Used for Investing Activites,-13600,-4392468,-7554,-93140,-438673,-1377405,-895152,-922674,-256800,-1674184,1373,-152375,-194781,-7158,660082,-87382,-4913
90,Debt Repayment,- -,- -,- -,- -,- -,-106911,-368848,-1475529,-1339708,-1041259,-947866,-404562,-272374,-345000,-361379,-151008,-40169
91,Common Stock Issued,- -,4501821,5025000,- -,- -,- -,- -,- -,- -,17,50,50,- -,- -,- -,- -,16196
92,Common Stock Repurchased,- -,- -,- -,-18375,- -,- -,- -,-11989,- -,- -,- -,- -,- -,-168718,-175816,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-126630,-383909
94,Other Financing Activites,380000,2161547,-3278232,-153758,1632783,1174865,102584,168850,65026,2019495,175000,-550000,- -,- -,135000,- -,304833
95,Cash Used/Provided by Financing Activities,380000,6663368,1746768,-172133,1632783,1067954,-266264,-1318668,-1274682,978253,-772816,-954512,-272374,-513718,-402195,-277638,-103049
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,1316333,-148580,1218282,-927617,-897688,967145,-1090035,-201549,-104003,384598,-116342,1777396,-467553,1114145,758842,- -
98,Cash at the End of Period,14117,1330450,181870,2400152,1472535,574847,1541992,451957,250408,146405,531003,414661,2192057,1724504,2838649,3597491,1899082
99,Cash at the Beginning of Period,- -,14117,330450,1181870,2400152,1472535,574847,1541992,451957,250408,146405,531003,414661,2192057,1724504,2838649,- -
100,Free Cash Flow,-352283,-1042219,-2095348,1164758,-2339457,-1060584,1109741,69123,972057,-167450,965085,838170,2169770,-78835,666076,949272,-1595360
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1128281/000114420412017304/0001144204-12-017304-index.html,https://www.sec.gov/Archives/edgar/data/1128281/000114420413018879/0001144204-13-018879-index.html,https://www.sec.gov/Archives/edgar/data/1128281/000114420414022390/0001144204-14-022390-index.htm,https://www.sec.gov/Archives/edgar/data/1128281/000114420415019851/0001144204-15-019851-index.htm,https://www.sec.gov/Archives/edgar/data/1128281/000114420416093620/0001144204-16-093620-index.htm,https://www.sec.gov/Archives/edgar/data/1128281/000114420417018007/0001144204-17-018007-index.html,https://www.sec.gov/Archives/edgar/data/1128281/000143774918006049/0001437749-18-006049-index.html,https://www.sec.gov/Archives/edgar/data/1128281/000143774919006042/0001437749-19-006042-index.html,https://www.sec.gov/Archives/edgar/data/1128281/000143774920006515/0001437749-20-006515-index.htm,https://www.sec.gov/Archives/edgar/data/1128281/000143774921007824/0001437749-21-007824-index.htm
102,false,,,,,,,,,,,,,,,,,
