,https://roic.ai/company/BEDU,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,432322000,508493000,284043000,389299000,546750000,838858000,873731000,818326000
53,Total Current Liabilities,876834000,1074601000,1011849000,1202074000,1625344000,2512290000,3695043000,4031022000
54,Long-Term Debt,- -,- -,- -,- -,- -,2106000000,3897832000,1753283000
55,Deferred Revenue,1495000,1201000,1202000,- -,- -,- -,1772000,1421000
56,Deferred Tax Liabilities,- -,- -,5924000,5294000,17067000,53689000,57826000,26744000
57,Other Non-Current Liabilities,53850000,56349000,58696000,59806000,12471000,32390000,46455000,13154000
58,Total Non-Current Liabilities,55345000,57550000,65822000,65100000,29538000,2192079000,4003885000,1794602000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,2012626000,1875882000
61,Total Liabilities,932179000,1132151000,1077671000,1267174000,1654882000,4704369000,7698928000,5825624000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,7000,7000,7000,7000,9000,8000,8000,8000
64,Retained Earnings,-58733000,-110684000,-170851000,-15933000,231036000,472339000,632722000,648944000
65,Other Comprehensive Income/Loss,12147000,24020000,47813000,28451000,140715000,143900000,250938000,170855000
66,Other Total Stockholders Equity,30643000,42160000,239760000,1403608000,2469815000,2105189000,1854262000,1727020000
67,Total Stockholders Equity,-15936000,-44497000,116729000,1416133000,2841575000,2721436000,2737930000,2546827000
68,Total Liabilities And Stockholders Equity,916243000,1087654000,1194400000,2683307000,4496457000,7425805000,10436858000,8372451000
69,Minority Interest,-2486000,5542000,44832000,3325000,170024000,361832000,386451000,260049000
70,Total Liabilities & Equity,913757000,1093196000,1239232000,2686632000,4666481000,7787637000,10823309000,8632500000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1696355/000156459017024670/bedu-20f_20170831.htm,https://www.sec.gov/Archives/edgar/data/1696355/000119312518349902/d634443d20f.htm,https://www.sec.gov/Archives/edgar/data/1696355/000110465919075306/a19-23533_120f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-32886000,-40078000,-36374000,172050000,246969000,241099000,161005000,-52805000
74,Depreciation and Amortization,33465000,57107000,72094000,78056000,85879000,130819000,197425000,221739000
75,Deferred Income Tax,- -,-32085000,4769000,975000,6691000,-4549000,-12971000,-44342000
76,Stock Based Compensation,- -,- -,95070000,- -,29061000,51664000,-10631000,1865000
77,Change in Working Capital,51444000,149488000,185726000,207405000,200326000,419396000,-71902000,42305000
78,Accounts Receivable,- -,- -,-2066000,2181000,-424000,1564000,5467000,-37966000
79,Inventory,-2071000,-1607000,-485000,982000,-468000,-14723000,-1345000,-2736000
80,Accounts Payable,-22754000,12949000,-8438000,14550000,-2738000,-3477000,-7876000,997000
81,Other Working Capital,61766000,121968000,175804000,122761000,180523000,312253000,5598000,142133000
82,Other Non-Cash Items,-5399000,455000,39373000,6433000,-14710000,26559000,228301000,530046000
83,Cash Provided by Operating Activities,46624000,134887000,360658000,464919000,554216000,864988000,491227000,698808000
84,CAPEX,-149193000,-134524000,-92687000,-97116000,-117556000,-155204000,-149763000,-158673000
85,Acquisitions Net,- -,- -,-101000,-80875000,-190459000,-2069708000,-12669000,-2915179000
86,Purchases of Investments,- -,- -,-30500000,-966000000,-2087920000,-701776000,-2156550000,-3914580000
87,Sales/Maturities of Investments,- -,- -,- -,1003516000,1922616000,669127000,2390010000,3907207000
88,Other Investing Activites,-162367000,-19857000,62687000,84750000,859000,-153652000,-148224000,-156484000
89,Cash Used for Investing Activites,-170514000,-154381000,32086000,-55725000,-472460000,-2256009000,72567000,-3079036000
90,Debt Repayment,-303687000,-79658000,-387127000,-57675000,- -,-50021000,-60659000,-1308724000
91,Common Stock Issued,- -,- -,- -,1147886000,1151702000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-108938000,-417149000,-56058000,-24628000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-184238000,-92554000
94,Other Financing Activites,405343000,195272000,112586000,71300000,49840000,1946703000,976658000,979372000
95,Cash Used/Provided by Financing Activities,101656000,115614000,-274541000,1161511000,1092604000,1479533000,675703000,-446534000
96,Effect of Forex Changes on Cash,- -,- -,- -,-36494000,93059000,12421000,-80574000,-82012000
97,Net Change In Cash,-22234000,96120000,118203000,1534211000,1267419000,100933000,1158923000,-2908774000
98,Cash at the End of Period,148128000,244248000,362451000,1896662000,3164081000,3265014000,4423937000,1515163000
99,Cash at the Beginning of Period,170362000,148128000,244248000,362451000,1896662000,3164081000,3265014000,4423937000
100,Free Cash Flow,-102569000,363000,267971000,367803000,436660000,709784000,341464000,540135000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1696355/000156459017024670/bedu-20f_20170831.htm,https://www.sec.gov/Archives/edgar/data/1696355/000119312518349902/d634443d20f.htm,https://www.sec.gov/Archives/edgar/data/1696355/000110465919075306/a19-23533_120f.htm,- -,- -
102,Forex Rate,0.1628,0.1568,0.1497,0.1517,0.1463,0.1397,0.146,0.1548
