,https://roic.ai/company/ATNM,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,76993,76993,371829,371829,371829,371829,36783,758417,912115,1271936,1615426,2224857,3534691,4975671,12134259,11390621
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1388320/000139813708000022/0001398137-08-000022-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1388320/000107878210000488/0001078782-10-000488-index.html,- -,https://www.sec.gov/Archives/edgar/data/1388320/000107878212001008/0001078782-12-001008-index.htm,https://www.sec.gov/Archives/edgar/data/1388320/000121390013001417/0001213900-13-001417-index.html,https://www.sec.gov/Archives/edgar/data/1388320/000121390014002304/0001213900-14-002304-index.htm,https://www.sec.gov/Archives/edgar/data/1388320/000121390015001800/0001213900-15-001800-index.htm,https://www.sec.gov/Archives/edgar/data/1388320/000121390016011534/0001213900-16-011534-index.html,https://www.sec.gov/Archives/edgar/data/1388320/000121390017002461/0001213900-17-002461-index.html,https://www.sec.gov/Archives/edgar/data/1388320/000121390018003091/0001213900-18-003091-index.html,https://www.sec.gov/Archives/edgar/data/1388320/000121390019004269/0001213900-19-004269-index.html,https://www.sec.gov/Archives/edgar/data/1388320/000121390020011475/f10k2019_actiniumpharma.htm,https://www.sec.gov/Archives/edgar/data/1388320/000121390021019297/0001213900-21-019297-index.htm,https://www.sec.gov/Archives/edgar/data/1388320/000121390022015208/0001213900-22-015208-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,466,6433,2218,2122,150,150,5618669,5533366,6706802,25643273,20519294,17399636,13673308,9253831,63560000,77829000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,11350,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,466,6433,2218,2122,150,150,5618669,5533366,6718152,25643273,20519294,17399636,13673308,9253831,63560000,77829000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,167143,218389,688501,838196,1871184,439322,656297,833807,1365000,1920000
37,Total Current Assets,466,6433,2218,2122,150,150,5785812,5751755,7406653,26481469,22390478,17838958,14329605,10087638,64925000,79749000
38,PP&E,- -,- -,- -,- -,- -,- -,3010,13920,127700,106112,88549,57350,118799,1141583,312000,581000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49859,49859,49859,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,34733,- -,- -,390940,391131,441186,- -,58000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,3010,13920,162433,106112,138408,498149,559789,1582769,312000,639000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,466,6433,2218,2122,150,150,5788822,5765675,7569086,26587581,22528886,18337107,14889394,11670407,65237000,80388000
48,Accounts Payable,3500,- -,12360,13503,13694,6,897044,378955,2283796,1473936,4194874,4625088,5814004,- -,4340000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,140000,157825,283552,265695,- -,- -,249239,745809,427000,307000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,870,3678,13992,16397,22367,26305,3606143,6788440,6924268,2873902,325683,40916,- -,4597824,- -,6533000
53,Total Current Liabilities,4370,3678,26352,29900,36061,26311,4643187,7325220,9491616,4613533,4520557,4666004,6063243,5343633,4767000,6840000
54,Long-Term Debt,14500,35959,49827,68514,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,58707,58168,- -,- -,- -,- -,- -,- -,13354,682311,- -,3000
58,Total Non-Current Liabilities,14500,35959,49827,68514,58707,58168,- -,- -,- -,- -,- -,- -,13354,682311,- -,3000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,311000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13354,1047575,738000,- -
61,Total Liabilities,18870,39637,76179,98414,94768,84479,4643187,7325220,9491616,4613533,4520557,4666004,6076597,6025944,5078000,6843000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,23098,23098,23098,111550,111550,111550,213916,24565,29972,44067,55802,80072,115703,164701,18000,22000
64,Retained Earnings,-193839,-208639,-249396,-271727,-270053,-259764,-55743463,-66517255,-91204764,-112230078,-136551802,-163153037,-186857238,-208757561,- -,-255748000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-55743463,-1560,-39468,-92932,-170454,-215660,-266381,-237417,- -,- -
66,Other Total Stockholders Equity,152337,152337,152337,63885,63885,63885,112418645,64934705,89291730,134252991,154674783,176959728,195820713,214474740,61301000,329271000
67,Total Stockholders Equity,-18404,-33204,-73961,-96292,-94618,-84329,1145635,-1559545,-1922530,21974048,18008329,13671103,8812797,5644463,61319000,73545000
68,Total Liabilities And Stockholders Equity,466,6433,2218,2122,150,150,5788822,5765675,7569086,26587581,22528886,18337107,14889394,11670407,66397000,80388000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1160000,- -
70,Total Liabilities & Equity,466,6433,2218,2122,150,150,5788822,5765675,7569086,26587581,22528886,18337107,14889394,11670407,65237000,80388000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1388320/000139813708000022/0001398137-08-000022-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1388320/000107878210000488/0001078782-10-000488-index.html,- -,https://www.sec.gov/Archives/edgar/data/1388320/000107878212001008/0001078782-12-001008-index.htm,https://www.sec.gov/Archives/edgar/data/1388320/000121390013001417/0001213900-13-001417-index.html,https://www.sec.gov/Archives/edgar/data/1388320/000121390014002304/0001213900-14-002304-index.htm,https://www.sec.gov/Archives/edgar/data/1388320/000121390015001800/0001213900-15-001800-index.htm,https://www.sec.gov/Archives/edgar/data/1388320/000121390016011534/0001213900-16-011534-index.html,https://www.sec.gov/Archives/edgar/data/1388320/000121390017002461/0001213900-17-002461-index.html,https://www.sec.gov/Archives/edgar/data/1388320/000121390018003091/0001213900-18-003091-index.html,https://www.sec.gov/Archives/edgar/data/1388320/000121390019004269/0001213900-19-004269-index.html,https://www.sec.gov/Archives/edgar/data/1388320/000121390020011475/f10k2019_actiniumpharma.htm,https://www.sec.gov/Archives/edgar/data/1388320/000121390021019297/0001213900-21-019297-index.htm,https://www.sec.gov/Archives/edgar/data/1388320/000121390022015208/0001213900-22-015208-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-18404,-14800,-31243,-22331,1674,10289,-8361205,-10773792,-24687509,-21025314,-24321724,-26601235,-23653963,-21899054,-22215000,-24774000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,581,1560,37908,53465,77523,55938,50721,420089,447000,524000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,2223926,657812,6280629,7061622,4297778,3493731,1798655,1294707,1254000,1694000
77,Change in Working Capital,4370,6659,-26889,-3644,-8133,9750,1168786,-2716090,-511498,23952899,-3998015,-4696967,-4906592,-3522357,55413995,12751000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3500,-3500,10003,1143,191,-13688,334263,-518089,1874841,-793949,2720938,405214,- -,- -,- -,1195000
81,Other Working Capital,-3904,2755,-24134,-27778,-35911,-26161,1142625,-1573465,-2084963,21867936,17869921,13172954,8266362,4744005,60158000,72909000
82,Other Non-Cash Items,- -,-7351,44168,7192,14294,-19500,-244798,6538094,4531716,-28586440,3155201,6195187,6140123,2245166,-56516995,-11061000
83,Cash Provided by Operating Activities,-14034,-15492,-13964,-18783,7835,539,-5212710,-6292416,-14348754,-18543768,-20789237,-21553346,-20571056,-21461449,-21617000,-20866000
84,CAPEX,- -,- -,- -,- -,- -,- -,-2359,-16592,-151688,-47788,-59960,-24739,-96092,-63893,-253000,-133000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49859,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-34733,- -,- -,-356207,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-2359,-16592,-186421,-47788,-109819,-380946,-96092,-63893,-253000,-133000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-140000,-161841,-283552,-265695,- -,- -,-321935,-79000,-85000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,5129940,2883257,15435305,37637959,16022667,18814634,16976237,15932251,76589000,35300000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -
94,Other Financing Activites,14500,21459,13868,18687,-9807,-539,- -,3480448,435147,173620,18105,- -,4849,1503762,-335000,6000
95,Cash Used/Provided by Financing Activities,14500,21459,13868,18687,-9807,-539,5129940,6223705,15708611,37528027,15775077,18814634,16981086,17114078,76176000,35221000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,5967,-96,-96,-1972,- -,-85129,-85303,1173436,18936471,-5123979,-3119658,-3686062,-4411264,54306000,14222000
98,Cash at the End of Period,466,6433,2218,2122,150,150,5618669,5533366,6706802,25643273,20519294,17399636,14104514,9693250,63999000,78221000
99,Cash at the Beginning of Period,- -,466,2314,2218,2122,150,5703798,5618669,5533366,6706802,25643273,20519294,17790576,14104514,9693000,63999000
100,Free Cash Flow,-14034,-15492,-13964,-18783,7835,539,-5215069,-6309008,-14500442,-18591556,-20849197,-21578085,-20667148,-21525342,-21870000,-20999000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1388320/000139813708000022/0001398137-08-000022-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1388320/000107878210000488/0001078782-10-000488-index.html,- -,https://www.sec.gov/Archives/edgar/data/1388320/000107878212001008/0001078782-12-001008-index.htm,https://www.sec.gov/Archives/edgar/data/1388320/000121390013001417/0001213900-13-001417-index.html,https://www.sec.gov/Archives/edgar/data/1388320/000121390014002304/0001213900-14-002304-index.htm,https://www.sec.gov/Archives/edgar/data/1388320/000121390015001800/0001213900-15-001800-index.htm,https://www.sec.gov/Archives/edgar/data/1388320/000121390016011534/0001213900-16-011534-index.html,https://www.sec.gov/Archives/edgar/data/1388320/000121390017002461/0001213900-17-002461-index.html,https://www.sec.gov/Archives/edgar/data/1388320/000121390018003091/0001213900-18-003091-index.html,https://www.sec.gov/Archives/edgar/data/1388320/000121390019004269/0001213900-19-004269-index.html,https://www.sec.gov/Archives/edgar/data/1388320/000121390020011475/f10k2019_actiniumpharma.htm,https://www.sec.gov/Archives/edgar/data/1388320/000121390021019297/0001213900-21-019297-index.htm,https://www.sec.gov/Archives/edgar/data/1388320/000121390022015208/0001213900-22-015208-index.htm
102,false,,,,,,,,,,,,,,,,
