,https://roic.ai/company/OMQS,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,-34199.0000,-0.2193,0.1405,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-15.7766,-3.3106,-2.6682,-8.3017,-152.5513,-243.9034,-0.0042,-0.0303,-0.0198,-0.0161,-0.0538,-0.0501,-0.1627,-0.1339
19,Total Other Income Expenses (Gains),- -,- -,15400,21500,71951,- -,-1787,-10680,-2810698,81139,-11971930,-424818,3917,-980,-128841,-840065,-1567345,-5235614,-1552682,-2703413,-2578000,-2516000,-2508000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-135983,-298346,-8952896,-719413,-12883736,- -,- -,-191364,-1121284,-997768,-3500604,-6424918,-2431175,-5727183,-5442000,-11499000,-12988000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-14.1776,-46.7778,- -,- -,-153.3365,-275.5675,-0.0267,-0.0548,-0.1070,-0.0446,-0.1019,-0.0951,-0.2083,-0.1660
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,-1299417,-1785524,1068352,- -,-505138,14000,5000,-156000
23,Net Income,- -,-103800,-109300,-32800,-1431870,-2743938,-135983,-298346,-8952895,-719413,-12883736,-923476,-301445,-191364,-1121284,301649,-1715080,-14345145,-2431175,-5222045,-5456000,-11504000,-13439000
24,Net Income ratio,- -,-103800.0000,-0.4281,-0.3051,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-14.1776,-46.7778,-5.2344,-8.1952,-153.3365,-275.5675,0.0081,-0.0269,-0.2389,-0.0446,-0.0929,-0.0954,-0.2084,-0.1717
25,EPS,- -,-74.20,-78.13,-23.45,-1.00,-23.25,-31.00,-20.00,-392.00,-0.80,-11.40,-0.80,-0.20,-0.16,-0.80,0.20,-1.00,-8.17,-1.20,-2.20,-1.37,-2.46,-3.11
26,EPS Diluted,- -,-74.20,-78.13,-23.45,-1.00,-23.25,-31.00,-20.00,-392.00,-0.80,-11.40,-0.80,-0.20,-0.16,-0.80,0.20,-1.00,-8.17,-1.20,-2.20,-1.37,-2.66,-3.11
27,Weighted Average Shares Outstanding,- -,1399,1399,1399,1399,118007,4394,14246,22951,1003561,1139002,1140252,1186385,1209719,1319802,1679818,1809753,1754788,1790737,2481529,3889478,4322303,4322303
28,Weighted Average Shares Outstanding Diluted,- -,1399,1399,1399,1399,118007,4394,14246,22951,1003561,1139002,1140252,1186385,1209719,1319802,2273871,1809753,1754788,1790737,2481529,3889478,4322303,4322303
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/278165/000139390512000173/0001393905-12-000173-index.htm,- -,https://www.sec.gov/Archives/edgar/data/278165/000139390514000168/0001393905-14-000168-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315215005126/0001493152-15-005126-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315216009032/0001493152-16-009032-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315217004028/0001493152-17-004028-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315218006368/0001493152-18-006368-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315219008751/0001493152-19-008751-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315220005303/0001493152-20-005303-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315221007489/0001493152-21-007489-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315222008493/0001493152-22-008493-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,-48040,- -,- -,25215,- -,1300,570,372,16,55,13302,233741,842715,289480,24634,377892,1615000,4594000,7085000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,-48040,- -,- -,25215,- -,1300,570,372,16,55,13302,233741,842715,289480,24634,377892,1615000,4594000,7085000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,8228,3693,399423,79456,17871,- -,- -,103554,9099229,11409258,10589677,6387734,12261628,6694000,9661000,27123000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,606231,2731612,531593,439720,1803523,1889000,1507000,6955000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,999,500100,30559,- -,- -,- -,950,76032,568558,1978761,1711112,1287637,247235,427000,680000,1996000
37,Total Current Assets,- -,- -,- -,- -,-48040,- -,- -,34442,503793,431282,80026,18243,16,1005,192888,10507759,16962346,13121862,8139725,14690278,10625000,16442000,43159000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,11790266,1807770,173145,- -,- -,- -,- -,- -,- -,- -,- -,594000,365000,4683000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14101306,21252024,10114164,10114164,13920508,13921000,14695000,16453000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,2596,- -,- -,- -,- -,- -,- -,2212400,7556870,11082083,9372133,7670419,10586029,8608000,6549000,865000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,2596,- -,- -,- -,- -,- -,- -,2212400,21658176,32334107,19486297,17784583,24506537,22529000,21244000,17318000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140289,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1299417,433997,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,62220,- -,- -,- -,- -,429775,448576,950,950,- -,950,523966,2140007,184398,132315,951656,705000,607000,9921000
45,Total Non-Current Assets,- -,- -,- -,- -,62220,- -,- -,2596,- -,12220041,2396635,174095,950,- -,2213350,23481559,34908111,19670695,17916898,25458193,23828000,22216000,31922000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,14180,- -,- -,37038,503793,12651323,2476661,192338,966,1005,2406238,33989318,51870457,32792557,26056623,40148471,34453000,38658000,75081000
48,Accounts Payable,- -,- -,- -,- -,661972,104434,104281,123276,388156,210402,99664,141664,18215,138655,278010,7406146,19849978,10566066,13239810,17484212,18694000,26811000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142491,6330995,13852954,14842217,7202942,15247726,8941000,11827000,1731000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16077,- -,- -,742976,879026,761194,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,15627,1025949,1088614,738955,746782,109027,307648,414375,247272,302658,119442,1864212,2609895,2157866,1690780,2438523,3155000,3129000,64366000
53,Total Current Liabilities,- -,- -,- -,- -,677599,1130383,1192895,862231,1134938,319429,407312,556039,265487,457390,539943,15601353,37055803,28445175,22894726,35170461,30790000,41767000,66097000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,184629,- -,370456,368904,- -,- -,1975000,17007175,14480245,17645639,3353194,2042267,1395000,732000,5951000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,533874,565423,452024,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29783,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10106,38035,- -,- -,- -,157495,271902,961508,604847,643141,460000,1202000,735000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,184629,- -,380562,406939,- -,- -,1975000,17194453,15286021,19172570,4410065,2685408,1855000,1934000,6686000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134000,79000,- -
61,Total Liabilities,- -,- -,- -,- -,677599,1130383,1192895,862231,1319567,319429,787874,962978,265487,457390,2514943,32795806,52341824,47617745,27304791,37855869,32645000,43701000,72783000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500,500,500,3500,500,5200,3144,4829,4829,5000,2000,- -
63,Common Stock,- -,- -,- -,- -,300717,52716,99,8048,9447,30613,33321,33346,25524,24124,34935,35029,36871,35095,36828,71933,4000,5000,20000
64,Retained Earnings,- -,- -,- -,- -,-5955300,-4175808,-4311791,-4414090,-13366985,-13013897,-25897632,-28731309,-15731157,-15922521,-17043805,-16742156,-18457236,-32935199,-35554994,-39752433,-45063000,-56726000,-70571000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1431870,- -,- -,- -,- -,- -,- -,-24469,- -,- -,- -,-1781086,-1962497,-3224023,-3285245,-2036713,1000,-166000,-154000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,2992709,3118797,3580849,12541764,25315178,27553098,27951292,15440612,15441512,16896665,19681225,19906295,21295795,37550414,44004986,46861000,51842000,70607000
67,Total Stockholders Equity,- -,- -,- -,- -,-663419,-1130383,-1192895,-825193,-815774,12331894,1688787,-770640,-264521,-456385,-108705,1193512,-471367,-14825188,-1248168,2292602,1808000,-5043000,-98000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,14180,- -,- -,37038,503793,12651323,2476661,192338,966,1005,2406238,33989318,51870457,32792557,26056623,40148471,34453000,38658000,72685000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2396000
70,Total Liabilities & Equity,- -,- -,- -,- -,14180,- -,- -,37038,503793,12651323,2476661,192338,966,1005,2406238,33989318,51870457,32792557,26056623,40148471,34453000,38658000,75081000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/278165/000139390512000173/0001393905-12-000173-index.htm,- -,https://www.sec.gov/Archives/edgar/data/278165/000139390514000168/0001393905-14-000168-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315215005126/0001493152-15-005126-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315216009032/0001493152-16-009032-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315217004028/0001493152-17-004028-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315218006368/0001493152-18-006368-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315219008751/0001493152-19-008751-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315220005303/0001493152-20-005303-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315221007489/0001493152-21-007489-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315222008493/0001493152-22-008493-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-103800,-109300,-32800,-1431870,-2743938,-135983,-298346,-8952895,-719413,-12883736,-923476,-301445,-191364,-1121284,301649,-1715080,-14345145,-2431175,-5222045,-5456000,-11504000,-13144000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,2826,73810,44175,32394,29143,1220,- -,- -,25598,2703308,1792326,1762937,1841363,2247000,2347000,3411000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1299417,-1785524,769633,- -,-552489,- -,- -,58000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500368,44100,261828,374451,750745,2387397,1267000,2012000,2552000
77,Change in Working Capital,- -,68900,- -,- -,1529061,-404744,-62512,365106,196644,742998,-439139,-210510,272325,-190914,109330,-4746539,-14999863,4770144,568312,-5725182,315183,-5160000,2387000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57269,5272,12416,- -,-1559,-2789824,-146527,-2686339,4201943,-5853450,5568000,-2953000,-3291000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,373061,-538109,-60114,-25653,-428730,-178000,381000,-538000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58561,31840,-277625,-1517,- -,- -,- -,- -,2673744,8114282,2011000,8062000,47000
81,Other Working Capital,- -,- -,- -,- -,-725639,-1130383,-1192895,-827789,-631145,111853,-327286,-537796,-265471,-456385,-347055,-5093594,-20093457,-15323313,-14755001,-20480183,-20165000,-25325000,-22938000
82,Other Non-Cash Items,- -,- -,102100,28600,-872231,2675674,103300,-334503,8205498,-141484,13028004,679623,27544,383817,502638,6293370,22593085,12291270,6839485,9966513,5881817,11885000,1561000
83,Cash Provided by Operating Activities,- -,-34900,-7200,-4200,-775040,-473008,-95195,-264917,-476943,-73724,-262477,-425220,-356,1539,-8948,618761,7057754,5652679,7490304,2695557,4255000,-420000,-3175000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-5422,- -,- -,-13788,- -,- -,- -,- -,-182641,- -,-17314,-17191,-28848,-134000,-4000,-299000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98053,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-82502,- -,- -,- -,365207,- -,- -,-88810,2333362,-1117134,602222,-19390,180185,-117000,98000,-8936000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,-87924,- -,- -,-111841,365207,- -,- -,-88810,2333362,-1117134,584908,-36581,151337,-251000,94000,-9235000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-964,- -,- -,- -,-12500,-4658529,-7133325,-3610222,-7745775,-3819111,-6538000,-1023000,151000
91,Common Stock Issued,- -,- -,- -,- -,727000,453100,- -,200000,12500,12000,- -,- -,- -,- -,- -,25000,200000,20058,27206,11212,3770000,- -,13297000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1500,- -,- -,-342000,-750000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-306000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,95195,178056,439229,63024,374552,59813,- -,- -,123505,1901845,1943679,2163740,1,1252800,1000,4448000,1331000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,727000,453100,95195,378056,451729,75024,373588,59813,- -,-1500,111005,-2731684,-5331646,-2176424,-7718568,-2555099,-2767000,3425000,14473000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61463,- -,-120000,-105000
97,Net Change In Cash,- -,-34900,-7200,-4200,727000,- -,- -,- -,- -,- -,-730,-199,-356,39,13247,220439,608974,-533911,-264846,353258,1237000,2979000,2491000
98,Cash at the End of Period,- -,15800,8600,4400,-48040,-19908,- -,25215,- -,1300,570,372,16,55,13302,233741,842715,289480,24634,377892,1615000,4594000,7085000
99,Cash at the Beginning of Period,- -,50700,15800,8600,- -,- -,- -,- -,25215,- -,1300,571,372,16,55,13302,233741,823391,289480,24634,378000,1615000,4594000
100,Free Cash Flow,- -,-34900,-7200,-4200,-775040,-473008,-95195,-270339,-476943,-73724,-276265,-425220,-356,1539,-8948,436120,7057754,5635365,7473113,2666709,4121000,-424000,-3474000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/278165/000139390512000173/0001393905-12-000173-index.htm,- -,https://www.sec.gov/Archives/edgar/data/278165/000139390514000168/0001393905-14-000168-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315215005126/0001493152-15-005126-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315216009032/0001493152-16-009032-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315217004028/0001493152-17-004028-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315218006368/0001493152-18-006368-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315219008751/0001493152-19-008751-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315220005303/0001493152-20-005303-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315221007489/0001493152-21-007489-index.htm,https://www.sec.gov/Archives/edgar/data/278165/000149315222008493/0001493152-22-008493-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
