,https://roic.ai/company/MRUS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,770527,604358,475587,393336,374307,2796843,2876000,2843000,2347000
41,Intangible Assets,839857,770527,604358,475587,393336,374307,2796843,2876000,2843000,2347000
42,Investments,- -,- -,- -,- -,- -,8469899,19383436,2009000,- -,20297000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,288000,410000,417000
44,Other Non-Current Assets,-0,- -,-0,238340,175634,154762,1229696,1905000,1949000,2078000
45,Total Non-Current Assets,1529110,1306305,1033611,1069250,1250473,10400221,26178220,16008000,13224000,32421000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10621006,17155956,4304684,38805676,76047495,236105046,249964539,263376000,231217000,456600000
48,Accounts Payable,321561,1322876,2929374,2644699,2416810,3425151,4368566,3029000,3126000,13237000
49,Short-Term Debt,225228,230606,203074,182582,175634,- -,- -,- -,1432000,1494000
50,Tax Payable,141107,161562,159298,155249,30499,291528,292839,- -,206000,- -
51,Deferred Revenue,- -,2185921,1556496,1658540,1928821,8661852,19418897,18842000,20179000,34661000
52,Other Current Liabilities,1436848,1705377,2405273,2419478,3633629,10372628,9354839,14916000,22009000,22506000
53,Total Current Liabilities,1983637,5444779,7094217,6905298,8154895,22459630,33142302,36787000,46746000,71898000
54,Long-Term Debt,1337802,1130934,792840,531345,335493,- -,- -,- -,2521000,2257000
55,Deferred Revenue,- -,- -,745416,426388,31767700,156195264,111730725,91417000,79687000,66244000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-0,- -,- -,3872000,- -,- -
58,Total Non-Current Liabilities,1337802,1130934,1538256,957733,32103193,156195264,111730725,95289000,82208000,68501000
59,Other Liabilities,- -,- -,- -,- -,64206386,312390527,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,5252000,3953000,3751000
61,Total Liabilities,3321439,6575713,8632472,7863031,40258088,178654894,144873027,132076000,128954000,140399000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,215731,332790,342916,847309,1522864,2098280,2404484,2918000,3211000,4481000
64,Retained Earnings,-18702088,-32464304,-49570748,-69295695,-112842329,-200926170,-200280256,-314599000,-400112000,-466928000
65,Other Comprehensive Income/Loss,-966039,-1263498,-1346126,-1333829,-1458710,-607049,-1203386,-2088000,9071000,-9221000
66,Other Total Stockholders Equity,26751964,43975255,46246170,100724860,148568634,256885092,304170670,445069000,490093000,- -
67,Total Stockholders Equity,7299567,10580242,-4327788,30942645,35790459,57450152,105091512,131300000,102263000,316201000
68,Total Liabilities And Stockholders Equity,10621006,17155956,4304684,38805676,76048547,236105046,249964539,263376000,231217000,456600000
69,Minority Interest,- -,- -,0,- -,-1052,- -,0,- -,- -,- -
70,Total Liabilities & Equity,10621006,17155956,4304684,38805676,76047495,236105046,249964539,263376000,231217000,456600000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651311/000119312520126288/0001193125-20-126288-index.htm,https://www.sec.gov/Archives/edgar/data/1651311/000156459021013584/0001564590-21-013584-index.htm,https://www.sec.gov/Archives/edgar/data/1651311/000156459022007622/0001564590-22-007622-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,-13681681,-21169561,-25347124,-49669766,-87685054,-27761382,-55151000,-85513000,-66816000
74,Depreciation and Amortization,- -,364550,307651,211007,246098,381505,729810,1138000,1444000,1485000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-89000,-122000,-7000
76,Stock Based Compensation,- -,251319,188482,619902,3477977,15374187,9065431,7834000,9372000,17091000
77,Change in Working Capital,- -,3523986,-14228015,34654272,35810998,136603068,-12601178,19936983,-39334000,15873000
78,Accounts Receivable,- -,99423,-47424,-892135,-1435573,-2203853,-2946694,633000,1149000,-4991000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,995609,1764434,10933,-127256,605850,706932,22000,-110000,10715000
81,Other Working Capital,- -,10404872,-3823143,30831129,66642127,203245195,190644017,210581000,171247000,9114000
82,Other Non-Cash Items,- -,-73186,17163469,-35317906,-16928747,-109558175,-15759609,-36716983,34252000,-27253000
83,Cash Provided by Operating Activities,- -,-9615013,-17737974,-25179848,-27063439,-44884469,-46326927,-63048000,-79901000,-59627000
84,CAPEX,- -,-114612,-190914,-112610,-521644,-868585,-4206131,-2598000,-1287000,-870000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-50183554,-86856555,-60413000,-66845000,-215839000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,67389613,87183000,66646000,70086000
88,Other Investing Activites,- -,121517,86337,54665,92550,1114524,-967742,-375000,- -,- -
89,Cash Used for Investing Activites,- -,6904,-104577,-57945,-429094,-49937615,-22210021,24172000,-1486000,-146623000
90,Debt Repayment,- -,-230606,-203074,-181488,-175634,-583055,- -,- -,- -,- -
91,Common Stock Issued,- -,16582894,7337419,50814510,53160363,89663363,58010753,74184000,38072000,265107000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-0,8806551,-188255,134330686,1002059,48000,1448000,16848000
95,Cash Used/Provided by Financing Activities,- -,16352288,7134345,59439573,52796475,223410994,59012812,74232000,39520000,281955000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,6310,-17303309,2739648,-2273000,7337000,2761000
97,Net Change In Cash,- -,6744180,-10708206,34201780,25310252,111285601,-6784489,33083000,-34530000,78466000
98,Cash at the End of Period,- -,14702146,2238679,35916078,59859703,179569067,164432624,197813000,163283000,241749000
99,Cash at the Beginning of Period,- -,7957966,12946885,1714298,34549451,68283466,171217113,164730000,197813000,163283000
100,Free Cash Flow,- -,-9729625,-17928888,-25292458,-27585083,-45753053,-50533059,-65646000,-81188000,-60497000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651311/000119312520126288/0001193125-20-126288-index.htm,https://www.sec.gov/Archives/edgar/data/1651311/000156459021013584/0001564590-21-013584-index.htm,https://www.sec.gov/Archives/edgar/data/1651311/000156459022007622/0001564590-22-007622-index.htm
102,false,,,,,,,,,,
