,https://roic.ai/company/GNUS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.1744,-0.2278,-0.3147,-2.7830,-4.0275,-3.8361,-7.1673,-0.9200,-9.0632,-1.9434,-161.8248,-16.0507
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-76000
23,Net Income,-692883,-1366893,-2067609,-7216031,-3728599,-3483122,-6213135,-4908736,-9003901,-11481245,-401669805,-126291000
24,Net Income ratio,-0.1744,-0.2269,-0.3147,-2.8226,-4.0275,-3.8361,-7.1673,-0.9200,-9.0632,-1.9434,-161.8248,-16.0410
25,EPS,-3.00,-6.00,-9.00,-15.30,-1.80,-1.62,-1.59,-0.81,-1.07,-1.25,-2.82,-0.89
26,EPS Diluted,-3.00,-6.00,-9.00,-15.30,-1.80,-1.62,-1.59,-0.81,-1.07,-1.25,-2.82,-0.89
27,Weighted Average Shares Outstanding,182524,196412,229761,471209,2084830,2500850,3915178,6084732,8758694,11906578,142452393,142452393
28,Weighted Average Shares Outstanding Diluted,182524,196412,229761,471209,2084830,2500850,3915178,6084732,8758694,11906578,142452393,142452393
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1355848/000101968712001032/0001019687-12-001032-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000101968713001159/0001019687-13-001159-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000101968714001409/gnus_10k-123113.htm,https://www.sec.gov/Archives/edgar/data/1355848/000101968715001223/gnus_10k-123114.htm,https://www.sec.gov/Archives/edgar/data/1355848/000101968716005679/0001019687-16-005679-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000168316817000744/0001683168-17-000744-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000168316818000874/0001683168-18-000874-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000168316819000917/0001683168-19-000917-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000168316820001032/0001683168-20-001032-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000168316821001169/0001683168-21-001169-index.htm,https://www.sec.gov/Archives/edgar/data/1355848/000168316822002385/0001683168-22-002385-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,207880,405341,447548,527110,4301099,5187620,1887921,6929399,2684483,305121,100456,2058
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301,112523
33,Cash and Short-Term Investments,207880,405341,447548,527110,4301099,5187620,1887921,6929399,2684483,305121,100757,114581
34,Net Receivables,1077685,1021039,1084233,893826,208486,171867,122910,3054447,2181198,4101679,1731,7632
35,Inventory,247505,340782,326072,224351,11691,7080,6562,17589,15816,9277,- -,- -
36,Other Current Assets,55376,168486,139983,582056,217622,65464,1359395,833491,698085,230172,6078,13972
37,Total Current Assets,1588446,1935648,1997836,2227343,4738898,5432031,3376788,10834926,5579582,4646249,108566,136185
38,PP&E,35168,32894,23736,78748,32420,150948,90461,94666,75634,4074712,96,3234
39,Goodwill,- -,- -,- -,10365805,10365805,10365805,10365805,10365805,10365806,10365806,10366,15227
40,Intangible Assets,547611,405019,356070,1865706,2187891,2921752,1845650,4633368,8256119,9958468,29,9733
41,Intangible Assets,547611,405019,356070,12231511,12553696,13287557,12211455,14999173,18621925,20324274,10395,24960
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300798,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,128523,278696,438379,54575,- -,- -,2260964,1783827,325000,368001,-1300798,9704
45,Total Non-Current Assets,711302,716609,818185,12364834,12586116,13438505,14562880,16877666,19022559,24766987,10490,37898
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2299748,2652257,2816021,14592177,17325014,18870536,17939668,27712592,24602141,29413236,119056,174083
48,Accounts Payable,948428,1008460,971097,1814919,1237728,1284433,1573638,1378201,694740,946450,786,7192
49,Short-Term Debt,- -,- -,- -,- -,411008,- -,- -,- -,1831847,2972699,512366,692
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,110177,- -,242160,305850,410662,453927,874503,664887,684,432
52,Other Current Liabilities,303339,621252,1017246,1281156,333870,1016397,1871892,1886519,1206829,3712349,-506657,12815
53,Total Current Liabilities,1251767,1629712,2098520,3096075,2224766,2606680,3856192,3718647,4607919,8296385,7179,21131
54,Long-Term Debt,2339197,2143178,962744,- -,- -,- -,1332004,4322643,2178198,3091739,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,640417,652689,2695946,4631456,4051253,4444066,- -,3492
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,739583,1489583,- -,- -,925000,4494345,- -,4807
58,Total Non-Current Liabilities,2339197,2143178,962744,- -,1380000,2142272,4027950,8954099,7154451,12030150,- -,8299
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7825,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,4168092,2198629,- -
61,Total Liabilities,3590964,3772890,3061264,3096075,3604766,4748952,7884142,12672746,11762370,20326535,15004,29430
62,Preferred Stock,- -,- -,- -,- -,6,6,5,4,2,1,- -,- -
63,Common Stock,55117,60699,71913,5919,6375,11260,4011,7611,9458,21878,258,303
64,Retained Earnings,-6768156,-8135049,-10208024,-17424055,-21152654,-27735776,-36642761,-41551497,-50702486,-66047135,- -,-595848
65,Other Comprehensive Income/Loss,-41818,-54367,-65423,-81645,-132129,-90887,-2758,-5118,-5118,-5118,-5118,-1221
66,Other Total Stockholders Equity,5463641,7013450,9956291,28995883,34998650,41936981,46697029,56588846,63537915,75117076,119201537,739495
67,Total Stockholders Equity,-1291216,-1115267,-245243,11496102,13720248,14121584,10055526,15039846,12839771,9086702,119196677,142729
68,Total Liabilities And Stockholders Equity,2299748,2657623,2816021,14592177,17325014,18870536,17939668,27712592,24602141,29413237,119211681,172159
69,Minority Interest,- -,-5366,- -,- -,- -,- -,- -,- -,- -,-1,-119092625,1924
70,Total Liabilities & Equity,2299748,2652257,2816021,14592177,17325014,18870536,17939668,27712592,24602141,29413236,119056,174083
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1355848/000101968712001032/0001019687-12-001032-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000101968713001159/0001019687-13-001159-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000101968714001409/gnus_10k-123113.htm,https://www.sec.gov/Archives/edgar/data/1355848/000101968715001223/gnus_10k-123114.htm,https://www.sec.gov/Archives/edgar/data/1355848/000101968716005679/0001019687-16-005679-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000168316817000744/0001683168-17-000744-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000168316818000874/0001683168-18-000874-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000168316819000917/0001683168-19-000917-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000168316820001032/0001683168-20-001032-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000168316821001169/0001683168-21-001169-index.htm,https://www.sec.gov/Archives/edgar/data/1355848/000168316822002385/0001683168-22-002385-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-692883,-1366893,-2067609,-7216031,-3728599,-3483122,-6213135,-4908736,-9003901,-11481245,-401669805,-126291000
74,Depreciation and Amortization,694698,208859,149823,160654,109753,261463,310475,2660753,1168032,2571096,980,20137000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,117610,432422,264122,316685,- -,31919,1581797,663958,-16588,184259,8929,16451000
77,Change in Working Capital,98826,-30743,-406620,-768048,3382864,311219,-3304755,7595683,-6144616,-4621799,3751523,13667
78,Accounts Receivable,-273279,56646,-63194,279804,603288,65317,294792,-4527354,2418706,-1941383,2329,228000
79,Inventory,-90007,-93277,14710,101721,37697,4611,518,-11027,1773,6539,9,- -
80,Accounts Payable,333927,69722,38917,-354498,-492173,-946,289205,-266645,241537,250487,-388814,-169000
81,Other Working Capital,336679,305936,-100684,-868732,2514132,2825351,-479404,7116279,971663,-3650136,101387,115054
82,Other Non-Cash Items,-66286,429752,1124961,6386423,-2246006,-518060,3909341,-13198528,5989063,7096539,397900528,65946333
83,Cash Provided by Operating Activities,151965,-326603,-935323,-1120317,-2481988,-3396581,-3716277,-7186870,-8008010,-6251150,-7845,-23743000
84,CAPEX,-261636,-214166,-59637,-70286,-74156,-294207,-11494,-107193,-42985,-26976,-76,-302000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1300798,- -
86,Purchases of Investments,- -,- -,- -,- -,-23830,- -,- -,- -,- -,- -,98584,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186165000
88,Other Investing Activites,-238750,-203890,-57739,215738,-70000,-111221,-5650,-44793,-21358,- -,1200887,-313319000
89,Cash Used for Investing Activites,-261636,-214166,-59637,212913,-97986,-294207,-11494,-107193,-42985,-26976,-1403,-127456000
90,Debt Repayment,-101361,-120000,- -,-307,-105651,-2134,- -,- -,- -,-148905,-209,- -
91,Common Stock Issued,188443,860000,200000,968537,355116,3827782,- -,5699534,1596340,3021552,13750,1008000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-17396,-1770,837167,18736,6104498,751661,1428072,6204680,2041609,625574,95858,59811000
95,Cash Used/Provided by Financing Activities,69686,738230,1037167,986966,6353963,4577309,1428072,11904214,3637949,3498221,109399,60819000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000
97,Net Change In Cash,-39985,197461,42207,79562,3773989,886521,-2299699,4610151,-4413046,-2779905,100151,9959544
98,Cash at the End of Period,207880,405341,447548,527110,4301099,5187620,2887921,7498072,3085026,305121,100456,10060000
99,Cash at the Beginning of Period,247865,207880,405341,447548,527110,4301099,5187620,2887921,7498072,3085026,- -,100456
100,Free Cash Flow,-109671,-540769,-994960,-1190603,-2556144,-3690788,-3727771,-7294063,-8050995,-6278126,-7921,-24045000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1355848/000101968712001032/0001019687-12-001032-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000101968713001159/0001019687-13-001159-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000101968714001409/gnus_10k-123113.htm,https://www.sec.gov/Archives/edgar/data/1355848/000101968715001223/gnus_10k-123114.htm,https://www.sec.gov/Archives/edgar/data/1355848/000101968716005679/0001019687-16-005679-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000168316817000744/0001683168-17-000744-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000168316818000874/0001683168-18-000874-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000168316819000917/0001683168-19-000917-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000168316820001032/0001683168-20-001032-index.html,https://www.sec.gov/Archives/edgar/data/1355848/000168316821001169/0001683168-21-001169-index.htm,https://www.sec.gov/Archives/edgar/data/1355848/000168316822002385/0001683168-22-002385-index.htm
102,false,,,,,,,,,,,,
