,https://roic.ai/company/BEEM,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,12087,6307,1034,64074,468776,257396,392098,1380554,32451,8568,403475,244024,3849456,26702804,21948512
34,Net Receivables,- -,173798,- -,45965,1444974,329516,179459,220883,853675,1161064,5946,1290702,766167,1797045,3827254
35,Inventory,- -,- -,- -,- -,- -,56325,19472,347903,422175,271802,2319500,1130966,1843880,1092763,1610860
36,Other Current Assets,- -,-173798,- -,37524,86441,63181,38255,134778,51787,94167,55674,256071,146053,310819,180194
37,Total Current Assets,12087,6307,1034,147563,2000191,706418,629284,2084118,1360088,1535601,2784595,2921763,6605556,29903431,27566820
38,PP&E,- -,359098,- -,194203,142136,91276,88865,123565,243961,293041,226112,133235,419420,2653539,2680107
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,36620,73370,75279,131625,205154,293789,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,36620,73370,75279,131625,205154,293789,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,33390,- -,3550,33637,14407,9407,166785,265478,155578,156588,300569,56869,52000,411060
45,Total Non-Current Assets,- -,- -,- -,197753,175773,105683,98272,290350,546059,521989,457979,565429,681443,2999328,3091167
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12087,6307,1034,345316,2175964,812101,727556,2374468,1906147,2057590,3242574,3487192,7286999,32902759,30657987
48,Accounts Payable,2000,200,100,1221905,1622836,630036,458933,567834,834962,873012,486690,1368257,485019,727919,1567069
49,Short-Term Debt,3645,11645,21145,1042853,1949389,1147253,1689975,845904,1638446,1876986,2555042,2862940,572881,521006,467891
50,Tax Payable,- -,- -,- -,36828,42266,38864,36828,96787,152438,50181,46,191,6213,92130,57561
51,Deferred Revenue,- -,3000,- -,- -,- -,80000,- -,717291,213467,75323,77514,835785,93609,107489,135801
52,Other Current Liabilities,- -,-3000,- -,1638348,1085942,1002908,1084522,826238,588897,587695,451970,614361,311328,483697,784249
53,Total Current Liabilities,5645,11845,21245,3903106,4658167,2860197,3233430,2957267,3275772,3413016,3571216,5681343,1462837,1840111,2955010
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,38978,29678,20620,286528,- -,1910357,1607221
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117950
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,38978,29678,20620,286528,- -,1910357,1725171
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349160,2431363,- -
61,Total Liabilities,5645,11845,21245,3903106,4658167,2860197,3233430,2957267,3314750,3442694,3591836,5967871,1462837,3750468,4680181
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5000,9000,9000,42871,49406,58098,71703,98483,105208,120105,141836,145331,5207,8482,8972
64,Retained Earnings,-13558,-41538,-56211,-19792967,-22340460,-24822188,-27616098,-30762400,-32601933,-35235449,-38276879,-41875659,-45809581,-51022606,-57618645
65,Other Comprehensive Income/Loss,- -,-67561,- -,-187257,-252283,-312711,-357070,-398267,-557781,-216403,-307227,-346364,-409407,-462170,- -
66,Other Total Stockholders Equity,15000,94561,27000,16379563,20061134,23028705,25395591,30479385,31645903,33946643,38093008,39596013,52037943,80628585,83587479
67,Total Stockholders Equity,6442,-5538,-20211,-3557790,-2482203,-2048096,-2505874,-582799,-1408603,-1385104,-349262,-2480679,5824162,29152291,25977806
68,Total Liabilities And Stockholders Equity,12087,6307,1034,345316,2175964,812101,727556,2374468,1906147,2057590,3242574,3487192,7286999,32902759,30657987
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,12087,6307,1034,345316,2175964,812101,727556,2374468,1906147,2057590,3242574,3487192,7286999,32902759,30657987
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1398805/000116552708000170/0001165527-08-000170-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000116552709000200/0001165527-09-000200-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1398805/000101968712001129/0001019687-12-001129-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000101968713001067/0001019687-13-001067-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000101968714001104/0001019687-14-001104-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000101968715001181/0001019687-15-001181-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000101968716005621/0001019687-16-005621-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316817000730/0001683168-17-000730-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316818000836/0001683168-18-000836-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316819000735/0001683168-19-000735-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316820001389/0001683168-20-001389-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316821001097/0001683168-21-001097-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316822002236/0001683168-22-002236-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-13558,-27980,-14673,-2360851,-2547493,-2481728,-2793910,-3146302,-1839533,-2633516,-3041430,-3598780,-3933922,-5213025,-6596039
74,Depreciation and Amortization,- -,84213,- -,62745,65026,60428,44359,41392,139032,102438,69381,62839,40500,21041,92775
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,4353912,- -,41760,1305716,766732,74264,- -,15833,442871,220084,111572,48915,722549,444713
77,Change in Working Capital,5645,-11980,-14673,-3735332,1097567,504197,-450367,1730997,-1042535,38269,1090794,-1972959,7902299,22920601,-3451510
78,Accounts Receivable,- -,-219484,- -,-37055,-1413497,1129946,138357,76242,-740100,-329957,1155118,-1284756,523739,-1021937,-2040783
79,Inventory,- -,- -,- -,- -,- -,-56325,36853,-328431,-20492,166236,-2004526,1241040,-110455,1060614,-485961
80,Accounts Payable,2000,-1800,-100,338125,651612,-948605,-58436,108901,274486,351691,-386322,881567,-883238,242900,815950
81,Other Working Capital,6442,-5538,-20211,-3755543,-2657976,-2153779,-2604146,-873149,-1915684,-1877415,-786621,-2759580,5142719,28063320,24611810
82,Other Non-Cash Items,- -,-4419945,24073,4878884,-1891647,-12441,1533987,-443209,257860,251212,-1776141,4684872,-8884132,-22589304,3103354
83,Cash Provided by Operating Activities,-7913,-21780,-5273,-1112794,-1970831,-1162812,-1591667,-1817122,-2469343,-1798726,-3437312,-712456,-4826340,-4138138,-6406707
84,CAPEX,- -,-252602,- -,-15200,-12959,-9568,-41948,-76092,-263540,-153197,-26365,-82549,-109586,-358901,23200
85,Acquisitions Net,- -,-9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-71200,- -,- -,- -,- -,- -,- -,-36620,-37311,-2470,-8812,-76746,-93137,-605341
89,Cash Used for Investing Activites,- -,-261602,- -,-15200,-12959,-9568,-41948,-76092,-263540,-153197,-26365,-32282,-109586,-358901,-582141
90,Debt Repayment,- -,- -,- -,-68808,965754,- -,-12067,-12000,-268325,-20760,-1060533,-22685,-3483620,-348556,825
91,Common Stock Issued,20000,16000,- -,1053435,1717251,1050000,1935200,3003010,815000,1820000,2345000,290000,13201000,18999675,742285
92,Common Stock Repurchased,- -,-296168,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-171,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,296168,- -,184234,-294513,-89000,-154816,-109340,838105,128800,2574117,317972,-1175851,8699268,1491446
95,Cash Used/Provided by Financing Activities,20000,16000,- -,1168861,2388492,961000,1768317,2881670,1384780,1928040,3858584,585287,8541358,27350387,2234556
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-5780,-5273,40867,404702,-211380,134702,988456,-1348103,-23883,394907,-159451,3605432,22853348,-4754292
98,Cash at the End of Period,12087,6307,1034,64074,468776,257396,392098,1380554,32451,8568,403475,244024,3849456,26702804,21948512
99,Cash at the Beginning of Period,- -,12087,6307,23207,64074,468776,257396,392098,1380554,32451,8568,403475,244024,3849456,26702804
100,Free Cash Flow,-7913,-21780,-5273,-1127994,-1983790,-1172380,-1633615,-1893214,-2732883,-1951923,-3463677,-795005,-4935926,-4497039,-6383507
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1398805/000116552708000170/0001165527-08-000170-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000116552709000200/0001165527-09-000200-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1398805/000101968712001129/0001019687-12-001129-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000101968713001067/0001019687-13-001067-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000101968714001104/0001019687-14-001104-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000101968715001181/0001019687-15-001181-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000101968716005621/0001019687-16-005621-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316817000730/0001683168-17-000730-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316818000836/0001683168-18-000836-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316819000735/0001683168-19-000735-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316820001389/0001683168-20-001389-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316821001097/0001683168-21-001097-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316822002236/0001683168-22-002236-index.htm
102,false,,,,,,,,,,,,,,,
