,https://roic.ai/company/ALYA,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0350,0.0298,0.0660,0.0667,0.0500,0.0523,-0.1111,-0.1946,-0.5802,0.0199,-0.0547,0.0249,0.0675,0.0626,-0.6353,-0.0998,-0.0252,0.0128,0.0188,0.0459,0.0657,0.0127,0.0357,-0.0160,-0.0263,-0.0625,-0.1468,-0.0591
19,Total Other Income Expenses (Gains),-500000,-1400000,-1500000,-800000,-10400000,-26200000,4500000,3200000,1200000,600000,700000,1300000,1400000,1700000,600000,100000,100000,-100000,-100000,-100000,-253689,-2708894,-3131444,-1631000,-2097000,-2241000,-1666000,-2614000
20,Income Before Tax,5300000,4600000,7900000,38600000,64900000,68600000,-700000,-4800000,-15800000,1300000,-1100000,2600000,6000000,6300000,-49400000,-5600000,-2200000,1200000,1800000,4800000,10148986,-714567,2955157,-3489000,-7538000,-15326000,-42632000,-19620000
21,Income Before Tax Ratio,0.0320,0.0229,0.0555,0.0654,0.0431,0.0378,-0.0150,-0.1168,-0.5392,0.0370,-0.0334,0.0498,0.0881,0.0857,-0.6277,-0.0981,-0.0241,0.0118,0.0179,0.0450,0.0641,-0.0045,0.0174,-0.0301,-0.0365,-0.0732,-0.1528,-0.0682
22,Income Tax expense (Gain),500000,100000,2400000,15800000,37300000,23700000,1800000,900000,- -,-1500000,- -,1000000,2400000,-3100000,800000,-1200000,22000000,800000,400000,-31000000,4452883,4748975,6768871,-621000,-314000,-2851000,-2965000,-2282000
23,Net Income,4800000,4500000,5500000,22800000,27600000,44900000,-76000000,2900000,-36800000,1400000,-800000,1900000,3600000,9500000,-50200000,-4400000,-24300000,300000,1400000,35700000,5696102,-5463542,-3813714,-2868000,-7224000,-12475000,-39667000,-17338000
24,Net Income ratio,0.0290,0.0224,0.0386,0.0386,0.0183,0.0248,-1.6239,0.0706,-1.2560,0.0399,-0.0243,0.0364,0.0529,0.1293,-0.6379,-0.0771,-0.2664,0.0030,0.0139,0.3346,0.0360,-0.0348,-0.0224,-0.0248,-0.0350,-0.0596,-0.1422,-0.0603
25,EPS,0.58,2.37,1.12,1.38,0.93,1.52,-2.60,0.22,-3.17,0.12,-0.07,0.18,0.30,0.71,-3.89,-0.36,-1.99,0.03,0.12,2.98,0.44,-0.47,-0.31,-0.06,-0.15,-0.34,-0.70,-0.30
26,EPS Diluted,0.58,2.37,1.12,1.38,0.93,1.52,-2.60,0.22,-3.17,0.12,-0.07,0.18,0.30,0.71,-3.89,-0.36,-1.99,0.03,0.12,2.98,0.44,-0.47,-0.31,-0.06,-0.15,-0.34,-0.70,-0.30
27,Weighted Average Shares Outstanding,8300000,1900000,4900000,16500000,29600000,29500000,29200000,12900000,11600000,11700000,11300000,10700000,12000000,13400000,12900000,12100000,12200000,12000000,11600000,12000000,13090000,11505000,12150000,46812097,46812097,36129647,56399499,58209375
28,Weighted Average Shares Outstanding Diluted,8300000,1900000,4900000,16500000,29600000,29500000,29200000,12900000,11600000,11700000,11300000,10700000,12000000,13400000,12900000,12100000,12200000,12000000,11600000,12000000,13090000,11505000,12150000,46812097,46812097,36129647,56399499,58209375
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1734520/000095012319006062/0000950123-19-006062-index.html,https://www.sec.gov/Archives/edgar/data/1734520/000173452020000022/0001734520-20-000022-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3500000,19000000,400000,19600000,5400000,218100000,63900000,45800000,36200000,6700000,7200000,11500000,7600000,16600000,6200000,10900000,10500000,16500000,21600000,31100000,16600000,26400000,8569000,14465000,12801000,8810000,6903000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,18100000,27700000,21200000,34100000,31600000,27200000,15100000,13300000,7100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1324000,- -,- -
33,Cash and Short-Term Investments,- -,3500000,19000000,400000,19600000,5400000,218100000,82000000,73500000,57400000,40800000,38800000,38700000,22700000,29900000,13300000,10900000,10500000,16500000,21600000,31100000,16600000,26400000,8569000,14465000,14125000,8810000,6903000
34,Net Receivables,- -,20300000,28900000,81100000,238300000,276400000,33000000,6400000,4200000,6400000,8100000,11500000,12700000,15700000,14200000,19000000,19400000,23800000,18100000,21100000,28600000,38400000,34500000,38228000,48938000,81775000,83720000,84865000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2100000,2100000,7900000,19300000,33200000,11600000,2200000,3200000,1600000,1800000,3100000,2500000,3100000,2100000,2800000,1000000,800000,1500000,2200000,2700000,1000000,1600000,963000,1034000,3166000,3195000,3923000
37,Total Current Assets,- -,25900000,50000000,89400000,277200000,315000000,262700000,90600000,80900000,65400000,50700000,53400000,53900000,41500000,46200000,35100000,31300000,35100000,36100000,44900000,62400000,56000000,62500000,47760000,64437000,99066000,95725000,95691000
38,PP&E,- -,3900000,5500000,13600000,34300000,42000000,3300000,3300000,2500000,1700000,1600000,1600000,4000000,4700000,4900000,3500000,2800000,2500000,1900000,1500000,1200000,1100000,800000,1727000,1821000,2339000,18664000,19567000
39,Goodwill,- -,- -,39900000,244200000,569800000,623000000,51600000,48000000,15700000,14200000,17600000,18100000,29600000,45900000,- -,9800000,12000000,12300000,12000000,12800000,14000000,41400000,40300000,21523000,31712000,79634000,77608000,72906000
40,Intangible Assets,- -,21300000,1900000,2800000,4800000,6300000,3100000,2600000,2600000,2800000,2400000,1700000,4400000,7700000,4400000,6600000,3800000,2100000,1200000,1000000,600000,16600000,11300000,14167000,15149000,47551000,51804000,36590000
41,Intangible Assets,- -,21300000,41800000,247000000,574600000,629300000,54700000,50600000,18300000,17000000,20000000,19800000,34000000,53600000,4400000,16400000,15800000,14400000,13200000,13800000,14600000,58000000,51600000,35690000,46861000,127185000,129412000,109496000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,200000,600000,100000,14700000,13100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,1112000,632000,2946000,4652000,7465000
44,Other Non-Current Assets,- -,300000,100000,5300000,-12200000,-9000000,60900000,35100000,34300000,28100000,26000000,23500000,19500000,20000000,26100000,21900000,200000,100000,200000,31200000,30300000,33600000,25900000,- -,2124000,5333000,9363000,11042000
45,Total Non-Current Assets,- -,25700000,48000000,266000000,611400000,675400000,118900000,89000000,55100000,46800000,47600000,44900000,57500000,78300000,35400000,41800000,18800000,17100000,15300000,46500000,46100000,92700000,78300000,38529000,51438000,137803000,162091000,147570000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,51600000,98000000,355400000,888600000,990400000,381600000,179600000,136000000,112200000,98300000,98300000,111400000,119800000,81600000,76900000,50100000,52200000,51400000,91400000,108500000,148700000,140800000,86289000,115875000,236869000,257816000,243261000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,600000,700000,400000,800000,900000,23551000,17701000,19004000,14972000,15196000
49,Short-Term Debt,- -,4200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2956000,27022000,1000000,2702000,37057000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1268000,1646000,1505000,2241000,2662000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303000,2017000,6930000,9821000,10425000
52,Other Current Liabilities,- -,14400000,17100000,57100000,132700000,114100000,25700000,12400000,8600000,7300000,6100000,7600000,10000000,12000000,10600000,18600000,17200000,16000000,17100000,17100000,20500000,34600000,31400000,10992000,19100000,28999000,35136000,36238000
53,Total Current Liabilities,- -,18600000,17100000,57100000,132700000,114100000,25700000,12400000,8600000,7300000,6100000,7600000,10000000,12000000,10600000,18600000,17200000,17900000,17700000,17800000,20900000,35400000,32300000,37802000,65840000,55933000,62631000,98916000
54,Long-Term Debt,- -,21000000,- -,17200000,270300000,434200000,- -,100000,- -,- -,- -,- -,900000,600000,500000,200000,100000,- -,- -,- -,- -,6900000,6700000,13278000,15619000,27305000,63759000,33353000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1615000,2234000,2016000,4057000,2980000
57,Other Non-Current Liabilities,- -,200000,1200000,2000000,87700000,22200000,500000,- -,- -,- -,- -,- -,- -,100000,- -,100000,- -,2000000,1300000,800000,500000,4800000,- -,226000,156000,159000,- -,- -
58,Total Non-Current Liabilities,- -,21200000,1200000,19200000,358000000,456400000,500000,100000,- -,- -,- -,- -,900000,700000,500000,300000,100000,2000000,1300000,800000,500000,11700000,6700000,15119000,18009000,29480000,67816000,36333000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13232000,15459000
61,Total Liabilities,- -,39800000,18300000,76300000,490700000,570500000,26200000,12500000,8600000,7300000,6100000,7600000,10900000,12700000,11100000,18900000,17300000,19900000,19000000,18600000,21400000,47100000,39000000,52921000,83849000,85413000,130447000,135249000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,100000,200000,300000,400000,400000,400000,500000,500000,400000,400000,300000,300000,300000,400000,300000,300000,300000,300000,300000,300000,400000,400000,49384000,54251000,186861000,195335000,197537000
64,Retained Earnings,- -,11500000,3600000,27000000,70800000,110500000,37900000,43300000,5800000,6100000,4900000,6600000,10400000,17600000,-35700000,-34900000,-56500000,-57500000,-54500000,-21500000,-18800000,-28000000,-31000000,-16738000,-23927000,-39113000,-78780000,-96190000
65,Other Comprehensive Income/Loss,- -,- -,-4700000,-7400000,-2200000,-7400000,-1400000,-2600000,-3600000,-1600000,-1200000,-2200000,-5100000,-2700000,-3700000,-3400000,-3400000,-200000,-200000,-400000,-600000,-1000000,-1000000,-137000,558000,1469000,6123000,-508000
66,Other Total Stockholders Equity,- -,200000,80500000,259200000,328800000,316400000,318600000,125900000,124700000,100000000,88000000,86100000,94900000,91900000,109500000,96000000,92500000,89700000,86800000,94400000,106300000,130200000,133400000,859000,1144000,2239000,4691000,7173000
67,Total Stockholders Equity,- -,11800000,79600000,279100000,397800000,419900000,355500000,167100000,127400000,104900000,92100000,90800000,100500000,107100000,70500000,58000000,32900000,32300000,32400000,72800000,87200000,101600000,101800000,33368000,32026000,151456000,127369000,108012000
68,Total Liabilities And Stockholders Equity,- -,51600000,97900000,355400000,888500000,990400000,381700000,179600000,136000000,112200000,98200000,98400000,111400000,119800000,81600000,76900000,50200000,52200000,51400000,91400000,108600000,148700000,140800000,86289000,115875000,236869000,257816000,243261000
69,Minority Interest,- -,- -,100000,- -,100000,- -,-100000,- -,- -,- -,100000,-100000,- -,- -,- -,- -,-100000,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,51600000,98000000,355400000,888600000,990400000,381600000,179600000,136000000,112200000,98300000,98300000,111400000,119800000,81600000,76900000,50100000,52200000,51400000,91400000,108500000,148700000,140800000,86289000,115875000,236869000,257816000,243261000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1734520/000095012319006062/0000950123-19-006062-index.html,https://www.sec.gov/Archives/edgar/data/1734520/000173452020000022/0001734520-20-000022-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4800000,4500000,5500000,22800000,27600000,44900000,-76000000,2900000,-36800000,1400000,-800000,1900000,3600000,9500000,-50200000,-4400000,-24300000,300000,1400000,35700000,5696102,-5463542,-3813714,-2868000,-7224000,-12475000,-39667000,-17338000
74,Depreciation and Amortization,1010000,1590000,1870000,7360000,21000000,31850000,7540000,8460000,1570000,1330000,1170000,1270000,1990000,2630000,4020000,3070000,4140000,2850000,1960000,1600000,1600627,2298456,5654631,5628000,6594000,9072000,14646000,15506000
75,Deferred Income Tax,20000,-20000,- -,-2090000,7250000,2480000,- -,920000,440000,-1470000,-50000,870000,1750000,-3980000,-150000,-590000,21750000,60000,-30000,-31270000,4347763,4221461,6729846,-474000,-395000,-3140000,-3202000,-3797000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1167000,4163000,1656000,2918000,5588000
77,Change in Working Capital,-2240000,-130000,-5070000,-16760000,-50130000,-50940000,2720000,25210000,1750000,820000,-200000,-2420000,930000,950000,740000,-70000,-2370000,-740000,4320000,-2660000,-5058374,-792617,-3726243,2105000,-1638000,-14801000,5739000,-86000
78,Accounts Receivable,- -,- -,-8600000,-52200000,-157200000,-38100000,267600000,2400000,2200000,-400000,-1700000,-5200000,-1200000,-3000000,1500000,-4800000,-400000,-4400000,5700000,-3000000,-7500000,-9800000,3900000,-10049000,- -,-5121000,7622000,-5289000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,-100000,300000,-400000,-100000,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-386000,- -,168000,435000,1319000
82,Other Non-Cash Items,220000,560000,240000,410000,3930000,-21210000,89070000,-26090000,27220000,-840000,-810000,-310000,1090000,210000,53840000,1710000,1500000,3300000,1180000,1500000,1498311,4124570,2828661,106000,190000,115000,28258000,-329000
83,Cash Provided by Operating Activities,3810000,6500000,2540000,11720000,9650000,7080000,23330000,11400000,-5820000,1240000,-690000,1310000,9360000,9310000,8250000,-280000,720000,5770000,8830000,4870000,8084429,4388328,7673181,5664000,1690000,-19573000,8692000,-456000
84,CAPEX,-1350000,-1680000,-910000,-6440000,-15190000,-17390000,-2280000,-1110000,-350000,-270000,-400000,-640000,-1820000,-2440000,-330000,-40000,-380000,-510000,-360000,-530000,-308352,-448118,-507329,-1391000,-1424000,-1508000,-4537000,-2270000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000000,-3000000,-3000000,- -,- -,- -,-24000000,- -,-1339000,-13396000,24869000,-15166000,-1276000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-90000,-16090000,-37230000,-161940000,-230680000,-183680000,644370000,35060000,-9810000,-1010000,-22950000,540000,-5790000,-12970000,3060000,2920000,7600000,50000,-230000,-300000,-56064,-8477124,-125150,-160000,-3085000,-1889000,1450000,-1187000
89,Cash Used for Investing Activites,-1440000,-17770000,-38140000,-168380000,-245870000,-201070000,642090000,33950000,-10160000,-1280000,-23350000,-100000,-7610000,-15410000,2730000,-8120000,4220000,-3460000,-590000,-830000,-364416,-32925242,-632479,-2730000,-16944000,21996000,-18204000,-4567000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3600000,-2385000,-20422000,-56163000,-51264000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16990000,8000,50047000,- -,- -
92,Common Stock Repurchased,20000,140000,90980000,131160000,3870000,-410000,-9040000,-5750000,-780000,-1670000,-4980000,-410000,2360000,3110000,-4380000,-170000,450000,-2720000,-1880000,-240000,1307693,1555629,5334355,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-285000,- -,-23972000,- -,- -
94,Other Financing Activites,-2270000,11850000,-36930000,6740000,242330000,182820000,-446170000,-202880000,-460000,-80000,- -,- -,-20000,620000,-210000,-240000,-220000,-140000,-50000,-30000,60269,7125482,-1994328,-8288000,23525000,-11276000,61105000,54688000
95,Cash Used/Provided by Financing Activities,-2250000,11990000,54050000,137900000,246200000,182410000,-455210000,-208630000,-1240000,-1750000,-4980000,-410000,2340000,3730000,-4590000,-410000,230000,-2860000,-1930000,-270000,1367962,8681111,3340027,4817000,21148000,-5623000,4942000,3424000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-850000,-1930000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,10000,10000,-51859,-43062,-2691,44000,- -,1536000,579000,-308000
97,Net Change In Cash,110000,720000,18450000,-18760000,9130000,-13500000,210210000,-163280000,-17220000,-1790000,-29020000,800000,4090000,-2370000,6390000,-8810000,5170000,-560000,6310000,3780000,9036115,-19898866,10378038,7795000,5896000,-1664000,-3991000,-1907000
98,Cash at the End of Period,12911000,720000,21950000,240000,9530000,6100000,215610000,54820000,46680000,44010000,7180000,7500000,11290000,9130000,13990000,7790000,11370000,10340000,16810000,20280000,30636115,11201134,26978038,8569000,14465000,12801000,8810000,6903000
99,Cash at the Beginning of Period,12801000,- -,3500000,19000000,400000,19600000,5400000,218100000,63900000,45800000,36200000,6700000,7200000,11500000,7600000,16600000,6200000,10900000,10500000,16500000,21600000,31100000,16600000,774000,8569000,14465000,12801000,8810000
100,Free Cash Flow,2460000,4820000,1630000,5280000,-5540000,-10310000,21050000,10290000,-6170000,970000,-1090000,670000,7540000,6870000,7920000,-320000,340000,5260000,8470000,4340000,7776077,3940210,7165852,4273000,266000,-21081000,4155000,-2726000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1734520/000095012319006062/0000950123-19-006062-index.html,https://www.sec.gov/Archives/edgar/data/1734520/000173452020000022/0001734520-20-000022-index.htm,- -
102,Forex Rate,0.7161,0.7329,0.7294,0.6995,0.6534,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7509,0.7754,0.7492,0.711,0.7961
