,https://roic.ai/company/PAYC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-26000,-6623000,-1606000,-6044000,-910000,-728000,-1978000,996000,-137000,-187000,2395000
20,Income Before Tax,1430000,-490000,7711000,9656000,33525000,57243000,76647000,174711000,226087000,185936000,255962000
21,Income Before Tax Ratio,0.0250,-0.0064,0.0717,0.0640,0.1492,0.1739,0.1770,0.3085,0.3065,0.2210,0.2425
22,Income Tax expense (Gain),- -,-84000,- -,3993000,12580000,13403000,9840000,37646000,45511000,42483000,60002000
23,Net Income,1430000,-406000,7711000,5663000,20945000,43840000,66807000,137065000,180576000,143453000,195960000
24,Net Income ratio,0.0250,-0.0053,0.0717,0.0375,0.0932,0.1332,0.1543,0.2420,0.2448,0.1705,0.1857
25,EPS,0.03,-0.01,0.02,0.11,0.37,0.76,1.15,2.37,3.14,2.49,3.38
26,EPS Diluted,0.03,-0.01,0.02,0.11,0.36,0.74,1.13,2.34,3.09,2.46,3.37
27,Weighted Average Shares Outstanding,47686326,47686326,47686326,49784154,56495170,57550204,57839155,57711315,57561000,57620000,57935000
28,Weighted Average Shares Outstanding Diluted,48371489,48371489,48371489,51857309,57919700,58968099,58790019,58582486,58395000,58285000,58190000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1590955/000119312515065707/0001193125-15-065707-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459016013001/0001564590-16-013001-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459017001891/0001564590-17-001891-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459018002088/0001564590-18-002088-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459019002998/0001564590-19-002998-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459020004636/0001564590-20-004636-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459021006660/0001564590-21-006660-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459022005562/0001564590-22-005562-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,13435000,13273000,25144000,50714000,60158000,46077000,45718000,133667000,151710000,277978000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,13435000,13273000,25144000,50714000,60158000,46077000,45718000,133667000,151710000,277978000
34,Net Receivables,- -,622000,1705000,3729000,9097000,2031000,8623000,7376000,13318000,19577000,25903000
35,Inventory,- -,714000,578000,195000,1093000,675000,979000,797000,1158000,1151000,1131000
36,Other Current Assets,- -,325320000,458704000,664325000,700234000,862719000,1094183000,1010731000,1722957000,1692167000,1947026000
37,Total Current Assets,- -,340091000,474260000,693393000,761138000,925583000,1149862000,1064622000,1871100000,1864605000,2252038000
38,PP&E,- -,25139000,38671000,47919000,58858000,96848000,147705000,176962000,238458000,285218000,348953000
39,Goodwill,- -,51889000,51889000,51889000,51889000,51889000,51889000,51889000,51889000,51889000,51889000
40,Intangible Assets,- -,8321000,6709000,5096000,3484000,1871000,958000,745000,532000,- -,58028000
41,Intangible Assets,- -,60210000,58598000,56985000,55373000,53760000,52847000,52634000,52421000,51889000,109917000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,1207000,3294000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,417000,461000,645000,1404000,1215000,1456000,227708000,324938000,406200000,504237000
45,Total Non-Current Assets,- -,85766000,97730000,105549000,115635000,153030000,205302000,457304000,615817000,743307000,963107000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,425857000,571990000,798942000,876773000,1078613000,1355164000,1521926000,2486917000,2607912000,3215145000
48,Accounts Payable,- -,2354000,5020000,3042000,4899000,3737000,6490000,6288000,5051000,6787000,5772000
49,Short-Term Debt,- -,- -,- -,855000,886000,1113000,888000,1775000,1775000,1775000,1775000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,1037000,1582000,2535000,3726000,5230000,6982000,8980000,11105000,13567000,16277000
52,Other Current Liabilities,- -,332273000,476381000,672340000,718023000,888814000,1125792000,1011639000,1735591000,1695901000,1966586000
53,Total Current Liabilities,- -,335664000,482983000,678772000,727534000,898894000,1140152000,1028682000,1753522000,1718030000,1990410000
54,Long-Term Debt,- -,26399000,72420000,26123000,24974000,28711000,34414000,32614000,30858000,29119000,27380000
55,Deferred Revenue,- -,7356000,10990000,16802000,25310000,34481000,44642000,55671000,65139000,73259000,85149000
56,Deferred Tax Liabilities,- -,- -,2738000,3107000,641000,- -,- -,70206000,91217000,112598000,145504000
57,Other Non-Current Liabilities,- -,1767000,1107000,- -,- -,- -,554000,- -,19553000,19263000,72988000
58,Total Non-Current Liabilities,- -,35522000,87255000,46032000,50925000,63192000,79610000,158491000,206767000,234239000,331021000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,371186000,570238000,724804000,778459000,962086000,1219762000,1187173000,1960289000,1952269000,2321431000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,17452000,538000,571000,585000,601000,607000,613000,618000,623000
64,Retained Earnings,- -,-8871000,-2315000,5663000,26608000,70448000,137255000,395590000,576166000,719619000,915579000
65,Other Comprehensive Income/Loss,- -,-8015000,-11540000,-17089000,-24894000,-35833000,-53525000,-82969000,-124950000,-178111000,- -
66,Other Total Stockholders Equity,- -,71557000,-1845000,85026000,96029000,81327000,51071000,21525000,74799000,113517000,- -
67,Total Stockholders Equity,- -,54671000,1752000,74138000,98314000,116527000,135402000,334753000,526628000,655643000,893714000
68,Total Liabilities And Stockholders Equity,- -,425857000,571990000,798942000,876773000,1078613000,1355164000,1521926000,2486917000,2607912000,3215145000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,425857000,571990000,798942000,876773000,1078613000,1355164000,1521926000,2486917000,2607912000,3215145000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1590955/000119312515065707/0001193125-15-065707-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459016013001/0001564590-16-013001-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459017001891/0001564590-17-001891-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459018002088/0001564590-18-002088-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459019002998/0001564590-19-002998-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459020004636/0001564590-20-004636-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459021006660/0001564590-21-006660-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459022005562/0001564590-22-005562-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,1430000,-406000,7711000,5663000,20945000,43840000,66807000,137065000,180576000,143453000,195960000
74,Depreciation and Amortization,5286000,5522000,5486000,7162000,9421000,13632000,19395000,29657000,42211000,53373000,67222000
75,Deferred Income Tax,- -,- -,- -,- -,-1021000,-1848000,-2087000,21077000,21011000,21381000,32906000
76,Stock Based Compensation,- -,503000,- -,712000,3219000,22471000,38542000,36576000,47268000,90108000,97506000
77,Change in Working Capital,2204000,2242000,-13150000,23344000,18983000,-6915000,-16979000,26230000,81638000,28997000,-73610000
78,Accounts Receivable,-241000,-133000,-1083000,-1089000,440000,1015000,-237000,-1838000,-5884000,168000,-360000
79,Inventory,-75000,8000,136000,267000,-224000,418000,462000,-306000,-403000,-41000,481000
80,Accounts Payable,-597000,1157000,2667000,-2386000,-431000,-1571000,79000,1079000,-221000,1529000,-660000
81,Other Working Capital,2185000,4427000,-8723000,14621000,33604000,26689000,9710000,35940000,117578000,146575000,-94722000
82,Other Non-Cash Items,165000,3113000,23674000,-14544000,-8575000,27773000,24922000,-65788000,-148441000,-110105000,-622000
83,Cash Provided by Operating Activities,9085000,10974000,23721000,22337000,42972000,98953000,130600000,184817000,224263000,227207000,319362000
84,CAPEX,-14867000,-5971000,-17176000,-14270000,-16549000,-43805000,-59389000,-59906000,-92934000,-94102000,-126192000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-145011000,-195811000,-332756000,-398819000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,155500000,69200000,308981000,267341000
88,Other Investing Activites,-87432000,-71012000,-131266000,-204780000,-35775000,-161246000,-230957000,112037000,- -,- -,-5500000
89,Cash Used for Investing Activites,-102299000,-76983000,-148442000,-219050000,-52324000,-205051000,-290346000,62620000,-219545000,-117877000,-257670000
90,Debt Repayment,- -,-401000,- -,-65650000,-1118000,-964000,-36158000,-888000,-1775000,-1775000,-1775000
91,Common Stock Issued,- -,2409000,- -,62840000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1061000,- -,- -,-35561000,-56880000,-105188000,- -,-52040000,- -
93,Dividends Paid,-1443000,-18965000,-12225000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,95803000,89149000,137845000,211305000,36040000,152067000,238703000,-141720000,652447000,-112094000,167499000
95,Cash Used/Provided by Financing Activities,94360000,72192000,124559000,208495000,34922000,115542000,145665000,-247796000,650672000,-165909000,165724000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1146000,6183000,-162000,11782000,25570000,9444000,-14081000,-359000,655390000,-56579000,227416000
98,Cash at the End of Period,7252000,13435000,13273000,25144000,50714000,60158000,46077000,45718000,1641854000,1585275000,1812691000
99,Cash at the Beginning of Period,6106000,7252000,13435000,13362000,25144000,50714000,60158000,46077000,986464000,1641854000,1585275000
100,Free Cash Flow,-5782000,5003000,6545000,8067000,26423000,55148000,71211000,124911000,131329000,133105000,193170000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1590955/000119312515065707/0001193125-15-065707-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459016013001/0001564590-16-013001-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459017001891/0001564590-17-001891-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459018002088/0001564590-18-002088-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459019002998/0001564590-19-002998-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459020004636/0001564590-20-004636-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459021006660/0001564590-21-006660-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000156459022005562/0001564590-22-005562-index.htm
102,false,,,,,,,,,,,
