,https://roic.ai/company/SEED,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,- -,496590,172881638,649505002,717825084,794323000,565542000,513289000,664261000,510818000,559042000,684542000,624951000,543759000,478103000,89059000,214878000,69222000,64398000,58143000
38,PP&E,- -,- -,- -,- -,105036235,125322254,143043000,146372000,152962000,161681000,190094000,317085000,354735000,338526000,324905000,313749000,144832000,172748000,149116000,117704000,50588000
39,Goodwill,- -,- -,- -,- -,- -,10890377,16665000,16665000,16665000,16665000,11973000,11973000,11973000,11973000,11973000,11973000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,21402849,46759913,64611000,53360000,57144000,56251000,62326000,57903000,56322000,66690000,63112000,55670000,29590000,24926000,18382000,14433000,5628000
41,Intangible Assets,- -,- -,- -,- -,21402849,57650290,81276000,70025000,73809000,72916000,74299000,69876000,68295000,78663000,75085000,67643000,29590000,24926000,18382000,14433000,5628000
42,Investments,- -,- -,- -,- -,- -,- -,58882000,65384000,65453000,22505000,20503000,22433000,24894000,18721000,18721000,18721000,18721000,16347000,16347000,10353000,4596000
43,Tax Assets,- -,- -,- -,- -,331014,4035520,12828000,26192000,15040000,9766000,3028000,1755000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,206954,- -,22848005,78443881,20631000,20781000,3991000,3882000,19640000,5246000,25606000,4009000,23359000,2411000,41938000,1202000,8045000,47995000,83000
45,Total Non-Current Assets,- -,- -,206954,- -,149618102,265451945,316660000,328754000,311255000,270750000,307564000,416395000,473530000,439919000,442070000,402524000,235081000,215223000,191890000,190485000,60895000
46,Other Assets,- -,257388000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,257388000,703543,172881638,799123104,983277028,1110983000,894296000,824544000,935011000,818382000,975437000,1158072000,1064870000,985829000,880627000,324140000,430101000,261112000,254883000,119038000
48,Accounts Payable,- -,- -,- -,- -,28838542,21993981,14365000,7924000,13938000,8960000,5740000,5031000,4590000,4525000,4389000,4374000,1454000,7955000,9723000,9597000,9170000
49,Short-Term Debt,- -,- -,496689,- -,63029815,252784676,268400000,163940000,198186000,85900000,20000000,39000000,225410000,262715000,244000000,217057000,58839000,78235000,78611000,559000,138219000
50,Tax Payable,- -,- -,- -,- -,- -,- -,39059000,39059000,39661000,44075000,39410000,39842000,39881000,773000,768000,658000,303000,- -,656000,936000,3315000
51,Deferred Revenue,- -,74764000,- -,- -,181661824,24078868,105425000,34848000,18280000,371908000,417745000,458287000,415388000,361838000,288374000,230063000,5434000,14652000,62583000,66383000,49227000
52,Other Current Liabilities,- -,130394000,4329,2358461,226308279,210312996,111157000,280864000,316418000,129843000,89086000,102877000,106590000,75533000,97377000,163008000,68377000,331329000,96885000,100401000,89751000
53,Total Current Liabilities,- -,205158000,501018,2358461,499838459,509170520,499347000,487576000,546822000,596611000,532571000,605195000,751978000,704611000,634140000,614502000,134104000,432171000,247802000,176940000,286367000
54,Long-Term Debt,- -,- -,- -,- -,1881126,1879557,175549000,66234000,- -,- -,- -,35000000,64819000,31023000,40972000,20000000,56769000,- -,- -,140331000,2552000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,2873000,- -,33968975,2874166,1002957,90395000,37238000,- -,9426000,- -,21810000,21030000,19649000,19939000,27507000,20468000,21278000,28785000,23074000,15717000
58,Total Non-Current Liabilities,- -,2873000,- -,33968975,4755292,2882515,265944000,103472000,- -,9426000,- -,56810000,85849000,50672000,60911000,47507000,77237000,21278000,28785000,163405000,18269000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3230000,3111000
61,Total Liabilities,- -,208031000,501018,36327436,504593750,512053035,765291000,591048000,546822000,606037000,532571000,662005000,837827000,755283000,695051000,662009000,211341000,453449000,276587000,340345000,304636000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,720,4056,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,-4429,-5531741,45486099,121697393,-41404000,-84690000,-125507000,-76454000,-99533000,-100967000,-93473000,-103000000,-116808000,-182386000,-258060000,-411723000,-473843000,-559104000,-650633000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-387528,-4035520,-9626000,-10769000,-10403000,-9336000,-6397000,-6280000,-4390000,-4446000,-7053000,-11177000,-18821000,-22136000,-23776000,-22405000,-23221000
66,Other Total Stockholders Equity,- -,- -,206234,142081887,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,46086000,202525,136554202,291291880,458185551,296917000,264024000,226333000,271885000,259037000,261047000,266042000,255997000,241194000,180288000,112309000,-24711000,-22684000,-77190000,-140672000
68,Total Liabilities And Stockholders Equity,- -,254117000,703543,172881638,795885630,970238586,1062208000,855072000,773155000,877922000,791608000,923052000,1103869000,1011280000,936245000,842297000,323650000,428738000,253903000,263155000,163964000
69,Minority Interest,- -,3271000,- -,- -,3237474,13038442,48775000,39224000,51389000,57089000,26774000,52385000,54203000,53590000,49584000,38330000,490000,1363000,7209000,-8272000,-44926000
70,Total Liabilities & Equity,- -,257388000,703543,172881638,799123104,983277028,1110983000,894296000,824544000,935011000,818382000,975437000,1158072000,1064870000,985829000,880627000,324140000,430101000,261112000,254883000,119038000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1321851/000114420407008434/v066087_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420408012043/v104861_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420409015982/v143764_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420410002019/v171264_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420411004372/v209188_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420412003163/v245729_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420413001636/v331179_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420414003455/v363437_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420415001862/v397565_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420416077569/v429370_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420417001412/v456430_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420418007075/tv483338_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420419029440/tv522682_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000110465920027605/tm1919824d1_20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-4429,-5527312,16421499,76300000,-163200000,-43286000,-40817000,49053000,-23079000,-1434000,7494000,-9527000,-13808000,-65578000,-75674000,-153663000,-62120000,-85261000,-91529000
74,Depreciation and Amortization,- -,- -,- -,- -,6757520,11700000,22032000,22298000,21266000,21712000,23307000,19541000,28164000,28524000,30547000,31222000,27687000,16452000,13796000,10612000,8279000
75,Deferred Income Tax,- -,- -,- -,- -,88809,-3700000,- -,-13364000,11152000,5274000,6739000,1273000,1755000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,504000,5284000,10104000,2760000,4868000,4638000,3327000,1893000,1324000,1612000,8796000,5404000,4313000,12188000,13161000,10952000
77,Change in Working Capital,- -,- -,4329,334909,783130,-202900000,-120774000,72935000,140821000,203707000,-17514000,31506000,-221486000,-133186000,26727000,63719000,-98866000,29033000,-31561000,2496000,-33866000
78,Accounts Receivable,- -,- -,- -,- -,- -,-1259000,8323000,-902000,-1006000,-4356000,1560000,-4486000,-242000,914000,-1030000,1318000,36000,24000,-1481000,-1828000,3040000
79,Inventory,- -,- -,- -,- -,-121611131,531000,-57477000,43468000,38569000,45783000,15175000,-102230000,-226828000,-67541000,65841000,50974000,-21533000,13064000,47447000,6855000,1414000
80,Accounts Payable,- -,- -,- -,- -,- -,-7211000,-31238000,-6441000,6014000,-5137000,-3220000,-709000,-441000,-65000,-136000,-15000,4114000,-950000,1768000,-87000,-427000
81,Other Working Capital,- -,- -,- -,- -,-72662,26421000,-7116000,200000,-3658000,146284000,-13312000,76746000,-62292000,-44099000,-66659000,-51939000,-166263000,4822000,44991000,5152000,-26190000
82,Other Non-Cash Items,- -,- -,0,- -,331014,-5204000,87416000,8511000,73701000,13990000,43366000,28500000,36071000,27226000,7111000,9746000,21282000,93820000,7567000,53377000,81087000
83,Cash Provided by Operating Activities,- -,- -,-99,-5192403,24381970,-123300000,-169242000,57198000,208883000,298604000,37457000,82713000,-146109000,-85639000,52189000,47905000,-120167000,-10045000,-60130000,-5615000,-25077000
84,CAPEX,- -,- -,- -,- -,-51839944,-13800000,-48140000,-28779000,-21886000,-25763000,-75529000,-152118000,-78854000,-22615000,-20531000,-16964000,-3891000,-2982000,- -,- -,-1715000
85,Acquisitions Net,- -,- -,- -,- -,- -,-4592000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1200000
86,Purchases of Investments,- -,- -,- -,-511986508,-5675671,-25499000,-316600000,-215907000,- -,- -,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,341945542,- -,- -,297020000,346048000,- -,50000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-0,-5231628,-201109000,-34720000,-2401000,3245000,-16012000,-97458000,4705000,2302000,10614000,-4712000,9233000,33430000,50573000,9379000,-42243000,1706000
89,Cash Used for Investing Activites,- -,- -,- -,-170040966,-62747242,-245000000,-90948000,107630000,-15891000,15105000,-154390000,-143383000,-68279000,-561000,-20359000,-6481000,29539000,47591000,9379000,-42243000,-1209000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-352256000,-496457000,-292290000,-304186000,-85900000,-90000000,-99000000,-301500000,-273805000,-249000000,-124459000,-54376000,- -,-78611000,- -
91,Common Stock Issued,- -,- -,206954,199917323,112924045,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6115000,- -,53599000,16223000,17166000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,211700000,-29377000,- -,- -,- -,- -,- -,-6282000,-1786000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-7839369,- -,- -,- -,-17993000,-6908000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,289735,-24359094,102727214,63300000,665407000,284432000,134350000,174735000,30164000,173400000,296969000,303680000,264339000,200184000,165352000,19000000,- -,128306000,2672000
95,Cash Used/Provided by Financing Activities,- -,- -,496689,175558229,207811890,275000000,283774000,-212025000,-175933000,-136359000,-55736000,83400000,191687000,394000,-9466000,-48816000,47008000,-35376000,53599000,65918000,19838000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-387528,-3600000,-2223000,-12854000,1933000,1067000,2939000,117000,1890000,96000,-2607000,-4124000,-7644000,-3425000,-1640000,1371000,-816000
97,Net Change In Cash,- -,- -,- -,324859,169059090,-96900000,21361000,-60051000,18992000,178417000,-169730000,22847000,-20811000,-85710000,19757000,-11516000,-51264000,-1255000,1208000,19284000,-7131000
98,Cash at the End of Period,- -,- -,496590,821449,237934119,140900000,162314000,102263000,121255000,299672000,129942000,152789000,131978000,46268000,66025000,54509000,3245000,1990000,3198000,22482000,15351000
99,Cash at the Beginning of Period,- -,- -,- -,496590,68875029,237800000,140953000,162314000,102263000,121255000,299672000,129942000,152789000,131978000,46268000,66025000,54509000,3245000,1990000,3198000,22482000
100,Free Cash Flow,- -,- -,-99,-5192403,-27457974,-137100000,-217382000,28419000,186997000,272841000,-38072000,-69405000,-224963000,-108254000,31658000,30941000,-124058000,-13027000,-60130000,-5615000,-26792000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1321851/000114420407008434/v066087_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420408012043/v104861_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420409015982/v143764_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420410002019/v171264_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420411004372/v209188_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420412003163/v245729_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420413001636/v331179_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420414003455/v363437_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420415001862/v397565_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420416077569/v429370_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420417001412/v456430_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420418007075/tv483338_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420419029440/tv522682_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000110465920027605/tm1919824d1_20f.htm,- -,- -
102,Forex Rate,0.1148,0.1208,0.1208,0.1208,0.1239,0.1265,0.1332,0.1461,0.1465,0.1494,0.1566,0.1591,0.1633,0.1629,0.1573,0.1498,0.1503,0.1456,0.1399,0.1472,0.1551
