,https://roic.ai/company/SMID,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2400000,3600000,3028155,2595999,2915809,2970362,3195945,3903840,4111178,4875318,4305774,4247360,5490180,5110278,5717611,5513495,5162925,5211438,4867905,5411240,5198104,5533526,6012450,7866000,8274000,7423000,7283000,8252000
11,COGS and Expenses,11800000,11700000,11553421,11686997,14931569,14156263,14860873,24369444,21042985,20373277,21447829,21814509,30240694,28972184,28895207,26390816,27845720,27306381,24315024,26549868,23823139,27627360,35713600,38002000,38004000,44145000,40103000,44474000
12,Interest Income ,- -,- -,68326,- -,63616,- -,64877,47344,78959,32107,23089,33612,29200,22858,28040,25892,22290,13223,5757,3538,8327,35720,36684,37000,42000,40000,35000,35000
13,Interest Expense (Gain),400000,600000,- -,- -,- -,- -,554638,459250,301888,289173,312894,347495,396509,430048,343107,212192,155748,136067,134828,132026,116229,103086,162529,184000,176000,179000,217000,190000
14,Depreciation and Amortization,-400000,-900000,421200,374041,319185,- -,360840,363732,407563,463614,485348,506061,600639,735218,642805,695497,735009,712832,674160,634869,636644,667900,821042,926000,1247000,1793000,2412000,- -
15,EBITDA,200000,-1800000,122735,637844,-464698,42275,1508851,2845588,1888962,-1640155,1314693,2616450,-262664,3293626,1674905,3908753,4685568,361219,1367679,1849397,-549965,2372290,5280771,4851000,3682000,4480000,6421000,9284000
16,EBITDA ratio,0.0164,-0.1607,0.0108,0.0531,-0.0322,0.0029,0.0943,0.1094,0.0836,-0.0903,0.0594,0.1100,-0.0089,0.1045,0.0561,0.1324,0.1478,0.0135,0.0549,0.0667,-0.0245,0.0812,0.1319,0.1163,0.0915,0.0959,0.1464,0.1833
17,Operating Income,400000,-500000,-142911,317900,-497391,276486,474124,2485746,1561973,-2209494,667227,1976409,-878449,2548453,960572,3124667,3864269,-364836,687762,1279670,-1194936,1668670,4336446,3715000,2216000,2546000,3759000,6168000
18,Operating Income ratio,0.0328,-0.0446,-0.0125,0.0265,-0.0345,0.0192,0.0296,0.0956,0.0691,-0.1216,0.0302,0.0831,-0.0299,0.0809,0.0322,0.1059,0.1219,-0.0137,0.0276,0.0462,-0.0532,0.0571,0.1083,0.0891,0.0551,0.0545,0.0857,0.1218
19,Total Other Income Expenses (Gains),300000,-500000,-223880,-99892,-350108,240956,248170,-463140,-382462,-183448,-150776,-213515,-381363,-420093,-271579,-123603,-69458,-122844,-129071,-197168,-107902,-67366,-39246,26000,43000,-38000,33000,2926000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,2022606,1179511,-2392942,516451,1762894,-1259812,2128360,688993,3001064,3794811,-487680,558691,1082502,-1302838,1601304,4297200,3741000,2259000,2508000,3792000,9094000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,0.0778,0.0522,-0.1317,0.0234,0.0741,-0.0429,0.0675,0.0231,0.1017,0.1197,-0.0183,0.0224,0.0391,-0.0580,0.0548,0.1073,0.0897,0.0562,0.0537,0.0865,0.1796
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,28613,579000,-492000,24000,412000,-444000,876000,268000,1192000,1384000,-136000,182000,391000,-498000,557000,1462000,1057000,572000,549000,1127000,1524000
23,Net Income,200000,-1500000,-298465,263803,-783883,42275,593373,1993993,600511,-1900942,492451,1350894,-815812,1252360,420993,1809064,2410811,-351680,376691,691502,-804838,1044304,2835200,2684000,1687000,1959000,2665000,7570000
24,Net Income ratio,0.0164,-0.1339,-0.0262,0.0220,-0.0543,0.0029,0.0371,0.0767,0.0266,-0.1047,0.0223,0.0568,-0.0278,0.0397,0.0141,0.0613,0.0760,-0.0132,0.0151,0.0250,-0.0358,0.0358,0.0708,0.0643,0.0419,0.0420,0.0608,0.1495
25,EPS,0.05,-0.82,-0.10,0.09,-0.26,0.01,0.19,0.65,0.16,-0.43,0.11,0.30,-0.18,0.27,0.27,0.39,0.51,-0.07,0.08,0.14,-0.16,0.21,0.57,0.53,0.33,0.38,0.51,1.46
26,EPS Diluted,0.05,-0.82,-0.10,0.09,-0.26,0.01,0.19,0.58,0.16,-0.43,0.11,0.29,-0.18,0.26,0.26,0.38,0.50,-0.07,0.08,0.14,-0.16,0.21,0.56,0.53,0.33,0.38,0.51,1.46
27,Weighted Average Shares Outstanding,1793000,1803279,3071595,3044798,3044798,3044798,3050190,3067682,3753194,4420795,4476827,4502980,4532289,4638370,4670882,4673430,4703210,4790476,4826182,4839205,4881548,4895367,4934431,5042000,5080000,5142000,5185000,5185000
28,Weighted Average Shares Outstanding Diluted,1793000,1803279,3071595,3333333,3044798,3044798,3050190,3437919,3753194,4420795,4476827,4658255,4532289,4816769,4738001,4777451,4807075,4790476,4867475,4880453,4881548,4946375,5066714,5079000,5096000,5147000,5187000,5187000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/924719/000119312505066972/0001193125-05-066972-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000119312506069625/0001193125-06-069625-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000114420407016465/0001144204-07-016465-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000114420408022551/0001144204-08-022551-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000114420409017939/0001144204-09-017939-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000114420410016408/0001144204-10-016408-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000114420411018464/0001144204-11-018464-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000092471912000009/0000924719-12-000009-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000092471913000003/0000924719-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000092471914000005/0000924719-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000092471915000005/0000924719-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000162828016013202/0001628280-16-013202-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000162828017003182/0001628280-17-003182-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000092471918000004/0000924719-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000165495419003343/0001654954-19-003343-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000165495420003266/0001654954-20-003266-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000165495421003448/0001654954-21-003448-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000165495422004286/0001654954-22-004286-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,900000,438079,288310,207661,374190,218264,942131,1223756,699645,499744,1003790,482690,282440,1363284,2929868,2573168,2130686,4367474,3136063,3572405,1735621,3522620,3390000,1946000,1364000,8764000,13492000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,915341,1013417,1041790,1050220,1098000,1107000,1176000,1228000,- -
33,Cash and Short-Term Investments,100000,900000,438079,288310,207661,374190,218264,942131,1223756,699645,499744,1003790,482690,282440,1363284,2929868,2573168,2130686,4367474,4051404,4585822,2777411,4572840,4488000,3053000,2540000,9992000,13492000
34,Net Receivables,2200000,2700000,3477624,4297623,4647507,3681270,4124523,6392640,5302514,4657816,4798278,4895793,6635731,6216743,6491347,4848051,8172620,7570265,5109254,7338651,5056507,7376398,7709367,10577000,14503000,13465000,10540000,- -
35,Inventory,1300000,1200000,1531040,1429010,1512213,1507937,2052378,1628396,1989619,2462649,2351785,2617260,3117472,2794306,2424224,2603370,1844667,1939633,2104106,1939478,1726544,2494284,2578817,3515000,3560000,2242000,2194000,- -
36,Other Current Assets,100000,200000,-566617,-562671,-508353,46656,62811,188836,310054,242607,105563,339945,474710,842124,884922,662789,794486,1059440,898157,706365,567047,859429,1010597,452000,480000,784000,615000,14259000
37,Total Current Assets,3700000,5000000,4880126,5452272,5859028,5610053,6457976,9152003,8825943,8062717,7755370,8856788,10710603,10135613,11163777,11044078,13384941,12700024,12478991,14035898,11935920,13507522,15871621,19032000,21596000,19031000,23341000,27751000
38,PP&E,1600000,1400000,1380871,1531062,2449566,2608145,2684918,2672665,3018729,3258083,2975103,3443273,3729537,4102181,4223555,4183124,4603688,4615514,4049478,4322995,4106611,5073867,8007518,9867000,14102000,17735000,18602000,21926000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,900000,800000,933877,908892,1257907,956192,1900328,1815501,1654166,1420843,448519,307333,214703,200090,163735,127552,134122,212436,289335,297915,255385,268721,173086,326000,5671000,5349000,4556000,3648000
45,Total Non-Current Assets,2500000,2200000,2314748,2439954,3707473,3564337,4585246,4488166,4672895,4678926,3477622,3750606,3944240,4302271,4387290,4310676,4737810,4827950,4338813,4620910,4361996,5342588,8180604,10193000,19773000,23084000,23158000,25574000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6200000,7200000,7194874,7892226,9566501,9174390,11043222,13640169,13498838,12741643,11232992,12607394,14654843,14437884,15551067,15354754,18122751,17527974,16817804,18656808,16297916,18850110,24052225,29225000,41369000,42115000,46499000,53325000
48,Accounts Payable,2200000,1600000,1439934,1744127,2177884,1690853,2482238,2999367,1978437,2568012,1943196,1248751,2733974,1776594,2142478,1205228,1314074,854165,922091,1517625,1152506,1743945,2139760,3059000,4212000,3180000,1866000,2071000
49,Short-Term Debt,700000,1300000,2066253,2199228,573104,228025,524305,604135,412112,1071894,404002,411635,677022,605376,1022476,481078,411988,411561,329529,364204,363821,435717,587523,637000,1711000,925000,740000,557000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,411000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,932193,204991,- -,- -,- -,431480,1144000,3341000,2968000,2343000,2454000
52,Other Current Liabilities,400000,600000,716102,1021167,1421373,1496935,764490,999426,1005536,587861,1023217,1569750,2498513,1887278,1933326,1767715,1915718,785387,1140234,2181727,1414474,2348451,1900832,2994000,2447000,2529000,3951000,8827000
53,Total Current Liabilities,3300000,3500000,4222289,4964522,4172361,3415813,3771033,4602928,3396085,4227767,3370415,3230136,5909509,4269248,5098280,3454021,3641780,2983306,2596845,4063556,2930801,4528113,5059595,7834000,11711000,9602000,8900000,13909000
54,Long-Term Debt,2500000,1800000,1183722,875038,4125357,4447519,4368716,4067639,3860100,4161260,4019192,3829212,3918041,3991036,3569321,3077302,2813782,2992996,2661228,2544809,2230364,2076675,3345511,2896000,2792000,4086000,6888000,122000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,241000,600000,1865000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,221000,175000,317000,337000,708000,822000,694000,630000,663000,855000,1404000,1290000,1427000,1886000,2461000,1955000
57,Other Non-Current Liabilities,- -,30000,- -,- -,- -,- -,995845,1025556,1001682,1001682,- -,215000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6592000,5479000,4001000,3724000
58,Total Non-Current Liabilities,2500000,1830000,1183722,875038,4125357,4447519,5364561,5093195,4861782,5162942,4019192,4044212,4139041,4166036,3886321,3414302,3521782,3814996,3355228,3174809,2893364,2931675,4749511,4186000,10811000,11692000,13950000,7666000
59,Other Liabilities,- -,3730000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6592000,377000,296000,- -
61,Total Liabilities,5800000,5400000,5406011,5839560,8297718,7863332,9135594,9696123,8257867,9390709,7389607,7274348,10048550,8435284,8984601,6868323,7163562,6798302,5952073,7238365,5824165,7459788,9809106,12020000,22522000,21294000,22850000,21575000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,30857,30857,30857,30857,30917,31710,44329,44495,44495,46102,46346,46709,46709,47029,47042,48262,48262,48815,48815,49195,49823,51000,51000,52000,52000,53000
64,Retained Earnings,200000,-1300000,-1589779,-1325976,-2109859,-2067584,-1474211,519782,1120293,-780649,-288198,1062696,246884,1499244,1920237,3729301,6140112,5788432,5924491,6471504,5492427,6342386,9128170,11556000,12962000,14639000,17294000,24864000
65,Other Comprehensive Income/Loss,-4400000,-4300000,- -,- -,- -,-5146731,-5449540,-5764565,-6090806,-6496271,-6798956,-7284144,-6431729,-7052920,-7576624,-8107077,-8798692,-9226358,-9716429,-10187045,-8727406,-9233033,-9927666,-10741000,-11667000,-12737000,- -,- -
66,Other Total Stockholders Equity,4600000,7400000,3347785,3347785,3347785,8494516,8800462,9157119,10167155,10583359,10886044,11508392,10744792,11509567,12176144,12817178,13570727,14119336,14609407,15085169,13659915,14231774,14992792,16339000,17501000,18867000,6303000,6833000
67,Total Stockholders Equity,400000,1800000,1788863,2052666,1268783,1311058,1907628,3944046,5240971,3350934,3843385,5333046,4606293,6002600,6566466,8486431,10959189,10729672,10865731,11418443,10473751,11390322,14243119,17205000,18847000,20821000,23649000,31750000
68,Total Liabilities And Stockholders Equity,6200000,7200000,7194874,7892226,9566501,9174390,11043222,13640169,13498838,12741643,11232992,12607394,14654843,14437884,15551067,15354754,18122751,17527974,16817804,18656808,16297916,18850110,24052225,29225000,41369000,42115000,46499000,53325000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6200000,7200000,7194874,7892226,9566501,9174390,11043222,13640169,13498838,12741643,11232992,12607394,14654843,14437884,15551067,15354754,18122751,17527974,16817804,18656808,16297916,18850110,24052225,29225000,41369000,42115000,46499000,53325000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/924719/000119312505066972/0001193125-05-066972-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000119312506069625/0001193125-06-069625-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000114420407016465/0001144204-07-016465-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000114420408022551/0001144204-08-022551-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000114420409017939/0001144204-09-017939-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000114420410016408/0001144204-10-016408-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000114420411018464/0001144204-11-018464-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000092471912000009/0000924719-12-000009-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000092471913000003/0000924719-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000092471914000005/0000924719-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000092471915000005/0000924719-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000162828016013202/0001628280-16-013202-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000162828017003182/0001628280-17-003182-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000092471918000004/0000924719-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000165495419003343/0001654954-19-003343-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000165495420003266/0001654954-20-003266-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000165495421003448/0001654954-21-003448-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000165495422004286/0001654954-22-004286-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,200000,-1500000,-298465,263803,-783883,42275,593373,1993993,600511,-1900942,492451,1350894,-815812,1252360,420993,1809064,2410811,-351680,376691,691502,-804838,1044304,2835200,2684000,1687000,1959000,2665000,- -
74,Depreciation and Amortization,-400000,-900000,421200,374041,319185,- -,360840,363732,407563,463614,485348,506061,600639,735218,642805,695497,735009,712832,674160,634869,636644,667900,821042,926000,1247000,1793000,2412000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,44000,-44000,-54000,74000,-150000,62000,38000,47000,422000,175000,-234000,-101000,67000,-32000,574000,526000,153000,459000,575000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142873,90930,60868,17043,- -,- -,- -,- -,- -,411000,242000,270000,163000,- -
77,Change in Working Capital,-200000,1100000,-842163,-170087,1198917,507573,492703,1862132,880783,-1594908,550005,1241697,-825558,1065271,199132,1524560,2153104,-26443,165428,90196,-967223,-25710,1832617,385974,-1313000,-456000,5012000,-599000
78,Accounts Receivable,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-274604,1643296,-3324569,957239,2604342,-2544063,3203868,-2702291,-363583,-1620000,-3320000,-561000,2861000,- -
79,Inventory,-200000,- -,-304896,102030,-83203,- -,-544441,423982,-361223,-473030,110863,-265475,-500212,323166,199382,-179146,758703,-94966,-164473,164628,212934,-767740,-84533,-937000,-45000,1318000,48000,- -
80,Accounts Payable,200000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,365884,-937250,108980,-459908,67924,595536,-365115,591439,395815,969000,1153000,-1032000,-1314000,- -
81,Other Working Capital,400000,1500000,657837,487750,1686667,2194240,2686943,4549075,5429858,3834950,4384955,5626652,4801094,5866365,6065497,7590057,9743161,9716718,9882146,9972342,9005119,8979409,10812026,11198000,9885000,9429000,14441000,13842000
82,Other Non-Cash Items,500000,-200000,290543,58247,-1018975,-195035,-1393550,-3057030,-1288056,2176933,-739393,-1944366,1178992,-2276642,218521,-995860,-4661852,-609858,1906891,-495721,2494768,-1635604,-2068365,-2006974,6456000,-93000,-3340000,599000
83,Cash Provided by Operating Activities,100000,-1500000,-428885,526004,-284756,354813,53366,1162827,644801,-899303,734411,1228286,-11739,838207,1662324,3171191,1119940,-83106,2889170,819846,1426351,18890,3994494,2926000,8472000,3932000,7487000,- -
84,CAPEX,-300000,-200000,-371785,-524232,-1237689,-537073,-437613,-403528,-756763,-769452,-284625,-727968,-901142,-579571,-654740,-683571,-1174584,-742735,-110275,-908609,-465826,-1635317,-3744520,-2741000,-10741000,-4871000,-2627000,-5367000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2024147,-78453,-31575,-23987,-32000,-33000,-32000,-29000,-23000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,-23000
88,Other Investing Activites,-100000,- -,-39009,26528,8085,-13960,7647,143390,96735,172797,160273,47310,14142,19961,77878,92409,29474,99453,112325,61792,46230,18015,57802,46000,132000,162000,235000,1759000
89,Cash Used for Investing Activites,-400000,-200000,-410794,-497704,-1229604,-551033,-429966,-260138,-660028,-596655,-124352,-680658,-887000,-559610,-576862,-591162,-1145110,-643282,2050,-1870964,-498049,-1648877,-3710705,-2727000,-10642000,-4741000,-2421000,-3654000
90,Debt Repayment,-700000,-1300000,-1405653,-368274,-3018079,- -,- -,- -,- -,- -,- -,- -,- -,- -,-675640,-1096553,-449137,-396214,-413800,-2385856,-372880,-530820,-2262840,-584000,-660000,-2269000,-2869000,-793000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,3197,42425,696414,10905,- -,- -,23424,38054,- -,- -,- -,105120,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-240632,-144489,-174239,-194345,- -,-49000,-256000,-281000,-282000,- -
94,Other Financing Activites,600000,3700000,1939939,192565,4642275,-24713,217477,-221247,-399562,960942,-809960,-43582,354215,-516901,671022,83108,117607,575000,- -,2350052,55159,518368,3766050,301000,1642000,2777000,5485000,49000
95,Cash Used/Provided by Financing Activities,-100000,2400000,534286,-175709,1624196,-24713,220674,-178822,296852,971847,-809960,-43582,377639,-478847,-4618,-1013445,-331530,283906,-654432,-180293,-491960,-206797,1503210,-332000,726000,227000,2334000,-744000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-100000,2400000,-305393,-149769,-80649,-220933,-155926,723867,281625,-524111,-199901,504046,-521100,-200250,1080844,1566584,-356700,-442482,2236788,-1231411,436342,-1836784,1786999,-133000,-1444000,-582000,7400000,4728000
98,Cash at the End of Period,- -,- -,632696,288310,207661,374190,218264,942131,1223756,699645,499744,1003790,482690,282440,1363284,2929868,2573168,2130686,4367474,3136063,3572405,1735621,3522620,3390000,1946000,1364000,8764000,13492000
99,Cash at the Beginning of Period,500000,300000,938089,438079,288310,595123,374190,218264,942131,1223756,699645,499744,1003790,482690,282440,1363284,2929868,2573168,2130686,4367474,3136063,3572405,1735621,3523000,3390000,1946000,1364000,8764000
100,Free Cash Flow,-200000,-1700000,-800670,1772,-1522445,-182260,-384247,759299,-111962,-1668755,449786,500318,-912881,258636,1007584,2487620,-54644,-825841,2778895,-88763,960525,-1616427,249974,185000,-2269000,-939000,4860000,-5367000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/924719/000119312505066972/0001193125-05-066972-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000119312506069625/0001193125-06-069625-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000114420407016465/0001144204-07-016465-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000114420408022551/0001144204-08-022551-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000114420409017939/0001144204-09-017939-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000114420410016408/0001144204-10-016408-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000114420411018464/0001144204-11-018464-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000092471912000009/0000924719-12-000009-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000092471913000003/0000924719-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000092471914000005/0000924719-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000092471915000005/0000924719-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000162828016013202/0001628280-16-013202-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000162828017003182/0001628280-17-003182-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000092471918000004/0000924719-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000165495419003343/0001654954-19-003343-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000165495420003266/0001654954-20-003266-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000165495421003448/0001654954-21-003448-index.htm,https://www.sec.gov/Archives/edgar/data/924719/000165495422004286/0001654954-22-004286-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
