,https://roic.ai/company/COMP,2018,2019,2020,2021
67,Total Stockholders Equity,- -,-681600000,623800000,843800000
68,Total Liabilities And Stockholders Equity,- -,1471600000,1365100000,1796800000
69,Minority Interest,- -,- -,- -,3800000
70,Total Liabilities & Equity,- -,1471600000,1365100000,1800600000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1563190/000119312522058265/0001193125-22-058265-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-223800000,-388000000,-270200000,-494100000
74,Depreciation and Amortization,14800000,40900000,51200000,64400000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,52500000,37400000,43200000,386300000
77,Change in Working Capital,-35200000,568300000,-250900000,8200000
78,Accounts Receivable,-21600000,-103000000,300000,17900000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,22400000,30800000,22600000,-3600000
81,Other Working Capital,- -,568300000,317400000,2400000
82,Other Non-Cash Items,2300000,-635600000,368600000,6600000
83,Cash Provided by Operating Activities,-189400000,-377000000,-58100000,-28600000
84,CAPEX,-35300000,-74100000,-43300000,-50100000
85,Acquisitions Net,-88700000,-38200000,-25600000,-142400000
86,Purchases of Investments,-726900000,-70700000,- -,- -
87,Sales/Maturities of Investments,223800000,572900000,55500000,- -
88,Other Investing Activites,-35300000,-74100000,-43300000,-50100000
89,Cash Used for Investing Activites,-627100000,389900000,-13400000,-192500000
90,Debt Repayment,- -,- -,-3000000,-31700000
91,Common Stock Issued,- -,- -,- -,439600000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,857200000,350200000,22900000,-8600000
95,Cash Used/Provided by Financing Activities,857200000,350200000,19900000,399300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,40700000,363100000,-51600000,178200000
98,Cash at the End of Period,128600000,491700000,440100000,618300000
99,Cash at the Beginning of Period,87900000,128600000,491700000,440100000
100,Free Cash Flow,-224700000,-451100000,-101400000,-78700000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1563190/000119312522058265/0001193125-22-058265-index.htm
102,false,,,,
