,https://roic.ai/company/MARK,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-Infinity,-113.2460,-51.8088,-5.3681,-0.8611,-1.3133,-13.3159,-2.8973,-9.2399,-1.8441,-0.2688,-1.2853,-0.0614,-4.5331,-1.1863,7.4161
17,Operating Income,-12556817,-39523939,-24282173,-11961480,-4518134,-4716776,-6462119,-5886615,-17860000,-22577000,-22597000,-37379000,-44753000,-22754000,-14245000,27472000
18,Operating Income ratio,-Infinity,-114.1776,-53.1332,-5.2931,-0.6789,-0.9449,-12.9013,-2.8739,-9.7171,-1.5867,-0.3809,-0.5294,-0.5657,-4.5327,-1.4041,6.8000
19,Total Other Income Expenses (Gains),-148942,-15366,515238,209661,14514,-2182994,-505084,-1078743,-350000,-8870000,-8336000,-69078000,22528000,-250000,560000,- -
20,Income Before Tax,-12705759,-39539305,-23766935,-11751819,-4503620,-6899770,-6967203,-6965358,-18210000,-31447000,-30933000,-106457000,-22225000,-23004000,-13685000,27472000
21,Income Before Tax Ratio,-Infinity,-114.2220,-52.0057,-5.2003,-0.6767,-1.3822,-13.9096,-3.4005,-9.9075,-2.2101,-0.5214,-1.5079,-0.2809,-4.5825,-1.3489,6.8000
22,Income Tax expense (Gain),- -,- -,-1962500,-688630,-121238,-95250,1531,- -,- -,- -,746000,278000,-667000,- -,- -,- -
23,Net Income,-12705759,-39539305,-21937961,-11881276,-5905079,-6804520,-6968734,-6965358,-18210000,-31447000,-31679000,-106735000,-21558000,-25614000,-13685000,27472000
24,Net Income ratio,-Infinity,-114.2220,-48.0037,-5.2576,-0.8873,-1.3631,-13.9127,-3.4005,-9.9075,-2.2101,-0.5340,-1.5118,-0.2725,-5.1024,-1.3489,6.8000
25,EPS,-2.74,-34.20,-4.10,-2.22,-1.10,-1.26,-1.05,-0.90,-1.53,-2.06,-1.54,-4.49,-0.62,-0.58,-0.16,0.32
26,EPS Diluted,-2.74,-34.20,-4.10,-2.22,-1.10,-1.26,-1.05,-0.90,-1.53,-2.06,-1.54,-4.49,-0.62,-0.58,-0.16,0.32
27,Weighted Average Shares Outstanding,4630611,1154481,5294152,5361767,5368419,5416109,6605563,7732748,11884000,15278000,20529000,23763000,34545000,44432000,85578000,85578000
28,Weighted Average Shares Outstanding Diluted,4630611,1154481,5294152,5361767,5368419,5416109,6605563,7732748,11884000,15278000,20529000,23763000,34545000,44432000,85578000,85578000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1368365/000136836509000012/0001368365-09-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836510000017/0001368365-10-000017-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1368365/000156276213000101/0001562762-13-000101-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000156276214000097/0001562762-14-000097-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836515000002/0001368365-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836516000038/0001368365-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836517000014/0001368365-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836518000010/0001368365-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836519000003/0001368365-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836520000028/0001368365-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836521000017/0001368365-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836522000016/0001368365-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,233262,3639831,18020159,8724546,4843893,1531502,1355332,1260723,1525000,5422000,6893000,22632000,14410000,272000,854000,14187000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1030000,42349000
33,Cash and Short-Term Investments,233262,3639831,18020159,8724546,4843893,1531502,1355332,1260723,1525000,5422000,6893000,22632000,14410000,272000,1884000,56536000
34,Net Receivables,- -,3021520,103020,505562,701685,323859,101865,100583,41000,918000,1553000,3963000,11601000,5676000,5027000,10267000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,273000,526000,314000,234000,587000,- -,874000,1346000
36,Other Current Assets,56923,2253601,1660097,787972,566174,393989,503256,358264,434000,11527000,12414000,16954000,17547000,911000,1013000,6363000
37,Total Current Assets,290185,8914952,19783276,10018080,6111752,2249350,1960453,1719570,2273000,18393000,21174000,43783000,44145000,6859000,8798000,74512000
38,PP&E,110994,584435,727311,490306,306460,364386,400526,213192,1398000,7425000,15531000,13387000,10570000,4700000,321000,551000
39,Goodwill,- -,6432871,1972944,- -,- -,- -,1584976,1823048,5293000,20337000,26763000,20099000,18514000,- -,- -,- -
40,Intangible Assets,168800,18701062,3826122,985989,497429,116429,1854108,3602411,6518000,44780000,37406000,23946000,17930000,509000,- -,- -
41,Intangible Assets,168800,25133933,5799066,985989,497429,116429,3439084,5425459,11811000,65117000,64169000,44045000,36444000,509000,- -,- -
42,Investments,- -,- -,- -,4405304,2972135,905852,452636,229929,1030000,1030000,1030000,1030000,2005000,1935000,1030000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1347079,111840,- -,- -,- -,100000,105876,133605,1444000,2621000,3795000,1292000,644000,824000,-1030000,440000
45,Total Non-Current Assets,1626873,25830208,6526377,5881599,3776024,1486667,4398122,6002185,15683000,76193000,84525000,59754000,49663000,7968000,321000,991000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1917058,34745160,26309653,15899679,9887776,3736017,6358575,7721755,17956000,94586000,105699000,103537000,93808000,14827000,9119000,75503000
48,Accounts Payable,287571,586114,554673,410966,382515,93806,516623,1025738,1356000,14422000,16546000,17857000,30876000,8126000,8589000,10094000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2500000,100000,100000,38085000,35314000,12025000,194000,27811000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,10259000,11063000,14834000,8727000,313000,- -,- -
52,Other Current Liabilities,4524259,5218503,405138,829783,609129,633314,662842,1764059,2316000,12032000,15146000,19679000,27664000,17326000,8276000,6539000
53,Total Current Liabilities,4811830,5804617,959811,1240749,991644,727120,1179465,2789797,6172000,36813000,42855000,90455000,102581000,37790000,17059000,44444000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,1800000,2500000,6581000,23616000,37825000,- -,- -,- -,1425000,25000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,4030106,873420,242390,120250,25000,25000,25000,- -,- -,- -,741000,214000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,290714,577005,151029,25000,22099000,27619000,91929000,4137000,4765000,- -,- -
58,Total Non-Current Liabilities,- -,4030106,873420,242390,120250,315714,2402005,2676029,6606000,45715000,65444000,92670000,4351000,4765000,1425000,25000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4769000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,411763,328481,158000,384000,179000,- -,- -,4650000,576000,- -
61,Total Liabilities,4811830,9834723,1833231,1483139,1111894,1042834,3581470,5465826,12778000,82528000,108299000,183125000,106932000,42555000,20403000,44469000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,49306,53639,5369,5375,5422,7114,10979,13000,20000,22000,28000,39000,51000,100000,105000
64,Retained Earnings,-12705759,-52245064,-74183025,-86064301,-91969380,-98773900,-105742634,-111777459,-129987000,-161434000,-193113000,-299848000,-321213000,-346827000,- -,-333040000
65,Other Comprehensive Income/Loss,-3900,-92813,-232693,-543521,38531,16881,-1100827,-1117856,-838000,-1330000,-6598000,-11951000,-17167000,-5681000,-226000,-270000
66,Other Total Stockholders Equity,9814887,77199008,98838501,101018993,100701356,101444780,109613452,115140265,135990000,174802000,197089000,232183000,325217000,324729000,-8966000,364239000
67,Total Stockholders Equity,-2894772,24910437,24476422,14416540,8775882,2693183,2777105,2255929,5178000,12058000,-2600000,-79588000,-13124000,-27728000,-9092000,31034000
68,Total Liabilities And Stockholders Equity,1917058,34745160,26309653,15899679,9887776,3736017,6358575,7721755,17956000,94586000,105699000,103537000,93808000,14827000,11311000,75503000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2192000,- -
70,Total Liabilities & Equity,1917058,34745160,26309653,15899679,9887776,3736017,6358575,7721755,17956000,94586000,105699000,103537000,93808000,14827000,9119000,75503000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1368365/000136836509000012/0001368365-09-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836510000017/0001368365-10-000017-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1368365/000156276213000101/0001562762-13-000101-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000156276214000097/0001562762-14-000097-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836515000002/0001368365-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836516000038/0001368365-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836517000014/0001368365-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836518000010/0001368365-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836519000003/0001368365-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836520000028/0001368365-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836521000017/0001368365-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836522000016/0001368365-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-12705759,-39539305,-21937961,-11881276,-5905079,-6804520,-6968734,-6965358,-18210000,-31447000,-31679000,-106735000,-21558000,-25614000,-13685000,27472000
74,Depreciation and Amortization,3900,337851,223548,439088,295529,220327,232574,666395,767000,3281000,10299000,11070000,10875000,982000,308000,191000
75,Deferred Income Tax,- -,- -,-1962500,-688630,-122140,-95250,- -,- -,- -,- -,724000,8000,527000,- -,- -,- -
76,Stock Based Compensation,- -,- -,4787756,1780168,265965,615367,826008,727879,9676000,9032000,7164000,4220000,12948000,319000,797000,4060000
77,Change in Working Capital,199552,7631980,15713130,-10046134,-3657223,-3597878,-741242,-1851215,-2828773,-14521000,-3261000,-24991000,-11764000,27505000,22670000,38329000
78,Accounts Receivable,- -,- -,-102430,-355542,-196123,377826,309911,1282,60000,91000,-258000,-2283000,-3051000,3752000,-2825000,-5733000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-473000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-4521645,3110335,18823465,8777331,5120108,1522230,780988,-1070227,-3899000,-18420000,-21681000,-46672000,-58436000,-30931000,-8261000,30068000
82,Other Non-Cash Items,9810987,19009952,-9122679,11189200,5459164,6709114,1701456,3678562,3647773,17487000,11595000,107913000,-7234000,-22980000,-28137000,-90226000
83,Cash Provided by Operating Activities,-2691320,-12559522,-12298706,-9207584,-3663784,-2952840,-4949938,-3743737,-6948000,-16168000,-5158000,-8515000,-16206000,-19788000,-18047000,-20174000
84,CAPEX,-114894,-262105,-644546,-114213,-125772,-327404,-516623,-120471,-1834000,-1910000,-3162000,-3598000,-3085000,-135000,-290000,-223000
85,Acquisitions Net,- -,- -,-7822101,-15042,- -,- -,-317503,-2375000,-978000,-257000,-7340000,- -,-480000,30000000,- -,- -
86,Purchases of Investments,-168800,- -,- -,- -,- -,- -,- -,- -,-800000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1315983,-339892,- -,- -,-89528,3765,9888,-282791,-550000,- -,- -,94000,-467000,-18523000,- -,2322000
89,Cash Used for Investing Activites,-1599677,-601997,-8466647,-129255,-215300,-323639,-824238,-2778262,-4162000,-2167000,-10502000,-3504000,-2425000,11469000,-290000,2099000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-52445,-71808,-286000,-1478000,-182000,-179000,-2250000,-25526000,-13781000,-6500000
91,Common Stock Issued,- -,21040119,35229607,- -,- -,- -,3850451,- -,4843000,7818000,9868000,25910000,14553000,10844000,32135000,5692000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4524259,-4535804,- -,- -,- -,-20000,1800000,6500000,6778000,15892000,7434000,2042000,-2426000,-2275000,565000,32216000
95,Cash Used/Provided by Financing Activities,4524259,16504315,35229607,- -,- -,-20000,5598006,6428192,11335000,22232000,17120000,27773000,9877000,-16957000,18919000,31408000
96,Effect of Forex Changes on Cash,- -,63773,-83926,41226,-1569,-15912,- -,-802,39000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4524259,3406569,14380328,-9295613,-3880653,-3312391,-176170,-94609,264000,3897000,1460000,15754000,-8754000,-25276000,582000,13333000
98,Cash at the End of Period,233262,3639831,18020159,8724546,4843893,1531502,1355332,1260723,1525000,5422000,18548000,34302000,25548000,272000,854000,14187000
99,Cash at the Beginning of Period,- -,233262,3639831,18020159,8724546,4843893,1531502,1355332,1261000,1525000,17088000,18548000,34302000,25548000,272000,854000
100,Free Cash Flow,-2806214,-12821627,-12943252,-9321797,-3789556,-3280244,-5466561,-3864208,-8782000,-18078000,-8320000,-12113000,-19291000,-19923000,-18337000,-20397000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1368365/000136836509000012/0001368365-09-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836510000017/0001368365-10-000017-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1368365/000156276213000101/0001562762-13-000101-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000156276214000097/0001562762-14-000097-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836515000002/0001368365-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836516000038/0001368365-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836517000014/0001368365-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836518000010/0001368365-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836519000003/0001368365-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836520000028/0001368365-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836521000017/0001368365-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1368365/000136836522000016/0001368365-22-000016-index.htm
102,false,,,,,,,,,,,,,,,,
