,https://roic.ai/company/VYEY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
15,EBITDA,-9011,-19461,-13960,-592882,-1416508,-1322947,-1744268,-3890428,-10932801,-43161,-279923,-2688951,-2729699,-1685797,-3144751,-4064832,-1717508,-2099146,-26482468,-3264174,-712863
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-65.4697,-Infinity,-Infinity,-6.6557,-0.0842,-0.5695,-8.8110,-8.3635,-2.2923,-4.5228,-6.2474,-3.8963,-Infinity,-25.6038,-1.4810,-0.8373
17,Operating Income,-9011,-19461,-13960,-592962,-1559790,-1272875,-1745364,-3890308,-11497178,-335028,-380666,-2688951,-3365052,-2130016,-6425466,-5438326,-1778455,-2190467,-27336998,-3399478,-870652
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-62.9918,-Infinity,-Infinity,-6.9992,-0.6536,-0.7744,-8.8110,-10.3101,-2.8964,-9.2410,-8.3583,-4.0346,-Infinity,-26.4300,-1.5423,-1.0226
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-94630,-50900,- -,120,-2775696,-342366,221150,-1815038,-3734490,13878,2196329,532808,-128144,-338236,-234837,-197851,-80677
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4503989,-7099542,-2116138,-4229137,-4905518,-1906599,-2528703,-27571835,- -,-951329
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14.7585,-21.7521,-2.8775,-6.0823,-7.5394,-4.3253,-Infinity,-26.6570,- -,-1.1174
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-550292,- -,- -,- -,- -,- -,- -,-93531,- -,2529
23,Net Income,-9011,-19461,-13960,-592962,-1606057,-1323775,-1745364,-3896827,-11498157,-385139,-432713,-3953697,-6739678,-1686627,-3209932,-4177300,-1851624,-20720286,-27309510,- -,-953858
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-65.5107,-Infinity,-Infinity,-6.9998,-0.7513,-0.8803,-12.9553,-20.6495,-2.2934,-4.6165,-6.4202,-4.2006,-Infinity,-26.4034,- -,-1.1203
25,EPS,-4.30,-12.50,-12.50,-62.50,-100.00,-62.50,-38.00,-304.00,-228.00,-5.35,-6.01,-19.00,-11.02,-2.28,-4.18,-5.32,-2.28,-19.93,-1.28,-0.13,-0.03
26,EPS Diluted,-4.30,-12.50,-12.50,-62.50,-100.00,-62.50,-38.00,-304.00,-228.00,-5.35,-6.01,-19.00,-11.02,-2.28,-4.18,-5.32,-2.28,-19.93,-1.28,-0.13,-0.03
27,Weighted Average Shares Outstanding,2096,2096,2096,9386,16673,19666,39288,12607,50278,71958,71958,138947,612968,725364,748794,784305,821594,1039420,21290933,28037713,28037713
28,Weighted Average Shares Outstanding Diluted,2096,2096,2096,9386,16673,19666,39288,12607,50278,71958,71958,138947,612968,725364,748794,784305,821594,1142105,21290933,28037713,28037713
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/700764/000121390020001827/0001213900-20-001827-index.htm,https://www.sec.gov/Archives/edgar/data/700764/000121390021007510/0001213900-21-007510-index.htm,https://www.sec.gov/Archives/edgar/data/700764/000121390021046574/0001213900-21-046574-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,4074,- -,3251,166189,22076,111572,475623,158165,20858,2941,2384,56456,24383,76746,17076,192337
32,Short-Term Investments,- -,- -,- -,- -,- -,88300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,92374,- -,3251,166189,22076,111572,475623,158165,20858,2941,2384,56456,24383,76746,17076,192337
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,160000,- -,100319,74828,79185,157481,185113,165932,169274,44379,- -,399325,510226,198532
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62575,50053,17007
36,Other Current Assets,- -,- -,- -,- -,246,- -,- -,- -,7250,46818,24898,29555,68693,38663,21846,8734,9951,113967,107360,178371,27884
37,Total Current Assets,- -,- -,- -,- -,246,92374,- -,163251,173439,169213,211298,584363,384339,244634,190719,180392,110786,138350,646006,755726,435760
38,PP&E,- -,- -,- -,520,1924,1096,- -,- -,1031757,807381,538729,933802,1475642,2229388,925111,781545,637333,489,615667,721983,356127
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145149,145149,145149
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17630000,3025331,148079,130827
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17630000,3170480,293228,275976
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,50000,50000,5664,13006,13006,- -,- -,- -,87883,47060,137556,- -,- -,-242077,- -
45,Total Non-Current Assets,- -,- -,- -,520,1924,1096,50000,50000,1037421,820387,551735,933802,1475642,2229388,1012994,828605,774889,17630489,3786147,773134,632103
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,520,2170,93470,50000,213251,1210860,989600,763033,1518165,1859981,2474022,1203713,1008997,885675,17768839,4432153,1528860,1067863
48,Accounts Payable,- -,- -,63901,28472,18070,330970,19142,34803,38257,240310,342285,326973,4339,351435,1119896,1591764,420559,590870,700234,719011,536955
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,57040,81860,478026,440444,68667,- -,- -,- -,800000,680000,564263,896500,1982884,2682277,3081676
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,4000,154560,406719,251416,203500,203500,1668805,578756,220243,362410,268870,224738,712147,1363484,2322597,383564,118130,361743,251795
53,Total Current Liabilities,- -,- -,67901,183032,424789,582386,279682,320163,2185088,1259510,631195,689383,273209,576173,2632043,3635248,3307419,1870934,2801248,3763031,3870426
54,Long-Term Debt,- -,- -,- -,- -,- -,229798,690085,1377879,- -,- -,127338,632534,- -,- -,- -,- -,- -,- -,436770,- -,318800
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,293179,- -,- -,20120,34977,265282,778767,39905,51954,40493,94768,7141,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,522977,690085,1377879,20120,34977,392620,1411301,39905,51954,40493,94768,7141,- -,436770,- -,318800
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,67901,183032,424789,1105363,969767,1698042,2205208,1294487,1023815,2100684,313114,628127,2672536,3730016,3314560,1870934,3238018,3763031,4189226
62,Preferred Stock,- -,- -,- -,- -,- -,- -,716,631,- -,- -,- -,- -,- -,- -,- -,- -,- -,998,8,8,8
63,Common Stock,- -,- -,2620,16120,22100,41960,4518,42395,136720,136720,136720,382308,402220,27564,29203,31220,31220,5206,28038,28038,28038
64,Retained Earnings,- -,- -,-223163,-816125,-2422182,-3150957,-5491321,-9388148,-31319740,-31704879,-32137592,-36091289,-35215267,-36901894,-40111826,-44289126,-46140750,-66861036,-94170546,- -,-98655239
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-369,-595000,- -,- -,-565102,-855446,-955378,-1096613,-1151035,-1529433,-1960345,-2298617,-2197536,-43133,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,152642,617493,1977832,2692104,4566320,7860331,30753774,32118718,32695468,36223075,35101452,35933672,36934786,38007363,37993015,82795870,95339164,-2262217,95505830
67,Total Stockholders Equity,- -,- -,-67901,-182512,-422619,-1011893,-919767,-1484791,-994348,-304887,-260782,-582519,-862630,-2470091,-5108182,-8549160,-10314051,15897905,1196664,-2234171,-3121363
68,Total Liabilities And Stockholders Equity,- -,- -,- -,520,2170,93470,50000,213251,1210860,989600,763033,1518165,-549516,-1841964,-2435646,-4819144,-6999491,17768839,4434682,1528860,1067863
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2409497,4315986,3639359,5828141,7885166,- -,-2529,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,520,2170,93470,50000,213251,1210860,989600,763033,1518165,1859981,2474022,1203713,1008997,885675,17768839,4432153,1528860,1067863
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/700764/000121390020001827/0001213900-20-001827-index.htm,https://www.sec.gov/Archives/edgar/data/700764/000121390021007510/0001213900-21-007510-index.htm,https://www.sec.gov/Archives/edgar/data/700764/000121390021046574/0001213900-21-046574-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-9011,-19461,-13960,-592962,-1606057,-1323775,-1745364,-3896827,-11498157,-385139,-432713,-3953697,-6739678,-1686627,-3209932,-4177300,-1851624,-20720286,-27309510,- -,-953858
74,Depreciation and Amortization,- -,- -,- -,80,289,828,1096,- -,564377,291867,100743,- -,- -,- -,- -,- -,- -,15502,674538,396308,150789
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88820,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000,191719,52106,490174,567112,86733,312351,11413072,100000,66666
77,Change in Working Capital,8963,19451,12010,192546,260648,426770,-588370,-144339,9156,156527,200771,272277,-586099,305362,500899,1526932,-229422,-53260,-334970,-89621,203223
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-5664,-100319,25491,-4357,-278296,-26594,74977,3875,-6689,123939,-135247,-110901,360254
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8211,12522,33046
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,3409,202053,101975,-15312,-305130,347096,131213,876507,-1112210,215924,53806,18777,-182056
81,Other Working Capital,8963,- -,- -,- -,- -,11000,-146431,- -,18551,5992,- -,13006,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,1950,400936,1346813,562371,1261805,447400,5590551,-820594,-204528,1584777,4484630,598884,1081637,344403,-32767,18507553,14244002,-778826,25018
83,Cash Provided by Operating Activities,-48,-10,- -,600,1693,-333806,-1070833,-3593766,-5334073,-757339,-335727,-1988643,-2649428,-730275,-1137222,-1738853,-2027080,-1938140,-1401688,-372139,-508162
84,CAPEX,- -,- -,- -,-600,-1693,- -,- -,- -,- -,- -,- -,-597724,-716533,-81550,-3218582,-1058704,-18442,- -,- -,- -,-9758
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-563633,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-88300,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-4370261,-408334,-25000,- -,200000,-1661482,3167778,-1058704,97094,3261,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-600,-1693,-88300,-50000,- -,-4370261,-408334,-25000,-597724,-516533,-1743032,-50804,-1058704,78652,3261,-563633,- -,-9758
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16777,-118667,- -,- -,-433000,-120000,-109500,-570500,-187500,-657681,-728395
91,Common Stock Issued,- -,- -,- -,- -,- -,19860,246950,1189020,60050,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31694,-190000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50915,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,406320,869730,2408076,9807222,1021560,467000,3120000,2848503,2336000,1603109,2917000,2112000,2505000,2395184,970150,1421576
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,426180,1116680,3597096,9867272,1021560,450223,2950418,2848503,2336000,1170109,2797000,2002500,1902806,2017684,312469,693181
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-48,- -,- -,- -,- -,426180,-4153,3330,162938,-144113,89496,364051,-317458,-137307,-17917,-557,54072,-32073,52363,-59670,175261
98,Cash at the End of Period,10,- -,- -,- -,- -,4074,-79,3251,166189,22076,111572,475623,158165,20858,2941,2384,56456,24383,76746,17076,192337
99,Cash at the Beginning of Period,58,10,- -,- -,- -,- -,4074,-79,3251,166189,22076,111572,475623,158165,20858,2941,2384,56456,24383,76746,17076
100,Free Cash Flow,-48,-10,- -,- -,- -,-333806,-1070833,-3593766,-5334073,-757339,-335727,-2586367,-3365961,-811825,-4355804,-2797557,-2045522,-1938140,-1401688,-372139,-517920
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/700764/000121390020001827/0001213900-20-001827-index.htm,https://www.sec.gov/Archives/edgar/data/700764/000121390021007510/0001213900-21-007510-index.htm,https://www.sec.gov/Archives/edgar/data/700764/000121390021046574/0001213900-21-046574-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
