,https://roic.ai/company/AMYT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,- -,1533913,1035772,43704,43389,438674,841741,13219000,504000,33915275,69827483,84504690,405025000,470449000,445918000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,555622,555850,458142,488526,486704,15816823,20261000,20261000,21474696,25401300,24219858,11918000,13851000,25500000
64,Retained Earnings,- -,-3419058,-2965489,-625424,-3723404,-3109140,-2491795,-5051000,-44792000,-9463211,-42120354,-69640814,83960000,-235605000,-252466000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-6078,-11000,-17000,-23220521,-25808000,-23859529,194267000,- -,246260000
66,Other Total Stockholders Equity,- -,4792237,3734796,4055459,4324420,2881798,29497387,40744000,41015000,45954104,68783742,65584534,-160823000,287896000,318153000
67,Total Stockholders Equity,- -,1928801,1325158,3888177,1089542,259362,42816336,55943000,16467000,34745068,26256688,-3695951,129322000,66142000,337447000
68,Total Liabilities And Stockholders Equity,- -,3462714,2360930,3931882,1132931,698036,43658077,69162000,16971000,68660342,96084171,80808739,534347000,536591000,783365000
69,Minority Interest,- -,- -,0,- -,0,- -,-0,- -,- -,0,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3462714,2360930,3931882,1132931,698036,43658077,69162000,16971000,68660342,96084171,80808739,534347000,536591000,783365000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1783010/000114036121015121/0001140361-21-015121-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-2413557,-3270231,-497113,-123578,-3056502,-826115,-2118026,-2557000,-39741000,-8207480,-31355424,-29486388,-65535000,-104527000,-18171000
74,Depreciation and Amortization,161088,224233,144693,147690,99634,- -,4558,6000,6000,204030,310723,354610,12655000,44465000,50744000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1665000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,392002,464000,129000,240840,677832,793869,841000,4729000,8341000
77,Change in Working Capital,302031,83343,- -,25620,-4821,-57636,808314,395000,-593000,187203,1823548,1389842,-11883000,-4391000,-7842000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87291,-375507,-897964,-5894000,-10609000,-13288000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2399405,-148707,5099000,- -,-3292000
82,Other Non-Cash Items,- -,-47625,-32950,-305930,2675644,488305,-162574,-376000,36404000,1148458,14311251,12000686,28090000,86615000,-17541000
83,Cash Provided by Operating Activities,-1950438,-3010279,-385370,-256198,-286045,-395447,-1075726,-2068000,-3795000,-6426949,-14232070,-14947380,-37497000,26891000,15531000
84,CAPEX,-756178,-771917,-1433,-7535,- -,- -,-3528018,-27389000,-17442000,-12620,-395902,-227637,-652000,-2466000,-1545000
85,Acquisitions Net,- -,-57547,- -,- -,- -,- -,-975447,- -,- -,1844685,- -,- -,24985000,- -,107942000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-305264,47625,7163,114535,287652,632395,-3137535,201000,20595000,753018,-87578,-164722,18000,- -,-811000
89,Cash Used for Investing Activites,-1061442,-781839,5730,107000,287652,632395,-4128176,-27188000,3153000,2585083,-379106,-242507,24425000,- -,106402000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-1030145,- -,- -,-49430,-56386,- -,-21990000,- -,-117844000
91,Common Stock Issued,2706431,3161091,429781,- -,- -,- -,35685851,14971000,- -,11832695,17267318,- -,63009000,37927000,4701000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,525278,474263,236380,-129606,- -,- -,0,- -,- -,573177,11997025,3178906,24923000,-11899000,-12283000
95,Cash Used/Provided by Financing Activities,3231709,3635353,666160,-129606,- -,- -,34655707,14971000,- -,12356443,29207956,3178906,65942000,26028000,-125426000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,1072687,175000,4000,4207,88778,-229925,3133000,1029000,-2273000
97,Net Change In Cash,219829,-156765,286521,-232085,- -,236948,30524493,-14110000,-638000,8518783,14685558,-12240906,56003000,51569000,-5766000
98,Cash at the End of Period,1220868,-35719,260734,42197,1607,238549,31506017,17428000,16790000,8698624,24608297,11222832,67229000,118798000,113032000
99,Cash at the Beginning of Period,1001040,121046,-25787,274282,- -,1601,981524,31538000,17428000,179841,9922739,23463738,11226000,67229000,118798000
100,Free Cash Flow,-2706616,-3782196,-386803,-256198,-286045,-395447,-4603744,-29457000,-21237000,-6439569,-14627972,-15175017,-38149000,24425000,13986000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1783010/000114036121015121/0001140361-21-015121-index.htm,- -
102,false,,,,,,,,,,,,,,,
