,https://roic.ai/company/VNTR,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,22000000,30000000,238000000,165000000,55000000,220000000,156000000
34,Net Receivables,- -,724000000,561000000,392000000,351000000,321000000,324000000,371000000
35,Inventory,- -,571000000,434000000,454000000,538000000,513000000,440000000,478000000
36,Other Current Assets,- -,115000000,71000000,85000000,71000000,88000000,73000000,84000000
37,Total Current Assets,- -,1432000000,1096000000,1169000000,1125000000,977000000,1057000000,1089000000
38,PP&E,- -,1327000000,1198000000,1367000000,994000000,1032000000,985000000,878000000
39,Goodwill,- -,2000000,2000000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,28000000,23000000,20000000,16000000,21000000,17000000,11000000
41,Intangible Assets,- -,30000000,25000000,20000000,16000000,21000000,17000000,11000000
42,Investments,- -,98000000,85000000,86000000,83000000,92000000,104000000,101000000
43,Tax Assets,- -,162000000,163000000,- -,- -,33000000,33000000,77000000
44,Other Non-Current Assets,- -,364000000,92000000,205000000,267000000,110000000,161000000,208000000
45,Total Non-Current Assets,- -,1981000000,1563000000,1678000000,1360000000,1288000000,1300000000,1275000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3413000000,2659000000,2847000000,2485000000,2265000000,2357000000,2364000000
48,Accounts Payable,- -,940000000,1008000000,401000000,400000000,351000000,262000000,377000000
49,Short-Term Debt,- -,9000000,10000000,14000000,8000000,21000000,15000000,11000000
50,Tax Payable,- -,10000000,6000000,16000000,2000000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,167000000,178000000,- -,- -,- -
52,Other Current Liabilities,- -,259000000,156000000,77000000,-43000000,116000000,118000000,125000000
53,Total Current Liabilities,- -,1208000000,1174000000,659000000,543000000,488000000,395000000,513000000
54,Long-Term Debt,- -,1044000000,895000000,743000000,740000000,774000000,983000000,977000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,26000000,12000000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,407000000,401000000,350000000,355000000,330000000,355000000,306000000
58,Total Non-Current Liabilities,- -,1477000000,1308000000,1093000000,1095000000,1104000000,1338000000,1283000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,45000000,41000000,34000000
61,Total Liabilities,- -,2685000000,2482000000,1752000000,1638000000,1592000000,1733000000,1796000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,67000000,-96000000,-271000000,-383000000,-460000000
65,Other Comprehensive Income/Loss,- -,-401000000,-423000000,-283000000,-373000000,-385000000,-329000000,-314000000
66,Other Total Stockholders Equity,- -,1843000000,1302000000,1311000000,1316000000,- -,- -,- -
67,Total Stockholders Equity,- -,711000000,165000000,1095000000,847000000,666000000,618000000,563000000
68,Total Liabilities And Stockholders Equity,- -,3396000000,2647000000,2847000000,2485000000,2258000000,2351000000,2359000000
69,Minority Interest,- -,17000000,12000000,- -,- -,7000000,6000000,5000000
70,Total Liabilities & Equity,- -,3413000000,2659000000,2847000000,2485000000,2265000000,2357000000,2364000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1705682/000155837018001041/0001558370-18-001041-index.html,https://www.sec.gov/Archives/edgar/data/1705682/000170568219000005/0001705682-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1705682/000170568220000006/0001705682-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1705682/000170568221000005/0001705682-21-000005-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-164000000,-359000000,-87000000,134000000,-163000000,-170000000,-105000000,-74000000
74,Depreciation and Amortization,93000000,100000000,120000000,127000000,132000000,110000000,114000000,119000000
75,Deferred Income Tax,-24000000,-28000000,-16000000,19000000,-19000000,143000000,2000000,-44000000
76,Stock Based Compensation,- -,- -,- -,3000000,6000000,- -,- -,- -
77,Change in Working Capital,24000000,98000000,43000000,-6000000,-269000000,-67000000,-14000000,-24000000
78,Accounts Receivable,30000000,34000000,-13000000,-24000000,25000000,22000000,14000000,-65000000
79,Inventory,-7000000,94000000,110000000,8000000,-103000000,21000000,102000000,-60000000
80,Accounts Payable,11000000,5000000,9000000,51000000,-27000000,-29000000,-77000000,120000000
81,Other Working Capital,-54000000,-32000000,-24000000,510000000,582000000,-65000000,-55000000,- -
82,Other Non-Cash Items,8000000,126000000,37000000,61000000,595000000,17000000,37000000,42000000
83,Cash Provided by Operating Activities,-63000000,-63000000,97000000,338000000,282000000,33000000,34000000,19000000
84,CAPEX,-142000000,-203000000,-113000000,-197000000,-326000000,-152000000,-69000000,-73000000
85,Acquisitions Net,88000000,6000000,12000000,-6000000,5000000,-9000000,-7000000,13000000
86,Purchases of Investments,-37000000,-42000000,-29000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,48000000,48000000,32000000,- -,- -,- -,- -,- -
88,Other Investing Activites,-70000000,-151000000,-133000000,-6000000,-326000000,-141000000,-57000000,-73000000
89,Cash Used for Investing Activites,29000000,-139000000,-118000000,-12000000,-321000000,-150000000,-64000000,-60000000
90,Debt Repayment,- -,-2000000,-3000000,-12000000,-4000000,-6000000,-12000000,-7000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,52000000,196000000,33000000,-111000000,-14000000,13000000,204000000,-14000000
95,Cash Used/Provided by Financing Activities,52000000,194000000,30000000,-123000000,-18000000,7000000,192000000,-21000000
96,Effect of Forex Changes on Cash,-2000000,-3000000,-1000000,5000000,-16000000,- -,3000000,-2000000
97,Net Change In Cash,16000000,-11000000,8000000,208000000,-73000000,-110000000,165000000,-64000000
98,Cash at the End of Period,33000000,22000000,30000000,237000000,165000000,55000000,220000000,156000000
99,Cash at the Beginning of Period,17000000,33000000,22000000,29000000,238000000,165000000,55000000,220000000
100,Free Cash Flow,-205000000,-266000000,-16000000,141000000,-44000000,-119000000,-35000000,-54000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1705682/000155837018001041/0001558370-18-001041-index.html,https://www.sec.gov/Archives/edgar/data/1705682/000170568219000005/0001705682-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1705682/000170568220000006/0001705682-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1705682/000170568221000005/0001705682-21-000005-index.htm,- -
102,false,,,,,,,,
