,https://roic.ai/company/VYCO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
21,Income Before Tax Ratio,- -,- -,- -,-6.1919,-4.9194,-4.9194,2.1686,-2.2439,-1.8291,-1.1374,-1.0665,0.9139,0.5373,-0.7008
22,Income Tax expense (Gain),- -,- -,- -,2248,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-593996,-2381295,-1141383,-1961662,-4778541,-4778541,-2931306,-2444491,-2082643,-1652280,-1477045,-1379356,-796202,-822482
24,Net Income ratio,-231.5774,-18.3251,-5.7343,-6.1990,-4.9194,-4.9194,-2.4321,-2.2439,-1.8291,-1.1374,-1.0665,-0.9139,-0.5373,-0.7202
25,EPS,-4.50,-16.50,-6.00,-0.45,-0.90,-0.52,-0.39,-0.54,-0.21,-0.15,-0.10,-0.08,-0.05,-0.04
26,EPS Diluted,-4.50,-16.50,-6.00,-0.45,-0.90,-0.52,-0.39,-0.54,-0.21,-0.15,-0.10,-0.08,-0.05,-0.04
27,Weighted Average Shares Outstanding,120075,146527,194566,4421347,5200905,5609922,6324175,7559407,10839335,11066217,18373355,21599118,23958999,26100903
28,Weighted Average Shares Outstanding Diluted,120075,146527,194566,4421347,5200905,5609922,6324175,7559407,10839335,11066217,18373355,21599118,23958999,26100903
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1424768/000114544312000295/0001145443-12-000295-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000114544313000891/0001145443-13-000891-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000114544314000451/0001145443-14-000451-index.htm,https://www.sec.gov/Archives/edgar/data/1424768/000114544315000496/0001145443-15-000496-index.htm,https://www.sec.gov/Archives/edgar/data/1424768/000165495416000200/0001654954-16-000200-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000149315217003109/0001493152-17-003109-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000149315218004220/0001493152-18-004220-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000149315219004176/0001493152-19-004176-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000149315220004858/0001493152-20-004858-index.htm,https://www.sec.gov/Archives/edgar/data/1424768/000149315221007391/0001493152-21-007391-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15739,196138,12771,127081,950841,59821,31303,1891658,347477,56859,206213,86481,72239,46002
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,15739,196138,12771,127081,950841,59821,31303,1891658,347477,56859,206213,86481,72239,46002
34,Net Receivables,2565,89765,29748,76460,313679,144347,212660,123815,106340,148784,110422,257468,278020,159238
35,Inventory,- -,71527,41967,52360,184070,290508,206926,336021,292538,204071,213883,203122,210528,181096
36,Other Current Assets,- -,7040,22369,106782,881005,429102,208063,217800,112338,127375,77990,82575,95645,77565
37,Total Current Assets,18304,364470,106855,362683,2329595,923778,658952,2569294,858693,537089,608508,629646,656432,463901
38,PP&E,- -,213958,191009,773188,671291,827389,- -,582434,521105,401051,489170,372641,374527,381087
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,28773,52659,100746,467004,379579,- -,- -,- -,- -,- -,- -,- -,60984,141532
41,Intangible Assets,28773,52659,100746,467004,379579,- -,- -,- -,- -,- -,- -,- -,60984,141532
42,Investments,- -,- -,- -,- -,- -,53169,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2350,2350,12299,191175,756824,706197,662015,642933,547110,351779,41490,- -,- -
45,Total Non-Current Assets,28773,268967,294105,1252491,1242045,1637382,706197,1244449,1164038,948161,840949,414131,435511,522619
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,47077,633437,400960,1615174,3571640,2561160,1365149,3813743,2022731,1485250,1449457,1043777,1091943,986520
48,Accounts Payable,285215,313611,336942,114447,176181,187789,254024,221703,250367,249949,141319,92955,251927,179110
49,Short-Term Debt,227449,1077197,1111053,1344300,1636125,2195502,578186,321785,315750,316856,318393,518814,586915,740083
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,24990,164056,64906,550152,884010,1635519,4598282,381353,310892,944883,908303,1200835,1607564,1821635
53,Total Current Liabilities,537654,1554864,1512901,2008899,2696316,4018810,5430492,924841,877009,1511688,1368015,1812604,2446406,2740828
54,Long-Term Debt,103250,- -,- -,- -,- -,- -,2373556,2247037,- -,316856,318393,193000,230873,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,103250,- -,- -,- -,- -,- -,2373556,2247037,- -,316856,318393,193000,230873,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28010,121631
61,Total Liabilities,640904,1554864,1512901,2008899,2696316,4018810,5430493,924841,877009,1511688,1368015,1812604,2446406,227008
62,Preferred Stock,- -,- -,- -,- -,1,1,1,24,25,27,27,27,27,27
63,Common Stock,18290,25463,55780,72449,80721,602,675,1088,1103,1144,1993,2324,2539,2753
64,Retained Earnings,-1354010,-3735305,-4876688,-6838350,-11661704,-14587914,-17032405,-21082118,-23332538,-25164545,-26965960,-28669686,-29790258,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-2999,24192,-10795,-45170,67148,132108,130119,124841,127673,127670,127669
66,Other Total Stockholders Equity,741893,2788415,3708967,6375175,12432114,13140456,13761656,23902760,24345024,25006817,26920541,27770835,28305559,-2111765
67,Total Stockholders Equity,-593827,-921427,-1111941,-393725,875324,-1457650,-3315243,2888902,1145722,-26438,81442,-768827,-1354463,-1981316
68,Total Liabilities And Stockholders Equity,47077,633437,400960,1615174,3571640,2561160,2115250,3813743,2022731,1485250,1449457,1043777,1091943,-1754308
69,Minority Interest,- -,- -,- -,- -,- -,- -,-750101,- -,- -,- -,- -,- -,- -,2740828
70,Total Liabilities & Equity,47077,633437,400960,1615174,3571640,2561160,1365149,3813743,2022731,1485250,1449457,1043777,1091943,986520
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1424768/000114544312000295/0001145443-12-000295-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000114544313000891/0001145443-13-000891-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000114544314000451/0001145443-14-000451-index.htm,https://www.sec.gov/Archives/edgar/data/1424768/000114544315000496/0001145443-15-000496-index.htm,https://www.sec.gov/Archives/edgar/data/1424768/000165495416000200/0001654954-16-000200-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000149315217003109/0001493152-17-003109-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000149315218004220/0001493152-18-004220-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000149315219004176/0001493152-19-004176-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000149315220004858/0001493152-20-004858-index.htm,https://www.sec.gov/Archives/edgar/data/1424768/000149315221007391/0001493152-21-007391-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-593996,-2381295,-1141383,-1961662,-4778541,-4778541,-2931306,-2444491,-2082643,-1652280,-1477045,-1379356,-796202,-822482
74,Depreciation and Amortization,6969,18170,36995,56801,230306,351500,376193,382989,368963,267496,289975,177351,69438,57895
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,51129,25789,391706,152069,1755661,297004,450447,376662,274502,482110,334972,625625,534940,520000
77,Change in Working Capital,22066,-655,-1571,27982,-407644,906776,661562,-600119,194322,395438,-64411,816,184097,42309
78,Accounts Receivable,-2565,-87200,60017,-40032,-237294,169729,-67868,88845,17475,-42445,38362,-147047,-20552,115313
79,Inventory,- -,-71527,29560,3908,-131872,-106396,48651,-131663,10046,78292,-54573,4482,-19964,14699
80,Accounts Payable,4315,28396,23331,-233139,62560,11477,65820,-32321,28665,-418,-108630,-48364,158972,-66302
81,Other Working Capital,- -,-2350,- -,-9949,-43970,- -,- -,- -,4079,6666,- -,3169,- -,- -
82,Other Non-Cash Items,84199,1166369,170467,274540,4884,1852331,712961,-415810,77356,10318,389071,315242,14948,-46513
83,Cash Provided by Operating Activities,-429633,-1171622,-543786,-1450270,-3195334,-1370930,-730143,-2700769,-1167500,-496918,-527438,-260322,7221,-248791
84,CAPEX,-7120,-256014,-62133,-30096,-175761,-61510,-194806,-171142,-294309,-57451,-183258,-63523,-58253,-62052
85,Acquisitions Net,- -,- -,- -,-898017,- -,-153641,-163201,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-7120,-35649,-62133,-8575,-113766,-33333,-66752,-40297,-84286,- -,- -,- -,- -,9574
89,Cash Used for Investing Activites,-7120,-256014,-62133,-928113,-175761,-215151,-358007,-171142,-294309,-57451,-183258,-63523,-58253,-52478
90,Debt Repayment,-10500,-117000,-1326500,-361500,-280822,-51193,-71548,-357856,-85300,-82290,- -,- -,- -,-2048
91,Common Stock Issued,- -,- -,300000,1434500,889443,170000,332832,5000000,- -,101000,842873,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1033,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,350000,1725035,1449052,1416500,3564805,610594,827787,83486,- -,248000,20978,200421,40091,288600
95,Cash Used/Provided by Financing Activities,339500,1608035,422552,2489500,4173426,728368,1089071,4725630,-85300,266710,863851,200421,40091,286552
96,Effect of Forex Changes on Cash,- -,- -,- -,3193,21429,-33307,-29439,6606,2928,-2959,-3801,3692,-3301,2
97,Net Change In Cash,-97253,180399,-183367,114310,823760,-891020,-28518,1860325,-1544181,-290618,149354,-119732,-14242,-14715
98,Cash at the End of Period,15739,196138,12771,127081,950841,59821,31303,1891628,347477,56859,206213,86481,72239,46002
99,Cash at the Beginning of Period,112992,15739,196138,12771,127081,950841,59821,31303,1891658,347477,56859,206213,86481,60717
100,Free Cash Flow,-436753,-1427636,-605919,-1480366,-3371095,-1432440,-924949,-2871911,-1461809,-554369,-710696,-323845,-51032,-310843
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1424768/000114544312000295/0001145443-12-000295-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000114544313000891/0001145443-13-000891-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000114544314000451/0001145443-14-000451-index.htm,https://www.sec.gov/Archives/edgar/data/1424768/000114544315000496/0001145443-15-000496-index.htm,https://www.sec.gov/Archives/edgar/data/1424768/000165495416000200/0001654954-16-000200-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000149315217003109/0001493152-17-003109-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000149315218004220/0001493152-18-004220-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000149315219004176/0001493152-19-004176-index.html,https://www.sec.gov/Archives/edgar/data/1424768/000149315220004858/0001493152-20-004858-index.htm,https://www.sec.gov/Archives/edgar/data/1424768/000149315221007391/0001493152-21-007391-index.htm
102,false,,,,,,,,,,,,,,
