,https://roic.ai/company/RESN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,- -,6490000,4510242,7160567,9691115,12426745,25290426,29409776,51254329,62480340
28,Weighted Average Shares Outstanding Diluted,- -,6490000,4510242,7160567,9691115,12426745,25290426,29409776,51254329,62480340
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1579910/000110465915023395/0001104659-15-023395-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991016000020/0001579910-16-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991017000006/0001579910-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991018000002/0001579910-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991019000003/0001579910-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991020000003/0001579910-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991021000005/0001579910-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991022000005/0001579910-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,89044,3338979,5802593,2501000,5084000,19524000,4394000,10688000,24968000,21206000
32,Short-Term Investments,- -,- -,7999553,3006000,4747000,- -,16863000,- -,- -,- -
33,Cash and Short-Term Investments,89044,3338979,13802146,5507000,9831000,19524000,21257000,10688000,24968000,21206000
34,Net Receivables,- -,- -,- -,- -,56000,50000,165000,78000,208000,48000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,21047,927969,105815,138000,160000,636000,364000,375000,511000,691000
37,Total Current Assets,110091,4266948,13907961,5645000,10047000,20210000,21786000,11141000,25687000,21945000
38,PP&E,- -,223760,1040748,992000,994000,1354000,1987000,4140000,3796000,2846000
39,Goodwill,- -,- -,- -,- -,789000,824000,817000,831000,911000,878000
40,Intangible Assets,226018,379703,500010,815000,1253000,1353000,1374000,1817000,2119000,2639000
41,Intangible Assets,226018,379703,500010,815000,2042000,2177000,2191000,2648000,3030000,3517000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,11782,14656,115000,116000,19000,280000,218000,217000,53000
45,Total Non-Current Assets,226018,615245,1555414,1922000,3152000,3550000,4458000,7006000,7043000,6416000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,336109,4882193,15463375,7567000,13199000,23760000,26244000,18147000,32730000,28361000
48,Accounts Payable,53852,91974,222893,518000,905000,708000,695000,1100000,982000,1144000
49,Short-Term Debt,- -,7740843,- -,- -,- -,- -,- -,612000,729000,566000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,279000,143000,271000,1731000,1721000,1907000
52,Other Current Liabilities,235906,5233381,496878,561000,1820000,2250000,2299000,2889000,2419000,3387000
53,Total Current Liabilities,289758,13066198,719771,1079000,3004000,3101000,3265000,6332000,5851000,7004000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,2059000,1764000,1212000
55,Deferred Revenue,- -,- -,- -,- -,46000,- -,- -,- -,62000,4889000
56,Deferred Tax Liabilities,- -,- -,- -,- -,16000,1000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,3279960,53665,20000,- -,10000,81000,- -,- -,- -
58,Total Non-Current Liabilities,- -,3279960,53665,20000,62000,11000,81000,2059000,1826000,6101000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,2671000,2493000,1778000
61,Total Liabilities,289758,16346158,773436,1099000,3066000,3112000,3346000,8391000,7677000,13105000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,6931,7000,12000,20000,27000,33000,59000,67000
64,Retained Earnings,- -,-11465965,-21197175,-30912000,-46159000,-67812000,-92564000,-122492000,-150906000,-186876000
65,Other Comprehensive Income/Loss,- -,-7360,-207761,-672000,-1275000,-1858000,-1797000,1000,87000,51000
66,Other Total Stockholders Equity,46351,8360,36087944,38045000,57555000,90298000,117232000,132214000,175813000,202014000
67,Total Stockholders Equity,46351,-11463965,14689939,6468000,10133000,20648000,22898000,9756000,25053000,15256000
68,Total Liabilities And Stockholders Equity,336109,4882193,15463375,7567000,13199000,23760000,26244000,18147000,32730000,28361000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,336109,4882193,15463375,7567000,13199000,23760000,26244000,18147000,32730000,28361000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1579910/000110465915023395/0001104659-15-023395-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991016000020/0001579910-16-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991017000006/0001579910-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991018000002/0001579910-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991019000003/0001579910-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991020000003/0001579910-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991021000005/0001579910-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991022000005/0001579910-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,-9400000,-9731210,-9715000,-15247000,-21653000,-24816000,-29928000,-28414000,-35970000
74,Depreciation and Amortization,- -,20000,219736,491000,694000,721000,840000,1571000,1602000,1573000
75,Deferred Income Tax,- -,- -,- -,- -,-23000,-14000,-1000,- -,- -,- -
76,Stock Based Compensation,- -,- -,1087278,1611000,2659000,4121000,5262000,5806000,5824000,7954000
77,Change in Working Capital,- -,-8620000,21987440,-8622190,2477000,10066000,1412000,1696000,-1038000,5699000
78,Accounts Receivable,- -,- -,- -,- -,-19000,6000,-115000,87000,-130000,160000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-40000,130919,295000,56000,-143000,107000,249000,-245000,298000
81,Other Working Capital,- -,-8799250,13188190,4566000,7043000,17109000,18521000,1460000,52000,5013000
82,Other Non-Cash Items,- -,15970000,-18176133,8824190,-1219000,-7715000,-828000,149000,389000,642000
83,Cash Provided by Operating Activities,- -,-2030000,-4612889,-7411000,-10659000,-14474000,-18131000,-20706000,-21637000,-20102000
84,CAPEX,- -,-400000,-1157031,-757000,-577000,-1147000,-1504000,-1230000,-1586000,-1961000
85,Acquisitions Net,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-7979889,-9989000,-12249000,- -,-56300000,-12432000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,15000000,10509000,4747000,39590000,29295000,- -,- -
88,Other Investing Activites,- -,- -,-1157031,-857000,310000,-325000,-203000,-424000,-881000,-1254000
89,Cash Used for Investing Activites,- -,-400000,-9136920,4154000,-2830000,3607000,-18198000,15633000,-1586000,-1961000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000
91,Common Stock Issued,- -,- -,18630000,- -,15798000,15950000,21038000,9919000,40173000,18614000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,5670000,-2416577,-45000,280000,9350000,274000,1387000,-2716000,-335000
95,Cash Used/Provided by Financing Activities,- -,5670000,16213423,-45000,16078000,25300000,21312000,11306000,37457000,18249000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-6000,7000,-2000,- -,1000,2000
97,Net Change In Cash,- -,3250000,2463614,-3302000,2583000,14440000,-15019000,6233000,14235000,-3812000
98,Cash at the End of Period,- -,3340000,5802593,2501000,5084000,19524000,4605000,10838000,25073000,21261000
99,Cash at the Beginning of Period,- -,90000,3338979,5803000,2501000,5084000,19624000,4605000,10838000,25073000
100,Free Cash Flow,- -,-2430000,-5769920,-8168000,-11236000,-15621000,-19635000,-21936000,-23223000,-22063000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1579910/000110465915023395/0001104659-15-023395-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991016000020/0001579910-16-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991017000006/0001579910-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991018000002/0001579910-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991019000003/0001579910-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991020000003/0001579910-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991021000005/0001579910-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1579910/000157991022000005/0001579910-22-000005-index.htm
102,false,,,,,,,,,,
