,https://roic.ai/company/IHG,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,991000000,1759000000,2231000000,707000000,594000000,1748000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2898000000,2937000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1117000000,996000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95000000,93000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-1510000000,-1156000000,-2893000000,-1972000000,-1684000000,-1564000000,-1493000000,-2105000000,-2213000000,-2498000000,-2081000000,-2552000000,-2722000000,-3460000000,-4054000000,911000000,540000000
58,Total Non-Current Liabilities,- -,- -,991000000,1759000000,2231000000,-803000000,-562000000,-1145000000,-1972000000,-1684000000,-1564000000,-1493000000,-2105000000,-2213000000,-2498000000,-2081000000,-2552000000,-2722000000,-3460000000,-4054000000,5021000000,4566000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,184000000,- -,- -,- -,- -,209000000,212000000,215000000,218000000,224000000,227000000,231000000,235000000,660000000,450000000,419000000
61,Total Liabilities,- -,- -,- -,- -,- -,-1631000000,-1207000000,-1758000000,-3117000000,-2737000000,-2507000000,-2413000000,-2946000000,-3027000000,-3535000000,-3450000000,-3686000000,-4026000000,-4830000000,-5441000000,6888000000,6190000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53000000,154000000
64,Retained Earnings,- -,- -,- -,- -,- -,2542000000,2129000000,1504000000,2624000000,2656000000,2775000000,3035000000,2781000000,2334000000,1636000000,2653000000,1392000000,1405000000,1166000000,1166000000,568000000,904000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2581000000,- -
66,Other Total Stockholders Equity,- -,- -,8653831066,4846000000,4078000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103000000,-2539000000
67,Total Stockholders Equity,- -,- -,8653831066,4555000000,3790000000,1865000000,1328000000,92002853,-6000000,149000000,271000000,547000000,308000000,-82000000,-725000000,309000000,-767000000,-858000000,-1085000000,-1473000000,-1857000000,-1481000000
68,Total Liabilities And Stockholders Equity,- -,- -,14254000000,9398000000,9214000000,234000000,121000000,-1665997148,-3123000000,-2588000000,-2236000000,-1866000000,-2638000000,-3109000000,-4260000000,-3141000000,-4453000000,-4884000000,-5915000000,-6914000000,5031000000,4709000000
69,Minority Interest,- -,- -,-13685000000,-8807000000,-8743000000,2222000000,1722000000,3415997148,6031000000,5481000000,5021000000,4617000000,5367000000,5834000000,6768000000,6910000000,7380000000,8059000000,9668000000,10871000000,8000000,7000000
70,Total Liabilities & Equity,- -,- -,569000000,591000000,471000000,2456000000,1843000000,1750000000,2908000000,2893000000,2785000000,2751000000,2729000000,2725000000,2508000000,3769000000,2927000000,3175000000,3753000000,3957000000,5039000000,4716000000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/858446/000102123104000275/0001021231-04-000275-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000115697305000612/0001156973-05-000612-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000115697306000376/0001156973-06-000376-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000115697307000535/0001156973-07-000535-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000115697308000368/0001156973-08-000368-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000115697309000202/0001156973-09-000202-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000095012310031236/0000950123-10-031236-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000095012311034472/0000950123-11-034472-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312512138919/0001193125-12-138919-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312513126680/0001193125-13-126680-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312514069218/0001193125-14-069218-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312515064434/0001193125-15-064434-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312516490850/0001193125-16-490850-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312517066763/0001193125-17-066763-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312518066382/0001193125-18-066382-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312519055722/0001193125-19-055722-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312520052322/0001193125-20-052322-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2193034238,460958440,756327575,-92000000,236000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-260000000,266000000
74,Depreciation and Amortization,283353011,212070337,- -,- -,- -,130000000,64000000,-31000000,112000000,109000000,108000000,99000000,94000000,85000000,96000000,- -,- -,- -,- -,- -,172000000,192000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000,41000000
77,Change in Working Capital,-106257379,41235899,- -,85714286,-51000000,-100000000,-41000000,16001369,123000000,59000000,106000000,35000000,21000000,57000000,99000000,53000000,139000000,-19000000,95000000,-67000000,-38000000,110000000
78,Accounts Receivable,- -,- -,- -,185000000,128000000,- -,-31000000,-15000000,42000000,58000000,-35000000,-11000000,-50000000,-9000000,-18000000,- -,- -,- -,- -,- -,- -,- -
79,Inventory,13282172,8836264,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-2007083825,-391741039,83164650,6285714,-185000000,272000000,207000000,246998631,406000000,264000000,248000000,345000000,357000000,482000000,348000000,575000000,613000000,653000000,571000000,733000000,231000000,27000000
83,Cash Provided by Operating Activities,363046045,322523637,839492225,- -,- -,302000000,230000000,232000000,641000000,432000000,462000000,479000000,472000000,624000000,543000000,628000000,752000000,634000000,666000000,666000000,137000000,636000000
84,CAPEX,-643447462,-920444170,-1016805536,- -,- -,-121000000,-87000000,-57000000,-53000000,-100000000,-62000000,-55000000,-44000000,-159000000,-84000000,-42000000,-32000000,-44000000,-46000000,8000000,-76000000,-52000000
85,Acquisitions Net,2625442739,-1070660658,-37659464,- -,-23016725,3503338151,-12000000,17999031,61000000,15000000,28000000,- -,-3000000,10000000,-15000000,-459000000,-12000000,-47000000,-39000000,-304000000,-2000000,-13000000
86,Purchases of Investments,-45749705,-54490295,-21968021,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,-5000000
87,Sales/Maturities of Investments,4427391,7363553,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,14000000
88,Other Investing Activites,-488488784,1652381373,247924807,560714286,204016725,-9338151,1441000000,114999048,-33000000,-29000000,70000000,17000000,-81000000,324000000,222000000,1090000000,-167000000,-172000000,-104000000,-114000000,-45000000,9000000
89,Cash Used for Investing Activites,1452184179,-385850196,-828508214,-305357143,-289000000,3205000000,1214000000,-21004557,-25000000,-114000000,36000000,-38000000,-128000000,175000000,123000000,589000000,-216000000,-263000000,-189000000,-493000000,-61000000,-12000000
90,Debt Repayment,-18293978749,-7952637625,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-415000000,- -
91,Common Stock Issued,16233766,13254396,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-26564345,-151689199,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-20398876,-37000000,-157000000,-81000000,-561000000,-773000000,-118000000,-118000000,-121000000,-148000000,-679000000,-5000000,-2000000,-188000000,-1693000000,-593000000,-199000000,- -,- -,- -
94,Other Financing Activites,16363636364,8114635799,-469174159,- -,-380000000,-3198000000,-1402000000,109999237,-473000000,-244000000,-326000000,-186000000,350000000,-852000000,-734000000,78000000,237000000,147000000,285000000,-660000000,1769000000,-860000000
95,Cash Used/Provided by Financing Activities,-1940672963,23563371,-489573036,- -,-537000000,-3279000000,-1963000000,-663000763,-591000000,-362000000,-447000000,-334000000,-329000000,-857000000,-736000000,-110000000,-1456000000,-446000000,86000000,-660000000,1354000000,-860000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-1918060,-12000000,14000000,2000000,-48000000,2000000,-13000000,-3000000,-2000000,-3000000,-9000000,-64000000,-61000000,16000000,-21000000,8000000,86000000,3000000
97,Net Change In Cash,-125442739,-39763188,-489573036,- -,- -,252000000,-145000000,-127000000,-23000000,-42000000,38000000,104000000,13000000,-61000000,-79000000,1043000000,-981000000,-59000000,542000000,542000000,1516000000,-233000000
98,Cash at the End of Period,1382821724,2945421,- -,- -,- -,324000000,179000000,52000000,82000000,40000000,78000000,182000000,195000000,134000000,55000000,1098000000,117000000,58000000,600000000,600000000,1624000000,1391000000
99,Cash at the Beginning of Period,1508264463,42708609,- -,- -,- -,72000000,324000000,179000000,105000000,82000000,40000000,78000000,182000000,195000000,134000000,55000000,1098000000,117000000,58000000,58000000,108000000,1624000000
100,Free Cash Flow,-280401417,-597920533,-177313311,- -,- -,181000000,143000000,175000000,588000000,332000000,400000000,424000000,428000000,465000000,459000000,586000000,720000000,590000000,620000000,674000000,61000000,584000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/858446/000102123104000275/0001021231-04-000275-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000115697305000612/0001156973-05-000612-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000115697306000376/0001156973-06-000376-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000115697307000535/0001156973-07-000535-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000115697308000368/0001156973-08-000368-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000115697309000202/0001156973-09-000202-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000095012310031236/0000950123-10-031236-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000095012311034472/0000950123-11-034472-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312512138919/0001193125-12-138919-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312513126680/0001193125-13-126680-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312514069218/0001193125-14-069218-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312515064434/0001193125-15-064434-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312516490850/0001193125-16-490850-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312517066763/0001193125-17-066763-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312518066382/0001193125-18-066382-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312519055722/0001193125-19-055722-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312520052322/0001193125-20-052322-index.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,
