,https://roic.ai/company/PBR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119639/000119312504112315/0001193125-04-112315-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312505135283/0001193125-05-135283-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012306008263/0000950123-06-008263-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012307009192/0000950123-07-009192-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000136231008002879/0001362310-08-002879-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012309009383/0000950123-09-009383-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281410001665/0001292814-10-001665-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281411001552/0001292814-11-001552-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281412000786/0001292814-12-000786-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119639/000119312517140235/0001193125-17-140235-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312518120259/0001193125-18-120259-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312519093231/0001193125-19-093231-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312520080953/0001193125-20-080953-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,3301000000,9610000000,6856000000,9871000000,12688000000,6987000000,6499000000,16169000000,17633000000,19057000000,8511000000,15868000000,16655000000,25058000000,21205000000,22519000000,13899000000,7372000000,11711000000,10467000000
32,Short-Term Investments,- -,- -,- -,334000000,1173000000,1862000000,1810000000,3262000000,267000000,124000000,72000000,15612000000,- -,11441000000,6666000000,9323000000,3527000000,3052000000,3795000000,2759000000,5499000000,659000000,650000000
33,Cash and Short-Term Investments,- -,- -,- -,3635000000,10783000000,8718000000,11681000000,15950000000,7254000000,6623000000,16241000000,33245000000,19057000000,19952000000,22534000000,25978000000,28585000000,24257000000,26314000000,16658000000,12871000000,12370000000,11117000000
34,Net Receivables,- -,- -,- -,2267000000,2905000000,4285000000,6184000000,6311000000,6538000000,6613000000,12055000000,10572000000,11756000000,- -,- -,11780000000,- -,- -,- -,- -,- -,7326000000,7714000000
35,Inventory,- -,- -,- -,2540000000,2947000000,4904000000,5305000000,6573000000,9231000000,7990000000,11227000000,11834000000,15165000000,12189000000,14225000000,11466000000,7441000000,8475000000,8489000000,8987000000,8189000000,5677000000,7255000000
36,Other Current Assets,- -,- -,- -,1755000000,1265000000,1519000000,2608000000,2121000000,- -,- -,3121000000,8212000000,- -,- -,- -,1608000000,- -,- -,- -,- -,- -,2015000000,4063000000
37,Total Current Assets,- -,- -,- -,10197000000,17900000000,19426000000,25778000000,30955000000,23023000000,21226000000,42644000000,63863000000,45978000000,32141000000,36759000000,50832000000,36026000000,32732000000,34803000000,25645000000,21060000000,27388000000,30149000000
38,PP&E,- -,- -,- -,18224000000,30805000000,37020000000,45920000000,58897000000,84523000000,84719000000,136167000000,218567000000,182465000000,136934000000,227901000000,218730000000,161297000000,175470000000,176650000000,157383000000,159265000000,124201000000,125330000000
39,Goodwill,- -,- -,- -,- -,183000000,211000000,237000000,243000000,313000000,118000000,139000000,192000000,- -,- -,- -,366000000,- -,- -,- -,- -,- -,24000000,22000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43866000000,38170000000,15419000000,4143000000,3092000000,3272000000,2340000000,2805000000,19473000000,14924000000,3003000000
41,Intangible Assets,- -,- -,- -,- -,183000000,211000000,237000000,243000000,313000000,118000000,139000000,192000000,43866000000,38170000000,15419000000,4509000000,3092000000,3272000000,2340000000,2805000000,19473000000,14948000000,3025000000
42,Investments,- -,- -,- -,208000000,340000000,313000000,129000000,94000000,267000000,124000000,7009000000,15612000000,- -,11441000000,- -,5862000000,- -,- -,- -,- -,- -,3317000000,1554000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5462000000,- -,- -,- -,- -,1006000000,- -,- -,- -,- -,- -,6451000000,604000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8849000000,- -,- -,- -,- -,17748000000,- -,- -,- -,- -,- -,13705000000,13686000000
45,Total Non-Current Assets,- -,- -,- -,18432000000,31328000000,37544000000,46286000000,59234000000,85103000000,84961000000,157626000000,234371000000,226331000000,186545000000,243320000000,247855000000,164389000000,178742000000,178990000000,160188000000,178738000000,162622000000,144199000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,28629000000,49228000000,56970000000,72064000000,90189000000,108126000000,106187000000,200270000000,298234000000,272309000000,218686000000,280079000000,298687000000,200415000000,211474000000,213793000000,185833000000,199798000000,190010000000,174348000000
48,Accounts Payable,- -,- -,- -,1702000000,2261000000,3284000000,3838000000,5418000000,7816000000,7763000000,9882000000,- -,- -,6783000000,- -,9760000000,- -,- -,- -,- -,- -,6859000000,5483000000
49,Short-Term Debt,- -,- -,- -,671000000,1329000000,547000000,950000000,1293000000,1458000000,2399000000,8553000000,- -,- -,- -,- -,11868000000,- -,- -,- -,- -,- -,4186000000,9073000000
50,Tax Payable,- -,- -,- -,- -,2305000000,2569000000,3423000000,3357000000,560000000,332000000,- -,- -,- -,5147000000,- -,- -,- -,- -,- -,- -,- -,- -,4734000000
51,Deferred Revenue,- -,- -,- -,135000000,1122000000,1558000000,2159000000,2916000000,498000000,500000000,- -,534000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,4437000000,6509000000,7939000000,11208000000,12159000000,- -,- -,12530000000,33018000000,36364000000,27287000000,35226000000,9490000000,28573000000,24903000000,24948000000,25051000000,28816000000,15180000000,9620000000
53,Total Current Liabilities,- -,- -,- -,6945000000,11221000000,13328000000,18155000000,21786000000,9772000000,10662000000,30965000000,33552000000,36364000000,34070000000,35226000000,31118000000,28573000000,24903000000,24948000000,25051000000,28816000000,26225000000,24176000000
54,Long-Term Debt,- -,- -,- -,671000000,1329000000,547000000,950000000,1293000000,1458000000,2399000000,48352000000,60471000000,72718000000,23292000000,106235000000,120274000000,- -,- -,- -,- -,- -,65654000000,49670000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9844000000,- -,- -,- -,- -,3031000000,- -,- -,- -,- -,- -,195000000,1229000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15689000000,- -,- -,20553000000,- -,27286000000,- -,- -,- -,- -,- -,38060000000,29461000000
58,Total Non-Current Liabilities,- -,- -,- -,671000000,1329000000,547000000,950000000,1293000000,1458000000,2399000000,73885000000,60471000000,72718000000,43845000000,106235000000,150591000000,- -,- -,- -,- -,- -,103909000000,80360000000
59,Other Liabilities,- -,- -,- -,9634000000,14980000000,13590000000,9274000000,10136000000,121401000000,117432000000,- -,- -,- -,286061000000,243309000000,- -,135893000000,144530000000,144916000000,123842000000,126709000000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,1907000000,1242000000,1069000000,1015000000,824000000,738000000,595000000,430000000,222000000,142000000,104000000,89000000,72000000,51000000,244000000,229000000,185000000,23861000000,21650000000,23043000000
61,Total Liabilities,- -,- -,- -,15908000000,24872000000,26371000000,26479000000,30629000000,129715000000,125695000000,104850000000,31263000000,33218000000,276286000000,172300000000,181709000000,164466000000,169433000000,169864000000,148893000000,155525000000,130134000000,104536000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,8620000000,15106000000,15106000000,45840000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,3761000000,4289000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107101000000,- -,- -,- -,- -,- -,107101000000,107101000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51753000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52324000000,- -,- -,- -,- -,-75245000000,- -,- -,- -,- -,- -,-100674000000,-37694000000
66,Other Total Stockholders Equity,- -,- -,- -,5540000000,12863000000,22506000000,- -,- -,129715000000,125695000000,95991000000,308683000000,319410000000,276286000000,149123000000,84416000000,66055000000,77550000000,- -,- -,- -,52921000000,- -
67,Total Stockholders Equity,- -,- -,- -,9301000000,17152000000,22506000000,32917000000,44299000000,65179000000,61909000000,94058000000,181494000000,175838000000,167887000000,148527000000,116272000000,65236000000,76779000000,79802000000,71544000000,73323000000,59348000000,69407000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,25209000000,42024000000,48877000000,59396000000,74928000000,194894000000,187604000000,198908000000,212757000000,209056000000,444173000000,320827000000,297981000000,229702000000,246212000000,249666000000,220437000000,228848000000,189482000000,173943000000
69,Minority Interest,- -,- -,- -,3420000000,7204000000,8093000000,12668000000,15261000000,-86768000000,-81417000000,1362000000,85477000000,63253000000,-225487000000,-40748000000,706000000,-29287000000,-34738000000,-35873000000,-34604000000,-29050000000,528000000,405000000
70,Total Liabilities & Equity,- -,- -,- -,28629000000,49228000000,56970000000,72064000000,90189000000,108126000000,106187000000,200270000000,298234000000,272309000000,218686000000,280079000000,298687000000,200415000000,211474000000,213793000000,185833000000,199798000000,190010000000,174348000000
71,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1119639/000119312504112315/0001193125-04-112315-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312505135283/0001193125-05-135283-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012306008263/0000950123-06-008263-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012307009192/0000950123-07-009192-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000136231008002879/0001362310-08-002879-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012309009383/0000950123-09-009383-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281410001665/0001292814-10-001665-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281411001552/0001292814-11-001552-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281412000786/0001292814-12-000786-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119639/000119312517140235/0001193125-17-140235-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312518120259/0001193125-18-120259-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312519093231/0001193125-19-093231-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312520080953/0001193125-20-080953-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,727000000,5342000000,3491000000,2311000000,11436000000,5961000000,815000000,1008000000,19299000000,42421000000,19549000000,1474000000,27285000000,11034000000,11094000000,-7367000000,-8450000000,4308000000,287000000,-960000000,-1075000000,1141000000,19875000000
74,Depreciation and Amortization,1987000000,2043000000,1731000000,1951000000,- -,5198000000,10150000000,20725000000,7909000000,5928000000,7188000000,8507000000,24055000000,11119000000,13188000000,13023000000,11591000000,13965000000,13307000000,12028000000,14836000000,11445000000,- -
75,Deferred Income Tax,184000000,949000000,193000000,-116000000,- -,- -,- -,- -,- -,2355000000,860000000,2960000000,- -,2254000000,402000000,-3045000000,-2043000000,-913000000,467000000,764000000,2798000000,-4916000000,3072000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,11000000,-1551000000,524000000,-949000000,- -,1546000000,4082000000,-2687000000,19747000000,-20697000000,-11543000000,3462000000,5920000000,-6546000000,-4612000000,-6620000000,-2203000000,376000000,2026000000,-9261000000,-8350000000,2430000000,-558000000
78,Accounts Receivable,- -,- -,- -,- -,- -,-2042177000000,-5114060000000,-8858270000000,-3608351000000,-1098000000,-777000000,-2347000000,-2235000000,- -,- -,- -,- -,1131000000,708000000,102000000,87000000,- -,- -
79,Inventory,-319000000,-1048000000,232000000,-1139000000,- -,- -,- -,- -,- -,-568000000,-672000000,-427000000,- -,-1864000000,-2128000000,570000000,291000000,343000000,66000000,420000000,15000000,724000000,-2334000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,2246000000,206000000,251000000,-23028000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1073000000
81,Other Working Capital,- -,- -,- -,- -,7623000000,9169000000,13251000000,10564000000,30311000000,9614000000,-1929000000,1533000000,7453000000,-735000000,-796000000,-834000000,-1498000000,7829000000,9855000000,594000000,-7756000000,-1869000000,-4325000000
82,Other Non-Cash Items,1835000000,857000000,2804000000,3090000000,-11436000000,-2334663000000,-20937000000,-1986458000000,-5256938000000,-1787000000,8866000000,12092000000,-484421000000,10027000000,6217000000,30641000000,27018000000,8378000000,11025000000,23782000000,17068000000,18790000000,15402000000
83,Cash Provided by Operating Activities,4744000000,7640000000,8743000000,6287000000,- -,-2321958000000,-5890000000,-1967412000000,-5209983000000,28220000000,24920000000,28495000000,-427161000000,27888000000,26289000000,26632000000,25913000000,26114000000,27112000000,26353000000,25277000000,28890000000,37791000000
84,CAPEX,-4351000000,-3583000000,-4254000000,-4911000000,-6551000000,-488000000,-19000000,-460000000,-904000000,-29874000000,-35134000000,-45078000000,- -,-25863000000,-45110000000,-34808000000,-21653000000,- -,- -,- -,- -,-5874000000,-6325000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-1551000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44000000,1812000000,- -,-24000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-199000000,-5469000000,-108000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2051000000,5718000000,- -,7982000000,- -,- -,- -,- -,66000000,- -
88,Other Investing Activites,44000000,6000000,-338000000,-1745000000,1032000000,-1405754000000,-2270951000000,-1890584000000,-5942556000000,408000000,14000000,-17942000000,-8816399000000,-14567000000,-41144000000,-31006000000,-20667000000,577000000,2607000000,1396000000,-7165000000,1298000000,8506000000
89,Cash Used for Investing Activites,-4307000000,-3577000000,-4592000000,-6656000000,-5519000000,-1406242000000,-2270970000000,-1891044000000,-5945011000000,-29466000000,-35120000000,-63020000000,-8857776000000,-38379000000,-35625000000,-36475000000,-12793000000,-11303000000,-11032000000,-4762000000,-3496000000,-4510000000,2157000000
90,Debt Repayment,- -,- -,- -,- -,321000000,-465208000000,-602410000000,-1731726000000,-1557783000000,380000000,1286000000,460000000,-1166000000,-11347000000,-18455000000,-10031000000,-14809000000,-372000000,-799000000,-2573000000,-2330000000,-31607000000,-27240000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-342000000,-512000000,-1725000000,-1018000000,-13000000,- -,- -,- -,- -,-4747000000,-7712000000,- -,- -,-3272000000,-2656000000,-3918000000,- -,-473000000,-452000000,-808000000,-1436000000,-1367000000,-13078000000
94,Other Financing Activites,2320000000,-298000000,-29000000,-596000000,2068000000,4636524000000,2002731000000,5870249000000,12876880000000,7145000000,23361000000,34926000000,8908007000000,20688000000,34406000000,24957000000,11215000000,-18269000000,-13387000000,-26212000000,-27795000000,13715000000,-473000000
95,Cash Used/Provided by Financing Activities,1978000000,-810000000,-1754000000,-1614000000,2376000000,4171316000000,1400321000000,4138523000000,11319097000000,2778000000,16935000000,35386000000,8906841000000,6069000000,13295000000,11008000000,-3594000000,-19114000000,-14638000000,-29593000000,-31561000000,-19259000000,-40791000000
96,Effect of Forex Changes on Cash,-213000000,-442000000,-863000000,-2076000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1115000000,-1611000000,-378000000,-1123000000,- -,- -,- -,- -,-773000000,-402000000
97,Net Change In Cash,2202000000,2811000000,1534000000,-4059000000,6309000000,443116000000,-876539000000,280067000000,164103000000,-488000000,9670000000,1464000000,2889935000000,-5537000000,2348000000,787000000,8403000000,-3853000000,1314000000,-8620000000,-6522000000,4348000000,-1245000000
98,Cash at the End of Period,3015000000,5826000000,7360000000,3301000000,9610000000,1107284000000,230745000000,510812000000,674915000000,6499000000,16169000000,17633000000,4087376000000,13520000000,15868000000,16655000000,25058000000,21205000000,22519000000,13899000000,7377000000,11725000000,10480000000
99,Cash at the Beginning of Period,813000000,3015000000,5826000000,7360000000,3301000000,664168000000,1107284000000,230745000000,510812000000,6987000000,6499000000,16169000000,1197441000000,19057000000,13520000000,15868000000,16655000000,25058000000,21205000000,22519000000,13899000000,7377000000,11725000000
100,Free Cash Flow,393000000,4057000000,4489000000,1376000000,-6551000000,-2322446000000,-5909000000,-1967872000000,-5210887000000,-1654000000,-10214000000,-16583000000,-427161000000,2025000000,-18821000000,-8176000000,4260000000,26114000000,27112000000,26353000000,25277000000,23016000000,31466000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119639/000119312504112315/0001193125-04-112315-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312505135283/0001193125-05-135283-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012306008263/0000950123-06-008263-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012307009192/0000950123-07-009192-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000136231008002879/0001362310-08-002879-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012309009383/0000950123-09-009383-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281410001665/0001292814-10-001665-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281411001552/0001292814-11-001552-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281412000786/0001292814-12-000786-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119639/000119312517140235/0001193125-17-140235-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312518120259/0001193125-18-120259-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312519093231/0001193125-19-093231-index.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312520080953/0001193125-20-080953-index.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
