,https://roic.ai/company/LRN,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,698000,- -
13,Interest Expense (Gain),516000,- -,488000,- -,- -,982000,1331000,1207000,989000,- -,- -,- -,617000,- -,- -,- -,- -,- -
14,Depreciation and Amortization,4922000,5509000,4986000,7404000,12568000,20835000,25761000,42934000,58033000,65737000,86267000,83801000,68225000,74280000,75260000,71400000,72091000,90077000
15,EBITDA,-1993000,1969000,6832000,11487000,25283000,43760000,61866000,68275000,88447000,113871000,116942000,100599000,82623000,80127000,101970000,119129000,105138000,186067000
16,EBITDA ratio,-0.0279,0.0231,0.0584,0.0817,0.1118,0.1387,0.1609,0.1307,0.1249,0.1342,0.1272,0.1061,0.0947,0.0902,0.1111,0.1173,0.1010,0.1211
17,Operating Income,-6915000,85310000,1846000,4722000,13010000,22339000,35467000,24214000,28980000,45706000,22856000,18427000,13914000,13129000,25545000,45486000,32457000,110456000
18,Operating Income ratio,-0.0968,1.0000,0.0158,0.0336,0.0575,0.0708,0.0922,0.0463,0.0409,0.0539,0.0249,0.0194,0.0159,0.0148,0.0278,0.0448,0.0312,0.0719
19,Total Other Income Expenses (Gains),-516000,- -,-488000,-639000,-295000,-982000,-1331000,-1207000,-989000,851000,6335000,-3291000,-617000,-8192000,965000,2875000,970000,-15150000
20,Income Before Tax,-7431000,- -,1358000,4083000,12715000,21357000,34136000,23007000,27991000,46557000,29191000,15136000,13297000,4937000,26510000,48361000,33427000,95306000
21,Income Before Tax Ratio,-0.1040,- -,0.0116,0.0290,0.0562,0.0677,0.0888,0.0440,0.0395,0.0549,0.0317,0.0160,0.0152,0.0056,0.0289,0.0476,0.0321,0.0620
22,Income Tax expense (Gain),- -,- -,- -,218000,-21058000,9628000,13249000,11342000,11882000,20023000,11075000,5810000,4746000,5396000,-910000,10520000,8541000,24539000
23,Net Income,-7431000,-3540000,1358000,3865000,33773000,12315000,21525000,12792000,17543000,28111000,19600000,10988000,9035000,451000,27620000,37209000,24506000,71451000
24,Net Income ratio,-0.1040,-0.0415,0.0116,0.0275,0.1493,0.0390,0.0560,0.0245,0.0248,0.0331,0.0213,0.0116,0.0104,0.0005,0.0301,0.0366,0.0235,0.0465
25,EPS,-2.58,-12.54,-2.30,1.93,1.18,0.43,0.72,0.37,0.46,0.72,0.50,0.29,0.24,0.01,0.70,0.96,0.62,1.78
26,EPS Diluted,-2.58,-12.54,-2.30,1.93,1.10,0.42,0.71,0.37,0.45,0.72,0.50,0.29,0.23,0.01,0.68,0.91,0.60,1.71
27,Weighted Average Shares Outstanding,10025581,1973053,10082609,2001661,15701278,28746188,29791973,31577758,35802678,36267345,38987470,37330569,37613782,38298581,39282674,38848780,39478928,40211016
28,Weighted Average Shares Outstanding Diluted,10025581,1973053,10082609,2001661,16850909,29639974,30248683,32114761,35990863,39017345,39230516,37625425,38850388,39500934,40637744,40944800,40663224,41868580
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1157408/000095013308003260/0000950133-08-003260-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000095012309042811/0000950123-09-042811-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000095012310085496/0000950123-10-085496-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000119312511266919/0001193125-11-266919-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000104746912008819/0001047469-12-008819-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000104746913008761/0001047469-13-008761-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000104746914007036/0001047469-14-007036-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000104746915006545/0001047469-15-006545-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000104746916014855/0001047469-16-014855-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000155837017006309/0001558370-17-006309-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000155837018006642/0001558370-18-006642-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000155837019007293/0001558370-19-007293-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000155837020010355/0001558370-20-010355-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000155837021011173/0001558370-21-011173-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,19953000,9475000,1660000,71682000,49461000,81751000,193099000,144652000,181480000,196109000,195852000,213989000,230864000,231113000,283121000,212299000,386080000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,19953000,9475000,1660000,71682000,49461000,81751000,193099000,144652000,181480000,196109000,195852000,213989000,230864000,231113000,283121000,212299000,386080000
34,Net Receivables,- -,8456000,11449000,15455000,30630000,52532000,71184000,96235000,160922000,186459000,194676000,188246000,169554000,192205000,176319000,191639000,236134000,369303000
35,Inventory,- -,5712000,11110000,13804000,20672000,32052000,26193000,30554000,37853000,44395000,33830000,29571000,30631000,30503000,31134000,29946000,28300000,39690000
36,Other Current Assets,- -,797000,2900000,1245000,11992000,17652000,24150000,28211000,43412000,45615000,40586000,45294000,31681000,20010000,20666000,24950000,24538000,62457000
37,Total Current Assets,- -,34918000,34934000,32164000,134976000,151697000,203278000,348099000,386839000,457949000,465201000,458963000,445855000,473582000,459232000,529656000,501271000,857530000
38,PP&E,- -,4355000,10388000,17234000,24536000,37860000,40713000,102244000,150957000,56142000,48581000,34407000,28447000,26297000,28868000,31980000,150436000,166740000
39,Goodwill,- -,- -,- -,- -,1754000,1825000,1825000,55627000,61619000,61413000,58088000,66160000,87285000,87214000,90197000,90197000,174939000,240353000
40,Intangible Assets,- -,2324000,2524000,9671000,21366000,31649000,53941000,62677000,36736000,140203000,134402000,142579000,156522000,142108000,127046000,119462000,174842000,207184000
41,Intangible Assets,- -,2324000,2524000,9671000,23120000,33474000,55766000,118304000,98355000,201616000,192490000,208739000,243807000,229322000,217243000,209659000,349781000,447537000
42,Investments,- -,- -,- -,- -,- -,- -,- -,10000000,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,12749000,14619000,5912000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,371000,639000,2143000,1943000,2526000,2213000,3448000,2684000,3150000,5387000,6490000,15944000,6057000,36620000,48311000,71824000,105510000
45,Total Non-Current Assets,- -,7050000,13551000,29048000,62348000,88479000,104604000,233996000,261996000,260908000,246458000,249636000,288198000,261676000,282731000,289950000,572041000,719787000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,41968000,48485000,61212000,197324000,240176000,307882000,582095000,648835000,718857000,711659000,708599000,734053000,735258000,741963000,819606000,1073312000,1577317000
48,Accounts Payable,- -,4790000,6349000,6928000,14388000,10366000,12691000,21176000,23951000,21838000,30976000,29819000,25919000,30052000,29362000,50488000,40428000,62144000
49,Short-Term Debt,- -,441000,4025000,6049000,6520000,11274000,12247000,13357000,17095000,19785000,20492000,16635000,13210000,11880000,13353000,19588000,133993000,47985000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,895000,1396000,2620000,3114000,3389000,9593000,21907000,25410000,28567000,24353000,24927000,25964000,24830000,23114000,22828000,24417000,38110000
52,Other Current Liabilities,- -,5839000,7743000,8019000,14733000,15620000,19403000,27212000,31157000,38997000,37939000,39276000,57919000,50989000,50395000,62683000,74578000,158005000
53,Total Current Liabilities,- -,11965000,19513000,23616000,38755000,40649000,53934000,83652000,97613000,109187000,113760000,110657000,123012000,117751000,116224000,155587000,273416000,306244000
54,Long-Term Debt,- -,4025000,- -,4163000,6641000,1906000,655000,2299000,777000,- -,- -,- -,- -,- -,- -,- -,101178000,418297000
55,Deferred Revenue,- -,- -,- -,- -,- -,1699000,2217000,4698000,6974000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,9604000,38565000,33299000,22478000,22456000,18458000,16726000,12577000,16670000,13771000,31853000
57,Other Non-Current Liabilities,- -,- -,1598000,231240000,1640000,9222000,25084000,11895000,10058000,42652000,46499000,38548000,33865000,26461000,25973000,13984000,9569000,16255000
58,Total Non-Current Liabilities,- -,4025000,1598000,235403000,8281000,12827000,27956000,28496000,56374000,75951000,68977000,61004000,52323000,43187000,38550000,30654000,124518000,466405000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,441000,- -,- -,- -,19462000,18706000,20466000,31074000,35502000,36939000,29657000,23132000,21905000,26018000,24648000,135171000,167011000
61,Total Liabilities,- -,15990000,21111000,259019000,47036000,53476000,81890000,112148000,153987000,185138000,182737000,171661000,175335000,160938000,154774000,186241000,397934000,772649000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,1000,3000,3000,3000,63116000,4000,63116000,4000,4000,4000,4000,4000,4000,4000,4000
64,Retained Earnings,- -,-150300000,-173452000,-197808000,-173336000,-161021000,-139496000,-126704000,-109161000,-81050000,-61450000,-50462000,-41427000,-40976000,-13432000,22447000,46953000,112151000
65,Other Comprehensive Income/Loss,- -,- -,- -,-20943000,-31289000,-46939000,-63610000,28000,100000,-294000,-112000,-1065000,-293000,-170000,-252000,-40000,93000,-474000
66,Other Total Stockholders Equity,- -,- -,- -,20943000,354910000,390243000,424954000,512181000,582551000,548390000,590488000,588461000,600436000,615488000,600869000,610954000,628279000,692967000
67,Total Stockholders Equity,- -,-150299000,-173451000,-197807000,150288000,182286000,221851000,448621000,473494000,530162000,528930000,536938000,558720000,574346000,587189000,633365000,675329000,804648000
68,Total Liabilities And Stockholders Equity,- -,-134309000,-152340000,61212000,197324000,235762000,303741000,560769000,627481000,715300000,711667000,708599000,734055000,735284000,741963000,819606000,1073263000,1577297000
69,Minority Interest,- -,176277000,200825000,- -,- -,4414000,4141000,21326000,21354000,3557000,-8000,- -,-2000,-26000,- -,- -,49000,20000
70,Total Liabilities & Equity,- -,41968000,48485000,61212000,197324000,240176000,307882000,582095000,648835000,718857000,711659000,708599000,734053000,735258000,741963000,819606000,1073312000,1577317000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1157408/000095013308003260/0000950133-08-003260-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000095012309042811/0000950123-09-042811-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000095012310085496/0000950123-10-085496-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000119312511266919/0001193125-11-266919-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000104746912008819/0001047469-12-008819-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000104746913008761/0001047469-13-008761-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000104746914007036/0001047469-14-007036-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000104746915006545/0001047469-15-006545-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000104746916014855/0001047469-16-014855-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000155837017006309/0001558370-17-006309-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000155837018006642/0001558370-18-006642-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000155837019007293/0001558370-19-007293-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000155837020010355/0001558370-20-010355-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000155837021011173/0001558370-21-011173-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-7431000,-3540000,1358000,3865000,33773000,12315000,21525000,12792000,17543000,28111000,19600000,10988000,9035000,451000,27620000,37209000,24506000,71451000
74,Depreciation and Amortization,4922000,5509000,4986000,7404000,12568000,20835000,25761000,42934000,58033000,65737000,86267000,83801000,68225000,74280000,75260000,71400000,72091000,90077000
75,Deferred Income Tax,- -,- -,- -,- -,-21093000,9584000,11858000,10978000,10297000,15770000,-7186000,-3094000,-3818000,-7065000,-4015000,3693000,-1305000,2549000
76,Stock Based Compensation,- -,- -,- -,- -,- -,2790000,5934000,9466000,10067000,14374000,22828000,21299000,18616000,22598000,20817000,16676000,23609000,39333000
77,Change in Working Capital,-10822000,23733000,-7532000,-6873000,87673000,14827000,38296000,115103000,24779000,59536000,2679000,-3135000,-25463000,32988000,-12823000,31061000,-146214000,323431000
78,Accounts Receivable,-10641000,3434000,-2718000,- -,- -,-21999000,-18460000,-15810000,-64270000,-27708000,-12257000,-1892000,14463000,-27745000,11987000,-21637000,-37772000,-143073000
79,Inventory,-1314000,-555000,-5359000,-2790000,-7275000,-11529000,4840000,-4621000,-8918000,-6929000,6272000,2853000,-1751000,-348000,-3801000,-3321000,-16181000,-39164000
80,Accounts Payable,-47000,-163000,1559000,- -,- -,-4022000,2326000,2726000,2794000,-2115000,9778000,-1192000,-3900000,5317000,-2336000,20174000,-6213000,18930000
81,Other Working Capital,-780000,22953000,15421000,8548000,96221000,111048000,149344000,264447000,289226000,348762000,351441000,348306000,322843000,355831000,343008000,374069000,227855000,551286000
82,Other Non-Cash Items,5311000,-16005000,4813000,1167000,-97387000,-67206000,-47851000,-124060000,-87728000,-88235000,-711000,10226000,55183000,-34524000,-3232000,-18433000,107728000,-392691000
83,Cash Provided by Operating Activities,-8020000,9697000,3625000,5563000,15534000,-6855000,55523000,67213000,32991000,95293000,123477000,120085000,121778000,88728000,103627000,141606000,80415000,134150000
84,CAPEX,-5434000,-8479000,-11497000,-14049000,-18395000,-13955000,-10357000,-29563000,-32477000,-50345000,-49369000,-61740000,-62900000,-48224000,-43203000,-48406000,-44997000,-52263000
85,Acquisitions Net,- -,- -,- -,- -,-119000,- -,- -,-25382000,-12641000,- -,- -,-6512000,-19953000,-9063000,-7274000,-13092000,-172368000,-72861000
86,Purchases of Investments,- -,- -,- -,- -,- -,-13931000,-13904000,-28086000,-16123000,- -,- -,- -,- -,- -,- -,- -,- -,-40542000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-4898000,-3787000,-655000,- -,- -,-2516000,-843000,- -,- -,-42006000,-38399000,-51812000,-57892000,-45961000,-34460000,-42540000,-43320000,-48473000
89,Cash Used for Investing Activites,-5434000,-8479000,-11497000,-14049000,-18514000,-30386000,-25104000,-83031000,-61241000,-50345000,-45804000,-68252000,-82853000,-57198000,-50477000,-61109000,-217365000,-165443000
90,Debt Repayment,-2372000,-3432000,-441000,- -,- -,-9937000,-13974000,-32104000,-18420000,-21808000,-23084000,-21939000,-17402000,-15697000,-13301000,-21034000,-32675000,-124315000
91,Common Stock Issued,- -,- -,- -,292000,90978000,- -,- -,125618000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1627000,-1605000,-2546000,-53566000,-29124000,-3394000,-6191000,-37796000,-9958000,-6761000,-9228000
93,Dividends Paid,- -,- -,- -,- -,-6406000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,23980000,6286000,-2165000,379000,-11570000,24957000,15845000,35251000,258000,16142000,12644000,671000,20000,7244000,196000,2003000,105064000,338119000
95,Cash Used/Provided by Financing Activities,21608000,2854000,-2606000,671000,73002000,15020000,1871000,127138000,-19767000,-8212000,-64006000,-50392000,-20776000,-14644000,-50901000,-28989000,65628000,204576000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,28000,-430000,92000,962000,-1698000,-12000,-11000,- -,- -,- -,- -
97,Net Change In Cash,8154000,4072000,-10478000,-7815000,70022000,-22221000,32290000,111348000,-48447000,36828000,14629000,-257000,18137000,16875000,2249000,51508000,-71322000,173283000
98,Cash at the End of Period,15881000,19953000,9475000,1660000,71682000,49461000,81751000,193099000,144652000,181480000,196109000,195852000,213989000,230864000,233113000,284621000,213299000,386582000
99,Cash at the Beginning of Period,7727000,15881000,19953000,9475000,1660000,71682000,49461000,81751000,193099000,144652000,181480000,196109000,195852000,213989000,230864000,233113000,284621000,213299000
100,Free Cash Flow,-13454000,1218000,-7872000,-8486000,-2861000,-20810000,45166000,37650000,514000,44948000,74108000,58345000,58878000,40504000,60424000,93200000,35418000,81887000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1157408/000095013308003260/0000950133-08-003260-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000095012309042811/0000950123-09-042811-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000095012310085496/0000950123-10-085496-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000119312511266919/0001193125-11-266919-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000104746912008819/0001047469-12-008819-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000104746913008761/0001047469-13-008761-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000104746914007036/0001047469-14-007036-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000104746915006545/0001047469-15-006545-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000104746916014855/0001047469-16-014855-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000155837017006309/0001558370-17-006309-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000155837018006642/0001558370-18-006642-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000155837019007293/0001558370-19-007293-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000155837020010355/0001558370-20-010355-index.htm,https://www.sec.gov/Archives/edgar/data/1157408/000155837021011173/0001558370-21-011173-index.htm
102,false,,,,,,,,,,,,,,,,,,
