,https://roic.ai/company/ICTSF,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
24,Net Income ratio,0.0369,0.0743,0.0140,0.0171,0.0074,0.1237,0.2030,-0.2641,-0.4136,-0.4311,-0.2314,-0.0395,-0.0199,0.0305,-0.0825,-0.0203,-0.0876,-0.0273,0.0083,-0.0251,0.0092,0.0196,-0.0325,-0.0241,0.0177
25,EPS,0.28,0.62,0.14,0.37,0.17,4.19,8.85,-2.90,-3.98,-3.81,-2.16,-0.39,-0.30,0.43,-1.02,-0.27,-1.12,-0.43,0.18,-0.58,0.20,0.28,-0.48,-0.26,0.12
26,EPS Diluted,0.28,0.61,0.14,0.37,0.17,4.09,8.80,-2.90,-3.98,-3.81,-2.16,-0.39,-0.30,0.43,-1.02,-0.27,-1.12,-0.43,0.18,-0.58,0.20,0.28,-0.48,-0.26,0.11
27,Weighted Average Shares Outstanding,3928571,6451613,6428571,6216216,6376471,6261814,6419774,6518621,6523116,6530184,6513889,6558974,6528100,6790707,7949661,8014882,8036698,8036780,8054390,8085599,11518929,21000000,23415068,30524461,35827854
28,Weighted Average Shares Outstanding Diluted,3928571,6557377,6428571,6216216,6376471,6414914,6456250,6518621,6523116,6530184,6513889,6558974,6528100,6790707,7949661,8014882,8036698,8036780,8054390,8085599,11518929,21000000,23415068,30524461,38424718
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,32465000,7660000,3426000,5927000,1743000,2095000,3750000,4835000,4583000,4147000,1221000,3185000,5973000,7912000,3892000,9073000,12801000,52352000,51602000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,13083000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,45548000,7660000,3426000,5927000,1743000,2095000,3750000,4835000,4583000,4147000,1221000,3185000,5973000,7912000,3892000,9073000,12801000,52352000,51602000
34,Net Receivables,- -,- -,- -,- -,- -,- -,15628000,13798000,11972000,13639000,13316000,10200000,11448000,11556000,12230000,11616000,12372000,15280000,20991000,25715000,34128000,45343000,46337000,43508000,50743000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,12328000,9405000,9270000,5878000,2460000,6349000,1373000,4807000,4667000,4901000,6561000,8473000,6060000,6375000,5888000,7566000,8081000,7276000,14209000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,73504000,30863000,24668000,25444000,17519000,18644000,16571000,21198000,21480000,20664000,20154000,26938000,33024000,40002000,43908000,61982000,67219000,103136000,116554000
38,PP&E,- -,- -,- -,- -,- -,- -,29417000,23963000,17130000,1253000,1385000,1519000,1728000,1873000,1542000,1723000,1579000,1492000,1257000,1493000,1784000,3205000,4263000,14953000,18463000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,314000,314000,314000,314000,314000,314000,314000,314000,314000,314000,314000,712000,1044000,695000,681000,746000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,1167000,5580000,314000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34767000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,1167000,5580000,314000,314000,314000,314000,314000,314000,314000,314000,314000,314000,314000,314000,712000,1044000,695000,- -,746000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,255000,2130000,1482000
43,Tax Assets,- -,- -,- -,- -,- -,- -,28000,33000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92000,337000,349000,436000,- -,1169000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,21328000,24061000,12847000,5202000,7337000,6626000,6783000,3442000,648000,1181000,512000,395000,410000,448000,415000,683000,914000,3228000,1974000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,51940000,53637000,30294000,6769000,9036000,8459000,8825000,5629000,2504000,3218000,2405000,2201000,1981000,2347000,3248000,8781000,6563000,20311000,23834000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,125444000,84500000,54962000,32213000,26555000,27103000,25396000,26827000,23984000,23882000,22559000,29139000,35005000,42349000,47156000,70763000,73782000,123447000,140388000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,975000,964000,2579000,2750000,3749000,4432000,4087000,2684000,2658000,3700000,4082000,2312000,2786000,3079000,3211000,5459000,5886000,5808000,3716000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,10748000,7139000,7195000,4057000,5286000,6845000,4861000,6070000,6663000,8086000,8596000,12653000,10022000,12712000,9461000,12622000,13102000,28030000,11635000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11070000,1568000,1714000,3567000,5483000,5451000,7300000,10367000,13397000,6638000,11096000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2001000,5805000,2143000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,46585000,19995000,16886000,21294000,24542000,19028000,22921000,23078000,24098000,17863000,17783000,17150000,22671000,29216000,32693000,41116000,54069000,35866000,41840000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,58308000,28098000,26660000,28101000,33577000,30305000,31869000,31832000,33419000,29649000,30461000,32115000,35479000,45007000,45365000,59197000,75058000,75509000,59334000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,9332000,6711000,313000,2652000,3150000,6072000,10144000,14810000,20846000,28127000,36570000,38504000,39403000,34511000,37589000,33220000,- -,1200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,19000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23419000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,5758000,90000,65000,8947000,9328000,14258000,10420000,3141000,1289000,1001000,657000,810000,81000,147000,757000,719000,360000,- -,86657000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,5758000,9441000,6796000,9260000,11980000,17408000,16492000,13285000,16099000,21847000,28784000,37380000,38585000,39550000,35268000,38308000,33580000,- -,111539000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9323000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10287000,12864000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,64066000,37539000,33456000,37361000,45557000,47713000,48361000,45117000,49518000,51496000,59245000,69495000,74064000,84557000,80633000,97505000,108638000,84832000,170873000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,3605000,3605000,3605000,3605000,3605000,3605000,3605000,4409000,4475000,4492000,4492000,4495000,4507000,5928000,10655000,10655000,12896000,18120000,19186000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,49516000,30612000,4650000,-20230000,-34300000,-36858000,-38827000,-35904000,-44028000,-46176000,-55192000,-58625000,-57194000,-61896000,-59554000,-53734000,-64964000,-73006000,-68603000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-10434000,-5947000,-5520000,-7294000,-7589000,-7012000,-7499000,-7456000,-6826000,-6758000,-6877000,-7153000,-7321000,-7507000,-7859000,-6914000,-6245000,-6172000,-6259000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,18691000,18691000,18771000,18771000,19282000,19655000,19756000,20661000,20845000,20828000,20891000,20927000,20949000,21267000,23128000,23128000,23457000,26972000,26706000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,61378000,46961000,21506000,-5148000,-19002000,-20610000,-22965000,-18290000,-25534000,-27614000,-36686000,-40356000,-39059000,-42208000,-33630000,-26865000,-34856000,-34086000,-28970000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,125444000,84500000,54962000,32213000,26555000,27103000,25396000,26827000,23984000,23882000,22559000,29139000,35005000,42349000,47003000,70640000,73782000,50746000,141903000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153000,123000,- -,72701000,-1515000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,125444000,84500000,54962000,32213000,26555000,27103000,25396000,26827000,23984000,23882000,22559000,29139000,35005000,42349000,47156000,70763000,73782000,123447000,140388000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,900000,2300000,1084000,26237000,56815000,-18904000,-25962000,-24880000,-14070000,-2558000,-1969000,2923000,-8124000,-2148000,-9016000,-3433000,1431000,-4702000,2342000,5820000,-11230000,-8042000,4403000
74,Depreciation and Amortization,- -,- -,900000,1600000,2001000,2105000,1481000,3417000,3618000,743000,1127000,1218000,781000,715000,720000,633000,734000,764000,761000,713000,893000,1416000,1897000,1688000,2090000
75,Deferred Income Tax,- -,- -,-600000,-400000,-2111000,-84000,-4273000,5047000,515000,-177000,42000,- -,- -,- -,-151000,18000,-10000,38000,-30000,26000,-248000,33000,-103000,- -,-651000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000,- -,- -,- -,63000,39000,14000,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-900000,-4600000,-3580000,-1287000,37622000,-29235000,448000,4636000,2815000,3956000,5906000,-823000,1254000,555000,42000,-2496000,281000,2875000,-4310000,-1317000,11939000,-11800000,16258000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1339000,40000,-1196000,255000,-1230000,-3571000,-6926000,-6279000,-8755000,-7513000,-249000,669000,11395000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-306000,-1440000,10000,1074000,244000,-575000,659000,463000,155000,1667000,592000,-30000,-2548000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2356000,-155000,-408000,-405000,-89000,441000,-773000,78000,386000,-128000,-322000,-115000,- -
82,Other Non-Cash Items,- -,- -,300000,600000,1048000,-25984000,-30020000,20557000,20103000,14515000,2530000,-6185000,-962000,-7398000,1077000,-5427000,71000,-2961000,149000,-43000,4835000,2879000,4618000,18154000,2132000
83,Cash Provided by Operating Activities,- -,- -,600000,-500000,-1558000,987000,61625000,-19118000,-1278000,-5163000,-7556000,-3569000,3857000,-4583000,-5224000,-6369000,-8116000,-8049000,2606000,-1131000,3512000,8831000,7121000,- -,24232000
84,CAPEX,- -,- -,-500000,-1000000,-1481000,-1564000,-20346000,-7895000,-4050000,-329000,-630000,-792000,-1042000,-865000,-585000,-851000,-643000,-699000,-645000,-1037000,-1236000,-2529000,-2917000,-1884000,-2800000
85,Acquisitions Net,- -,- -,- -,- -,- -,-5359000,-9721000,-2820000,-1685000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-164000,-4566000,-1173000,- -,- -
86,Purchases of Investments,- -,- -,-13000000,-9000000,-18037000,-3321000,-20513000,-5202000,-1686000,- -,-665000,- -,-185000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131000,- -,-150000
87,Sales/Maturities of Investments,- -,- -,4600000,5600000,16175000,40839000,51170000,9461000,5687000,3458000,224000,295000,1791000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,100000,680000,-7069000,-914000,3213000,1452000,5143000,809000,-580000,61000,26000,-519000,-274000,-491000,-1420000,1868000,-91000,470000,- -,-180000,-1469000,-762000
89,Cash Used for Investing Activites,- -,- -,-8900000,-4300000,-2663000,23526000,-324000,-3243000,-282000,8272000,-262000,-1077000,625000,-839000,-1104000,-1125000,-1134000,-2119000,1223000,-1128000,-930000,-7095000,-4401000,-3353000,-3109000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2149000,-5000,- -,-6600000,- -,- -,- -,- -,- -,-3535000,-3579000,-22091000,-16488000
91,Common Stock Issued,- -,- -,- -,- -,13000,519000,1704000,- -,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1739000,1159000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1200000,-600000,- -,- -,-907000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-14092000,-34193000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,6300000,4700000,5252000,3083000,-12662000,-2423000,-3162000,22000,3724000,4933000,- -,6236000,5965000,14377000,7373000,11313000,3481000,6106000,-6337000,3885000,3518000,73946000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,5100000,4100000,5265000,-10490000,-46058000,-2423000,-3082000,22000,3724000,4933000,-2149000,6231000,5965000,7777000,7373000,11313000,3481000,7845000,-5178000,350000,-61000,51855000,-16488000
96,Effect of Forex Changes on Cash,- -,- -,900000,-3800000,-1533000,-2915000,-192000,-21000,408000,-428000,-90000,65000,-678000,276000,111000,-719000,357000,1064000,-4471000,-3647000,-1424000,3740000,-247000,-482000,1594000
97,Net Change In Cash,- -,- -,-2400000,-4500000,-489000,11108000,15051000,-24805000,-4234000,2703000,-4184000,352000,1655000,1085000,-252000,-436000,-1520000,2209000,2839000,1939000,-4020000,5826000,2412000,- -,6229000
98,Cash at the End of Period,- -,- -,11300000,6800000,6306000,17414000,32465000,7660000,3426000,5927000,1743000,2095000,3750000,4835000,4583000,4147000,1221000,3185000,5973000,7912000,3892000,13505000,15917000,- -,61074000
99,Cash at the Beginning of Period,- -,- -,13700000,11300000,6795000,6306000,17414000,32465000,7660000,3224000,5927000,1743000,2095000,3750000,4835000,4583000,2741000,976000,3134000,5973000,7912000,7679000,13505000,- -,54845000
100,Free Cash Flow,- -,- -,100000,-1500000,-3039000,-577000,41279000,-27013000,-5328000,-5492000,-8186000,-4361000,2815000,-5448000,-5809000,-7220000,-8759000,-8748000,1961000,-2168000,2276000,6302000,4204000,- -,21432000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
