,https://roic.ai/company/AMPE,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,-2193,-2649,-4179,-1348990,-7142593,227711,-504553,22263,-412071,-2081275,-36326989,45170128,4946000,-60000,- -
20,Income Before Tax,- -,- -,-31881,-26051,-8053395,-18276734,-11593113,-24528424,-39048938,-33714190,-19163562,-51891721,33986516,-13630000,-15894000,-17075000
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-974.7591,-231.8623,-490.5685,-508.5358,-29.0024,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,82500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1004,-31995,-31881,-26051,-8053395,-18359234,-11593045,-24008558,-38125415,-32010242,-19163629,-51891945,33986166,-13630000,-15894000,-17075000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-979.1591,-231.8609,-480.1712,-496.5087,-27.5366,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.00,-0.04,-0.03,-0.03,-0.49,-0.71,-0.34,-0.63,-0.76,-0.62,-0.36,-0.79,0.46,-0.10,-0.09,-0.10
26,EPS Diluted,-0.00,-0.04,-0.03,-0.03,-0.49,-0.71,-0.34,-0.63,-0.76,-0.62,-0.36,-0.79,0.46,-0.14,-0.09,-0.10
27,Weighted Average Shares Outstanding,929713,929713,929718,929718,16288468,26013838,33983590,38294259,50226555,51992048,53773145,65297348,73358034,130601500,172846773,172846773
28,Weighted Average Shares Outstanding Diluted,929713,929713,929718,929718,16288468,26013838,33983590,38294259,50226555,51992048,53773145,65297348,73358034,131135178,172846773,172846773
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1411906/000107878208000546/chay10ksba1123107.htm,https://www.sec.gov/Archives/edgar/data/1411906/000107878209000456/0001078782-09-000456-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000119312510058634/0001193125-10-058634-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000119312511036904/d10k.htm,https://www.sec.gov/Archives/edgar/data/1411906/000119312512049358/0001193125-12-049358-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000119312513092219/0001193125-13-092219-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000119312514054391/d629500d10k.htm,https://www.sec.gov/Archives/edgar/data/1411906/000119312515059240/d826182d10k.htm,https://www.sec.gov/Archives/edgar/data/1411906/000119312516479780/0001193125-16-479780-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000114420417015100/0001144204-17-015100-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000114420418013087/0001144204-18-013087-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000155837019002244/0001558370-19-002244-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000155837020001123/0001558370-20-001123-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000155837021002314/0001558370-21-002314-index.htm,https://www.sec.gov/Archives/edgar/data/1411906/000155837022004619/0001558370-22-004619-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1594,2782,527,671279,11362325,17682517,26309449,50320656,26957938,4894834,8209071,7585392,6532000,17346000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122641,11398,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1594,2782,527,671279,11362325,17682517,26309449,50320656,26957938,5017475,8220469,7585392,6532000,17346000,- -
34,Net Receivables,- -,- -,- -,- -,5711,- -,- -,- -,- -,- -,- -,- -,- -,- -,185000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,60534,43120,164890,131986,938501,2270484,384692,222417,413280,1718000,962000,35632000
37,Total Current Assets,- -,1594,2782,527,737524,11405445,17847407,26441435,51259157,29228422,5402167,8442886,7998672,8250000,18493000,35632000
38,PP&E,- -,- -,- -,- -,- -,76230,59290,1298504,9945000,9331000,7980000,6838000,5997000,5751000,4385000,3193000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,221000,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,7920468,8234957,8164000,11002583,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,465924,7920468,8234957,8164000,11223583,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,30154,30154,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,30154,30154,- -,- -,- -,7535000,20000,43856,899656,634760,213608,33717,33856,- -,- -,- -
45,Total Non-Current Assets,30154,30154,30154,30154,- -,8077154,7999758,9577317,19008656,21189343,8193608,6871717,6030856,5751000,4385000,3193000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42018000
47,Total Assets,30154,31748,32936,30681,737524,19482599,25847165,36018752,70267813,50417765,13595775,15314603,14029528,14001000,22878000,38825000
48,Accounts Payable,- -,12653,4220,4602,464453,630622,1201122,1900576,3299025,2880662,- -,- -,- -,151000,186000,- -
49,Short-Term Debt,- -,20000,- -,- -,2133743,- -,- -,- -,- -,- -,- -,- -,- -,259000,284000,925000
50,Tax Payable,- -,- -,1091,1201,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,50000,50000,50000,85714,85714,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,10142,11078,72580,95994,2147764,610911,384771,522056,295244,2548737,2134566,3878369,1384230,3874000,1364000,- -
53,Total Current Liabilities,10142,43731,76800,100596,4745960,1291533,1635893,2472632,3679983,5515113,2134566,3878369,1384230,4284000,1834000,925000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,4921552,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,431250,381250,331250,468749,383036,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,661160,1671904,4826909,45613119,7409784,3274000,3532000,10616000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,431250,381250,331250,1129909,6976492,4826909,45613119,7409784,3274000,3532000,10616000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1469000,1209000,- -
61,Total Liabilities,10142,43731,76800,100596,4745960,1722783,2017143,2803882,4809892,12491605,6961475,49491488,8794014,7558000,5366000,11541000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,30418,- -,- -,- -,1711,3108,3701,4207,5197,5200,5718,8006,11094,16000,19000,23000
64,Retained Earnings,-8616,-42401,-72492,-98543,-9818318,-28177552,-39770597,-63779155,-101904570,-133914812,-153078441,-204988674,-171002508,-184633000,-200527000,-217602000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-8475,-25415,-97584,-419000,-1277000,-2412000,-3626000,-4793000,-6065000,- -,- -
66,Other Total Stockholders Equity,-1790,30418,28628,28628,5808171,45942735,63622333,96949688,168436638,172185770,162119034,174429783,181020510,197125000,218020000,244863000
67,Total Stockholders Equity,20012,-11983,-43864,-69915,-4008436,17759816,23830022,33077156,66118265,36999158,6634311,-34176885,5236096,6443000,17512000,27284000
68,Total Liabilities And Stockholders Equity,30154,31748,32936,30681,737524,19482599,25847165,35881038,70928157,49490763,13595786,15314603,14030110,14001000,22878000,38825000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,137714,-660344,927002,-11,- -,-582,- -,- -,- -
70,Total Liabilities & Equity,30154,31748,32936,30681,737524,19482599,25847165,36018752,70267813,50417765,13595775,15314603,14029528,14001000,22878000,38825000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1411906/000107878208000546/chay10ksba1123107.htm,https://www.sec.gov/Archives/edgar/data/1411906/000107878209000456/0001078782-09-000456-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000119312510058634/0001193125-10-058634-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000119312511036904/d10k.htm,https://www.sec.gov/Archives/edgar/data/1411906/000119312512049358/0001193125-12-049358-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000119312513092219/0001193125-13-092219-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000119312514054391/d629500d10k.htm,https://www.sec.gov/Archives/edgar/data/1411906/000119312515059240/d826182d10k.htm,https://www.sec.gov/Archives/edgar/data/1411906/000119312516479780/0001193125-16-479780-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000114420417015100/0001144204-17-015100-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000114420418013087/0001144204-18-013087-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000155837019002244/0001558370-19-002244-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000155837020001123/0001558370-20-001123-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000155837021002314/0001558370-21-002314-index.htm,https://www.sec.gov/Archives/edgar/data/1411906/000155837022004619/0001558370-22-004619-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-1004,-31995,-31881,-26051,-8053395,-18359234,-11593045,-24008558,-38125415,-32010242,-19163629,-51891945,33986166,-13630000,-15894000,-17075000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,42551,62396,137680,439098,1136292,1214453,1214474,1281379,1272000,1177000,1094000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,3096302,1987066,1522374,3448285,7852666,6171127,1516033,744870,443786,405000,1277000,2724000
77,Change in Working Capital,14,-31995,-31881,-26051,-3908367,14122348,6097602,7757289,23610371,-23865865,-20445708,1296916,2049925,-2648442,12693000,-17584000
78,Accounts Receivable,14,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,385008,166171,570500,699454,1020496,-426071,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-10142,-42137,-74018,-100069,-4008436,10113912,16211514,23968803,47579174,23713309,3267601,4564517,6614442,3966000,16659000,-925000
82,Other Non-Cash Items,- -,45644,25988,30722,6237129,-6924393,-5804490,-6467853,-24517303,22124578,22253879,37227738,-49899279,-781558,-13982000,16752000
83,Cash Provided by Operating Activities,-990,-18346,-37774,-21380,-2628331,-9131662,-9715163,-19133157,-30740583,-26444110,-14624972,-11407947,-12138023,-15383000,-14729000,-14089000
84,CAPEX,- -,- -,- -,- -,- -,-84705,- -,-1641383,-8668351,-235656,-6844,-72325,-564276,-22000,-63000,-97000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1540000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-35000,15000,-353856,10387,-890,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-119705,15000,-1665239,-8657964,-1776546,-6844,-72325,-564276,-22000,-63000,-97000
90,Debt Repayment,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,1366627,22435500,17542867,30395306,68409531,- -,3903313,13339873,8000000,12142000,26191000,80000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,990,19940,38962,19125,1861000,-2393087,-1522512,-969978,-4999777,4857938,-375055,1454636,4078620,2210000,-585000,- -
95,Cash Used/Provided by Financing Activities,990,19940,38962,19125,3227627,19942413,16020355,29425328,63409754,4857938,3528258,14794509,12078620,14352000,25606000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,1188,-2255,599296,10691046,6320192,8626932,24011207,-23362718,-11103558,3314237,-623679,-1053000,10814000,- -
98,Cash at the End of Period,- -,1594,2782,527,671279,11362325,17682517,26309449,50320656,26957938,4894834,8209071,7585392,6532000,17346000,- -
99,Cash at the Beginning of Period,- -,- -,1594,2782,71983,671279,11362325,17682517,26309449,50320656,15998392,4894834,8209071,7585000,6532000,17346000
100,Free Cash Flow,-990,-18346,-37774,-21380,-2628331,-9216367,-9715163,-20774540,-39408934,-26679766,-14631816,-11480272,-12702299,-15405000,-14792000,-14186000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1411906/000107878208000546/chay10ksba1123107.htm,https://www.sec.gov/Archives/edgar/data/1411906/000107878209000456/0001078782-09-000456-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000119312510058634/0001193125-10-058634-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000119312511036904/d10k.htm,https://www.sec.gov/Archives/edgar/data/1411906/000119312512049358/0001193125-12-049358-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000119312513092219/0001193125-13-092219-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000119312514054391/d629500d10k.htm,https://www.sec.gov/Archives/edgar/data/1411906/000119312515059240/d826182d10k.htm,https://www.sec.gov/Archives/edgar/data/1411906/000119312516479780/0001193125-16-479780-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000114420417015100/0001144204-17-015100-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000114420418013087/0001144204-18-013087-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000155837019002244/0001558370-19-002244-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000155837020001123/0001558370-20-001123-index.html,https://www.sec.gov/Archives/edgar/data/1411906/000155837021002314/0001558370-21-002314-index.htm,https://www.sec.gov/Archives/edgar/data/1411906/000155837022004619/0001558370-22-004619-index.htm
102,false,,,,,,,,,,,,,,,,
