,https://roic.ai/company/ASO,2018,2019,2020,2021,2022
77,Change in Working Capital,-113436000,-43994000,-290868000,224586000,116124000
78,Accounts Receivable,2934000,2582000,4476000,-2981000,-2412000
79,Inventory,-132687000,89284000,34407000,109520000,-181774000
80,Accounts Payable,6976000,-70029000,-2904000,361518000,-50627000
81,Other Working Capital,582789000,538795000,247927000,472513000,588637000
82,Other Non-Cash Items,360000,84112000,309062000,340448000,-338268000
83,Cash Provided by Operating Activities,83355000,198481000,263669000,1011597000,673265000
84,CAPEX,-132126000,-107905000,-62818000,-41269000,-75802000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-115901000,-99027000,-66783000,-33144000,-76017000
89,Cash Used for Investing Activites,-115901000,-99027000,-66783000,-33144000,-76017000
90,Debt Repayment,-854389000,-580062000,-625319000,-1961072000,-15418000
91,Common Stock Issued,- -,- -,- -,206970000,48587000
92,Common Stock Repurchased,- -,- -,-473000,- -,3777000
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,862903000,525254000,502600000,1003868000,-525800000
95,Cash Used/Provided by Financing Activities,8514000,-54808000,-123192000,-750234000,-488854000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-24032000,44646000,73694000,228219000,108394000
98,Cash at the End of Period,31045000,75691000,149385000,377604000,485998000
99,Cash at the Beginning of Period,55077000,31045000,75691000,149385000,377604000
100,Free Cash Flow,-48771000,90576000,200851000,970328000,597463000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1817358/000181735821000059/0001817358-21-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1817358/000181735822000039/0001817358-22-000039-index.htm
102,false,,,,,
