,https://roic.ai/company/INFU,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-Infinity,-Infinity,-0.0076,0.5941,0.3002,0.1847,-1.0494,0.1630,0.2285,0.2329,0.2152,0.1663,0.1210,0.1741,0.1944,0.4354,0.1686
17,Operating Income,-24483,-20824145,-1497000,4786000,5328000,-938000,-66356000,2000000,5896000,9331000,8864000,974000,-3812000,415000,3525000,8827000,2820000
18,Operating Income ratio,-Infinity,-Infinity,-0.2274,0.1351,0.1367,-0.0199,-1.2145,0.0340,0.0947,0.1403,0.1229,0.0138,-0.0536,0.0062,0.0435,0.0906,0.0275
19,Total Other Income Expenses (Gains),- -,14002676,-189000,6080000,-3577000,-2285000,-2221000,-4152000,-3196000,-3121000,-3291000,-1338000,-1445000,-1457000,-2001000,-1284000,-1563000
20,Income Before Tax,- -,-6821469,-1686000,10866000,1751000,-3223000,-68577000,-2152000,2700000,6210000,5573000,-364000,-5257000,-1042000,1524000,7543000,1257000
21,Income Before Tax Ratio,- -,-Infinity,-0.2562,0.3068,0.0449,-0.0682,-1.2551,-0.0366,0.0434,0.0934,0.0773,-0.0052,-0.0740,-0.0155,0.0188,0.0775,0.0123
22,Income Tax expense (Gain),- -,1037875,1110000,907000,977000,-1371000,-23134000,-663000,1031000,2853000,1830000,-142000,15450000,53000,163000,9789000,-163000
23,Net Income,-24783,-7859344,-2796000,9959000,774000,-1852000,-45443000,-1489000,1669000,3357000,3743000,-222000,-20707000,-1095000,1361000,17332000,1420000
24,Net Income ratio,-Infinity,-Infinity,-0.4248,0.2812,0.0199,-0.0392,-0.8317,-0.0253,0.0268,0.0505,0.0519,-0.0031,-0.2913,-0.0163,0.0168,0.1780,0.0139
25,EPS,-0.01,-0.58,-0.15,0.56,0.04,-0.09,-2.16,-0.07,0.08,0.15,0.17,-0.01,-0.91,-0.05,0.07,0.86,0.07
26,EPS Diluted,-0.01,-0.58,-0.15,0.53,0.04,-0.09,-2.16,-0.07,0.08,0.15,0.16,-0.01,-0.91,-0.05,0.07,0.80,0.07
27,Weighted Average Shares Outstanding,4144496,13661117,18299600,17940952,18609797,19721378,21074093,21430012,21868379,22154199,22414587,22617901,22739651,21417628,19731498,20106940,20577886
28,Weighted Average Shares Outstanding Diluted,4144496,13661117,18299600,18672321,18931356,19721378,21074093,21430012,22074513,22552093,22843235,22617901,22739651,21417628,20839396,21717216,20577886
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1337013/000119312507070808/d10k.htm,https://www.sec.gov/Archives/edgar/data/1337013/000119312508063650/d10k.htm,https://www.sec.gov/Archives/edgar/data/1337013/000119312509043311/0001193125-09-043311-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000119312510046509/0001193125-10-046509-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000119312511062031/d10k.htm,https://www.sec.gov/Archives/edgar/data/1337013/000119312512119420/0001193125-12-119420-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000119312513130501/0001193125-13-130501-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000119312514092767/d666756d10k.htm,https://www.sec.gov/Archives/edgar/data/1337013/000119312515083157/d879623d10k.htm,https://www.sec.gov/Archives/edgar/data/1337013/000119312516497577/0001193125-16-497577-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000119312517091397/0001193125-17-091397-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000143774918004975/0001437749-18-004975-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000143774919005538/0001437749-19-005538-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000143774920006370/0001437749-20-006370-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000143774921006778/0001437749-21-006778-index.htm,https://www.sec.gov/Archives/edgar/data/1337013/000162828022006223/0001628280-22-006223-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13590,427372,3960000,11513000,7750000,5014000,799000,2326000,1138000,515000,818000,3398000,3469000,4318000,2647000,9648000,186000
32,Short-Term Investments,- -,98151128,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,13590,98578500,3960000,11513000,7750000,5014000,799000,2326000,1138000,515000,818000,3398000,3469000,4318000,2647000,9648000,186000
34,Net Receivables,- -,- -,6304000,4168000,5517000,6679000,7448000,8511000,10697000,10300000,14206000,11581000,11385000,9593000,12097000,14720000,15405000
35,Inventory,- -,- -,364000,391000,925000,1699000,3217000,1339000,1234000,1758000,1916000,2166000,1764000,2254000,2899000,3001000,3939000
36,Other Current Assets,- -,1719330,1267000,676000,520000,1897000,1616000,2655000,2814000,2885000,3604000,3624000,1049000,1372000,1662000,2402000,2535000
37,Total Current Assets,13590,100297830,11895000,16748000,14712000,15289000,13080000,14831000,15883000,15458000,20544000,20769000,17667000,17537000,19305000,29771000,22065000
38,PP&E,- -,- -,13504000,10878000,13499000,16672000,15764000,13938000,15310000,22265000,30207000,30033000,25002000,24933000,42995000,4296000,48635000
39,Goodwill,- -,- -,56544000,56580000,56580000,64092000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3710000
40,Intangible Assets,- -,- -,32565000,30738000,28911000,33252000,28221000,25541000,24182000,25072000,31534000,31239000,24514000,19865000,15463000,11177000,10930000
41,Intangible Assets,- -,- -,89109000,87318000,85491000,97344000,28221000,25541000,24182000,25072000,31534000,31239000,24514000,19865000,15463000,11177000,14640000
42,Investments,- -,98000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,18187000,17806000,16300000,13756000,11502000,12436000,- -,- -,- -,- -,10033000
44,Other Non-Current Assets,165088,- -,1918000,1276000,988000,1059000,1011000,5407000,5698000,3661000,2662000,1867000,1698000,1738000,1461000,- -,2213000
45,Total Non-Current Assets,165088,- -,104531000,99472000,99978000,115075000,63183000,62692000,61490000,64754000,75905000,75575000,51214000,46536000,59919000,15473000,75521000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,178678,100297830,116426000,116220000,114690000,130364000,76263000,77523000,77373000,80212000,96449000,96344000,68881000,64073000,79224000,45244000,97586000
48,Accounts Payable,- -,353280,1076000,1012000,1306000,2016000,4063000,2144000,4736000,5215000,6586000,5315000,5516000,7091000,7962000,6779000,7862000
49,Short-Term Debt,85000,- -,2044000,8644000,5501000,5551000,6576000,3953000,5118000,6452000,5060000,8252000,3544000,4936000,8082000,9423000,349000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9967000,- -
52,Other Current Liabilities,94054,15178360,14293000,3586000,4243000,4814000,2493000,4098000,3187000,3062000,3641000,2872000,3414000,2763000,5803000,-3172000,4685000
53,Total Current Liabilities,179054,15531640,17413000,13242000,11050000,12381000,13132000,10195000,13041000,14729000,15287000,16439000,12474000,14790000,21847000,22997000,12896000
54,Long-Term Debt,- -,- -,30250000,22025000,18640000,26646000,22551000,27315000,19931000,16415000,26651000,26577000,25352000,28842000,30295000,9423000,36418000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,4000,880000,3314000,5788000,- -,- -,- -,- -,- -,- -,62000,- -,104000,- -,- -
57,Other Non-Current Liabilities,- -,19620410,- -,- -,221000,406000,415000,- -,1678000,2617000,3233000,2639000,40000,- -,4644000,- -,- -
58,Total Non-Current Liabilities,- -,19620410,30254000,22905000,22175000,32840000,22966000,27315000,21609000,19032000,29884000,29216000,25454000,28842000,35043000,9423000,36418000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42665000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,1553000,2732000,4831000,6420000,5511000,538000,33000,4644000,3864000,3670000
61,Total Liabilities,179054,35152050,47667000,36147000,33225000,45221000,36098000,37510000,34650000,33761000,45171000,45655000,37928000,43632000,56890000,56239000,49314000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,417,2104,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
64,Retained Earnings,-24783,-7884127,-10680000,-721000,53000,-1799000,-47242000,-48731000,-47062000,-43705000,-39962000,-41142000,-61633000,-62728000,-61367000,- -,-53903000
65,Other Comprehensive Income/Loss,-8410598,- -,-725000,-4546000,-8475000,-64000,-136000,- -,- -,- -,-27896000,-34565000,-38573000,-42020000,-44556000,- -,268000
66,Other Total Stockholders Equity,8434588,73027803,80162000,85338000,89885000,87004000,87541000,88742000,89783000,90155000,119134000,126394000,131157000,125187000,128255000,40750000,101905000
67,Total Stockholders Equity,-376,65145780,68759000,80073000,81465000,85143000,40165000,40013000,42723000,46452000,51278000,50689000,30953000,20441000,22334000,40752000,48272000
68,Total Liabilities And Stockholders Equity,178678,100297830,116426000,116220000,114690000,130364000,76263000,77523000,77373000,80213000,96449000,96344000,68881000,64073000,79224000,96991000,97586000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,- -,-51747000,- -
70,Total Liabilities & Equity,178678,100297830,116426000,116220000,114690000,130364000,76263000,77523000,77373000,80212000,96449000,96344000,68881000,64073000,79224000,45244000,97586000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1337013/000119312507070808/d10k.htm,https://www.sec.gov/Archives/edgar/data/1337013/000119312508063650/d10k.htm,https://www.sec.gov/Archives/edgar/data/1337013/000119312509043311/0001193125-09-043311-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000119312510046509/0001193125-10-046509-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000119312511062031/d10k.htm,https://www.sec.gov/Archives/edgar/data/1337013/000119312512119420/0001193125-12-119420-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000119312513130501/0001193125-13-130501-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000119312514092767/d666756d10k.htm,https://www.sec.gov/Archives/edgar/data/1337013/000119312515083157/d879623d10k.htm,https://www.sec.gov/Archives/edgar/data/1337013/000119312516497577/0001193125-16-497577-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000119312517091397/0001193125-17-091397-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000143774918004975/0001437749-18-004975-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000143774919005538/0001437749-19-005538-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000143774920006370/0001437749-20-006370-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000143774921006778/0001437749-21-006778-index.htm,https://www.sec.gov/Archives/edgar/data/1337013/000162828022006223/0001628280-22-006223-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-24783,-7859344,-2796000,9959000,774000,-1852000,-45443000,-1489000,1669000,3357000,3743000,-222000,-20707000,-1095000,1361000,17332000,1420000
74,Depreciation and Amortization,- -,6660139,862000,6404000,6444000,8596000,9048000,8402000,8033000,6142000,8243000,10744000,12523000,11308000,12342000,14025000,14625000
75,Deferred Income Tax,- -,- -,335000,935000,2254000,-1236000,-23423000,-906000,1180000,2588000,1763000,-240000,15389000,-62000,104000,-10071000,-153000
76,Stock Based Compensation,- -,- -,- -,1550000,753000,3860000,1185000,964000,1120000,576000,996000,462000,682000,957000,997000,2610000,6404000
77,Change in Working Capital,300,84931654,-90284190,9024000,156000,-754000,-2960000,4688000,-1794000,-2113000,4528000,-927000,863000,-2446000,-5289000,9316000,-2692000
78,Accounts Receivable,- -,- -,- -,-1835000,- -,-3948000,-4868000,-6490000,-8720000,-5377000,-9140000,-4589000,-5445000,-4413000,-1560000,-2631000,829000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-30000,105000,-524000,-158000,-250000,402000,-490000,-645000,-102000,-864000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-335000,-1078000,-4031000,-2778000,-3146000,-352000,183000,2436000,2394000,-2363000
81,Other Working Capital,-165464,84766190,-5518000,3506000,3662000,2908000,-52000,4636000,2842000,729000,5257000,4330000,5193000,2747000,-2542000,6774000,- -
82,Other Non-Cash Items,24407,-84644802,96260190,-16975000,-673000,2198000,68765000,-6207000,-2745000,-3295000,-12219000,-1908000,-1167000,2729000,4360000,-12932000,-1288000
83,Cash Provided by Operating Activities,-76,-912353,4377000,10897000,9708000,10812000,7172000,5452000,7463000,7255000,7054000,7909000,7583000,11391000,13875000,20280000,18316000
84,CAPEX,- -,- -,-553000,-1733000,-4612000,-2444000,-5553000,-6542000,-5962000,-9705000,-10245000,-8795000,-3595000,-8303000,-22595000,-16914000,-16656000
85,Acquisitions Net,- -,-741658,-8690000,784000,- -,-16616000,- -,- -,- -,- -,-6156000,-370000,- -,- -,- -,- -,-7976000
86,Purchases of Investments,- -,-96214793,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,31261000,-1828000,-4611000,-2444000,-5553000,3984000,3800000,3324000,-1239000,295000,4456000,3319000,2952000,4752000,3317000
89,Cash Used for Investing Activites,- -,-96956451,22018000,-1044000,-4611000,-19060000,-5553000,-2558000,-2162000,-2838000,-11907000,-5344000,1053000,-4984000,-19643000,-12162000,-21315000
90,Debt Repayment,- -,- -,- -,-2105000,-8725000,-23445000,-7703000,-35482000,-42576000,-66689000,-65202000,-66999000,-37466000,-6319000,-4868000,-37180000,-81660000
91,Common Stock Issued,25000,101688506,513000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-68000,-465000,-144000,-79000,-204000,-179000,-75000,-58000,-10465000,-717000,-1714000,-1732000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-11334,-3405920,-23375000,-195000,-135000,29025000,2334000,34259000,36166000,61853000,70537000,67089000,28959000,11226000,9682000,37777000,76929000
95,Cash Used/Provided by Financing Activities,13666,98282586,-22862000,-2300000,-8860000,5512000,-5834000,-1367000,-6489000,-5040000,5156000,15000,-8565000,-5558000,4097000,-1117000,-6463000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,13666,413782,3533000,7553000,-3763000,-2736000,-4215000,1527000,-1188000,-623000,303000,2580000,71000,849000,-1671000,7001000,-9462000
98,Cash at the End of Period,13590,427372,3960000,11513000,7750000,5014000,799000,2326000,1138000,515000,818000,3398000,3469000,4318000,2647000,9648000,186000
99,Cash at the Beginning of Period,- -,13590,427000,3960000,11513000,7750000,5014000,799000,2326000,1138000,515000,818000,3398000,3469000,4318000,2647000,9648000
100,Free Cash Flow,-76,-912353,3824000,9164000,5096000,8368000,1619000,-1090000,1501000,-2450000,-3191000,-886000,3988000,3088000,-8720000,3366000,1660000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1337013/000119312507070808/d10k.htm,https://www.sec.gov/Archives/edgar/data/1337013/000119312508063650/d10k.htm,https://www.sec.gov/Archives/edgar/data/1337013/000119312509043311/0001193125-09-043311-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000119312510046509/0001193125-10-046509-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000119312511062031/d10k.htm,https://www.sec.gov/Archives/edgar/data/1337013/000119312512119420/0001193125-12-119420-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000119312513130501/0001193125-13-130501-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000119312514092767/d666756d10k.htm,https://www.sec.gov/Archives/edgar/data/1337013/000119312515083157/d879623d10k.htm,https://www.sec.gov/Archives/edgar/data/1337013/000119312516497577/0001193125-16-497577-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000119312517091397/0001193125-17-091397-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000143774918004975/0001437749-18-004975-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000143774919005538/0001437749-19-005538-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000143774920006370/0001437749-20-006370-index.html,https://www.sec.gov/Archives/edgar/data/1337013/000143774921006778/0001437749-21-006778-index.htm,https://www.sec.gov/Archives/edgar/data/1337013/000162828022006223/0001628280-22-006223-index.htm
102,false,,,,,,,,,,,,,,,,,
