,https://roic.ai/company/NG,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-11.0000,-30.0000,-85.0000,-0.6129,1.0269,-0.0927,-1.3709,-4.2684,-2.1767,-2.2249,-3.8328,-8.6264,-43.3184,-37.7241,-315.5192,-360.4988,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-593692,-2319044,-5403646,-1290288,2347164,-207663,-2429690,-4498261,-7079341,-7337584,-27441660,-107929413,-59157679,-79839274,-56255885,-88284912,-79540947,-55776000,-38008000,-31696000,-30147000,-33697000,-27291000,-26812000,-33237000,-36835000
18,Operating Income ratio,-8.0000,-33.0000,-83.0000,-0.6129,1.2922,-0.1157,-1.6386,-3.6680,-2.2407,-2.3273,-3.7727,-15.2601,-16.7281,-52.4835,-95.7496,-227.3392,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,-1405481,-4036458,-475369,2905955,-172252,-321959,-2187613,-72034,137598,-647251,46631335,-94263540,4746147,-144534683,-103021499,140705693,-3088000,-2213000,-103000,-3422000,-4587000,-3649000,329000,-1108000,-3564000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7199985,-28088911,-61298078,-153421219,-75093127,-200790568,-191306411,61164746,-58864000,-40221000,-31799000,-33569000,-38284000,-30940000,-26483000,-34345000,-40399000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2.2837,-3.8616,-8.6669,-43.3833,-49.3636,-341.7529,-492.6259,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-2226502,-1413549,-16554254,3238224,-5731304,-1138771,-7065660,-6929078,3896000,263000,153000,277000,732000,526000,1278000,-781000,137000
23,Net Income,-816327,-2108222,-5533854,-1561927,1762772,-314306,-2208718,-5356502,-7054329,-4972487,-26676363,-44743824,-156658446,-69361823,-199651797,-148317838,68093824,-62760000,-40484000,-31952000,-33846000,-39016000,-112765000,-27761000,-33564000,-40536000
24,Net Income ratio,-11.0000,-30.0000,-85.0000,-0.7419,0.9705,-0.1751,-1.4895,-4.3679,-2.2327,-1.5772,-3.6674,-6.3263,-44.2986,-45.5960,-339.8147,-381.9277,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.15,-0.21,-0.49,-0.10,0.08,-0.01,-0.06,-0.11,-0.12,-0.08,-0.29,-0.45,-1.48,-0.40,-0.93,-0.63,0.25,-0.20,-0.13,-0.10,-0.11,-0.12,-0.35,-0.09,-0.10,-0.12
26,EPS Diluted,-0.15,-0.21,-0.49,-0.10,0.05,-0.01,-0.06,-0.11,-0.12,-0.08,-0.29,-0.45,-1.48,-0.40,-0.93,-0.63,0.10,-0.20,-0.13,-0.10,-0.11,-0.12,-0.35,-0.09,-0.10,-0.12
27,Weighted Average Shares Outstanding,5500000,10000000,11184211,16428571,20817931,24719400,35929200,48683103,59160082,66954000,91519000,99559000,105727000,172654000,213597000,236124000,272243000,313372000,317203000,317850000,319774000,321659000,322487000,325785000,329269000,331641000
28,Weighted Average Shares Outstanding Diluted,5500000,10000000,11184211,16428571,33829138,24719400,35929200,48683103,59160082,66954000,91519000,99559000,105727000,172654000,213597000,236124000,303553000,313372000,317203000,317850000,319774000,321659000,322487000,325785000,329269000,331641000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173420/000110262414000184/0001102624-14-000184-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000110262415000109/0001102624-15-000109-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000110262416002023/0001102624-16-002023-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184317000429/0001171843-17-000429-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184318000607/0001171843-18-000607-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184319000448/0001171843-19-000448-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184320000396/0001171843-20-000396-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184321000547/0001171843-21-000547-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184322000514/0001171843-22-000514-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,222635,70274,65104,203730,270988,268160,13027338,46029907,47282314,28525743,93371270,97867357,9822381,36097192,148818071,64676545,254730961,81262000,70325000,41731000,30274000,27954000,21004000,67549000,60906000,91124000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3026167,3096202,18371709,- -,- -,- -,- -,- -,110000000,95000000,85000000,75000000,56000000,146000000,81000000,61000000,78000000
33,Cash and Short-Term Investments,222635,70274,65104,203730,270988,268160,13027338,46029907,47282314,31551910,96467473,116239066,9822381,36097192,148818071,64676545,254730961,191262000,165325000,126731000,105274000,83954000,167004000,148549000,121906000,169124000
34,Net Receivables,- -,70274,65104,407459,256242,458793,1373825,156044,173082,2007142,2996164,11662338,1851981,890612,1017145,14488669,2030503,- -,- -,2729000,1510000,303000,1781000,1100000,73188000,302000
35,Inventory,- -,- -,- -,339549,59340,7230,58992,76022,33016,46863,- -,9192360,- -,- -,7964532,505520,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,222635,-0,-0,-0,27441,80505,167979,606169,1383653,1245366,902350,11411136,2146183,2036494,1900895,1701530,1107364,5549000,3735000,581000,554000,580000,598000,690000,1292000,25000
37,Total Current Assets,445269,140548,130208,950738,614011,814688,14628133,46868142,48872064,34851280,100365987,148504901,13820545,39024298,159700643,81372264,257868828,196811000,169060000,130041000,107338000,84837000,169383000,150339000,196386000,169451000
38,PP&E,6975881,7449051,5794271,12087957,8969756,9235355,18718611,29794354,126341625,192419392,374110323,924950562,577707378,664926728,603284879,598886306,777168,54813000,- -,- -,- -,- -,- -,- -,634000,423000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7261038,7221045,6694751,388834751,308735000,285766000,244535000,243472000,254009000,2048000,2775000,4016000,5406000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9728000,11445000,9711000,9397000,9761000,- -,- -,- -,- -
44,Other Non-Current Assets,2003711,1475755,585938,679099,69198,1368228,343956,347097,2067976,4227661,20858102,96200023,32935742,27420819,16183106,15829944,12534353,8599000,58275000,49297000,48054000,50262000,89498000,92721000,23405000,23572000
45,Total Non-Current Assets,8979592,8924807,6380208,12767056,9038953,10603583,19062568,30141451,128409601,196647053,394968426,1021150585,610643120,699608585,626689030,621411001,402146273,381875000,355486000,303543000,300923000,314032000,91546000,95496000,28055000,29401000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9424861,9065355,6510417,13717794,9652965,11418271,33690701,77009593,177281665,231498334,495334413,1169655485,624463665,738632883,786389674,702783266,660015100,578686000,524546000,433584000,408261000,398869000,260929000,245835000,224441000,198852000
48,Accounts Payable,1410019,1194659,1822917,1697747,2113131,2383144,3901502,3679032,5783730,7607796,34047226,93486851,28869761,- -,- -,- -,- -,- -,- -,- -,- -,727000,710000,880000,900000,682000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15112000,- -,- -,- -,- -,- -,207000,224000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1113173,421644,130208,814918,130270,127150,127983,1029289,925437,1043953,977380,33009428,387949,13895244,29903288,45241139,112406503,4353000,4114000,3517000,3051000,2695000,2950000,2463000,2402000,3477000
53,Total Current Liabilities,2523191,1616304,1953125,2512665,2243401,2510293,4029486,4708320,6709166,8651749,35024605,126496279,29257710,13895244,29903288,45241139,112406503,4353000,19226000,3517000,3051000,3422000,3660000,3343000,3509000,4383000
54,Long-Term Debt,- -,- -,- -,1765657,2048263,773805,- -,- -,- -,- -,- -,- -,69919514,113534083,122524325,129170056,68123018,85298000,76153000,80261000,84812000,90040000,96501000,103787000,110205000,115907000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,25487028,29447054,43771003,44297467,11554686,8058996,7055281,- -,- -,23303000,24051000,20510000,20135000,21378000,80000,751000,- -,- -
57,Other Non-Current Liabilities,2894249,3373155,4817708,7130536,1031536,951216,955878,504142,640302,554382,29820583,139062340,75248072,20919921,27395245,33717800,255700,83000,- -,- -,- -,- -,- -,- -,- -,280000
58,Total Non-Current Liabilities,2894249,3373155,4817708,8896193,3079799,1725021,955878,504142,26127330,30001436,73591587,183359807,156722273,142513000,156974851,162887856,68378718,108684000,100204000,100771000,104947000,111418000,96581000,104538000,110205000,116187000
59,Other Liabilities,5788497,6746311,- -,- -,- -,- -,- -,- -,- -,- -,147183173,366719615,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200160,2292786,1085374,361935,- -,- -,- -,- -,- -,- -,- -,- -,- -,611000,408000
61,Total Liabilities,5417440,4989459,6770833,11408858,5323200,4235314,4985364,5212461,32836497,38653185,108616192,309856087,185979983,156408244,186878139,208128995,180785222,113037000,119430000,104288000,107998000,114840000,100241000,107881000,113714000,120570000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,830184362,1056594280,- -,- -,1933953000,1936336000,1938262000,1942451000,1951587000,1954861000,1965573000,1972029000,1978520000
64,Retained Earnings,-38738404,-38791286,-41471354,-44888424,-41264570,-40590384,-43007513,-57208041,-69592843,-75721993,-104153459,-163574967,-481207898,-635584759,-859038567,-996474918,-1512534353,-1599619000,-1640103000,-1672055000,-1705901000,-1744917000,-1857682000,-1885065000,-1918629000,-1959165000
65,Other Comprehensive Income/Loss,-74212,- -,-65104,-407459,-453972,-487752,-1000872,-742208,-1009476,-676027,-680265,-1196959,-152521772844,-1819987,-116655877,-12233198,-2072784,- -,35000000,-18000000,-19000000,-6000000,-24000000,-25000000,-23876000,-23289000
66,Other Total Stockholders Equity,42077922,42234715,41276042,47604819,46048307,48261093,72713723,122713408,215047488,269243170,491551944,806926066,153207461586,112195329,227011731,1225004842,1993837016,131315000,73883000,81089000,82713000,83359000,87509000,82446000,81203000,- -
67,Total Stockholders Equity,3265306,3443429,-260417,2308936,4329764,7182957,28705338,64763159,144445169,192845149,386718221,642154141,204480845,304974946,307911566,216296727,479229879,465649000,405116000,329296000,300263000,284029000,160688000,137954000,110727000,78282000
68,Total Liabilities And Stockholders Equity,8682746,8432888,6510417,13717794,9652965,11418271,33690702,69975621,177281665,231498334,495334413,952010228,390460828,461383190,494789705,424425721,660015100,578686000,524546000,433584000,408261000,398869000,260929000,245835000,224441000,198852000
69,Minority Interest,742115,632467,- -,0,- -,0,-1,7033972,- -,- -,0,217645257,234002838,277249693,291599969,278357544,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9424861,9065355,6510417,13717794,9652965,11418271,33690701,77009593,177281665,231498334,495334413,1169655485,624463665,738632883,786389674,702783266,660015100,578686000,524546000,433584000,408261000,398869000,260929000,245835000,224441000,198852000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173420/000110262414000184/0001102624-14-000184-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000110262415000109/0001102624-15-000109-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000110262416002023/0001102624-16-002023-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184317000429/0001171843-17-000429-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184318000607/0001171843-18-000607-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184319000448/0001171843-19-000448-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184320000396/0001171843-20-000396-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184321000547/0001171843-21-000547-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184322000514/0001171843-22-000514-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-816327,-2108222,-5533854,-1561927,1762772,-314306,-2208718,-5356502,-7054329,-4972487,-26676363,-44743824,-156658446,-69361823,-199651797,-148317838,68093824,-62760000,-40484000,-31952000,-33846000,-39016000,-112765000,-27761000,-33564000,-40536000
74,Depreciation and Amortization,- -,- -,- -,271639,102529,147909,175977,122034,177084,184462,211082,286229,228381,243925,516910,836723,334223,37000,36000,35000,- -,- -,- -,- -,- -,938000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2226502,-1413549,-16554254,3238224,-5731304,-1138771,1485570,-6929078,2987000,-562000,-829000,-4275000,382000,80000,671000,-751000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9097097,4857188,7455936,19172497,12304000,10197000,9488000,10263000,10293000,7727000,6176000,7057000,8235000
77,Change in Working Capital,-1558442,602167,-347161,260990,-67463,-66215,12294254,31561173,3077,-15963366,39141850,-43332760,-37445787,40566218,104668302,-93666230,109331199,46995676,-42624000,-23310000,-22237000,-22872000,84308000,-18727000,45881000,1784000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89000,3319000,908000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-203730,239247,50689,-51993,-5002,51024,-13960,- -,-8848084,-4851851,-294034,-107894,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000,233000,84000,-137000,-240000
81,Other Working Capital,-2077922,-1475755,-1822917,-1561927,-1629390,-1695606,10598648,42159821,42162898,26199532,65341382,22008622,-15437165,25129054,129797356,36131125,145462324,192458000,149834000,126524000,104287000,81415000,165723000,146996000,192877000,- -
82,Other Non-Cash Items,- -,733041,5034661,1029298,-992547,807762,-11179396,-30180786,4172894,17843878,-14001084,44057340,94738519,-31992899,33490832,153436713,-278951172,-19054676,63629000,35142000,38399000,42933000,10258000,33514000,-28643000,19716000
83,Cash Provided by Operating Activities,-2374768,-773015,-846354,- -,805291,575150,-917883,-3854081,-2701275,-5134015,-2738064,-60287269,-95899108,-57178784,-57257337,-78769126,-88948508,-19491000,-9808000,-11426000,-11696000,-8280000,-10392000,-6127000,-10020000,-9863000
84,CAPEX,-1781076,-2037948,-4361979,-2852215,-587519,-2172113,-9069843,-6092709,-22556645,-65080053,-95616142,-367673377,-164340627,-29085752,-2052927,-6904900,-572809,-78000,-21000,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-12568,- -,- -,-1704478,- -,- -,- -,- -,- -,- -,- -,-25228549,1054009,-18793000,-15946000,-10964000,-9732000,-12968000,-8907000,-11122000,-15276000,-17587000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-993469,-3072034,-2626020,-5664536,- -,-11439917,-21305124,-260507,- -,-110000000,-200000000,-125000000,-90000000,-132900000,-152000000,-154000000,-61000000,-158799000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5878708,15114040,3966153,62775,- -,- -,- -,215000000,135000000,100000000,151900000,62000000,219000000,81000000,141578000
88,Other Investing Activites,-593692,140548,1627604,- -,- -,- -,- -,7162008,1334629,1764850,-6822650,-68437795,17145535,7263874,-1018126,11874879,0,25000,- -,- -,- -,-28000,102435000,-17000,- -,75200000
89,Cash Used for Investing Activites,-2374768,-1897400,-2734375,-2852215,-600088,-2172113,-9069843,-635178,-22215485,-66387237,-105064812,-435897000,-132081052,-29295641,-23269774,-20519078,481200,-128846000,-967000,-964000,268000,6004000,3528000,53861000,4724000,40392000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22911098,- -,-79171000,- -,-15829000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,7124304,2459592,2083333,543279,912,2328678,23474005,35493952,21834304,51978293,171985808,223346823,335092,88822918,175572819,594616,318535259,54359000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2152134,140548,1432292,2444755,-132254,-728051,-727907,- -,- -,- -,- -,264174512,158791664,22191548,16323368,39348247,-34836664,- -,- -,- -,- -,-196000,- -,-1197000,-1652000,-731000
95,Cash Used/Provided by Financing Activities,4972171,2600141,3515625,2988034,-131342,1600627,22746098,35493952,21834304,51978293,171985808,487521334,159126757,111014465,191896186,17031764,283698596,-24812000,- -,-15829000,- -,-196000,- -,-1197000,-1652000,-731000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-681191,47022,- -,- -,- -,- -,- -,- -,- -,-1477828,-256000,-162000,-375000,-29000,152000,-86000,8000,305000,420000
97,Net Change In Cash,4972171,-140548,- -,135820,73861,3664,12757372,30323503,-3036433,-19542961,64183933,-8661935,-68852405,24540040,111369076,-82256440,193753461,-173405000,-10937000,-28594000,-11457000,-2320000,-6950000,46545000,-6643000,30218000
98,Cash at the End of Period,222635,70274,65104,203730,270988,268160,13027338,46029907,47282314,28525743,93371270,97867357,9822381,36097192,148818071,64676545,254730961,81262000,70325000,41731000,30274000,27954000,21004000,67549000,60906000,91124000
99,Cash at the Beginning of Period,- -,210822,65104,67910,197128,264497,269965,15706404,50318747,48068703,29187338,106529292,78674786,11557152,37448996,146932985,60977500,254667000,81262000,70325000,41731000,30274000,27954000,21004000,67549000,60906000
100,Free Cash Flow,-4155844,-2810963,-5208333,-2852215,217771,-1596963,-9987726,-9946790,-25257920,-70214068,-98354206,-427960647,-260239735,-86264536,-59310264,-85674027,-89521317,-19569000,-9829000,-11426000,-11696000,-8280000,-10392000,-6127000,-10020000,-9863000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173420/000110262414000184/0001102624-14-000184-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000110262415000109/0001102624-15-000109-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000110262416002023/0001102624-16-002023-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184317000429/0001171843-17-000429-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184318000607/0001171843-18-000607-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184319000448/0001171843-19-000448-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184320000396/0001171843-20-000396-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184321000547/0001171843-21-000547-index.htm,https://www.sec.gov/Archives/edgar/data/1173420/000117184322000514/0001171843-22-000514-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
