,https://roic.ai/company/IMV,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,440449,571098,743533,11987293,6251265,3210668,4272008,10306912,3925363,10999950,13096708,14714801,15007617,43885473,46390000
38,PP&E,- -,- -,- -,332644,398500,344563,257004,214308,214535,234985,447377,2116693,2166474,2226387,3731000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,391264,344951,314689,257266,202260,149293,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,391264,344951,314689,257266,202260,149293,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-0,0,-0,-0,-0,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,723908,743451,659252,514270,416569,363828,234985,447377,2116693,2166474,2226387,3731000
46,Other Assets,- -,- -,- -,1447816,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,440449,571098,743533,12711201,6994716,3869920,4786278,10723481,4289191,11234935,13544085,16831494,17174091,46111860,50121000
48,Accounts Payable,21674,5977,- -,- -,- -,768038,525396,523054,604547,709923,1338829,3878035,2805699,3730512,4628000
49,Short-Term Debt,- -,- -,- -,57674,75237,80481,53353,56811,42658,42874,48232,125548,143921,966937,338000
50,Tax Payable,- -,- -,- -,- -,- -,7822,9685,10913,12669,18915,15665,13216,11483,16469,17000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,99903,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,256919,781716,1148117,287781,577707,719609,812800,588633,873078,1719492,1953654,3515637,4297000
53,Total Current Liabilities,21674,5977,256919,839390,1223354,1136300,1156456,1299474,1559909,1341431,2260139,5723075,4903274,8213087,9263000
54,Long-Term Debt,- -,- -,- -,6986685,823690,914953,1196653,2692926,2679302,4531210,5149651,6884577,7334625,7020295,19316000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,166840,1090551,1054309,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,6986685,823690,914953,1196653,2692926,2679302,4698051,6240202,7938885,7334625,7020295,19316000
59,Other Liabilities,- -,- -,- -,13973370,- -,1829907,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1026409,1001324,1064180,1652000
61,Total Liabilities,21674,5977,256919,7826075,2047044,2051253,2353109,3992400,4239210,6039481,8500341,13661960,12237899,15233382,28579000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,27595431,31089061,37278152,31419522,43266322,55756161,66189438,89984460,142221368,156236000
64,Retained Earnings,-54575,-63519,-123113,-22704697,-22990030,-30027901,-32452163,-35423589,-35956645,-43741164,-56318781,-68099822,-91955721,-121532984,-154920000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-501600,-596014,-671797,-735584,-807668,-778524,-909559,-1149000,-1658000,-2043000,2660000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,4847151,4468068,5612102,5394772,6448819,6515923,6228917,8565454,12233094,17566000
67,Total Stockholders Equity,418775,565121,486615,4885126,4947672,1818668,2433169,6731081,49981,5195453,5043744,3169534,4936192,30878478,21542000
68,Total Liabilities And Stockholders Equity,440449,571098,743533,12711201,6994716,3869920,4786278,10723481,4289191,11234935,13544085,16831494,17174091,46111860,50121000
69,Minority Interest,0,- -,- -,- -,- -,- -,- -,0,- -,0,-0,- -,- -,0,- -
70,Total Liabilities & Equity,440449,571098,743533,12711201,6994716,3869920,4786278,10723481,4289191,11234935,13544085,16831494,17174091,46111860,50121000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1734768/000117625619000085/0001176256-19-000085-index.html,https://www.sec.gov/Archives/edgar/data/1734768/000117625620000112/0001176256-20-000112-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-54575,-9252,-61505,-6502029,-6666112,-6433095,-4396661,-5657649,-6323350,-6618422,-9565303,-16104638,-20948962,-34855000,-36589000
74,Depreciation and Amortization,- -,- -,- -,117982,128307,134241,107926,88658,71851,78241,111279,238614,404204,403871,541000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-27140,-217418,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,732001,553220,498671,34499,1078935,609514,771335,1366639,1240795,724965,1209260,2321000
77,Change in Working Capital,20989,-15018,-10262,112870,608186,-2426,285151,53319,259825,4881,568153,922153,-1376438,-1119859,1112000
78,Accounts Receivable,- -,- -,- -,416249,-235351,314352,141438,68723,-56273,44716,6157,-789997,376645,-836758,972000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-151838,86299,252814,363885,-152121,838918,2621088,-1085534,1395119,970000
81,Other Working Capital,- -,- -,-255386,- -,- -,- -,- -,- -,99903,-103143,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-0,-0,- -,17997,220061,148394,-303006,217014,289247,1265315,365853,1091753,306215,7114167,570000
83,Cash Provided by Operating Activities,-33586,-24270,-71766,-5521179,-5156338,-5681355,-4489509,-4219722,-5092912,-4498650,-7153379,-12611323,-20890015,-27247561,-32045000
84,CAPEX,- -,- -,- -,-89195,-165903,-30486,-6246,-33526,-87202,-82667,-307489,-1604223,-364396,-346623,-1402000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10279,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-89195,-165903,-30486,-6246,-33526,-87202,-82667,-307489,-1593944,-364396,-346623,-1402000
90,Debt Repayment,- -,- -,- -,-67109,-54239,-90613,-84231,-54642,-50378,-52773,-57057,-107193,-136266,-2189529,-4183000
91,Common Stock Issued,473350,157963,- -,- -,- -,2802692,5455041,9675035,- -,11905736,7952286,10554099,22549703,51684494,27335000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,8312805,144260,-85207,565695,771809,315810,-51580,649095,3748082,-1793657,3426237,12610000
95,Cash Used/Provided by Financing Activities,473350,157963,- -,8245696,90021,2626872,5936505,10392201,265432,11801383,8544324,14194988,20619780,52921202,35762000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000
97,Net Change In Cash,- -,133693,-71766,2635322,-5232220,-3084968,1440749,6138954,-4914682,7220066,1083457,-10279,-634631,25327018,2348000
98,Cash at the End of Period,439764,570973,482030,10411381,4966650,2012335,3320902,9184969,2768924,10078788,11856339,10935882,10768065,36357790,38616000
99,Cash at the Beginning of Period,- -,437280,553796,7776059,10198871,5097303,1880153,3046015,7683606,2858722,10772882,10946161,11402696,11030773,36268000
100,Free Cash Flow,-33586,-24270,-71766,-5610373,-5322241,-5711840,-4495756,-4253248,-5180114,-4581317,-7460868,-14215546,-21254411,-27594184,-33447000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1734768/000117625619000085/0001176256-19-000085-index.html,https://www.sec.gov/Archives/edgar/data/1734768/000117625620000112/0001176256-20-000112-index.html,- -,- -
102,false,,,,,,,,,,,,,,,
