,https://roic.ai/company/ADXS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,- -,- -,502083,2904039,4002704,5460354,1331020,2714317,2875186,5640562,3815797,23585921,23377813,119605693,169044060,93641778,62267000,45257000,38526000,46780000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,502083,2904039,4002704,5460354,1331020,2714317,2875186,5640562,3815797,23585921,23377813,119605693,169044060,93641778,62267000,45257000,38526000,46780000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1100397/000114420406002692/v033650_10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420407007215/v063533_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420408002607/v099746_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420409004207/v138144_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420410008982/v174517_10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420411004968/v209406_10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420412004201/0001144204-12-004201-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000114420413008315/v331295_10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420414004716/v365567_10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000149315215000050/form10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000149315216006703/0001493152-16-006703-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000149315217000250/0001493152-17-000250-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000149315217014889/0001493152-17-014889-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000149315219000489/0001493152-19-000489-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000149315219019523/0001493152-19-019523-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000149315221001656/0001493152-21-001656-index.htm,https://www.sec.gov/Archives/edgar/data/1100397/000149315222004469/0001493152-22-004469-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-10000,-10000,-538076,-1805789,-6197744,-2454453,-5416418,929244,-10812200,-8115740,-12069687,-19986826,-16525314,-47031118,-73556230,-93435402,-66515000,-16612000,-26469000,-17862000
74,Depreciation and Amortization,- -,- -,15818,41101,144390,263776,197345,111156,138948,160694,161778,178636,203297,265390,536192,1120420,1501000,1483000,1978000,990000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,795226,1146843,28055,- -,- -,23472947,27835673,6990000,2005000,892000,566000
77,Change in Working Capital,- -,-100000,-1296063,2761805,-111091,1814521,-5136090,-3722726,1509392,-5001688,836863,24317538,1905864,93318641,21071843,-71790283,-32785526,4035000,-7068000,420000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1664000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,1421838,388924,739536,- -,-1140901,-1948987,1094155,8354447,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-100000,-1396063,1365742,1254651,3069172,-2066918,-5789644,-4280252,-9281940,-8445077,15872461,17778325,111096966,132168809,60378526,27593000,31628000,24560000,-165000
82,Other Non-Cash Items,- -,100000,1381685,-2537047,4369400,-3857890,6202075,647690,2739920,3218666,5355859,-13251348,-2605506,-70688457,19404703,59345607,28680526,-27039000,8727000,447000
83,Cash Provided by Operating Activities,-10000,-10000,-436636,-1539930,-1795045,-4234046,-4153088,-2034636,-6423940,-8942842,-4568344,-8713945,-17021659,-24135544,-9070545,-76923985,-62129000,-36128000,-21940000,-15439000
84,CAPEX,- -,- -,- -,-80577,-258995,-395968,-211312,-308749,-867209,-296358,-396749,-298749,-439675,-1794784,-4449184,-4622185,-2841000,-1281000,-748000,-460000
85,Acquisitions Net,- -,- -,- -,-44940,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-314953,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45655103,-44524783,-71175703,-12487000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50530000,63930000,58891000,- -,- -,- -
88,Other Investing Activites,- -,- -,-124469,- -,- -,- -,- -,-308749,-854773,-296358,-304905,-271133,-415080,-821925,-1226742,-1759914,-1806000,-1144000,-748000,-11000
89,Cash Used for Investing Activites,- -,- -,-124469,-440470,-258995,-395968,-211312,-308749,-867209,-296358,-396749,-295749,-439675,-47449887,1556033,-12454888,43173000,-1198000,-748000,-11000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-16672,-1798119,-769379,-87941,-884632,-64926,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,4023327,- -,8042917,- -,- -,- -,- -,- -,27438931,14580808,120903470,55880021,2510236,39706000,24485000,15497000,28115000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-600000,-78014,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10000,10000,546224,- -,2740000,-1532087,460168,2960141,8537827,10996736,3956728,3007225,250,-363216,-2176212,-1982534,-509000,86000,6000,3771000
95,Cash Used/Provided by Financing Activities,10000,10000,546224,4023327,2740000,5910830,382154,2943469,6739708,10227357,3868787,29561524,14516132,120540254,53703809,527702,39197000,24571000,15503000,31886000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-14881,2042927,685960,1280818,-3982246,600084,-551441,988157,-1096306,20551830,-2945202,48954823,46189297,-88851171,20241000,-12755000,-7185000,16436000
98,Cash at the End of Period,- -,- -,32279,2075206,2761166,4041984,59738,659822,108381,1096538,232,20552062,17606860,66561683,112750980,23899809,44141000,32363000,25178000,41614000
99,Cash at the Beginning of Period,- -,- -,47160,32279,2075206,2761166,4041984,59738,659822,108381,1096538,232,20552062,17606860,66561683,112750980,23900000,45118000,32363000,25178000
100,Free Cash Flow,-10000,-10000,-436636,-1620507,-2054040,-4630014,-4364400,-2343385,-7291149,-9239200,-4965093,-9012694,-17461334,-25930328,-13519729,-81546170,-64970000,-37409000,-22688000,-15899000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1100397/000114420406002692/v033650_10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420407007215/v063533_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420408002607/v099746_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420409004207/v138144_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420410008982/v174517_10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420411004968/v209406_10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420412004201/0001144204-12-004201-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000114420413008315/v331295_10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420414004716/v365567_10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000149315215000050/form10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000149315216006703/0001493152-16-006703-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000149315217000250/0001493152-17-000250-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000149315217014889/0001493152-17-014889-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000149315219000489/0001493152-19-000489-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000149315219019523/0001493152-19-019523-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000149315221001656/0001493152-21-001656-index.htm,https://www.sec.gov/Archives/edgar/data/1100397/000149315222004469/0001493152-22-004469-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
