,https://roic.ai/company/SIEN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,15092000,21671000,- -,- -,- -,27883000,38248000,60500000,62434000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,150595000,151006000,1036000,1418000,3145000,14243000,9457000,13804000,38375000,16595000
58,Total Non-Current Liabilities,150595000,166098000,22707000,1418000,3145000,14243000,37340000,52052000,98875000,79029000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,1299000,1588000,- -
61,Total Liabilities,176998000,179839000,43439000,21934000,30666000,64590000,101481000,122522000,169535000,159047000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3000,3000,150000,180000,186000,194000,286000,495000,506000,622000
64,Retained Earnings,-109110000,-128235000,-134046000,-175276000,-215442000,-279470000,-362097000,-468915000,-558862000,-621344000
65,Other Comprehensive Income/Loss,-469000,-617000,-621000,-841000,-1192000,-2041000,-2497000,-3809000,- -,- -
66,Other Total Stockholders Equity,1936000,2176000,230156000,294808000,300065000,308940000,431186000,554111000,557799000,40857000
67,Total Stockholders Equity,-107640000,-126673000,95639000,118871000,83617000,27623000,66878000,81882000,-557000,40857000
68,Total Liabilities And Stockholders Equity,69358000,53166000,139078000,140805000,114283000,92213000,168359000,204404000,168978000,199904000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7165000
70,Total Liabilities & Equity,69358000,53166000,139078000,140805000,114283000,92213000,168359000,204404000,168978000,192739000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1551693/000104746915002407/0001047469-15-002407-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000155837016003967/0001558370-16-003967-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000155837017001775/0001558370-17-001775-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000156459018005488/0001564590-18-005488-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000156459019007851/0001564590-19-007851-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000156459020011207/0001564590-20-011207-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000156459021012519/0001564590-21-012519-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000095017022005233/0000950170-22-005233-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-23433000,-19125000,-5811000,-41230000,-40166000,-64028000,-82627000,-106818000,-89947000,-62482000
74,Depreciation and Amortization,288000,280000,275000,318000,1177000,3034000,3321000,3524000,4094000,4360000
75,Deferred Income Tax,- -,- -,- -,- -,61000,-21000,-8000,18000,- -,- -
76,Stock Based Compensation,357000,342000,594000,2382000,3236000,6766000,13824000,12478000,8344000,10390000
77,Change in Working Capital,-11561000,-3209000,78642000,15458000,-46125000,-67266000,66764000,14805000,-28175000,2144000
78,Accounts Receivable,-7636000,-6804000,-873000,715000,927000,-1890000,-14094000,-7320000,-378000,-14660000
79,Inventory,-7520000,-10852000,1359000,-898000,2390000,527000,-4250000,-10921000,-12808000,82000
80,Accounts Payable,390000,1904000,-2266000,1546000,-564000,1290000,8502000,-2225000,-6420000,-752000
81,Other Working Capital,27718000,24509000,103151000,118609000,72484000,5218000,71982000,86787000,58612000,60756000
82,Other Non-Cash Items,4503000,-4165000,-73250000,4888000,47387000,75599000,-57464000,-11040000,45557000,3088000
83,Cash Provided by Operating Activities,-29846000,-25877000,450000,-18184000,-34430000,-45916000,-56190000,-87033000,-60127000,-42500000
84,CAPEX,-394000,-71000,-439000,-1128000,-1126000,-1864000,-855000,-4071000,-4037000,-3805000
85,Acquisitions Net,- -,- -,- -,- -,-12000000,-18000000,- -,-18000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-18000000,- -,- -,291000,-455000,- -,57000,- -,-1000000
89,Cash Used for Investing Activites,-394000,-18071000,-439000,-1128000,-12835000,-20319000,-855000,-22014000,-4037000,-4805000
90,Debt Repayment,- -,- -,- -,-26625000,- -,-5000000,-12109000,-15788000,-31508000,- -
91,Common Stock Issued,- -,- -,80213000,62040000,753000,647000,107551000,107734000,263000,1970000
92,Common Stock Repurchased,- -,-260000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,64556000,14722000,6783000,-31000,923000,29964000,21914000,17810000,62768000,33968000
95,Cash Used/Provided by Financing Activities,64556000,14462000,86996000,35384000,1676000,25611000,117356000,109756000,31523000,35938000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,34316000,-29486000,87007000,16072000,-45589000,-40624000,60311000,709000,-32641000,-3243000
98,Cash at the End of Period,39208000,9722000,96729000,112801000,67212000,26588000,87242000,87951000,55310000,52067000
99,Cash at the Beginning of Period,4892000,39208000,9722000,96729000,112801000,67212000,26931000,87242000,87951000,55310000
100,Free Cash Flow,-30240000,-25948000,11000,-19312000,-35556000,-47780000,-57045000,-91104000,-64164000,-46305000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1551693/000104746915002407/0001047469-15-002407-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000155837016003967/0001558370-16-003967-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000155837017001775/0001558370-17-001775-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000156459018005488/0001564590-18-005488-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000156459019007851/0001564590-19-007851-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000156459020011207/0001564590-20-011207-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000156459021012519/0001564590-21-012519-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000095017022005233/0000950170-22-005233-index.htm
102,false,,,,,,,,,,
