,https://roic.ai/company/RBA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.3017,0.3878,0.3270,0.2590,0.2781,0.3061,0.3492,0.3315,0.3657,0.3482,0.3534,0.3262,0.3373,0.2574,0.2618,0.2721,0.2758,0.2798,0.3156,0.2396,0.1760,0.1583,0.1693,0.1911,0.1695
19,Total Other Income Expenses (Gains),-11200000,1700000,-400000,-2126000,-2615000,-1847000,-3712000,-2164000,4092000,1016000,508000,19384000,4275000,-1157000,4303000,-7133000,5854000,-5585000,13609000,-5228000,-30060000,-32677000,-32439000,-27272000,-34915000
20,Income Before Tax,6900000,38500000,33800000,25360000,29922000,39027000,52693000,58246000,70954000,79029000,111895000,114714000,131523000,90846000,108015000,112015000,134755000,129038000,176436000,130494000,77394000,152512000,190763000,235888000,205232000
21,Income Before Tax Ratio,0.1150,0.4057,0.3231,0.2390,0.2558,0.2922,0.3262,0.3196,0.3881,0.3527,0.3550,0.3925,0.3487,0.2542,0.2727,0.2558,0.2883,0.2682,0.3420,0.2304,0.1268,0.1303,0.1447,0.1713,0.1448
22,Income Tax expense (Gain),4500000,13700000,11500000,8155000,9868000,10656000,16099000,23347000,24880000,29914000,35912000,31201000,38071000,24933000,31382000,32469000,40129000,35966000,37861000,36982000,2088000,31006000,41623000,65530000,53378000
23,Net Income,2400000,24800000,22300000,17205000,20054000,28371000,36594000,34899000,46073000,49116000,75983000,83513000,93452000,65913000,76633000,79546000,93825000,91490000,136214000,91832000,75027000,121479000,149039000,170095000,151868000
24,Net Income ratio,0.0400,0.2613,0.2132,0.1621,0.1714,0.2124,0.2265,0.1915,0.2520,0.2192,0.2410,0.2858,0.2477,0.1844,0.1935,0.1816,0.2007,0.1902,0.2640,0.1621,0.1229,0.1038,0.1130,0.1235,0.1072
25,EPS,0.03,0.26,0.22,0.17,0.20,0.28,0.36,0.34,0.52,0.55,0.73,0.97,0.89,0.62,0.72,0.75,0.88,0.85,1.27,0.86,0.70,1.12,1.37,1.56,1.38
26,EPS Diluted,0.03,0.26,0.22,0.17,0.20,0.28,0.36,0.34,0.51,0.55,0.72,0.96,0.88,0.62,0.72,0.74,0.88,0.85,1.27,0.85,0.69,1.11,1.36,1.54,1.36
27,Weighted Average Shares Outstanding,75865339,95509284,100119570,100460598,100567482,100759212,101387934,102482034,103098933,103639380,104266113,104713375,105141368,105609042,106164237,106469665,106768856,107268425,107075845,106630323,107044348,108063349,108519739,109054493,110315782
28,Weighted Average Shares Outstanding Diluted,75865339,96623377,102137405,102207921,101112605,101325000,102600000,103660396,103098933,103639380,105045622,104713375,105262296,105609042,106983757,106923852,107048832,107660020,107432474,107457794,108113151,109388236,109759123,110310984,111406830
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1046102/000127956917000272/0001279569-17-000272-index.html,https://www.sec.gov/Archives/edgar/data/1046102/000127956918000342/0001279569-18-000342-index.html,https://www.sec.gov/Archives/edgar/data/1046102/000127956919000456/0001279569-19-000456-index.html,https://www.sec.gov/Archives/edgar/data/1046102/000110465920026287/0001104659-20-026287-index.html,https://www.sec.gov/Archives/edgar/data/1046102/000155837021001228/0001558370-21-001228-index.htm,https://www.sec.gov/Archives/edgar/data/1046102/000155837022001365/0001558370-22-001365-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,62222000,119009000,132632000,145537000,147663000,150315000,88352000,122596000,68185000,109323000,178051000,234361000,233089000,210148000,207867000,267910000,237744000,359671000,278766000,326113000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,62222000,119009000,132632000,145537000,147663000,150315000,88352000,122596000,68185000,109323000,178051000,234361000,233089000,210148000,207867000,267910000,237744000,359671000,278766000,326113000
34,Net Receivables,- -,- -,- -,- -,- -,13700000,17064000,19281000,21882000,34245000,73637000,51927000,55787000,74453000,73517000,83948000,88152000,79299000,61907000,66160000,111523000,135622000,144212000,136331000,166394000
35,Inventory,- -,- -,- -,- -,- -,7402000,9690000,13091000,8591000,4819000,6031000,7998000,6640000,26533000,49212000,60947000,52419000,42750000,58463000,28491000,38238000,113294000,64956000,86278000,102494000
36,Other Current Assets,- -,- -,- -,- -,- -,4545000,15553000,6298000,4102000,9046000,7202000,11452000,13684000,13297000,21788000,22655000,23447000,39435000,99581000,75480000,90816000,116878000,110745000,55403000,167221000
37,Total Current Assets,- -,- -,- -,- -,- -,87869000,161316000,171302000,180112000,195773000,237185000,159729000,198707000,182468000,253840000,345601000,398379000,394573000,430099000,377998000,508487000,603538000,679584000,556778000,762222000
38,PP&E,- -,- -,- -,- -,- -,193490000,210416000,226624000,215530000,244722000,390044000,373620000,597945000,627230000,652223000,655677000,630634000,577374000,528591000,- -,- -,- -,- -,608630000,563501000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,33018000,33939000,42612000,33136000,45593000,46254000,45957000,84247000,83397000,82354000,91234000,97537000,670922000,671594000,672310000,840610000,947715000
40,Intangible Assets,- -,- -,- -,- -,- -,34356000,35632000,37499000,- -,- -,- -,- -,- -,- -,- -,25570000,37607000,45504000,46973000,72304000,261094000,245622000,233380000,300948000,350516000
41,Intangible Assets,- -,- -,- -,- -,- -,34356000,35632000,37499000,33018000,33939000,42612000,33136000,45593000,46254000,45957000,109817000,121004000,127858000,138207000,169841000,932016000,917216000,905690000,1141558000,1298231000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6902000,6554000,3327000,6487000,7326000,7408000,4010000,4276000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,740000,1021000,1015000,419000,1104000,3192000,1449000,1294000,1474000,1253000,13362000,19129000,18674000,15648000,13995000,13458000,7406000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,13421000,5644000,6984000,1320000,293000,2031000,958000,14472000,11674000,13772000,13207000,4250000,8505000,3369000,1025239000,550727000,511984000,625885000,31105000,961554000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,241267000,251692000,271107000,250608000,279975000,435702000,408133000,659114000,688350000,713401000,786897000,763916000,718317000,690016000,1221535000,1508825000,1448858000,1549846000,1794751000,2830692000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,329136000,413008000,442409000,430720000,475748000,672887000,567862000,857821000,870818000,967241000,1132498000,1162295000,1112890000,1120115000,1599533000,2017312000,2052396000,2229430000,2351529000,3592914000
48,Accounts Payable,- -,- -,- -,- -,- -,33544000,35150000,45334000,43828000,57939000,98039000,69276000,- -,134148000,100868000,34086000,31202000,46757000,38239000,38686000,77575000,93482000,72918000,75503000,85743000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23912000,23925000,33022000,22982000,39505000,9645000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17032000,58645000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,28882000,90820000,89097000,63960000,56827000,80939000,51654000,168197000,2987000,89676000,215462000,257129000,207464000,251727000,190236000,286955000,313588000,405358000,399569000,493031000
53,Total Current Liabilities,- -,- -,- -,- -,- -,62426000,125970000,134431000,107788000,114766000,178978000,120930000,168197000,137135000,190544000,249548000,288331000,254221000,289966000,252834000,388455000,440092000,501258000,514577000,588419000
54,Long-Term Debt,- -,- -,- -,- -,- -,62612000,27350000,10792000,37253000,36981000,44844000,55520000,130394000,135886000,133881000,200746000,147234000,110846000,54567000,595706000,795985000,698172000,627204000,626288000,1857805000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,1966000,4534000,6350000,5612000,7563000,13564000,8256000,13565000,18011000,20601000,20480000,24076000,24452000,31070000,36387000,32334000,35519000,42743000,45265000,52232000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,2758000,2375000,1572000,442000,- -,- -,49000,1254000,1659000,4309000,5193000,8103000,13280000,37153000,22776000,55787000,42903000,151238000,153000000,23395000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,67336000,34259000,18714000,43307000,44544000,58408000,63825000,145213000,155556000,158791000,226419000,179413000,148578000,122790000,654869000,884106000,776594000,821185000,824553000,1933432000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7875000,10146000,127658000,129927000,123865000
61,Total Liabilities,- -,- -,- -,- -,- -,129762000,160229000,153145000,151095000,159310000,237386000,184755000,313410000,292691000,349335000,475967000,467744000,402799000,412756000,907703000,1272561000,1216686000,1322443000,1339130000,2521851000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,69499000,72794000,76445000,- -,- -,- -,- -,- -,- -,- -,118694000,126350000,141257000,131530000,125474000,138582000,181780000,194771000,200451000,227504000
64,Retained Earnings,- -,- -,- -,- -,- -,129542000,161183000,183438000,186667000,212324000,292046000,294721000,411326000,433973000,480718000,510222000,550398000,583959000,601051000,601071000,602609000,648255000,714051000,791918000,839609000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-26061000,-37863000,-48127000,-48024000,-49572000,-76956000,-71792000,-114724000,-149748000,-183232000,-213872000,-240818000,-259515000,-254073000,-277330000,-304662000,-312226000,-339872000,-367606000,-55973000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,26394000,56665000,77508000,140982000,153686000,220411000,160178000,247809000,293902000,320420000,241487000,258087000,242384000,224668000,237842000,303153000,312834000,332883000,382482000,59535000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,199374000,252779000,289264000,279625000,316438000,435116000,383107000,544411000,578127000,617906000,656531000,694017000,708085000,703176000,687057000,739682000,830643000,901833000,1007245000,1070675000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,329136000,413008000,442409000,430720000,475748000,672502000,567862000,857821000,870818000,967241000,1132498000,1161761000,1110884000,1115932000,1594760000,2012243000,2047329000,2224276000,2346375000,3592526000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,385000,- -,- -,- -,- -,- -,534000,2006000,4183000,4773000,5069000,5067000,5154000,5154000,388000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,329136000,413008000,442409000,430720000,475748000,672887000,567862000,857821000,870818000,967241000,1132498000,1162295000,1112890000,1120115000,1599533000,2017312000,2052396000,2229430000,2351529000,3592914000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1046102/000127956917000272/0001279569-17-000272-index.html,https://www.sec.gov/Archives/edgar/data/1046102/000127956918000342/0001279569-18-000342-index.html,https://www.sec.gov/Archives/edgar/data/1046102/000127956919000456/0001279569-19-000456-index.html,https://www.sec.gov/Archives/edgar/data/1046102/000110465920026287/0001104659-20-026287-index.html,https://www.sec.gov/Archives/edgar/data/1046102/000155837021001228/0001558370-21-001228-index.htm,https://www.sec.gov/Archives/edgar/data/1046102/000155837022001365/0001558370-22-001365-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2400000,24800000,22300000,17205000,20054000,28371000,36594000,34899000,46073000,49116000,75983000,83513000,93452000,65913000,76633000,79546000,93825000,91490000,136214000,91832000,75027000,121479000,149039000,170095000,151868000
74,Depreciation and Amortization,1500000,2800000,5600000,7761000,9076000,9208000,11773000,12708000,11327000,12891000,19417000,20396000,31761000,37813000,42408000,41138000,43280000,44536000,42032000,40861000,52694000,66614000,82781000,87161000,100721000
75,Deferred Income Tax,- -,-2500000,600000,176000,1148000,2559000,1361000,1329000,198000,937000,2115000,-1002000,2841000,2941000,5286000,2098000,3239000,2681000,-4559000,-3359000,-17268000,6239000,8826000,9152000,3859000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2108000,2904000,3875000,4303000,4504000,3710000,4001000,7488000,17229000,19508000,12744000,16552000,31335000
77,Change in Working Capital,-8600000,- -,- -,- -,-492000,25935000,- -,9903000,1525000,35453000,8683000,-22800000,-19408000,-8289000,14823000,17963000,32757000,13995000,30304000,-219000,-14969000,-5132000,43414000,14880000,24434000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15646000,-7818000,-3653000,-14027000,-9163000,-113000,12757000,6419000,-19161000,-43341000,-8611000,22079000,-11607000
79,Inventory,11100000,4700000,-1100000,-5972000,6235000,-4375000,-2288000,-3511000,2666000,3757000,244000,-3919000,3856000,-19509000,-23011000,-11325000,9868000,4109000,-17635000,26557000,-8557000,-77292000,44633000,-18149000,-21884000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20224000,22403000,12126000,21515000,-7654000,5627000,20552000,39531000,-21296000,38078000,27995000
81,Other Working Capital,- -,- -,- -,- -,-492000,25443000,25443000,35346000,36871000,72324000,81007000,58207000,38799000,30510000,45333000,63296000,96053000,110048000,140352000,140133000,125164000,120032000,163446000,178326000,1970000
82,Other Non-Cash Items,10300000,400000,-5200000,12007000,-14296000,-19031000,27722000,-183000,14030000,-42052000,-4929000,-5416000,27701000,-61117000,-1879000,-10988000,11511000,-6928000,-11635000,40955000,33553000,-64428000,35989000,-39968000,5369000
83,Cash Provided by Operating Activities,5600000,25500000,23300000,37149000,15490000,47042000,77450000,58656000,73153000,56345000,101269000,74691000,138455000,40165000,141146000,134060000,189116000,149484000,196357000,177558000,146266000,144280000,332793000,257872000,317586000
84,CAPEX,-3200000,-37100000,-53500000,-46539000,-38098000,-29037000,-16273000,-23448000,-36750000,-43984000,-113219000,-119442000,-157416000,-62284000,-77053000,-62340000,-53732000,-38925000,-30819000,-36476000,-39396000,-43012000,-41004000,-43136000,-43487000
85,Acquisitions Net,- -,- -,- -,- -,- -,-8743000,- -,-1265000,- -,-1974000,-597000,- -,-3803000,- -,- -,-55617000,- -,- -,-15107000,-45737000,-675851000,6147000,- -,-250039000,-170976000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,- -
88,Other Investing Activites,- -,- -,-25600000,- -,5221000,4368000,5252000,158000,9055000,6002000,8091000,28672000,-3437000,7691000,6952000,3454000,7961000,-5598000,10814000,-52207000,-24291000,-20240000,-22468000,-14120000,-33274000
89,Cash Used for Investing Activites,-3200000,-37100000,-79100000,-46539000,-32877000,-33412000,-11021000,-24555000,-27695000,-39956000,-105725000,-90770000,-164656000,-54593000,-70101000,-110870000,-30109000,-30588000,-29348000,-116862000,-710954000,-30953000,-36057000,-276722000,-214066000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16057000,-50351000,-44765000,-53951000,-68254000,-109698000,-8446000,-207329000,-135786000,-101591000,-111674000,-52467000,-16296000
91,Common Stock Issued,- -,53900000,- -,2000,2000,365000,3295000,3651000,2506000,4451000,3625000,2897000,4697000,3279000,9723000,2220000,6152000,12121000,29816000,24338000,9936000,28524000,41094000,- -,- -
92,Common Stock Repurchased,-2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47489000,-36726000,- -,- -,-42012000,-53170000,- -
93,Dividends Paid,-42200000,- -,- -,- -,- -,- -,-5093000,-12644000,-17145000,-23133000,-31286000,-29321000,-39971000,-43266000,-46183000,-50042000,-53918000,-57929000,-64340000,-70459000,-72785000,-75678000,-82535000,-91737000,-103797000
94,Other Financing Activites,-8200000,4200000,38100000,16902000,3483000,-3219000,-11613000,-15629000,3342000,92000,-104000,21323000,74245000,46996000,56551000,145187000,19203000,53872000,9770000,694319000,319200000,14638000,7909000,85913000,1081001000
95,Cash Used/Provided by Financing Activities,-53200000,58100000,38100000,16904000,3485000,-2854000,-13411000,-24622000,-11297000,-18590000,-27765000,-5101000,22914000,-43342000,-24674000,43414000,-96817000,-101634000,-80689000,404143000,120565000,-134107000,-187218000,-111461000,960908000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,1913000,3769000,4144000,-2674000,4580000,10515000,-14267000,18608000,3359000,-5233000,2124000,-5880000,-18534000,-15987000,4000,17150000,-4769000,5171000,16950000,-8871000
97,Net Change In Cash,-53200000,58100000,-17700000,7514000,-13902000,12689000,56787000,13623000,31487000,2380000,-21706000,-35447000,15321000,-54411000,41138000,68728000,56310000,-1272000,70333000,464843000,-426973000,-25549000,114689000,-113361000,1055557000
98,Cash at the End of Period,- -,- -,55900000,63435000,49533000,62222000,119009000,132632000,145537000,147663000,150315000,88352000,122596000,68185000,109323000,178051000,234361000,233089000,210148000,758089000,331116000,305567000,420256000,306895000,1362452000
99,Cash at the Beginning of Period,78000000,27100000,73600000,55921000,63435000,49533000,62222000,119009000,114050000,145283000,172021000,123799000,107275000,122596000,68185000,109323000,178051000,234361000,139815000,293246000,758089000,331116000,305567000,420256000,306895000
100,Free Cash Flow,2400000,-11600000,-30200000,-9390000,-22608000,18005000,61177000,35208000,36403000,12361000,-11950000,-44751000,-18961000,-22119000,64093000,71720000,135384000,110559000,165538000,141082000,106870000,101268000,291789000,214736000,274099000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1046102/000127956917000272/0001279569-17-000272-index.html,https://www.sec.gov/Archives/edgar/data/1046102/000127956918000342/0001279569-18-000342-index.html,https://www.sec.gov/Archives/edgar/data/1046102/000127956919000456/0001279569-19-000456-index.html,https://www.sec.gov/Archives/edgar/data/1046102/000110465920026287/0001104659-20-026287-index.html,https://www.sec.gov/Archives/edgar/data/1046102/000155837021001228/0001558370-21-001228-index.htm,https://www.sec.gov/Archives/edgar/data/1046102/000155837022001365/0001558370-22-001365-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
