,https://roic.ai/company/MDWD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.30,0.54,-0.75,-0.95,-1.02,-0.86,-0.95,-0.04,0.18,-0.34,-0.50
27,Weighted Average Shares Outstanding,20350586,20350586,20350586,19868421,21674000,21862169,23341000,27114000,27179000,27210000,27210000
28,Weighted Average Shares Outstanding Diluted,20350586,20350586,20350586,19868421,21674000,21862169,23341000,27114000,27179000,27210000,27210000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1593984/000117891315000410/zk1516165.htm,https://www.sec.gov/Archives/edgar/data/1593984/000117891316004033/0001178913-16-004033-index.html,https://www.sec.gov/Archives/edgar/data/1593984/000117891317000577/0001178913-17-000577-index.html,https://www.sec.gov/Archives/edgar/data/1593984/000117891318000887/0001178913-18-000887-index.html,https://www.sec.gov/Archives/edgar/data/1593984/000117891319000913/0001178913-19-000913-index.html,https://www.sec.gov/Archives/edgar/data/1593984/000117891320000640/0001178913-20-000640-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,337000,2050000,25420000,42500000,28870000,36069000,6716000,7242000,17376000,11046000
32,Short-Term Investments,- -,- -,7500000,39430000,3270000,1160000,- -,16917000,22036000,4024000,- -
33,Cash and Short-Term Investments,- -,337000,9550000,64850000,45770000,30030000,36069000,23633000,29278000,21400000,11046000
34,Net Receivables,- -,1803000,2000000,2020000,2710000,2520000,3436000,7268000,4557000,2840000,2267000
35,Inventory,- -,862000,- -,1420000,1720000,840000,1886000,1680000,1613000,1380000,1200000
36,Other Current Assets,- -,250000,520000,210000,200000,220000,129000,132000,180000,573000,439000
37,Total Current Assets,- -,3252000,12070000,68500000,50400000,33610000,41520000,32713000,35628000,26193000,14952000
38,PP&E,- -,1274000,1140000,1090000,1040000,1280000,1924000,2020000,4533000,4514000,4026000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,5093000,1000000,950000,900000,770000,635000,495000,429000,363000,297000
41,Intangible Assets,- -,5093000,1000000,950000,900000,770000,635000,495000,429000,363000,297000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,15819000,620000,580000,180000,100000,56000,48000,- -,- -,469000
45,Total Non-Current Assets,- -,22186000,2760000,2620000,2120000,2150000,2615000,2563000,4962000,4877000,4792000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,25438000,14830000,71120000,52520000,35760000,44135000,35276000,40590000,31070000,19744000
48,Accounts Payable,- -,775000,- -,- -,- -,- -,- -,- -,- -,2992000,4693000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,1023000,988000,1158000,1158000,462000,543000
52,Other Current Liabilities,- -,2589000,2020000,3900000,5210000,4357000,4445000,3739000,9215000,4812000,5485000
53,Total Current Liabilities,- -,3364000,2020000,3900000,5210000,5380000,5433000,4897000,10373000,8266000,10721000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2006000,- -,1391000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,1234000,119000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,6440000,32610000,24350000,23840000,22610000,29082000,21407000,13042000,14298000,12095000
58,Total Non-Current Liabilities,- -,6440000,32610000,24350000,23840000,22610000,29082000,21407000,15048000,15532000,13605000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,2006000,1741000,1391000
61,Total Liabilities,- -,9804000,34630000,28250000,29050000,27990000,34515000,26304000,25421000,23798000,24326000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,9000,10000,60000,60000,60000,75000,75000,75000,75000,75000
64,Retained Earnings,- -,-32061000,-47410000,-66290000,-88380000,-107260000,-129409000,-130715000,-125760000,-134956000,-148507000
65,Other Comprehensive Income/Loss,- -,-3495000,-60000,-40000,-40000,-20000,-76000,-50000,-34000,-5550000,-19000
66,Other Total Stockholders Equity,- -,51181000,27656000,109141000,111830000,114990000,139030000,139662000,140888000,147703000,143869000
67,Total Stockholders Equity,- -,15634000,-19804000,42871000,23470000,7770000,9620000,8972000,15169000,7272000,-4582000
68,Total Liabilities And Stockholders Equity,- -,25438000,14826000,71121000,52520000,35760000,44135000,35276000,40590000,31070000,19744000
69,Minority Interest,- -,- -,4000,-1000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,25438000,14830000,71120000,52520000,35760000,44135000,35276000,40590000,31070000,19744000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1593984/000117891315000410/zk1516165.htm,https://www.sec.gov/Archives/edgar/data/1593984/000117891316004033/0001178913-16-004033-index.html,https://www.sec.gov/Archives/edgar/data/1593984/000117891317000577/0001178913-17-000577-index.html,https://www.sec.gov/Archives/edgar/data/1593984/000117891318000887/0001178913-18-000887-index.html,https://www.sec.gov/Archives/edgar/data/1593984/000117891319000913/0001178913-19-000913-index.html,https://www.sec.gov/Archives/edgar/data/1593984/000117891320000640/0001178913-20-000640-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-6169000,10940000,-15351000,-18875000,-22088000,-18885000,-22149000,-1057000,4955000,-9196000,-13551000
74,Depreciation and Amortization,196000,267000,336000,492000,503000,589000,567000,577000,1149000,1090000,1238000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,555000,334000,531000,4827000,2659000,3171000,1363000,645000,1234000,1322000,1673000
77,Change in Working Capital,390000,-1948000,-389000,629000,275000,1982000,-2446000,-1008000,4492000,-61000,162000
78,Accounts Receivable,782000,- -,-532000,-67000,-181000,-107000,28000,-211000,-3553000,1386000,929000
79,Inventory,- -,- -,- -,-1421000,-273000,873000,-1042000,206000,67000,141000,257000
80,Accounts Payable,-252000,30000,405000,22000,-76000,331000,-135000,-536000,1355000,-1096000,1723000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,2068000,-14321000,5133000,-3566000,-950000,-3302000,6210000,-11311000,-3541000,-50000,1562000
83,Cash Provided by Operating Activities,-2960000,-4728000,-9740000,-16493000,-19601000,-16445000,-16455000,-12154000,8289000,-6895000,-8916000
84,CAPEX,-849000,-413000,-358000,-396000,-406000,-701000,-1075000,-534000,-792000,-923000,-489000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-5050000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,1163000,- -,- -,- -,- -
88,Other Investing Activites,-2612000,-344000,-2587000,-36788000,36422000,2487000,319000,-16518000,-1055000,18308000,4037000
89,Cash Used for Investing Activites,-3373000,-407000,-2855000,-37154000,36046000,1816000,437000,-17040000,-6897000,17385000,3548000
90,Debt Repayment,- -,- -,-915000,- -,- -,- -,- -,- -,- -,-508000,- -
91,Common Stock Issued,- -,- -,15800000,- -,- -,- -,22658000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,7268000,1768000,4356000,72475000,778000,907000,337000,46000,-1006000,-121000,-1050000
95,Cash Used/Provided by Financing Activities,7268000,1768000,19241000,72475000,778000,907000,22995000,46000,-1006000,-629000,-1050000
96,Effect of Forex Changes on Cash,-1000,42000,70000,-459000,-143000,86000,226000,-205000,140000,273000,88000
97,Net Change In Cash,934000,-3325000,6716000,18369000,17080000,-13636000,7203000,-29353000,526000,10134000,-6330000
98,Cash at the End of Period,3662000,337000,7053000,25422000,42502000,28866000,36069000,6716000,7242000,17376000,11046000
99,Cash at the Beginning of Period,2728000,3662000,337000,7053000,25422000,42502000,28866000,36069000,6716000,7242000,17376000
100,Free Cash Flow,-3809000,-5141000,-10098000,-16889000,-20007000,-17146000,-17530000,-12688000,7497000,-7818000,-9405000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1593984/000117891315000410/zk1516165.htm,https://www.sec.gov/Archives/edgar/data/1593984/000117891316004033/0001178913-16-004033-index.html,https://www.sec.gov/Archives/edgar/data/1593984/000117891317000577/0001178913-17-000577-index.html,https://www.sec.gov/Archives/edgar/data/1593984/000117891318000887/0001178913-18-000887-index.html,https://www.sec.gov/Archives/edgar/data/1593984/000117891319000913/0001178913-19-000913-index.html,https://www.sec.gov/Archives/edgar/data/1593984/000117891320000640/0001178913-20-000640-index.html,- -,- -
102,false,,,,,,,,,,,
