,https://roic.ai/company/CNBX,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,589722,6010946,426522,845218
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,13894,13894,14971,- -,- -,- -,- -,- -,- -,4411364,3201,1623,120378,1564053,10876232,1289401,1488114
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,26758,171541,317329,291562,177741,94960,- -,- -,72755,4524121,28704,23716,3637756,3184905,15183166,2219311,3078961
48,Accounts Payable,3037,2091,- -,1691,- -,- -,34145,27908,47350,25340,113847,265325,386873,315737,215229,231142,177505
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,871896
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,2791,34990,13195,21084,130798,48800,224483,225839,312250,223645,223645,223645,223645
53,Total Current Liabilities,3037,2091,- -,1691,2791,34990,47340,48992,178148,74140,338330,491164,699123,539382,438874,454787,1273046
54,Long-Term Debt,25000,25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,349900,- -,- -,- -,- -,- -,- -,1,- -,- -,-1,- -,- -
58,Total Non-Current Liabilities,25000,25000,- -,- -,349900,- -,- -,- -,- -,- -,- -,1,- -,- -,-1,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,28037,27091,- -,1691,352691,34990,47340,48992,178148,74140,338330,491165,699123,539382,438873,454787,1273046
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,500,860,860,860,68,68,68,68,10025,10150,10722,11954,12158,13450,13508,14475
64,Retained Earnings,-1800,-21821,-45024,-72482,-187403,-302383,-409693,-411345,-467746,-737751,-1279138,-1586319,-3520160,-7296777,-6163807,-13631271,-16825718
65,Other Comprehensive Income/Loss,- -,165000,-1077,-2153,- -,- -,- -,- -,- -,-86,-1304,-1577,-7019,-88440,2810013,-2774411,-1905715
66,Other Total Stockholders Equity,-479,771,362570,363646,11593,362285,362285,362285,362285,5177793,960666,1109725,6453858,10018582,18084637,18156698,20522873
67,Total Stockholders Equity,-1279,144450,317329,289871,-174950,59970,-47340,-48992,-105393,4449981,-309626,-467449,2938633,2645523,14744293,1764524,1805915
68,Total Liabilities And Stockholders Equity,26758,171541,- -,291562,177741,94960,- -,- -,72755,4524121,28704,23716,3637756,3184905,15183166,2219311,3078961
69,Minority Interest,- -,- -,317329,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,26758,171541,317329,291562,177741,94960,- -,- -,72755,4524121,28704,23716,3637756,3184905,15183166,2219311,3078961
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1343009/000130368109000077/0001303681-09-000077-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000130368110000176/0001303681-10-000176-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000130368111000207/0001303681-11-000207-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000130368112000140/0001303681-12-000140-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000130368113000105/0001303681-13-000105-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000101968715003780/0001019687-15-003780-index.htm,https://www.sec.gov/Archives/edgar/data/1343009/000101968716004727/0001019687-16-004727-index.htm,https://www.sec.gov/Archives/edgar/data/1343009/000168316816000925/0001683168-16-000925-index.htm,https://www.sec.gov/Archives/edgar/data/1343009/000168316817003260/0001683168-17-003260-index.htm,https://www.sec.gov/Archives/edgar/data/1343009/000168316818003584/0001683168-18-003584-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000168316819003852/0001683168-19-003852-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000168316820003686/0001683168-20-003686-index.htm,https://www.sec.gov/Archives/edgar/data/1343009/000168316821006005/0001683168-21-006005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,- -,-20000,-20000,-30000,-110000,-110000,-110000,- -,-60000,-270000,-541390,-307180,-1933840,-3776620,1132970,- -,-3194447
74,Depreciation and Amortization,- -,- -,1077,1076,- -,- -,- -,- -,- -,86,1304,1577,7019,88440,188928,215155,220926
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,3037,145729,146802,-12487,-114921,-114980,-107310,-1652,-56401,144010,-351444,-156244,3287326,-1736785,2786590,-3392937,-64053
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2692,-146716,-77560,-57252,132197,-10418
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,13925,- -,19442,-22010,88507,149055,121548,-71136,-100509,- -,- -
81,Other Working Capital,9827,155556,302358,289871,174950,59970,-47340,-48992,-105393,38617,-312827,-469071,2818255,1081470,3868060,475123,- -
82,Other Non-Cash Items,-1779,-145946,-153644,32850,111100,230979,217310,1652,89156,-69512,712475,341744,-2224072,3450273,-7202270,402827,544661
83,Cash Provided by Operating Activities,1258,-20217,-25765,-8561,-113821,5999,- -,- -,-27245,-195416,-179055,-120103,-863567,-1974692,-3093782,-2774955,-2492913
84,CAPEX,-13894,- -,-2154,- -,- -,- -,- -,- -,- -,-31551,-3040,- -,-125775,-942394,-216882,-75748,-943
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5034233,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3362332,645968
88,Other Investing Activites,- -,- -,- -,- -,- -,-183740,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -
89,Cash Used for Investing Activites,-13894,- -,-2154,- -,- -,-183740,- -,- -,- -,-31551,-3040,- -,-125775,-1442394,-5251115,3286584,645025
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-589,-22000,- -,- -,- -
91,Common Stock Issued,500,- -,360395,- -,- -,- -,- -,- -,- -,102980,108556,94000,4414533,1550000,7294259,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,25000,165000,-190000,- -,- -,- -,- -,- -,100000,150000,- -,20000,-76035,-85000,-76989,- -,2456750
95,Cash Used/Provided by Financing Activities,25500,165000,170395,- -,- -,- -,- -,- -,100000,252980,108556,114000,4337909,1443000,7217270,- -,2456750
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,144783,142476,-8561,-113821,- -,- -,- -,- -,26013,-73539,-6103,3348567,-1974086,-1127626,511629,608862
98,Cash at the End of Period,12864,157647,300123,291562,177741,- -,- -,- -,72755,98768,25229,19126,3367694,1393608,265982,777611,1386473
99,Cash at the Beginning of Period,- -,12864,157647,300123,291562,177741,- -,- -,- -,72755,98768,25229,19127,3367694,1393608,265982,777611
100,Free Cash Flow,-12636,-20217,-27919,-8561,-113821,5999,- -,- -,-27245,-226967,-182095,-120103,-989342,-2917086,-3310664,-2850703,-2493856
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1343009/000130368109000077/0001303681-09-000077-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000130368110000176/0001303681-10-000176-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000130368111000207/0001303681-11-000207-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000130368112000140/0001303681-12-000140-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000130368113000105/0001303681-13-000105-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000101968715003780/0001019687-15-003780-index.htm,https://www.sec.gov/Archives/edgar/data/1343009/000101968716004727/0001019687-16-004727-index.htm,https://www.sec.gov/Archives/edgar/data/1343009/000168316816000925/0001683168-16-000925-index.htm,https://www.sec.gov/Archives/edgar/data/1343009/000168316817003260/0001683168-17-003260-index.htm,https://www.sec.gov/Archives/edgar/data/1343009/000168316818003584/0001683168-18-003584-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000168316819003852/0001683168-19-003852-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000168316820003686/0001683168-20-003686-index.htm,https://www.sec.gov/Archives/edgar/data/1343009/000168316821006005/0001683168-21-006005-index.htm
102,false,,,,,,,,,,,,,,,,,
