,https://roic.ai/company/REYN,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,- -,- -,25000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,4361000000,1249000000,243000000,222000000,223000000
53,Total Current Liabilities,- -,4482000000,1385000000,378000000,432000000,484000000
54,Long-Term Debt,- -,2345000000,5709000000,4204000000,2259000000,2179000000
55,Deferred Revenue,- -,- -,- -,- -,- -,351000000
56,Deferred Tax Liabilities,- -,320000000,296000000,294000000,326000000,351000000
57,Other Non-Current Liabilities,- -,62000000,58000000,102000000,90000000,-309000000
58,Total Non-Current Liabilities,- -,2727000000,6063000000,4600000000,2675000000,2572000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,35000000,51000000,- -
61,Total Liabilities,- -,7209000000,7448000000,4978000000,3107000000,3056000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,-1304000000,-1034000000,- -,- -,- -
64,Retained Earnings,- -,-1304000000,-1034000000,-823000000,233000000,365000000
65,Other Comprehensive Income/Loss,- -,-562000000,-610000000,-642000000,1000000,10000000
66,Other Total Stockholders Equity,- -,1872000000,1651000000,647000000,- -,1381000000
67,Total Stockholders Equity,- -,-1298000000,-1027000000,-818000000,1615000000,1756000000
68,Total Liabilities And Stockholders Equity,- -,5911000000,6421000000,4160000000,4722000000,4812000000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,5911000000,6421000000,4160000000,4722000000,4812000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1786431/000156459020009733/0001564590-20-009733-index.htm,https://www.sec.gov/Archives/edgar/data/1786431/000156459021005649/0001564590-21-005649-index.htm,https://www.sec.gov/Archives/edgar/data/1786431/000156459022004307/0001564590-22-004307-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,79000000,302000000,176000000,225000000,363000000,324000000
74,Depreciation and Amortization,97000000,90000000,87000000,91000000,99000000,109000000
75,Deferred Income Tax,-3000000,-158000000,-22000000,1000000,67000000,22000000
76,Stock Based Compensation,- -,- -,- -,- -,5000000,4000000
77,Change in Working Capital,190000000,-3993000000,3126000000,1061000000,429000000,-1000000
78,Accounts Receivable,4000000,44000000,-7000000,2000000,-279000000,-24000000
79,Inventory,-15000000,-78000000,-65000000,2000000,- -,-165000000
80,Accounts Payable,5000000,-4000000,16000000,-6000000,54000000,71000000
81,Other Working Capital,-2000000,-3995000000,-869000000,192000000,621000000,620000000
82,Other Non-Cash Items,30000000,4154000000,-2837000000,-975000000,-644000000,-148000000
83,Cash Provided by Operating Activities,393000000,395000000,530000000,403000000,319000000,310000000
84,CAPEX,-43000000,-56000000,-82000000,-109000000,-143000000,-141000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-541000000,-308000000,-472000000,-19000000,- -,- -
89,Cash Used for Investing Activites,-584000000,-364000000,-554000000,-128000000,-143000000,-141000000
90,Debt Repayment,-167000000,-21000000,-21000000,-21000000,-1394000000,-125000000
91,Common Stock Issued,- -,- -,- -,- -,1410000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-124000000,-192000000
94,Other Financing Activites,347000000,-19000000,45000000,-175000000,142000000,- -
95,Cash Used/Provided by Financing Activities,180000000,-40000000,24000000,-196000000,34000000,-317000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-11000000,-9000000,- -,79000000,210000000,-148000000
98,Cash at the End of Period,32000000,23000000,23000000,102000000,312000000,- -
99,Cash at the Beginning of Period,43000000,32000000,23000000,23000000,102000000,- -
100,Free Cash Flow,350000000,339000000,448000000,294000000,176000000,169000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1786431/000156459020009733/0001564590-20-009733-index.htm,https://www.sec.gov/Archives/edgar/data/1786431/000156459021005649/0001564590-21-005649-index.htm,https://www.sec.gov/Archives/edgar/data/1786431/000156459022004307/0001564590-22-004307-index.htm
102,false,,,,,,
