,https://roic.ai/company/IAG,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-54.0001,0.0508,0.1458,0.2078,0.1875,0.1341,0.0612,0.1484,0.0952,0.1579,0.2390,-0.0621,-0.0114,0.1248,0.2397,0.4821,0.2004,-0.7257,-0.2052,-0.8237,0.0533,0.4581,-0.0254,-0.3873,0.0343,-0.2209
25,EPS,-0.06,0.04,0.12,-0.26,-0.23,0.15,0.07,0.11,0.08,0.14,0.39,-0.14,-0.03,0.32,0.75,2.15,0.89,-2.21,-0.55,-1.93,0.13,1.08,-0.06,-0.88,0.09,-0.53
26,EPS Diluted,-0.06,0.04,0.12,-0.26,-0.23,0.15,0.07,0.11,0.08,0.14,0.39,-0.14,-0.03,0.32,0.75,2.14,0.89,-2.21,-0.55,-1.93,0.12,1.07,-0.06,-0.88,0.09,-0.53
27,Weighted Average Shares Outstanding,67503306,60003884,71577165,74997519,72645676,72986667,79071429,136718182,145112500,146385714,186485000,293284000,295430000,352755000,371392000,374947000,376200000,376600000,376800000,389900000,420800000,463000000,466500000,468000000,472600000,476500000
28,Weighted Average Shares Outstanding Diluted,67503306,60003884,71577165,74997519,72645676,72986667,79071429,144907779,145112500,146385714,187655000,293284000,295430000,354631000,373255000,376520000,376900000,376600000,376800000,389900000,423900000,467500000,466500000,468000000,478000000,476500000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1203464/000119312509069563/0001193125-09-069563-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000119312510073684/0001193125-10-073684-index.html,- -,https://www.sec.gov/Archives/edgar/data/1203464/000119312512129906/0001193125-12-129906-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000119312513124666/0001193125-13-124666-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1203464/000119312516467295/0001193125-16-467295-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000119312517052284/0001193125-17-052284-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000119312518052173/0001193125-18-052173-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000106299319001011/0001062993-19-001011-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000106299320001084/0001062993-20-001084-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,15800000,66700000,37400000,45500000,101500000,93200000,111100000,182600000,269200000,631200000,471600000,211900000,158400000,481000000,652000000,664100000,615100000,830600000,941500000,544900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,30600000,47300000,48100000,64700000,71900000,74000000,77100000,49200000,48700000,541600000,457800000,116500000,111200000,97600000,200000,127200000,119500000,10600000,6000000,7600000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,46400000,114000000,85500000,110200000,173400000,167200000,188200000,231800000,317900000,1172800000,929400000,328400000,269600000,578600000,652200000,791300000,734600000,841200000,947500000,552500000
34,Net Receivables,- -,- -,- -,- -,- -,- -,13300000,21400000,27300000,20300000,65900000,71100000,59500000,62200000,55200000,109700000,130900000,94000000,31400000,71100000,49200000,146000000,63200000,51400000,79500000,47200000
35,Inventory,- -,- -,- -,- -,- -,- -,9800000,10400000,11600000,12800000,61300000,89200000,92800000,162000000,206300000,239100000,305100000,300200000,245100000,223900000,207900000,200000000,274700000,308500000,327300000,302100000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,18000000,6200000,4600000,20900000,20100000,21900000,35700000,14000000,638600000,78300000,103600000,23700000,14400000,61900000,41200000,49300000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,69600000,145800000,124400000,143300000,318600000,333700000,345100000,476900000,599500000,1543500000,1401100000,736600000,1184700000,951900000,1012900000,1161000000,1086900000,1263000000,1395500000,951100000
38,PP&E,- -,- -,- -,- -,- -,- -,96900000,84900000,72800000,70700000,956400000,1255700000,1167900000,1845700000,2163500000,2238100000,3246600000,3046000000,2697700000,2008900000,2037400000,2414800000,2483400000,2281800000,2416800000,2694200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,74900000,74900000,74900000,465000000,361600000,342000000,334000000,334800000,256700000,256700000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15100000,12000000,8400000,5300000,4500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,74900000,74900000,74900000,465000000,376700000,354000000,342400000,340100000,261200000,256700000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,123900000,151000000,144200000,136300000,150300000,191500000,248400000,274100000,120100000,132400000,65500000,73100000,77900000,80200000,95100000,92600000,23400000,9000000,45100000
43,Tax Assets,- -,- -,- -,- -,- -,- -,3300000,21300000,18500000,14800000,185000000,158000000,159700000,237400000,256100000,234800000,285600000,212300000,165500000,145800000,159000000,198200000,188200000,180600000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,20800000,300000,6400000,21100000,217400000,-78800000,-66500000,-154000000,-138400000,-48000000,53800000,130000000,101800000,66900000,111000000,97800000,109900000,113300000,333000000,281200000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,121000000,305300000,323600000,325700000,1960100000,1861900000,1806600000,2519900000,2895400000,2806200000,3975100000,3453800000,3038100000,2299500000,2387600000,2805900000,2874100000,2599100000,2758800000,3020500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,190600000,451100000,448000000,469000000,2278700000,2195600000,2151700000,2996800000,3494900000,4349700000,5376200000,4190400000,4222800000,3251400000,3400500000,3966900000,3961000000,3862100000,4154300000,3971600000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244700000,304400000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29263000,4533000,75291000,12257000,11756000,- -,- -,- -,- -,71100000,100000,- -,- -,18000000,25900000,28900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86743000,62200000,12100000,8700000,14600000,14700000,14900000,15400000,12800000,29600000,29500000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,3309000,- -,- -,- -,- -,- -,- -,- -,-1791000000,234814000,55000000,256000000,111000000,-111000000,-111000000,198000000,188000000,180000000,- -,189700000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,13491000,27300000,21800000,28800000,187237000,173167000,164409000,199843000,2033144000,117786000,318100000,-40700000,284100000,290200000,306400000,33100000,39200000,68000000,64200000,58700000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,16800000,27300000,21800000,28800000,216500000,177700000,239700000,212100000,253900000,352600000,373100000,215300000,395100000,250300000,195500000,231100000,227200000,266000000,334800000,581700000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,13100000,11300000,10400000,6900000,9600000,5700000,5500000,- -,- -,- -,638800000,640300000,641700000,628100000,485100000,391600000,398500000,449300000,458700000,501100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179800000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168800000,61200000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,8700000,26400000,24100000,22300000,279200000,260900000,250800000,368000000,465200000,522600000,636200000,503600000,567500000,477200000,498200000,552600000,602700000,800700000,466700000,510500000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,21800000,37700000,34500000,29200000,288800000,266600000,256300000,368000000,465200000,522600000,1275000000,1143900000,1209200000,1105300000,983300000,944200000,1001200000,1250000000,1274000000,1072800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29263000,- -,- -,- -,- -,- -,- -,- -,- -,1100000,100000,- -,- -,58800000,66800000,65600000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,38600000,65000000,56300000,58000000,505300000,444300000,496000000,580100000,719100000,875200000,1648100000,1359200000,1604300000,1355600000,1178800000,1175300000,1228400000,1516000000,1608800000,1654500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,118300000,342200000,344000000,352600000,1626000000,1633100000,1655800000,2203300000,2255900000,2308600000,2315800000,2317600000,2322700000,2366200000,2628200000,2677800000,2680100000,2686800000,2710800000,2719100000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,33700000,42000000,42400000,54000000,108900000,49600000,21900000,113900000,363900000,1146000000,1343200000,465100000,301200000,-461200000,-409700000,91300000,63100000,-350200000,-307900000,-562200000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,8000,1872000,5389000,4375000,38425000,68644000,-61228000,62664000,117467000,41151000,42400000,13300000,-43600000,-47400000,-36900000,-20500000,-58800000,-44500000,-5300000,23800000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,-2000,31000,-46000,27000,26000,-28000,39194000,36797000,38543000,-21214000,26700000,35200000,38200000,38200000,40100000,43000000,48200000,54000000,60600000,59100000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,152006000,386103000,391743000,411002000,1773351000,1751316000,1655666000,2416661000,2775810000,3474537000,3728100000,2831200000,2618500000,1895800000,2221700000,2791600000,2732600000,2346100000,2458200000,2239800000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,190606000,451103000,448043000,469002000,2278651000,2195616000,2151666000,2996761000,3494910000,4349737000,5376200000,4190400000,4222800000,3251400000,3400500000,3966900000,3961000000,3862100000,4067000000,3894300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-6000,-3000,-43000,-2000,49000,-16000,34000,39000,-10000,-37000,- -,- -,- -,- -,- -,- -,- -,- -,87300000,77300000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,190600000,451100000,448000000,469000000,2278700000,2195600000,2151700000,2996800000,3494900000,4349700000,5376200000,4190400000,4222800000,3251400000,3400500000,3966900000,3961000000,3862100000,4154300000,3971600000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1203464/000119312509069563/0001193125-09-069563-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000119312510073684/0001193125-10-073684-index.html,- -,https://www.sec.gov/Archives/edgar/data/1203464/000119312512129906/0001193125-12-129906-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000119312513124666/0001193125-13-124666-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1203464/000119312516467295/0001193125-16-467295-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000119312517052284/0001193125-17-052284-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000119312518052173/0001193125-18-052173-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000106299319001011/0001062993-19-001011-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000106299320001084/0001062993-20-001084-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3940168,2518363,8786097,13202461,10874117,10948000,5500000,15000000,11600000,20500000,72500000,-42100000,-9900000,114100000,279800000,806700000,334700000,-832500000,-206800000,-755300000,52600000,501600000,-28200000,-412600000,42600000,-254400000
74,Depreciation and Amortization,218898,9933543,11822469,11889127,12196960,15637000,20626000,26646000,25814000,26445000,38918000,82646000,151755000,143375000,132693000,156800000,163900000,175200000,231200000,264200000,263500000,266000000,266200000,276600000,268000000,349100000
75,Deferred Income Tax,- -,- -,- -,- -,-144686,4285000,-854000,-4442000,-3923000,-4249000,2265000,14119000,-7919000,15707000,1761000,220996000,199400000,-9200000,155100000,11500000,33400000,97600000,38000000,30400000,44100000,-64500000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4035000,6080000,7689000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6900000
77,Change in Working Capital,4013134,- -,- -,1105965,-4085878,-7380000,-6690000,-18000,-11778000,4402000,-26700000,-23447000,9346000,-38580000,1877000,-63907000,-63000000,-59300000,-5100000,-41200000,24300000,1300000,-97300000,-4500000,-20500000,-8000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65666000,-72900000,-51000000,300000,-6200000,10900000,-21300000,-87800000,-22200000,-3400000,-36700000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-1,- -,- -,1105965,-4085878,-7380000,-6690000,-18000,-11778000,4402000,-26700000,-23447000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-145932,2728227,1615092,1175088,288037,2234000,416000,-6548000,-8030000,-13055000,-24571000,114362000,108061000,16276000,-8707000,-545986000,-194000000,972100000,137800000,546800000,-59400000,-571200000,12400000,473100000,13400000,255900000
83,Cash Provided by Operating Activities,145932,15180133,22223658,27372641,19128550,25724000,18998000,30638000,13683000,34043000,62412000,145580000,255378000,256958000,415113000,574603000,441000000,246300000,312200000,26000000,314400000,295300000,191100000,363000000,347600000,285000000
84,CAPEX,-364830,-12521861,-4716067,-6013686,-23811175,-16821000,-8908000,-9965000,-9000000,-9015000,-25814000,-120138000,-169319000,-452564000,-372126000,-395144000,-700500000,-636900000,-376700000,-213000000,-300900000,-239500000,-336000000,-274400000,-317200000,-669300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-16154000,- -,- -,-877000,-173000,-98273000,-7765000,- -,- -,-485700000,- -,- -,-8400000,- -,89100000,92100000,-5000000,34000000,100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19769000,-17403000,-25835000,- -,- -,- -,- -,- -,- -,-127200000,- -,- -,- -,-200000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,3032000,1833000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170300000,- -,- -,- -,- -,- -
88,Other Investing Activites,-56767603,-2378454,-6783384,2281053,148687,-3485000,-30657000,38036000,-28987000,-11850000,38273000,5051000,-5173000,70690000,40513000,638124000,-725400000,-688300000,-319700000,286800000,-325000000,-134300000,-308800000,-144800000,-280200000,-618400000
89,Cash Used for Investing Activites,-57132433,-14900315,-11499451,-3732633,-23662488,-20306000,-39565000,14949000,-36154000,-20865000,11582000,-115260000,-292534000,-407042000,-357448000,242980000,-1213300000,-688300000,-319700000,278400000,-164700000,-177400000,-224900000,-149800000,-246200000,-630700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4960000,-166581000,-50000000,- -,- -,- -,- -,-39800000,-211500000,-510500000,-1200000,-9100000,-444000000,-26600000
91,Common Stock Issued,48887267,- -,31009755,69123,- -,88000,21227000,8314000,1108000,6440000,11524000,5089000,14465000,308356000,54652000,54724000,5400000,200000,- -,43000000,263700000,15100000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-2306000,-2519000,-6725000,-7276000,-8870000,-17570000,-17625000,-17740000,-31684000,-80141000,-106900000,-102400000,-4100000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,23276177,-2868136,-14018993,-25368079,-18329777,-16974000,-7851000,-542000,-1207000,-3960000,-20682000,-28899000,50000000,72000000,48086000,106000,630600000,-30300000,-31000000,22400000,-30300000,378200000,-9300000,9900000,444800000,-14600000
95,Cash Used/Provided by Financing Activities,72163444,-2868136,16990762,-25298956,-18329777,-16886000,11070000,5253000,-6824000,-4796000,-18028000,-41380000,41880000,196035000,21054000,-25311000,529100000,-132500000,-35100000,25600000,21900000,-117200000,-10500000,800000,800000,-41200000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27434000,686000,-11438000,5100000,-500000,-9200000,-19500000,-600000,11400000,-4700000,1500000,8700000,-9700000
97,Net Change In Cash,15249909,-2728227,27844176,-1382457,-22863715,-11468000,-9497000,50840000,-29295000,8382000,55966000,-11060000,4724000,73385000,79405000,780834000,-238100000,-575000000,-51800000,310500000,171000000,12100000,-49000000,215500000,110900000,-396600000
98,Cash at the End of Period,35972273,33298356,61115059,59722126,36797573,25332000,15835000,66675000,37380000,45534000,101500000,113265000,117989000,191374000,270779000,1051613000,813500000,222300000,158500000,481000000,652000000,664100000,615100000,830600000,941500000,544900000
99,Cash at the Beginning of Period,20722364,36026583,33270883,61104583,59661288,36800000,25332000,15835000,66675000,37152000,45534000,124325000,113265000,117989000,191374000,270779000,1051600000,797300000,210300000,170500000,481000000,652000000,664100000,615100000,830600000,941500000
100,Free Cash Flow,-218898,2658272,17507591,21358955,-4682625,8903000,10090000,20673000,4683000,25028000,36598000,25442000,86059000,-195606000,42987000,179459000,-259500000,-390600000,-64500000,-187000000,13500000,55800000,-144900000,88600000,30400000,-384300000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1203464/000119312509069563/0001193125-09-069563-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000119312510073684/0001193125-10-073684-index.html,- -,https://www.sec.gov/Archives/edgar/data/1203464/000119312512129906/0001193125-12-129906-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000119312513124666/0001193125-13-124666-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1203464/000119312516467295/0001193125-16-467295-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000119312517052284/0001193125-17-052284-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000119312518052173/0001193125-18-052173-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000106299319001011/0001062993-19-001011-index.html,https://www.sec.gov/Archives/edgar/data/1203464/000106299320001084/0001062993-20-001084-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
