,https://roic.ai/company/MPLX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,103300000,134000000,13100000,77900000,121300000,156000000,233000000,794000000,1818000000,1033000000,-720000000,3077000000
24,Net Income ratio,0.2609,0.3264,0.0296,0.1682,0.2332,0.2335,0.0912,0.2151,0.2991,0.1198,-0.0873,0.3214
25,EPS,2.80,3.63,0.17,1.05,1.55,1.02,0.00,1.07,2.29,1.00,-0.80,2.86
26,EPS Diluted,2.80,3.63,0.17,1.05,1.55,1.01,0.00,1.06,2.29,1.00,-0.80,2.86
27,Weighted Average Shares Outstanding,36951515,36951515,74000000,74000000,74400000,97000000,331000000,385000000,761000000,906000000,1051000000,1027000000
28,Weighted Average Shares Outstanding Diluted,36951515,36951515,74000000,74000000,74400000,98000000,338000000,388000000,761000000,907000000,1051000000,1027000000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1552000/000119312513124428/0001193125-13-124428-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200014000004/mplx-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1552000/000155200015000006/mplx-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1552000/000155200016000136/0001552000-16-000136-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200017000012/0001552000-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200018000020/0001552000-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200019000006/0001552000-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200020000007/0001552000-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200021000017/0001552000-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1552000/000155200022000007/0001552000-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,100000,216700000,54100000,27300000,43000000,234000000,5000000,68000000,15000000,15000000,13000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,100000,216700000,54100000,27300000,43000000,234000000,5000000,68000000,15000000,15000000,13000000
34,Net Receivables,- -,289400000,55600000,60500000,51200000,332000000,419000000,452000000,706000000,1240000000,1125000000,- -
35,Inventory,- -,9000000,8900000,11600000,11700000,49000000,54000000,65000000,77000000,110000000,118000000,- -
36,Other Current Assets,- -,200000,2600000,8900000,7000000,50000000,33000000,37000000,46000000,119000000,257000000,- -
37,Total Current Assets,- -,298700000,283800000,135100000,97200000,474000000,740000000,559000000,897000000,1484000000,1515000000,- -
38,PP&E,- -,866800000,- -,- -,- -,- -,- -,- -,- -,- -,21758000000,- -
39,Goodwill,- -,134200000,104700000,104700000,104700000,2559000000,2199000000,2245000000,2586000000,9536000000,7657000000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,466000000,492000000,453000000,424000000,1270000000,959000000,- -
41,Intangible Assets,- -,134200000,104700000,104700000,104700000,3025000000,2691000000,2698000000,3010000000,10806000000,8616000000,- -
42,Investments,- -,- -,- -,- -,- -,2458000000,2467000000,4010000000,4174000000,5275000000,4036000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3400000,912800000,968700000,1012600000,9720000000,10748000000,12233000000,14698000000,22865000000,489000000,- -
45,Total Non-Current Assets,- -,1004400000,1017500000,1073400000,1117300000,15203000000,15906000000,18941000000,21882000000,38946000000,34899000000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35507000000
47,Total Assets,- -,1303100000,1301300000,1208500000,1214500000,15677000000,16646000000,19500000000,22779000000,40430000000,36414000000,35507000000
48,Accounts Payable,- -,34700000,39000000,30500000,42200000,89000000,123000000,151000000,162000000,242000000,152000000,- -
49,Short-Term Debt,- -,- -,700000,700000,800000,- -,- -,- -,- -,- -,828000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,34000000,30500000,32000000,36000000,48000000,51000000,59000000,97000000,- -
52,Other Current Liabilities,- -,16400000,23600000,18200000,27100000,491000000,545000000,1105000000,973000000,1831000000,1009000000,- -
53,Total Current Liabilities,- -,51100000,63300000,83400000,100600000,612000000,704000000,1304000000,1186000000,2132000000,2086000000,- -
54,Long-Term Debt,- -,11200000,10600000,9800000,644000000,5255000000,4422000000,6945000000,13392000000,19704000000,19848000000,- -
55,Deferred Revenue,- -,- -,- -,- -,4000000,13000000,27000000,85000000,123000000,277000000,368000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,377000000,5000000,5000000,13000000,12000000,12000000,- -
57,Other Non-Current Liabilities,- -,1600000,600000,1200000,2200000,166000000,169000000,188000000,197000000,724000000,1083000000,- -
58,Total Non-Current Liabilities,- -,12800000,11200000,11000000,650200000,5811000000,4623000000,7223000000,13725000000,20717000000,21311000000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23455000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,599000000,537000000,- -
61,Total Liabilities,- -,63900000,74500000,94400000,750800000,6423000000,5327000000,8527000000,14911000000,22849000000,23397000000,23455000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-374000000,-276300000,-309800000,-353100000,-435000000,-1115000000,-14000000,-16000000,-15000000,-15000000,-17000000
66,Other Total Stockholders Equity,- -,1613200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,1239200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,12052000000
68,Total Liabilities And Stockholders Equity,- -,1303100000,74500000,94400000,750800000,6423000000,5327000000,8527000000,14911000000,22849000000,36414000000,35507000000
69,Minority Interest,- -,- -,1226800000,1114100000,463700000,9254000000,11319000000,10973000000,7868000000,17581000000,- -,- -
70,Total Liabilities & Equity,- -,1303100000,1301300000,1208500000,1214500000,15677000000,16646000000,19500000000,22779000000,40430000000,36414000000,35507000000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1552000/000119312513124428/0001193125-13-124428-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200014000004/mplx-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1552000/000155200015000006/mplx-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1552000/000155200016000136/0001552000-16-000136-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200017000012/0001552000-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200018000020/0001552000-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200019000006/0001552000-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200020000007/0001552000-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200021000017/0001552000-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1552000/000155200022000007/0001552000-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,103300000,134000000,13100000,77900000,121300000,156000000,233000000,794000000,1818000000,1033000000,-720000000,3077000000
74,Depreciation and Amortization,52600000,36300000,39400000,48900000,50200000,89000000,546000000,683000000,766000000,1254000000,1377000000,- -
75,Deferred Income Tax,- -,-200000,-100000,100000,- -,2000000,-17000000,-1000000,8000000,-2000000,-1000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-38900000,247600000,-27100000,-168800000,-55100000,-134600000,174000000,-781000000,456000000,-359000000,77000000,- -
78,Accounts Receivable,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-2600000,900000,-1000000,1300000,900000,1000000,-8000000,-3000000,-5000000,-9000000,-12000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,247600000,220500000,51700000,-3400000,-138000000,36000000,-745000000,-289000000,-648000000,-571000000,- -
82,Other Non-Cash Items,300000,-235800000,165300000,254100000,130400000,126600000,352000000,1212000000,-222000000,2156000000,3788000000,1834000000
83,Cash Provided by Operating Activities,117300000,181900000,190600000,212200000,246800000,239000000,1288000000,1907000000,2826000000,4082000000,4521000000,4911000000
84,CAPEX,-13700000,-49800000,-135600000,-106500000,-78600000,-264000000,-1206000000,-1411000000,-1919000000,-2408000000,-1183000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-1218000000,- -,-249000000,-451000000,6000000,-266000000,- -
86,Purchases of Investments,-103100000,-480600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,52000000,311700000,221700000,- -,- -,- -,77000000,80000000,- -,- -,- -,- -
88,Other Investing Activites,200000,- -,1300000,-7100000,3500000,-16000000,-83000000,-727000000,-316000000,-661000000,187000000,-518000000
89,Cash Used for Investing Activites,-64600000,-218700000,87400000,-113600000,-75100000,-1498000000,-1212000000,-2307000000,-2686000000,-3063000000,-1262000000,-518000000
90,Debt Repayment,-500000,-600000,-700000,-700000,-525900000,-1734000000,-3852000000,-2399000000,-11127000000,-16643000000,-13272000000,- -
91,Common Stock Issued,- -,- -,407100000,- -,230100000,170000000,1776000000,483000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-202700000,- -,- -,- -,-25000000,-25000000,- -,- -,-33000000,- -
93,Dividends Paid,- -,- -,- -,-77800000,-103100000,-158000000,-974000000,-3229000000,-6001000000,-3039000000,-3006000000,- -
94,Other Financing Activites,-52500000,37300000,-265100000,-182700000,200400000,2997000000,3190000000,5341000000,17055000000,18593000000,13052000000,-4395000000
95,Cash Used/Provided by Financing Activities,-53000000,36700000,-61400000,-261200000,-198500000,1275000000,115000000,171000000,-73000000,-1089000000,-3259000000,-4395000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-300000,-100000,216600000,-162600000,-26800000,16000000,191000000,-229000000,67000000,-70000000,- -,-4395000000
98,Cash at the End of Period,200000,100000,216700000,54100000,27300000,43000000,234000000,5000000,76000000,15000000,15000000,- -
99,Cash at the Beginning of Period,500000,200000,100000,216700000,54100000,27000000,43000000,234000000,9000000,85000000,15000000,- -
100,Free Cash Flow,103600000,132100000,55000000,105700000,168200000,-25000000,82000000,496000000,907000000,1674000000,3338000000,4911000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1552000/000119312513124428/0001193125-13-124428-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200014000004/mplx-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1552000/000155200015000006/mplx-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1552000/000155200016000136/0001552000-16-000136-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200017000012/0001552000-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200018000020/0001552000-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200019000006/0001552000-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200020000007/0001552000-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1552000/000155200021000017/0001552000-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1552000/000155200022000007/0001552000-22-000007-index.htm
102,false,,,,,,,,,,,,
