,https://roic.ai/company/IFNNY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1127000000,1215926664,1696743254,1931463524,1654686440,1852098150,2193803040,2044727400,2107793000,1908196710,1502943130,806000000,877000000,918000000,930000000,970000000,1063000000,1498000000,1567000000,1638000000,1416000000,1833000000,2195000000,2790000000
11,COGS and Expenses,3855000000,4051431875,5814606759,7265062686,6255200820,6463041900,6862872120,6964541010,7959971920,7978266450,4342150940,3174000000,2935000000,3261000000,3407000000,3490000000,3736000000,5213000000,5710000000,6080000000,6130000000,6868000000,7986000000,9590000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000000,29000000,37000000,38000000,30000000,10000000,6000000,6000000,10000000,15000000,26000000,29000000,5000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,9143090,- -,- -,- -,156000000,95000000,63000000,60000000,51000000,19000000,48000000,67000000,63000000,68000000,62000000,130000000,155000000
14,Depreciation and Amortization,578000000,539731382,835169589,1220117699,1369116320,1436898750,1319659380,1319098530,1404932680,1271196780,570253080,513000000,336000000,364000000,428000000,466000000,514000000,760000000,833000000,812000000,861000000,945000000,1260000000,1513000000
15,EBITDA,-1104000000,568481890,2576379523,111402280,210633280,1086038100,1534375440,1135405540,1297770120,981778770,-2320022170,3000000,1068000000,1516000000,914000000,812000000,1099000000,1338000000,1608000000,1807000000,2197000000,2071000000,1810000000,2981000000
16,EBITDA ratio,-0.3477,0.1424,0.3531,0.0181,0.0405,0.1766,0.2133,0.1676,0.1637,0.1283,-0.5376,0.0010,0.3241,0.3793,0.2341,0.2113,0.2544,0.2309,0.2484,0.2558,0.2891,0.2579,0.2113,0.2695
17,Operating Income,-1496000000,-60635138,1481211815,-1223679736,-1070381620,-343997850,313630200,-268474370,-55945160,-368605020,-26952260,-220000000,348000000,736000000,455000000,325000000,525000000,555000000,763000000,983000000,1469000000,1161000000,581000000,1470000000
18,Operating Income ratio,-0.4712,-0.0152,0.2030,-0.1984,-0.2058,-0.0560,0.0436,-0.0396,-0.0071,-0.0482,-0.0062,-0.0727,0.1056,0.1841,0.1165,0.0846,0.1215,0.0958,0.1179,0.1392,0.1933,0.1446,0.0678,0.1329
19,Total Other Income Expenses (Gains),-186000000,89385645,259996985,114965414,-88101420,-6862800,-98914140,73975910,-51217400,115627050,-119866630,-48000000,-58000000,-22000000,-24000000,-19000000,-6000000,-35000000,-58000000,-50000000,-58000000,-78000000,-157000000,-151000000
20,Income Before Tax,-1682000000,28750507,1741208800,-1108714322,-1158483040,-350860650,214716060,-194498460,-107162560,-252977970,-146818890,-268000000,290000000,714000000,431000000,306000000,519000000,520000000,705000000,933000000,1411000000,1083000000,424000000,1319000000
21,Income Before Tax Ratio,-0.5298,0.0072,0.2387,-0.1797,-0.2227,-0.0571,0.0298,-0.0287,-0.0135,-0.0330,-0.0340,-0.0885,0.0880,0.1786,0.1104,0.0796,0.1201,0.0897,0.1089,0.1321,0.1857,0.1349,0.0495,0.1193
22,Income Tax expense (Gain),-907000000,-28357690,613581005,-466333696,-138734420,84069300,153598380,120522550,160743840,78486240,41137660,5000000,-22000000,-30000000,-1000000,23000000,31000000,-102000000,-36000000,142000000,193000000,194000000,52000000,144000000
23,Net Income,-775000000,57108197,1127628929,-642381724,-1019748620,-434929950,61117680,-313358630,-267906400,-367904250,-2931412910,-671000000,659000000,1119000000,427000000,272000000,535000000,632000000,744000000,790000000,1075000000,870000000,368000000,1169000000
24,Net Income ratio,-0.2441,0.0143,0.1546,-0.1041,-0.1961,-0.0707,0.0085,-0.0463,-0.0338,-0.0481,-0.6793,-0.2217,0.2000,0.2800,0.1094,0.0708,0.1238,0.1091,0.1149,0.1119,0.1415,0.1084,0.0430,0.1057
25,EPS,-1.15,0.08,1.68,-0.82,-1.31,-0.53,0.07,-0.38,-0.32,-0.44,-3.48,-0.73,0.61,1.03,0.40,0.25,0.48,0.56,0.66,0.70,0.95,0.75,0.26,0.87
26,EPS Diluted,-1.15,0.08,1.68,-0.82,-1.31,-0.53,0.07,-0.38,-0.32,-0.44,-3.48,-0.73,0.61,0.98,0.39,0.25,0.48,0.56,0.66,0.70,0.95,0.75,0.26,0.87
27,Weighted Average Shares Outstanding,671432091,672973200,688522106,783419582,777446401,813850186,857923430,829120576,829024957,841216500,842847950,855000000,1086700000,1086400000,1083300000,1075300000,1110700000,1122600000,1125200000,1128600000,1130500000,1163400000,1264500000,1301200000
28,Weighted Average Shares Outstanding Diluted,671432091,672973200,689933454,783419582,777446401,813850186,857923430,829120576,829024957,841216500,842847950,855000000,1171300000,1158800000,1134300000,1076000000,1123000000,1125300000,1129300000,1133900000,1134100000,1164800000,1265500000,1303700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,968512650,607960080,1150366960,2038452520,1812191220,748279850,1414000000,1667000000,1007000000,425000000,527000000,1058000000,673000000,625000000,860000000,732000000,1021000000,1851000000,1749000000
32,Short-Term Investments,- -,- -,- -,- -,- -,1782612300,1938073800,860281650,614608800,473019750,153202320,93000000,555000000,1687000000,1810000000,1759000000,1360000000,1340000000,1615000000,1592000000,1811000000,2758000000,1376000000,2173000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,2751124950,2546033880,2010648610,2653061320,2285210970,901482170,1507000000,2222000000,2694000000,2235000000,2286000000,2418000000,2013000000,2240000000,2452000000,2543000000,3779000000,3227000000,3922000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,957360600,960190920,1024026080,1201639000,1213032870,663876720,460000000,514000000,507000000,567000000,609000000,707000000,1129000000,1191000000,1240000000,1480000000,1701000000,2052000000,2181000000
36,Other Current Assets,- -,- -,- -,- -,- -,1593885300,1785279600,1549338160,1824127400,1761035010,3076813260,777000000,854000000,770000000,708000000,728000000,809000000,973000000,1061000000,1179000000,1400000000,1844000000,1900000000,2149000000
37,Total Current Assets,- -,- -,- -,- -,- -,5302370850,5291504400,4584012850,5678827720,5259278850,4642172150,2744000000,3590000000,3971000000,3510000000,3623000000,3934000000,4115000000,4492000000,4871000000,5423000000,7324000000,7179000000,8252000000
38,PP&E,- -,- -,- -,- -,- -,3815716800,3586642800,3759472370,3763296960,3634193220,1308603150,928000000,838000000,1343000000,1731000000,1600000000,1700000000,2093000000,2119000000,2659000000,3038000000,3510000000,4396000000,4779000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,117028590,- -,- -,21000000,- -,21000000,21000000,25000000,803000000,799000000,759000000,764000000,909000000,5897000000,5962000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,230084320,114225510,- -,- -,66000000,- -,125000000,149000000,225000000,935000000,857000000,827000000,832000000,896000000,3621000000,3349000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,230084320,231254100,442584480,369000000,87000000,111000000,146000000,170000000,250000000,1738000000,1656000000,1586000000,1596000000,1805000000,9518000000,9311000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,-79794240,- -,- -,-709270,-66000000,-520000000,-1529000000,-1747000000,-1694000000,-1304000000,-1288000000,-1583000000,-1564000000,-1774000000,-2729000000,-1289000000,-2102000000
43,Tax Assets,- -,- -,- -,- -,- -,704294850,541213140,551078970,682373360,590749110,399319010,396000000,308000000,262000000,315000000,325000000,378000000,604000000,623000000,612000000,648000000,599000000,627000000,695000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,976233300,1442698920,1491986050,826570040,925016400,180863850,235000000,690000000,1715000000,1943000000,1881000000,1480000000,1479000000,1780000000,1781000000,1948000000,2903000000,1568000000,2399000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,5496244950,5570554860,5722743150,5502324680,5381212830,2330661220,1862000000,1403000000,1902000000,2388000000,2282000000,2504000000,4626000000,4595000000,5074000000,5456000000,6088000000,14820000000,15082000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,10798615800,10862059260,10306756000,11181152400,10640491680,6972833370,4606000000,4993000000,5873000000,5898000000,5905000000,6438000000,8741000000,9087000000,9945000000,10879000000,13412000000,21999000000,23334000000
48,Accounts Payable,- -,- -,- -,- -,- -,876722700,1097705700,1071403910,1244976800,1280306790,505000240,393000000,665000000,735000000,615000000,569000000,648000000,802000000,857000000,1020000000,1181000000,1089000000,1160000000,1569000000
49,Short-Term Debt,- -,- -,- -,- -,- -,149265900,570967800,98911610,797415520,334968060,206397570,521000000,133000000,68000000,55000000,134000000,35000000,33000000,17000000,323000000,25000000,22000000,388000000,896000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87240210,102000000,134000000,59000000,78000000,70000000,78000000,137000000,120000000,103000000,117000000,144000000,340000000,288000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,1106626500,1200640740,1216862160,1261523960,1221442110,2956237360,744000000,1010000000,1202000000,1008000000,891000000,920000000,750000000,656000000,755000000,976000000,933000000,1902000000,1978000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,2132615100,2869314240,2387177680,3303916280,2836716960,3667635170,1658000000,1808000000,2005000000,1678000000,1594000000,1603000000,1585000000,1530000000,2098000000,2182000000,2044000000,3450000000,4443000000
54,Long-Term Debt,- -,- -,- -,- -,- -,2341930500,1426615320,1569286720,1207942680,1371406890,961770120,329000000,263000000,237000000,240000000,169000000,151000000,1760000000,1752000000,1511000000,1507000000,1534000000,6763000000,6017000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000000,- -,39000000,32000000,28000000,16000000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,31740450,20908680,64832820,59884960,45550050,19150290,13000000,11000000,7000000,4000000,4000000,5000000,147000000,10000000,18000000,9000000,20000000,293000000,324000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,629661900,567751080,644172250,457016800,461106660,165969180,273000000,240000000,269000000,362000000,330000000,493000000,568000000,772000000,682000000,735000000,1181000000,1274000000,1149000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,3003332850,2015275080,2278291790,1724844440,1878063600,1146889590,615000000,560000000,513000000,645000000,535000000,677000000,2491000000,2534000000,2211000000,2251000000,2735000000,8330000000,7490000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,294000000,331000000
61,Total Liabilities,- -,- -,- -,- -,- -,5135947950,4884589320,4665469470,5028760720,4714780560,4814524760,2273000000,2368000000,2518000000,2323000000,2129000000,2280000000,4076000000,4064000000,4309000000,4433000000,4779000000,11780000000,11933000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,1441188000,1494970620,1497804380,1494760120,1493340870,1497268970,2173000000,- -,2173000000,2160000000,2162000000,2255000000,2259000000,2265000000,2272000000,2274000000,2501000000,2612000000,2612000000
64,Retained Earnings,- -,- -,- -,- -,- -,-1260181650,-1199836560,-1515259370,-1779213680,-2140151580,-5245051650,-5940000000,-5613000000,-4514000000,-4199000000,-3907000000,-3502000000,-2897000000,-2312000000,-1404000000,-333000000,421000000,435000000,1407000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,5481661500,5682335880,5658741520,5597667840,5543090700,5835873560,6040000000,- -,5696000000,5614000000,5521000000,5401000000,5302000000,5070000000,4768000000,4505000000,5711000000,7172000000,7382000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,5662667850,5977469940,5641286530,5313214280,4896279990,2088090880,2273000000,2625000000,3355000000,3575000000,3776000000,4154000000,4664000000,5023000000,5636000000,6446000000,8633000000,10219000000,11401000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,10798615800,10862059260,10306756000,10341975000,9611060550,6902615640,4546000000,4993000000,5873000000,5898000000,5905000000,6434000000,8740000000,9087000000,9945000000,10879000000,13412000000,21999000000,23334000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,839177400,1029431130,70217730,60000000,- -,- -,- -,- -,4000000,1000000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,10798615800,10862059260,10306756000,11181152400,10640491680,6972833370,4606000000,4993000000,5873000000,5898000000,5905000000,6438000000,8741000000,9087000000,9945000000,10879000000,13412000000,21999000000,23334000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-775000000,57108197,1127628929,-642381724,-1019748620,-434929950,61117680,-313358630,-267906400,-367904250,-2931412910,-671000000,659000000,1119000000,427000000,272000000,535000000,632000000,744000000,790000000,1075000000,870000000,368000000,1169000000
74,Depreciation and Amortization,578000000,539731382,835169589,1220117699,1369116320,1436898750,1319659380,1319098530,1404932680,1271196780,570253080,513000000,336000000,364000000,428000000,466000000,514000000,760000000,833000000,812000000,861000000,945000000,1260000000,1513000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4964890,2000000,- -,2000000,2000000,3000000,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-58023836,131674609,-48178053,158987620,-221325300,234820560,-76469480,-189110400,234057180,144691080,30000000,385000000,-63000000,-253000000,-143000000,-3000000,-291000000,-166000000,81000000,-235000000,-306000000,164000000,390000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-38171583,-108083144,-428665022,-27341820,-111520500,-40209000,-24935700,-144984640,-75683160,-46811820,152000000,-42000000,-51000000,-62000000,-44000000,-89000000,-133000000,-66000000,-73000000,-251000000,-239000000,124000000,-121000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,12000000,-97458047,-11011240,-299621606,-271392880,-50613150,241254000,112210650,26002680,65171610,2127810000,14000000,-433000000,-176000000,35000000,3000000,-65000000,-284000000,-120000000,40000000,-126000000,92000000,19000000,-7000000
83,Cash Provided by Operating Activities,-185000000,441357697,2083461888,229936317,236962440,730030350,1856851620,1041481070,973918560,1202521320,-83693860,-112000000,947000000,1246000000,639000000,601000000,981000000,817000000,1291000000,1723000000,1575000000,1601000000,1811000000,3065000000
84,CAPEX,- -,-614567812,-1573682193,-2482114849,-642026440,-871575600,-1162844280,-1398892770,-1296982160,-1408547700,-468827470,-154000000,-325000000,-887000000,-890000000,-378000000,-668000000,-785000000,-826000000,-1022000000,-1254000000,-1451000000,-1099000000,-1497000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-28950480,101405180,71704360,227049480,-231931290,4000000,2000000,2000000,- -,- -,-7000000,-1883000000,-11000000,-116000000,290000000,-128000000,-7478000000,-6000000
86,Purchases of Investments,- -,-165055409,-452811012,-89035545,-707849340,-2749409250,-2677919400,-2368891500,-497202760,-225647940,-573090160,-31000000,-375000000,-2905000000,-2369000000,-1340000000,-1238000000,-1478000000,-4130000000,-3300000000,-3277000000,-3760000000,-6045000000,-4275000000
87,Sales/Maturities of Investments,- -,10638810,- -,515569931,61772260,2011658250,2519495940,3317279290,729650960,355991160,600042420,64000000,405000000,1283000000,2242000000,1387000000,1637000000,1496000000,3855000000,3303000000,3067000000,2836000000,7417000000,3480000000
88,Other Investing Activites,-959000000,-95865265,-304365037,83932337,45569700,88358550,-458382600,83119000,169411400,187105590,-144691080,79000000,52000000,912000000,-66000000,-61000000,-98000000,-82000000,-96000000,-144000000,-153000000,-141000000,-151000000,-215000000
89,Cash Used for Investing Activites,-959000000,-864849675,-2330858242,-1971648125,-1242533820,-1520968050,-1808600820,-238551530,-823418200,-864049410,-661039640,13000000,-208000000,-1553000000,-1025000000,-329000000,-273000000,-2593000000,-1098000000,-1131000000,-1163000000,-2488000000,-7172000000,-2284000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-521156130,- -,- -,-293637780,-455000000,-493000000,-81000000,-129000000,-51000000,-64000000,-831000000,-846000000,-119000000,-321000000,-23000000,-5372000000,-1570000000
91,Common Stock Issued,- -,24669881,824021177,1625991177,8101280,- -,53075880,- -,405799400,27330030,- -,680000000,- -,8000000,10000000,2000000,4000000,11000000,26000000,26000000,6000000,1530000000,1043000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26000000,-20000000,-38000000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-442276502,- -,- -,- -,- -,- -,- -,- -,-3000000,- -,-109000000,-130000000,-129000000,-129000000,-202000000,-225000000,-248000000,-283000000,-305000000,-336000000,-286000000
94,Other Financing Activites,- -,413273109,-103568910,824220120,1437977200,565323150,-455165880,254344140,356157920,-546600600,406411710,129000000,6000000,-147000000,70000000,51000000,10000000,2385000000,816000000,1000000,56000000,-35000000,10939000000,971000000
95,Cash Used/Provided by Financing Activities,- -,437942989,720452267,2007934794,1446078480,565323150,-402090000,-266811990,761957320,-519270570,112773930,351000000,-487000000,-355000000,-199000000,-165000000,-179000000,1363000000,-229000000,-340000000,-542000000,1167000000,6274000000,-885000000
96,Effect of Forex Changes on Cash,- -,2144597,9125963,1993423,1012660,-4289250,-7237620,4987140,-19699000,-39943890,-5674160,-8000000,1000000,2000000,3000000,-5000000,2000000,28000000,-12000000,-17000000,2000000,9000000,-83000000,2000000
97,Net Change In Cash,- -,16595608,482181875,268217507,441519760,-229903800,-361076820,541104690,892758680,-220742550,-637633730,244000000,253000000,-660000000,-582000000,102000000,531000000,-385000000,-48000000,235000000,-128000000,289000000,830000000,-102000000
98,Cash at the End of Period,- -,27789975,511740926,823835925,1197976780,968512650,607960080,1150366960,2038452520,1812191220,1168876960,1414000000,1667000000,1007000000,425000000,527000000,1058000000,673000000,625000000,860000000,732000000,1021000000,1851000000,1749000000
99,Cash at the Beginning of Period,- -,11194366,29559051,555618418,756457020,1198416450,969036900,609262270,1145693840,2032933770,1806510690,1170000000,1414000000,1667000000,1007000000,425000000,527000000,1058000000,673000000,625000000,860000000,732000000,1021000000,1851000000
100,Free Cash Flow,-185000000,-173210115,509779694,-2252178533,-405064000,-141545250,694007340,-357411700,-323063600,-206026380,-552521330,-266000000,622000000,359000000,-251000000,223000000,313000000,32000000,465000000,701000000,321000000,150000000,712000000,1568000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,1.1795,1.0684,0.8839,0.9117,0.9868,1.166,1.2432,1.203,1.2672,1.4272,1.4104,1.4636,1.3633,1.3384,1.2858,1.3524,1.2631,1.1176,1.1238,1.1812,1.1608,1.0898,1.1718,1.1581
