,https://roic.ai/company/HVT-A,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,75100000,81100000,93400000,101900000,105900000,116000000,120100000,133100000,157200000,163100000,178100000,209500000,225700000,245700000,268700000,280753000,288088000,307196000,331600000,367616000,378446000,405174000,392433000,365734000,311501000,312277000,316032000,328698000,348399000,386236000,384829000,399390000,402947000,404821000,407467000,377288000,456267000
11,COGS and Expenses,181800000,182100000,208700000,221700000,224200000,243200000,244200000,277700000,320600000,349200000,376500000,436800000,471100000,517200000,579700000,638251000,642576000,671723000,710585000,754405000,810537000,838120000,787296000,699724000,594267000,613841000,616219000,646736000,692993000,742279000,758923000,777624000,777890000,776012000,775270000,706546000,894441000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3645000,4340000,1351000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3282000,3033000,1741000,805000,815000,737000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2600000,3400000,3900000,4600000,4900000,5200000,5500000,6100000,6900000,8600000,10600000,12600000,13800000,14300000,14800000,15738000,20300000,15903000,17199000,19145000,21035000,21663000,22416000,21603000,19346000,16859000,18242000,19415000,21450000,22613000,25756000,29045000,30516000,29806000,20596000,18207000,16304000
15,EBITDA,20100000,17100000,18500000,15600000,15800000,14000000,9000000,13300000,22500000,28800000,30100000,31700000,34600000,40600000,57700000,56243000,56640000,54806000,56974000,55319000,44589000,50569000,27393000,16812000,14743000,26347000,23582000,42931000,73937000,47870000,71031000,74866000,73739000,70214000,49320000,94938000,134839000
16,EBITDA ratio,0.1025,0.0906,0.0851,0.0684,0.0681,0.0559,0.0365,0.0472,0.0697,0.0778,0.0761,0.0694,0.0706,0.0751,0.0932,0.0826,0.0835,0.0779,0.0765,0.0705,0.0539,0.0587,0.0348,0.0243,0.0250,0.0424,0.0380,0.0641,0.0991,0.0623,0.0883,0.0911,0.0899,0.0859,0.0615,0.1269,0.1331
17,Operating Income,14300000,6600000,8800000,6300000,7900000,7200000,2200000,4300000,2300000,20900000,19000000,20100000,18900000,23100000,39100000,42666000,35536000,32236000,34050000,29757000,17121000,23804000,-233000,-6671000,-4793000,7207000,5144000,23337000,53097000,26130000,45947000,43947000,41976000,41721000,27021000,41706000,118358000
18,Operating Income ratio,0.0729,0.0350,0.0405,0.0276,0.0340,0.0288,0.0089,0.0152,0.0071,0.0565,0.0480,0.0440,0.0386,0.0428,0.0632,0.0627,0.0524,0.0458,0.0457,0.0379,0.0207,0.0276,-0.0003,-0.0096,-0.0081,0.0116,0.0083,0.0348,0.0712,0.0340,0.0571,0.0535,0.0512,0.0510,0.0337,0.0557,0.1169
19,Total Other Income Expenses (Gains),3200000,7100000,5800000,4700000,3000000,1600000,1300000,2900000,13300000,-700000,500000,-1000000,1900000,3200000,3800000,1195000,804000,6667000,4675000,6417000,6433000,1820000,2177000,139000,-615000,1466000,-541000,179000,-610000,-873000,-672000,1874000,1247000,-1313000,1703000,35025000,177000
20,Income Before Tax,17500000,13700000,14600000,11000000,10900000,8800000,3500000,7200000,15600000,20200000,19500000,19100000,20800000,26300000,42900000,43861000,36340000,38903000,38725000,36174000,23554000,25624000,1944000,-6532000,-5408000,8673000,4603000,23516000,52487000,25257000,45275000,45821000,43223000,40408000,28724000,76731000,118535000
21,Income Before Tax Ratio,0.0892,0.0726,0.0671,0.0482,0.0470,0.0351,0.0142,0.0255,0.0483,0.0546,0.0493,0.0418,0.0424,0.0487,0.0693,0.0644,0.0536,0.0553,0.0520,0.0461,0.0285,0.0297,0.0025,-0.0094,-0.0092,0.0140,0.0074,0.0351,0.0703,0.0329,0.0563,0.0558,0.0527,0.0494,0.0358,0.1025,0.1170
22,Income Tax expense (Gain),7200000,6400000,5900000,3300000,3100000,2400000,1300000,2700000,5900000,7700000,7300000,6900000,7400000,9500000,15500000,16010000,13630000,14588000,14444000,13420000,8500000,9624000,186000,5569000,-1229000,229000,-10860000,8605000,20222000,16668000,17486000,17465000,22148000,10101000,6859000,17583000,27732000
23,Net Income,10300000,7300000,8700000,7700000,7800000,6400000,2200000,4500000,9700000,12500000,12200000,12200000,13400000,16800000,27400000,24495000,22710000,24315000,25331000,22754000,15054000,16000000,1758000,-12101000,-4179000,8444000,15463000,14911000,32265000,8589000,27789000,28356000,21075000,30307000,21865000,59148000,90803000
24,Net Income ratio,0.0525,0.0387,0.0400,0.0338,0.0336,0.0256,0.0089,0.0160,0.0300,0.0338,0.0308,0.0267,0.0273,0.0311,0.0443,0.0360,0.0335,0.0345,0.0340,0.0290,0.0182,0.0186,0.0022,-0.0175,-0.0071,0.0136,0.0249,0.0223,0.0432,0.0112,0.0345,0.0345,0.0257,0.0371,0.0273,0.0790,0.0897
25,EPS,0.10,0.14,0.16,0.15,0.15,0.13,0.05,0.09,0.23,0.55,0.53,0.53,0.57,0.73,1.23,1.18,1.08,1.12,1.15,1.00,0.67,0.72,0.08,-0.57,-0.20,0.39,0.71,0.69,1.45,0.38,1.24,1.32,0.99,1.48,1.14,3.25,5.10
26,EPS Diluted,0.10,0.14,0.16,0.15,0.15,0.13,0.05,0.09,0.23,0.55,0.53,0.53,0.57,0.72,1.19,1.15,1.06,1.10,1.13,0.99,0.66,0.70,0.08,-0.57,-0.20,0.38,0.70,0.67,1.41,0.37,1.22,1.30,0.98,1.42,1.08,3.12,4.90
27,Weighted Average Shares Outstanding,17980000,17956000,17896000,18360000,17106000,17020000,16926000,17098000,22678000,22850000,23110000,23388000,23340000,22912000,22224000,20795000,21009000,21624000,21992000,22570000,22611000,22583000,22465000,21282000,17415000,18156000,18633000,22039000,22423000,22625000,22497000,21506000,21220000,20537000,19113000,18212000,17819534
28,Weighted Average Shares Outstanding Diluted,17980000,17956000,17896000,18360000,17106000,17020000,16926000,17098000,22678000,22850000,23110000,23388000,23508772,23333333,22982000,21203000,21502000,22145000,22437000,23083000,27077000,22895000,22589000,21282000,21388000,21970000,22153000,22382000,22815000,22940000,22798000,21847000,21599000,21295000,20261000,18932000,19873000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/216085/000114036121007795/0001140361-21-007795-index.htm,https://www.sec.gov/Archives/edgar/data/216085/000114036122007311/0001140361-22-007311-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3764000,31591000,10122000,11121000,12139000,167000,3697000,44466000,58045000,49585000,53550000,83185000,65481000,70659000,63481000,79491000,71537000,75739000,200058000,166146000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7250000,12725000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3764000,31591000,15122000,11121000,12139000,167000,3697000,44466000,58045000,49585000,53550000,83185000,72731000,83384000,63481000,79491000,71537000,75739000,200058000,166146000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126074000,97654000,81132000,80716000,63996000,58748000,24301000,15299000,13778000,11451000,9710000,8172000,7146000,5948000,4244000,2408000,1833000,1527000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113328000,106264000,110812000,107631000,124764000,102452000,103743000,93301000,91938000,93713000,96902000,91483000,107139000,108896000,102020000,103437000,105840000,104817000,89908000,112031000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20659000,20976000,23356000,21703000,18410000,17569000,18005000,15235000,13174000,22926000,19732000,17859000,22445000,20483000,24370000,25351000,22640000,22440000,26278000,30880000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263825000,256485000,230422000,221171000,219309000,178936000,149746000,168301000,176935000,177675000,179894000,200699000,209461000,218711000,194115000,210687000,201850000,204523000,316244000,309057000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134203000,171546000,205037000,217391000,221245000,209912000,197423000,176363000,175511000,179333000,193085000,189242000,225162000,229283000,233667000,229215000,216852000,332008000,337115000,348455000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1654000,- -,- -,1824000,- -,- -,7813000,9114000,11524000,22681000,24366000,13253000,17610000,17245000,18376000,12375000,12544000,13198000,15814000,16375000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5157000,5171000,22106000,22666000,29200000,33089000,8411000,7155000,6269000,5411000,4751000,14661000,8754000,6012000,8347000,9052000,8933000,10343000,11199000,12403000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141014000,176717000,227143000,241881000,250445000,243001000,213647000,192632000,193304000,207425000,222202000,217156000,251526000,252540000,260390000,250642000,238329000,355549000,364128000,377233000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404839000,433202000,457565000,463052000,469754000,421937000,363393000,360933000,370239000,385100000,402096000,417855000,460987000,471251000,454505000,461329000,440179000,560072000,680372000,686290000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88843000,90668000,31202000,113363000,40851000,29396000,22696000,19128000,18088000,18233000,28178000,21810000,24152000,27815000,25662000,20501000,19840000,27830000,31429000,31235000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12677000,13528000,20270000,17439000,22934000,8353000,311000,357000,525000,762000,881000,959000,2387000,3051000,3461000,3788000,4018000,29411000,33466000,33581000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9186000,8976000,7680000,8439000,8448000,8820000,- -,8231000,9322000,7968000,10856000,8677000,8700000,8483000,8386000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19674000,17183000,12779000,14002000,13585000,14572000,20963000,19008000,23687000,21036000,24923000,27813000,24465000,30121000,86183000,98897000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74624000,- -,41160000,37948000,35884000,37958000,38409000,38806000,39867000,36338000,45649000,42060000,41904000,37582000,39903000,39654000,52963000,46664000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101520000,104196000,126096000,130802000,124619000,92880000,71670000,71445000,70607000,72373000,89889000,78115000,95875000,93962000,95950000,89684000,88226000,127016000,204041000,210377000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69821000,65402000,44228000,31022000,27515000,20331000,7183000,6826000,8574000,12284000,18473000,27777000,57528000,60054000,60810000,59368000,54393000,149594000,200200000,196771000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8617000,10868000,13285000,21958000,25697000,29881000,39572000,38105000,37876000,37774000,34306000,13699000,15501000,15496000,15874000,18135000,22931000,22959000,23164000,23172000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78438000,76270000,57513000,52980000,53212000,50212000,46755000,44931000,46450000,50058000,52779000,41476000,73029000,75550000,76684000,77503000,77324000,172553000,223364000,219943000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7183000,9099000,13046000,19354000,28736000,59915000,63105000,64271000,63156000,58411000,179005000,233666000,230352000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179958000,180466000,183609000,183782000,177831000,143092000,118425000,116376000,117057000,122431000,142668000,119591000,168904000,169512000,172634000,167187000,165550000,299569000,427405000,430320000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28281000,28874000,29133000,29215000,29441000,29533000,29629000,29719000,30126000,30220000,30509000,30768000,30930000,31040000,31133000,31240000,31359000,31485000,31596000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214750000,235005000,252209000,259887000,269873000,265952000,249605000,244953000,251229000,264083000,254310000,281222000,260031000,279760000,277707000,287390000,282366000,295999000,304626000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2389000,-1881000,-4266000,3350000,-2427000,-1989000,-19345000,-16685000,-19428000,-24996000,-23378000,-15412000,-2168000,-1938000,-1830000,-2144000,-1465000,-2087000,-2560000,-2293000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15761000,-9262000,-3120000,-13182000,-4964000,-14651000,-14921000,-13430000,-8745000,-6638000,-2013000,1686000,3290000,-7123000,-25139000,-22344000,-37631000,-64894000,-80695000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224881000,252736000,273956000,279270000,291923000,278845000,244968000,244557000,253182000,262669000,259428000,298264000,292083000,301739000,281871000,294142000,274629000,260503000,252967000,255970000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404839000,433202000,457565000,463052000,469754000,421937000,363393000,360933000,370239000,385100000,402096000,417855000,460987000,471251000,454505000,461329000,440179000,560072000,680372000,686290000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404839000,433202000,457565000,463052000,469754000,421937000,363393000,360933000,370239000,385100000,402096000,417855000,460987000,471251000,454505000,461329000,440179000,560072000,680372000,686290000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/216085/000114036121007795/0001140361-21-007795-index.htm,https://www.sec.gov/Archives/edgar/data/216085/000114036122007311/0001140361-22-007311-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,7800000,6400000,2200000,4500000,9700000,12500000,12200000,12200000,13400000,16800000,27400000,24495000,22710000,24315000,25331000,22754000,15054000,16000000,1758000,-12101000,-4179000,8444000,15463000,14911000,32265000,8589000,27789000,28356000,21075000,30307000,21865000,59148000,90803000
74,Depreciation and Amortization,- -,- -,- -,- -,4900000,5200000,5500000,6100000,6900000,8600000,10600000,12600000,13800000,14300000,14800000,15738000,20300000,15903000,17199000,19145000,21035000,21663000,22416000,21603000,19346000,16859000,18242000,19415000,21450000,22613000,25756000,29045000,30516000,29806000,20596000,18207000,16304000
75,Deferred Income Tax,- -,- -,- -,- -,-4700000,-5100000,-400000,-800000,500000,-700000,900000,2500000,-800000,200000,-2400000,-2303000,-1229000,3552000,851000,810000,-708000,-3870000,-6063000,416000,-2200000,-2953000,-7947000,-2209000,-652000,4800000,-3019000,-1120000,5559000,-439000,-2691000,-2458000,234000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1668000,1716000,2060000,2553000,3323000,3319000,4033000,3872000,3818000,4358000,3435000,4375000,8213000
77,Change in Working Capital,- -,- -,- -,- -,-3400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162305000,-10016000,-47963000,-13957000,4321000,-8634000,-7980000,18780000,9472000,-1026000,-15297000,32579000,-8998000,11163000,-26584000,22838000,-7379000,-36117000,34696000,-19104000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11484000,10891000,38714000,9263000,1397000,2299000,1210000,1400000,870000,960000,1514000,1820000,535000,247000,- -,- -
79,Inventory,- -,- -,- -,- -,-4500000,-5800000,1000000,-1100000,-4200000,-9800000,-9500000,-3800000,-3300000,-1400000,-2400000,-14048000,5406000,-9666000,7064000,-4548000,3181000,-17133000,22312000,-1291000,10442000,1363000,-1775000,-3458000,5419000,-15656000,-2305000,6876000,-2112000,-2403000,1023000,14909000,-22123000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162305000,152289000,104326000,90369000,94690000,86056000,78076000,96856000,106328000,105302000,90005000,122584000,113586000,124749000,98165000,121003000,113624000,77507000,112203000,9470000
82,Other Non-Cash Items,- -,- -,- -,- -,200000,-21800000,6200000,-15100000,-32300000,-22300000,-25100000,-30400000,-1600000,24100000,30200000,-21233000,-11732000,-120820000,48628000,54608000,10289000,-10102000,29632000,38762000,5080000,-9337000,-7720000,32795000,-33076000,25131000,-13490000,26485000,-31349000,13739000,56331000,16223000,792000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,4800000,-15300000,13500000,-5300000,-15200000,-1900000,-1400000,-3100000,24800000,55400000,70000000,16697000,30049000,85255000,81993000,49354000,31713000,28012000,39109000,40700000,38495000,24201000,19072000,52168000,55889000,55454000,52232000,60054000,52457000,70392000,63419000,130191000,97242000
84,CAPEX,- -,- -,- -,- -,-5800000,-10300000,-8400000,-9700000,-13700000,-24400000,-44900000,-16400000,-14500000,-11100000,-30800000,-36105000,-19034000,-45455000,-27891000,-58030000,-35007000,-23640000,-13830000,-9544000,-3259000,-14053000,-17566000,-25014000,-20202000,-30882000,-27143000,-29838000,-24465000,-21473000,-16841000,-10927000,-34090000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,-9975000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,5000000,- -,- -,- -,6625000,- -,- -,- -,- -,- -,7250000,12725000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,600000,10600000,500000,200000,1400000,-200000,2400000,1900000,300000,300000,-500000,5130000,3584000,48983000,2881000,9438000,10354000,-19903000,-10134000,-8802000,-3185000,-11197000,-24222000,-24766000,-20120000,-31372000,-25630000,-25912000,-21608000,-18972000,-14571000,65358000,-34002000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-5200000,300000,-7900000,-9500000,-12300000,-24600000,-42500000,-14500000,-14200000,-10800000,-31300000,-30975000,-15450000,3528000,-25010000,-53592000,-19653000,-19903000,-10134000,-8802000,3440000,-11197000,-24222000,-24766000,-20120000,-41372000,-28355000,-13187000,-21608000,-18972000,-14571000,65358000,-34002000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-818351000,-401742000,-182580000,-6111000,-385000,-588000,-766000,-867000,-1088000,-2534000,-3125000,-3482000,-3788000,- -,-43800000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,400000,29900000,1200000,1100000,1200000,2000000,5400000,5400000,1882000,4324000,5494000,6104000,2751000,706000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1400000,-400000,-300000,-2100000,- -,- -,- -,- -,-3100000,-20100000,-18000000,-11646000,- -,- -,-155000,- -,-4067000,- -,-12385000,-1806000,- -,- -,- -,- -,- -,-804000,-14002000,-21282000,- -,-18732000,-29757000,-19708000,-41809000
93,Dividends Paid,- -,- -,- -,- -,-2000000,-2100000,-2100000,- -,-2800000,-3100000,-3400000,-3500000,-3700000,-3700000,-4200000,-4149000,-4365000,-4684000,-5076000,-5550000,-5678000,-6014000,-5979000,-4246000,-473000,-2168000,-2609000,-24684000,-5353000,-29780000,-8060000,-30409000,-11392000,-35464000,-15056000,-50521000,-52446000
