,https://roic.ai/company/MTL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0465,0.0679,0.0700,0.3693,0.1002,0.1372,0.1366,0.1146,0.0128,0.0674,0.0580,-0.1476,-0.3414,-0.6768,-0.4549,0.0258,0.0386,0.0404,0.0081,0.0030,0.2004
25,EPS,12.78,17.22,22.94,198.89,54.60,77.91,107.61,161.93,-9.04,95.30,99.80,-254.56,-462.35,-1157.89,-553.30,34.24,55.52,60.68,11.58,3.92,390.56
26,EPS Diluted,12.78,17.22,22.94,198.89,54.60,77.91,107.61,161.93,-9.04,95.30,99.80,-254.56,-462.35,-1157.89,-553.30,34.24,55.52,60.68,11.58,3.92,390.56
27,Weighted Average Shares Outstanding,112748444,166788514,183089408,186985656,201559340,204489678,208135372,208135372,208135372,208135372,208135372,208135372,208135372,208135372,208135372,208135372,208135372,208135372,208128255,206294955,206294955
28,Weighted Average Shares Outstanding Diluted,112748444,166788514,183089408,186985656,201559340,204489678,208135372,208135372,208135372,208135372,208135372,208135372,208135372,208135372,208135372,208135372,208135372,208135372,208128255,206294955,206294955
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1302362/000110465906036509/0001104659-06-036509-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000110465907051580/0001104659-07-051580-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000104746908007591/0001047469-08-007591-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000095012309016383/0000950123-09-016383-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000095012310037996/0000950123-10-037996-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000095012311034837/0000950123-11-034837-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312512225462/0001193125-12-225462-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312513156601/0001193125-13-156601-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312514201166/0001193125-14-201166-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312515152929/0001193125-15-152929-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312516590311/0001193125-16-590311-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312517139163/0001193125-17-139163-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312518108703/0001193125-18-108703-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312519082146/0001193125-19-082146-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312520078970/0001193125-20-078970-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,180979297,567735396,28386730252,8960107961,4543203932,5817094128,7530257998,12496490734,10425208320,20580883552,8959841830,8830154618,3935519952,3079000000,1689000000,2452000000,1803000000,3509000000,1706000000,17701000000
32,Short-Term Investments,- -,- -,- -,- -,- -,7131777899,- -,- -,176435156,- -,- -,143317129,245050972,47748752,45000000,167000000,562000000,508000000,363000000,141000000,100000000
33,Cash and Short-Term Investments,- -,180979297,567735396,28386730252,8960107961,11674981832,5817094128,7530257998,12672925889,10425208320,20580883552,9103158959,9075205590,3983268704,3124000000,1856000000,3014000000,2311000000,3872000000,1847000000,17801000000
34,Net Receivables,- -,3863339630,3513530044,4212049706,12026733829,10793313802,15028350984,12674191394,13662770806,37058709490,68451041312,46692586990,28586353379,24907394381,19656000000,22740000000,22282000000,21491000000,19375000000,20323000000,24339000000
35,Inventory,- -,6454875032,10641854857,15749168392,14273464195,17189052342,24412047893,40337715050,31212478903,57100835990,83141838168,62976578101,45280993420,35612620101,35189000000,35227000000,37990000000,43423000000,39773000000,42138000000,62449000000
36,Other Current Assets,- -,5694078683,6222207002,9912575811,3809903142,3376674326,9693003120,20575260797,17283322653,23619796142,22083138760,8130072712,10863367392,20670929443,5151000000,3942000000,4176000000,4915000000,3012000000,4548000000,10348000000
37,Total Current Assets,- -,16193272641,20945327300,58260524160,39070209127,43034022301,54950496125,81117425238,74831498250,128204549942,194256901792,126902396762,93805919781,85174212629,63120000000,63765000000,67462000000,72140000000,66032000000,68856000000,114937000000
38,PP&E,- -,21905391780,25989298796,35310857419,43366721356,52977673217,90943445129,126406265936,134413303721,165588465974,226362016828,378417245018,332366460795,259276167834,254361000000,240452000000,231115000000,221947000000,228067000000,112643000000,105662000000
39,Goodwill,- -,- -,- -,- -,1137490412,1208457398,22465752694,26902782592,26951155553,30247328664,36825021634,24266311699,22616343471,22412841713,21378000000,18355000000,18331000000,16039000000,12843000000,9609000000,- -
40,Intangible Assets,- -,2693072833,4867883229,5880969311,7173144436,7227398532,52547439921,101577858310,155009057048,152087148211,151424330808,540886986,422887211,494608143,38517000000,36099000000,880000000,844000000,809000000,774000000,- -
41,Intangible Assets,- -,2693072833,4867883229,5880969311,8310634848,8435855930,75013192615,128480640901,181960212601,182334476875,188249352443,24807198686,23039230682,22907449856,21378000000,18355000000,19211000000,16883000000,13652000000,10383000000,10684000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,16345960074,3305921709,715448275,708454625,684204115,736303853,567092861,478000000,500000000,485000000,537000000,553000000,786000000,1065000000
43,Tax Assets,- -,255855170,153294145,330747910,502559243,183792700,411630306,814106703,728431599,292566586,889830781,1678098381,166589939,4055920181,1492000000,1502000000,96000000,5488000000,3648000000,561000000,4989000000
44,Other Non-Current Assets,- -,3251400988,2000353301,2107977761,12212732766,12467951394,5382370269,1709236984,2027844125,5459499278,7115639303,5035236819,4818415030,1198165714,1243000000,891000000,758000000,630000000,553000000,611000000,193000000
45,Total Non-Current Assets,- -,28105720772,33010829471,43630552402,64392648212,74065273241,171750638318,273756210599,322435713755,354390456989,423325293979,410621983019,361127000298,288004796447,278952000000,261700000000,251665000000,245485000000,246473000000,124984000000,122593000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,44298993414,53956156771,101891076562,103462857339,117099295541,226701134443,354873635837,397267212005,482595006931,617582195771,537524379781,454932920079,373179009076,342072000000,325465000000,319127000000,317625000000,312505000000,193840000000,237530000000
48,Accounts Payable,- -,3636828139,4252324295,5158808673,6041746697,4829328870,5472508830,20350510494,14280640392,19792998283,31226992134,31997083084,30320848623,29850140626,26300000000,21335000000,18999000000,24288000000,27806000000,32290000000,36278000000
49,Short-Term Debt,- -,9548158610,10061560635,9664265570,11216782028,4542388012,28174429959,152600491138,59207057803,65080280650,87913502547,48385175043,52868366050,386299576787,505181000000,444340000000,430009000000,418174000000,391670000000,322371000000,290908000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,3878050808,5113606100,7618477939,8940021123,9546870978,9139131930,11965036796,13583000000,11747000000,11274000000,12531000000,18389000000,18812000000,16375000000
51,Deferred Revenue,- -,1023388751,1556323810,21052631,1588319418,189056704,514666862,52479166,13228870,- -,6594670683,4704769026,3013942804,4535797918,3492000000,3815000000,4385000000,5028000000,5816000000,6067000000,14200000000
52,Other Current Liabilities,- -,6754059225,9427001697,9789944236,9010113855,10320500962,14754102753,14381094000,17516831794,28298322509,25866383063,29023510858,31964485597,69785273474,45563000000,35856000000,30755000000,28705000000,34147000000,38615000000,22053000000
53,Total Current Liabilities,- -,20962434725,25297210436,24634071111,27856961998,19881274547,48915708405,187384574799,91017758858,113171601442,151601548428,114110538012,118167643074,490470788804,580536000000,505346000000,484148000000,476195000000,459439000000,399343000000,363439000000
54,Long-Term Debt,- -,1165317645,3597383000,5986509474,1574725862,9835054513,58846771665,8095768291,124548815683,164300640725,227784556096,251435504394,257056956800,9413285682,4789000000,12065000000,19238000000,8951000000,14207000000,6159000000,3986000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,3927742460,3196588811,2917728424,3031420569,3583576003,17229707110,24857099783,43799311668,46387955549,48431400202,45564701233,35607333370,10004836576,11090000000,16282000000,11494000000,13506000000,13877000000,6773000000,7548000000
57,Other Non-Current Liabilities,- -,3589444004,3242324113,5403933318,3799068532,4102396237,8217988383,6835086342,7399910401,7281402322,18134672616,18890643540,17405162901,10297943874,7511000000,44360000000,48380000000,52168000000,58579000000,12236000000,9835000000
58,Total Non-Current Liabilities,- -,8682504109,10036295924,14308171216,8405214962,17521026754,84294467158,39787954416,175748037752,217969998595,294350628914,315890849167,310069453071,29716066132,23390000000,72707000000,79112000000,74625000000,86663000000,25168000000,21369000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,351496075504,- -,- -,- -,- -,59432132265,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,263795465,1344110781,1802697519,2040423072,3026397797,5507250893,15103675523,14576488113,13801381224,15219178167,13988000000,10596000000,9354000000,8293000000,17355000000,11493000000,11412000000
61,Total Liabilities,- -,29644938834,35333506360,38942242326,36262176961,37402301301,133210175563,227172529215,266765796610,331141600037,445952177342,430001387179,428237096145,520186854937,603926000000,578053000000,563260000000,550820000000,546102000000,424511000000,384808000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,762814607,774365386,809762964,768955024,832423551,1407115142,833000000,833000000,833000000,833000000,840000000,840000000,840000000
63,Common Stock,- -,3893385769,3586324175,3698254711,3836860343,3513906910,3279947908,3945009024,4023113289,4084032533,4270720711,4055498082,4390233507,7421178845,4163000000,4163000000,4163000000,4163000000,4163000000,4163000000,4163000000
64,Retained Earnings,- -,2408512584,5666383373,42388308681,49351909661,56085620138,65126007105,98200398466,96096831279,116942847134,138898179999,75950119714,-14069812663,-264781170920,-301565000000,-294444000000,-283743000000,-274186000000,-273754000000,-273186000000,-192714000000
65,Other Comprehensive Income/Loss,- -,-2646614669,1380029660,2595207660,1208360835,4953901524,7504594124,4696442128,-5195118840,-6148150363,-11392693785,-9931135853,-1565307476,54051198114,445000000,848000000,1303000000,1771000000,-848000000,1391000000,2265000000
66,Other Total Stockholders Equity,- -,5222887526,2568029874,8316260080,9129725657,10852454887,10197277883,12264936636,26347057251,26372779190,27062282108,25674817134,27429069583,46366650716,28322000000,28326000000,24378000000,24378000000,24371000000,22503000000,22503000000
67,Total Stockholders Equity,- -,8878171211,13200767082,56998031132,63526856495,75405883459,86107827020,119106786253,122034697586,142025873880,159648251997,96518254101,17016606502,-155535028103,-267802000000,-260274000000,-253066000000,-243041000000,-245228000000,-244289000000,-162943000000
68,Total Liabilities And Stockholders Equity,- -,38523110045,48534273442,95940273459,99789033456,112808184760,219318002583,346279315468,388800494196,473167473917,605600429340,526519641280,445253702647,364651826834,336124000000,317779000000,310194000000,307779000000,300874000000,180222000000,221865000000
69,Minority Interest,- -,5775883369,5421883329,5950803104,3673823883,4291110781,7383131860,8594320369,8466717809,9427533014,11981766432,11004738501,9679217432,8527182242,5948000000,7686000000,8933000000,9846000000,11631000000,13618000000,15665000000
70,Total Liabilities & Equity,- -,44298993414,53956156771,101891076562,103462857339,117099295541,226701134443,354873635837,397267212005,482595006931,617582195771,537524379781,454932920079,373179009076,342072000000,325465000000,319127000000,317625000000,312505000000,193840000000,237530000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1302362/000110465906036509/0001104659-06-036509-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000110465907051580/0001104659-07-051580-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000104746908007591/0001047469-08-007591-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000095012309016383/0000950123-09-016383-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000095012310037996/0000950123-10-037996-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000095012311034837/0000950123-11-034837-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312512225462/0001193125-12-225462-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312513156601/0001193125-13-156601-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312514201166/0001193125-14-201166-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312515152929/0001193125-15-152929-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312516590311/0001193125-16-590311-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312517139163/0001193125-17-139163-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312518108703/0001193125-18-108703-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312519082146/0001193125-19-082146-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312520078970/0001193125-20-078970-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,2849849183,4220824289,37194070646,10954739644,15877525745,22431480878,33702025900,2222118668,20104408555,23284124015,-50564032829,-96284578135,-240990897223,-115163000000,7126000000,11557000000,12628000000,2409000000,808000000,80570000000
74,Depreciation and Amortization,- -,2515222678,3015412307,3859972156,4861291450,5274795208,7132345697,13690000117,12466688109,14517592032,17949233890,13325060439,12946169117,17940356751,12397000000,11813000000,12555000000,13859000000,15176000000,14818000000,13357000000
75,Deferred Income Tax,- -,-831936411,-203088272,-310720210,-360243616,586910126,-450078615,-11932391289,-954196277,2306363208,213556828,-2005923403,-1816376205,-17952641354,7946000000,5104000000,-3401000000,-2596000000,2288000000,2574000000,-3658000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-1271612648,-3639471243,-10775789075,1983624638,-4294400783,-8599621637,-10915311956,18391353510,-43496428579,-20931480143,20907168401,10473002377,50934744355,-2787000000,-8798000000,-4467000000,-2037000000,11111000000,-281000000,-22383000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-4152975449,2931204175,-4533466690,-10235980946,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,217603018,-3254324115,-4729251903,419992038,-4187594142,-6248575063,-19470775284,14503753269,-23301227717,-24485972965,19274817285,16674876805,22284659382,1873000000,-1070000000,-4508000000,-7858000000,-1511000000,-5283000000,-24079000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1341970258,- -,2216099583,3034692557,178765991,-7972000000,-4259000000,-3435000000,4150000000,4037000000,1137000000,-6120000000
81,Other Working Capital,- -,- -,- -,-114515231,134527353,-329079210,-2408387376,-949382391,-1786560387,-15636619454,12505678016,-7967466398,-17172673586,-2745469858,-939000000,588000000,625000000,485000000,650000000,995000000,8149000000
82,Other Non-Cash Items,- -,-672988821,120029433,-21764292824,346448886,-2839245837,1718799131,41348382233,-15200574197,2059926946,7897028255,58171505310,85320783252,231459601530,107589000000,37962000000,47038000000,46264000000,26674000000,20030000000,5652000000
83,Cash Provided by Operating Activities,- -,2588533981,3513706515,8203240694,17785861003,14605584458,22232925454,65892705004,16925389813,-4508137838,28412462845,39833777918,10639000405,41391164058,9982000000,53207000000,63282000000,68118000000,57658000000,37949000000,73538000000
84,CAPEX,- -,-1947251660,-3424677087,-8404736531,-14960211817,-10471209397,-20478110207,-34611753425,-18464488970,-30287555040,-58524839323,-31251518096,-18352581520,-24661924662,-5147000000,-4742000000,-7231000000,-5622000000,-6282000000,-4826000000,-6208000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000
86,Purchases of Investments,- -,-297906993,-855441330,-824432102,-217094557,-53061160,-762382074,- -,- -,- -,-34862928289,-135206558,-50115094,-120066710,- -,-4000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,57729458,987559001,24265012953,557192120,171264370,- -,220347490,70604196,590578262,11312178126,- -,36534035,881323006,143000000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-578763361,-2881000519,-2412132875,-13966790113,-4189805024,-62546506326,-63280920921,-3068525269,-4539890674,-2498448549,5896536920,12460572270,-2352584900,-5058000000,-223000000,-678000000,-175000000,361000000,89209000000,771000000
89,Cash Used for Investing Activites,- -,-2766192556,-6173559935,12623711444,-28586904367,-14542811211,-83786998606,-97543965654,-21393131747,-34236867451,-83835482006,-25490187734,-5905590309,-26253253266,-10062000000,-4969000000,-7138000000,-5647000000,-5921000000,84383000000,-5452000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-116010840494,-115620533865,-212004962366,-118445923170,-138376424438,-101490135555,-123938583878,-14573000000,-45560000000,-38546000000,-100049000000,-23048000000,-179543000000,-45936000000
91,Common Stock Issued,- -,- -,- -,6118365425,- -,32847385,- -,- -,- -,- -,- -,- -,- -,- -,- -,34300000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-959338409,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-844000000,- -
93,Dividends Paid,- -,-428660384,-773000139,-142520770,-5579795689,-4989828352,-7809871246,-13826487317,-6269881651,-713521080,-6725088776,-5663517485,-7300230,-6225681,-4000000,-5000000,-856000000,-1386000000,-1515000000,-292000000,-98000000
94,Other Financing Activites,- -,537924878,3804735979,1012216029,-3239347378,1631893880,70454353200,168220666710,133203781215,249736691246,191677361787,119981437023,96167905987,99570767070,13873000000,-34604000000,-16335000000,38149000000,-23794000000,54575000000,-3157000000
95,Cash Used/Provided by Financing Activities,- -,109264494,3031735840,6988060683,-8819143067,-4284425496,62644481954,38383338899,11313365699,37018207800,66506349841,-24058504900,-5329529798,-24374042489,-704000000,-45869000000,-55737000000,-63286000000,-48357000000,-126104000000,-49191000000
96,Effect of Forex Changes on Cash,- -,-9036193,29147064,37673129,-870332482,558931945,485971893,-6198421864,-2028476942,-533710709,-1404209720,-846749676,-175205526,-1999166315,331000000,-1807000000,-637000000,63000000,-891000000,-61000000,-237000000
97,Net Change In Cash,- -,-77430274,401029484,27852685950,-20490518914,-3662720303,1576380696,533656385,4817146824,-2260508198,9679120960,-10561664392,-771325228,-11235298012,-453000000,562000000,-230000000,-843000000,2487000000,-3805000000,18639000000
98,Cash at the End of Period,- -,180979297,567735396,28386730252,8960107961,4543203932,5817094128,7530257998,12496490734,10425208320,20580883552,8959841830,9027852745,4025347639,891000000,1453000000,1223000000,380000000,2867000000,-938000000,17701000000
99,Cash at the Beginning of Period,- -,258409571,166705912,534044302,29450626874,8205924236,4240713433,6996601613,7679343910,12685716518,10901762592,19521506222,9799177973,15260645651,1344000000,891000000,1453000000,1223000000,380000000,2867000000,-938000000
100,Free Cash Flow,- -,641282321,89029428,-201495837,2825649185,4134375062,1754815247,31280951579,-1539099158,-34795692878,-30112376478,8582259822,-7713581114,16729239396,4835000000,48465000000,56051000000,62496000000,51376000000,33123000000,67330000000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1302362/000110465906036509/0001104659-06-036509-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000110465907051580/0001104659-07-051580-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000104746908007591/0001047469-08-007591-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000095012309016383/0000950123-09-016383-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000095012310037996/0000950123-10-037996-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000095012311034837/0000950123-11-034837-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312512225462/0001193125-12-225462-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312513156601/0001193125-13-156601-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312514201166/0001193125-14-201166-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312515152929/0001193125-15-152929-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312516590311/0001193125-16-590311-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312517139163/0001193125-17-139163-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312518108703/0001193125-18-108703-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312519082146/0001193125-19-082146-index.htm,https://www.sec.gov/Archives/edgar/data/1302362/000119312520078970/0001193125-20-078970-index.htm,- -,- -
102,Forex Rate,0.0328,0.0313,0.0342,0.0361,0.0348,0.0379,0.0407,0.0328,0.033,0.0327,0.031,0.0327,0.0304,0.0172,0.0137,0.0163,0.01734,0.01434,0.01614,0.01347,0.01333
