,https://roic.ai/company/NWN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000000,60200000,74100000,64200000,39600000,69500000,74641000,77740000,67236000,69323000,77103000,90869000,99649000,118557000,110203000,121793000,122129000,107280000,103959000,102243000,100335000,89456000,99609000,-86380000,91502000,77953000,91355000,106072000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1520,0.1690,0.1948,0.1774,0.0950,0.1525,0.1403,0.1196,0.1048,0.1134,0.1090,0.0998,0.0984,0.1147,0.1062,0.1203,0.1504,0.1264,0.1423,0.1348,0.1331,0.1236,0.1474,-0.1133,0.1296,0.1044,0.1181,0.1233
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,20500000,22100000,27300000,21100000,12300000,24600000,26829000,27553000,23444000,23340000,26531000,32720000,36234000,44060000,40678000,46671000,49462000,43382000,44104000,41705000,41643000,35753000,40714000,-30757000,24191000,12642000,21082000,27406000
23,Net Income,22700000,19600000,20500000,23700000,28400000,30700000,14400000,15800000,37600000,35500000,38100000,46800000,43100000,27300000,45300000,50224000,50187000,43792000,45983000,50572000,58149000,63415000,74497000,69525000,75122000,72667000,63898000,59855000,60538000,58692000,53703000,58895000,-55623000,64569000,61735000,76781000,78666000
24,Net Income ratio,0.0554,0.0622,0.0664,0.0854,0.1089,0.1036,0.0487,0.0576,0.1048,0.0964,0.1069,0.1231,0.1191,0.0655,0.0994,0.0944,0.0772,0.0683,0.0752,0.0715,0.0639,0.0626,0.0721,0.0670,0.0742,0.0895,0.0753,0.0819,0.0798,0.0778,0.0742,0.0871,-0.0730,0.0914,0.0827,0.0992,0.0914
25,EPS,1.40,1.16,1.20,1.33,1.58,1.62,0.67,0.74,1.74,1.63,1.61,1.97,1.78,1.02,1.71,1.90,1.90,1.63,1.77,1.87,2.11,2.30,2.78,2.63,2.83,2.73,2.39,2.23,2.24,2.16,1.96,2.06,-1.94,2.24,2.03,2.51,2.56
26,EPS Diluted,1.40,1.02,1.20,1.33,1.58,1.62,0.67,0.74,1.72,1.63,1.61,1.97,1.76,1.02,1.70,1.88,1.88,1.62,1.76,1.86,2.11,2.29,2.76,2.61,2.83,2.73,2.39,2.22,2.24,2.16,1.96,2.06,-1.94,2.24,2.03,2.51,2.56
27,Weighted Average Shares Outstanding,14357143,15086207,15500000,15864662,16202532,17283951,17611940,17837838,19597701,19942500,21817500,22391000,22698000,24233000,24976000,25183000,25159000,25431000,25741000,27016000,27564000,27540000,26821000,26438000,26511000,26589000,26687000,26831000,26974000,27172222,27427000,28630000,28669000,28880000,30472000,30589000,30702000
28,Weighted Average Shares Outstanding Diluted,14357143,17156863,15500000,15864662,16202532,17283951,17611940,17837838,19825581,20131579,21817500,22666667,23011364,24233000,25176471,25408511,25418085,25624691,26061000,27283000,27621000,27657000,26995000,26594000,26576000,26657000,26744000,26907000,27027000,27223000,27427000,28630000,28753000,28880000,30472000,30599000,30752000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1733998/000173399819000004/0001733998-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1733998/000173399820000006/0001733998-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1733998/000173399821000006/0001733998-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1733998/000173399822000005/0001733998-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,7800000,8200000,6700000,7400000,10000000,11283000,10440000,7328000,4706000,5248000,7143000,5767000,6107000,6916000,8432000,3457000,5833000,8923000,9471000,9534000,4211000,3521000,3472000,12633000,5919000,30168000,18559000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6504000,2245000,2853000,14966000,20646000,20020000,17094000,15926000,15704000,16647000,15278000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,7800000,8200000,6700000,7400000,10000000,11283000,10440000,7328000,4706000,5248000,7143000,5767000,6107000,6916000,14936000,5702000,8686000,23889000,30117000,29554000,21305000,19447000,19176000,29280000,21197000,30168000,18559000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,63300000,56700000,64200000,64600000,83300000,74900000,106372000,122471000,91005000,111322000,125076000,162863000,166585000,147446000,183976000,145543000,170888000,143524000,118218000,145294000,127812000,133245000,130356000,129787000,129820000,123077000,148813000,181646000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,14300000,14400000,17400000,21300000,33900000,46883000,49337000,58030000,50859000,66477000,86161000,78128000,79944000,96067000,9285000,80385000,74363000,67602000,60669000,77832000,70868000,54129000,47973000,44149000,43896000,42691000,57262000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,9100000,11500000,11500000,16000000,14500000,64300000,22834000,28086000,37645000,32661000,40316000,67543000,58313000,43302000,194011000,158471000,73290000,122116000,73990000,94368000,127362000,106645000,84121000,73000000,92672000,81989000,101573000,179809000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,95500000,90300000,98300000,104700000,126500000,183100000,187372000,210334000,194008000,199548000,237117000,323710000,308793000,276799000,480970000,328235000,330265000,348689000,283699000,330448000,362560000,332063000,288053000,269936000,295921000,270159000,323245000,437276000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,654300000,697200000,745300000,827500000,894700000,895900000,934030000,964976000,995595000,1205913000,1318405000,1373423000,1425141000,1495873000,1549057000,1670134000,1854163000,1893876000,1973612000,2062874000,2121593000,2182663000,2260900000,2254974000,2421372000,2568552000,2875975000,3085414000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8954000,49929000,69225000,70570000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8954000,49929000,69225000,70570000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67365000,69094000,68263000,67667000,67851000,68238000,68066000,68376000,66363000,63558000,63333000,49259000,89278000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,139500000,141800000,145300000,179400000,170500000,165400000,157311000,259712000,153188000,185871000,176673000,344898000,222922000,241511000,348125000,333518000,363094000,435746000,493775000,509738000,512554000,493900000,462472000,448473000,452857000,369514000,438675000,382066000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,793800000,839000000,890600000,1006900000,1065200000,1061300000,1091341000,1224688000,1148783000,1391784000,1495078000,1718321000,1648063000,1737384000,1897182000,2071017000,2286351000,2397885000,2535054000,2640463000,2702385000,2744629000,2791748000,2769810000,2946741000,3051328000,3433134000,3627328000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,889300000,929300000,988900000,1111600000,1191700000,1244400000,1278713000,1435022000,1342791000,1591332000,1732195000,2042031000,1956856000,2014183000,2378152000,2399252000,2616616000,2746574000,2818753000,2970911000,3064945000,3076692000,3079801000,3039746000,3242662000,3321487000,3756379000,4064604000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,48500000,41800000,64800000,58800000,56000000,68200000,110698000,70698000,74436000,86029000,102478000,135287000,113579000,119731000,94422000,123729000,93243000,86300000,85613000,96126000,91366000,73219000,85664000,112308000,115878000,111641000,97966000,133486000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,247609000,224209000,399869000,391141000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15520000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,77600000,77900000,104100000,137400000,134500000,152000000,110663000,202884000,130571000,128392000,164807000,191278000,225900000,270135000,456898000,268840000,374918000,328164000,282823000,336665000,378044000,404495000,188853000,269542000,145597000,106576000,129248000,200138000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,126100000,119700000,168900000,196200000,190500000,220200000,221361000,273582000,205007000,214421000,267285000,326565000,339479000,389866000,551320000,392569000,468161000,414464000,368436000,432791000,469410000,477714000,274517000,381850000,509084000,442426000,627083000,724765000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,291100000,279900000,271800000,344300000,366700000,396400000,400790000,378377000,445945000,500319000,484027000,521500000,517000000,512000000,512000000,601700000,591700000,641700000,691700000,681700000,621700000,576700000,679334000,683184000,706247000,769081000,860081000,1124055000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,125900000,131200000,135300000,151900000,151500000,146600000,151194000,139106000,149556000,178742000,216740000,227400000,210084000,206340000,257831000,300898000,373409000,413209000,446604000,532036000,530965000,530021000,557085000,270526000,280463000,309297000,319292000,340231000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-157720000,490245000,562713000,578980000,572512000,675549000,711285000,718368000,961410000,984234000,978487000,1061190000,940407000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,417000000,411100000,407100000,496200000,518200000,543000000,551984000,517483000,595501000,679061000,700767000,748900000,727084000,718340000,769831000,744878000,1455354000,1617622000,1717284000,1786248000,1828214000,1818006000,1954787000,1915120000,1970944000,2056865000,2240563000,2404693000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,863500000,857300000,841600000,1007900000,1054200000,1102000000,1122277000,1176762000,1241932000,1549656000,1597160000,1877435000,1744916000,1747906000,1968290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2942000,81726000,80764000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,572600000,565900000,603400000,707900000,726500000,779200000,791654000,932861000,851438000,1085016000,1163678000,1455100000,1357311000,1419432000,1749779000,1137447000,1923515000,2032086000,2085720000,2219039000,2297624000,2295720000,2229304000,2296970000,2480028000,2499291000,2867646000,3129458000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,42500000,47000000,71400000,72400000,78700000,79500000,79905000,79889000,81023000,82137000,87231000,87334000,371127000,331595000,336754000,- -,- -,- -,356571000,364549000,375117000,383144000,445187000,448865000,457640000,319557000,565112000,590771000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,97300000,105700000,98400000,110900000,106500000,118700000,134189000,147950000,157136000,170053000,183932000,205687000,230774000,266658000,296005000,328712000,356727000,373905000,385753000,393681000,402280000,404990000,412261000,302349000,312182000,513372000,336523000,355779000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-303600000,-325700000,-355500000,-389400000,-434000000,-444100000,-3451000,-3677000,-560798000,-476571000,-510530000,-542857000,-581009000,-623437000,-668437000,-692600000,-722239000,-767226000,-812396000,-855865000,-870967000,-906717000,-947916000,-960477000,-7000000,-11000000,-12902000,-11404000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,480500000,536400000,571200000,609800000,697700000,711100000,276416000,277999000,805742000,730697000,807884000,836767000,578653000,619935000,664051000,1625693000,1058613000,1107809000,803105000,849507000,860891000,899555000,940965000,952039000,-188000,44070000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,316700000,363400000,385500000,403700000,448900000,465200000,487059000,502161000,491353000,506316000,568517000,586931000,599545000,594751000,628373000,1261805000,693101000,714488000,733033000,751872000,767321000,780972000,850497000,742776000,762634000,865999000,888733000,935146000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,889300000,929300000,988900000,1111600000,1175400000,1244400000,1278713000,1435022000,1342791000,1591332000,1732195000,2042031000,1956856000,2014183000,2378152000,2399252000,2616616000,2746574000,2818753000,2970911000,3064945000,3076692000,3079801000,3039746000,3242662000,3365290000,3756379000,4064604000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43803000,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,889300000,929300000,988900000,1111600000,1191700000,1244400000,1278713000,1435022000,1342791000,1591332000,1732195000,2042031000,1956856000,2014183000,2378152000,2399252000,2616616000,2746574000,2818753000,2970911000,3064945000,3076692000,3079801000,3039746000,3242662000,3321487000,3756379000,4064604000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1733998/000173399819000004/0001733998-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1733998/000173399820000006/0001733998-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1733998/000173399821000006/0001733998-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1733998/000173399822000005/0001733998-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,35500000,38100000,46800000,43100000,27300000,45300000,50224000,50187000,43792000,45983000,50572000,58149000,63415000,74497000,69525000,75122000,72667000,63898000,59855000,60538000,58692000,53703000,58895000,-55623000,64569000,61735000,76781000,78666000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62814000,65124000,70004000,73017000,75905000,79193000,80923000,82289000,85578000,85156000,91496000,103683000,113534000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,5200000,4100000,16600000,-300000,-5000000,4651000,-12088000,10450000,29186000,36713000,9551000,-16440000,-5252000,50192000,36775000,- -,- -,42780000,46483000,24772000,26972000,32056000,-52414000,14356000,6317000,18667000,14617000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,21400000,1200000,-41200000,-20900000,27500000,26900000,3111000,-29259000,52249000,-3874000,-15295000,27313000,-27831000,-82381000,42717000,6016000,-73562000,72121000,-18962000,-17606000,-4507000,-38801000,159187000,-125450000,-101249000,40896000,-131571000,-70647000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35506000,- -,- -,22170000,-26094000,14948000,2373000,-7484000,3099000,181000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,700000,-200000,-2900000,-3900000,-12700000,-12964000,-2454000,-8693000,7171000,-15618000,-19684000,8033000,-1816000,-16123000,15110000,572000,6022000,6761000,6933000,-17163000,6964000,16620000,5571000,3207000,-5969000,1262000,-14571000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1188000,-11846000,148000,-602000,7422000,-2020000,-17175000,12380000,1424000,16792000,-16485000,-15910000,12118000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30600000,-29400000,-70600000,-91500000,-64000000,-37100000,-33989000,-63248000,-10999000,-14873000,-30168000,-2855000,-30686000,-113067000,-70350000,-64334000,-137896000,-65775000,-84737000,-102343000,-106850000,-145651000,13536000,-111914000,-213163000,-172267000,-303838000,-24066000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,44300000,39400000,80200000,7000000,12400000,41300000,29254000,62681000,17336000,35511000,35749000,-15947000,129422000,196776000,-127713000,59608000,62240000,27439000,12148000,11070000,57507000,61891000,-110280000,354613000,105939000,-15146000,75460000,24183000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000000,83900000,89900000,45800000,66900000,108500000,87240000,71521000,123827000,106806000,107739000,79066000,148566000,183640000,34721000,240335000,126469000,233462000,168838000,176390000,215657000,184688000,222147000,206704000,168771000,185298000,143020000,160353000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7700000,- -,- -,- -,- -,- -,-80444000,- -,-82159000,-127223000,-152053000,-96101000,-97080000,-118227000,-103998000,-135124000,-248505000,-100534000,-132029000,-138924000,-120092000,-118320000,-139511000,-213595000,-214636000,-242283000,-280894000,-295256000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77700000,-67200000,-83400000,-115900000,-80000000,-109100000,- -,-71943000,-4316000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56786000,-31263000,-8739000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19000000,-3200000,-9200000,-19800000,- -,- -,- -,- -,- -,-1291000,- -,- -,- -,- -,- -,- -,- -,-54085000,-54077000,-26798000,-1549000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,3700000,- -,1200000,- -,610000,529000,1848000,542000,17575000,3001000,2517000,2628000,7531000,2255000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,7900000,-100000,1000000,- -,-10100000,48845000,-15855000,500000,18000,- -,1092000,3996000,-1880000,-13358000,-29272000,-212871000,-153065000,-130592000,-128055000,-117525000,-113749000,-136629000,-214172000,-217453000,-228183000,-255136000,-290020000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85300000,-76900000,-83000000,-124100000,-98600000,-119200000,-30989000,-87269000,-84127000,-126663000,-135769000,-92008000,-90567000,-117479000,-109825000,-162141000,-212871000,-153065000,-184677000,-182132000,-144323000,-115298000,-136629000,-214172000,-217453000,-303781000,-294277000,-300123000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-159151000,-35000000,-10000000,-40000000,- -,-80000000,-60000000,-25000000,-40000000,-97000000,-30000000,-225000000,-390025000
