,https://roic.ai/company/W,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,91104000,97286000,110000000
50,Tax Payable,- -,- -,- -,- -,15731000,35726000,49989000,62173000,104502000,61000000
51,Deferred Revenue,12282000,13397000,26784000,50884000,65892000,94116000,148057000,167641000,- -,299000000
52,Other Current Liabilities,19208000,29459000,57935000,75229000,111835000,205273000,340992000,444677000,911684000,642000000
53,Total Current Liabilities,98093000,145009000,232592000,397026000,557220000,739755000,1139223000,1611519000,2165594000,2217000000
54,Long-Term Debt,- -,- -,- -,- -,- -,332905000,738904000,1456195000,2659243000,3944000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,477000,944000,17392000,55010000,125079000,189072000,343444000,829542000,67031000,28000000
58,Total Non-Current Liabilities,477000,944000,17392000,55010000,125079000,521977000,1082348000,2285737000,2726274000,3972000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,6322506000,- -
60,Capital Lease Obligations,- -,- -,- -,27295000,68849000,120125000,243145000,913706000,967244000,1002000000
61,Total Liabilities,98570000,145953000,249984000,452036000,682299000,1261732000,2221571000,3897256000,5761826000,6189000000
62,Preferred Stock,215798000,241186000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,83000,84000,86000,88000,91000,94000,73000,- -
64,Retained Earnings,-150853000,-190511000,-58122000,-135565000,-329940000,-583266000,-1082689000,-2065423000,- -,-1949000000
65,Other Comprehensive Income/Loss,62000,-328000,-366000,-136000,13000,-2363000,-1780000,-1427000,-4529000,-7000000
66,Other Total Stockholders Equity,236161000,270799000,363944000,378162000,409225000,537212000,753657000,1122548000,-1187441000,- -
67,Total Stockholders Equity,65007000,50347000,305539000,242545000,79384000,-48329000,-330721000,-944208000,-1191897000,-1619000000
68,Total Liabilities And Stockholders Equity,163577000,196300000,555523000,694581000,761683000,1213403000,1890850000,2953048000,4569929000,4570000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-839821000,- -
70,Total Liabilities & Equity,163577000,196300000,555523000,694581000,761683000,1213403000,1890850000,2953048000,3730108000,4570000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1616707/000104746915002471/0001047469-15-002471-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670716000017/0001616707-16-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670717000133/0001616707-17-000133-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670718000087/0001616707-18-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670719000042/0001616707-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670720000025/0001616707-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670721000064/0001616707-21-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670722000031/0001616707-22-000031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-21055000,-15526000,-148098000,-77443000,-194375000,-244614000,-504080000,-984584000,184996000,-131000000
74,Depreciation and Amortization,9335000,13091000,22003000,32446000,55572000,87020000,123542000,192419000,285711000,322000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,60809000,31015000,49402000,67840000,127564000,227451000,276208000,344000000
77,Change in Working Capital,15555000,-23913000,236158000,-158979000,-175426000,157194000,39648000,-351094000,1114589000,-150000000
78,Accounts Receivable,-8234000,8112000,1741000,-4033000,-9217000,-18172000,-12792000,-49187000,-14726000,-118000000
79,Inventory,-2497000,-6630000,-4835000,-131000,1351000,-9454000,-18319000,-15631000,9947000,-17000000
80,Accounts Payable,25939000,40761000,59521000,135855000,126013000,104184000,285064000,330325000,531526000,9000000
81,Other Working Capital,42031000,18118000,254276000,95297000,-80129000,77065000,116713000,-234381000,880208000,- -
82,Other Non-Cash Items,110000,60761000,-166747000,308082000,327641000,-33806000,298187000,718990000,-444773000,25000000
83,Cash Provided by Operating Activities,3945000,34413000,4125000,135121000,62814000,33634000,84861000,-196818000,1416731000,410000000
84,CAPEX,-14980000,-15779000,-45985000,-62184000,-128086000,-146879000,-221955000,-400880000,-186040000,-280000000
85,Acquisitions Net,- -,-3741000,- -,2860000,1508000,- -,- -,- -,- -,- -
86,Purchases of Investments,-66065000,-93000000,-135000000,-207303000,-88112000,-54551000,-99002000,-553858000,-481670000,-989000000
87,Sales/Maturities of Investments,58065000,65998000,125019000,133596000,119810000,71095000,61068000,115468000,580153000,749000000
88,Other Investing Activites,-100000,-469000,531000,-4697000,-1000000,- -,-398000,-15567000,-148518000,5000000
89,Cash Used for Investing Activites,-23080000,-46991000,-55435000,-137728000,-95880000,-130335000,-260287000,-854837000,-236075000,-515000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-1040349000,- -
91,Common Stock Issued,700000,- -,282893000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-29028000,- -,- -,- -,- -,- -,-380237000,-300000000
93,Dividends Paid,- -,- -,-39516000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,44244000,- -,126801000,-18616000,-20883000,374971000,467463000,786504000,1773174000,-3000000
95,Cash Used/Provided by Financing Activities,44944000,- -,341150000,-18616000,-20883000,374971000,467463000,786504000,352588000,-303000000
96,Effect of Forex Changes on Cash,25000,6000,730000,-460000,-387000,850000,-1536000,-1557000,13443000,-16000000
97,Net Change In Cash,25834000,-12572000,290570000,-21683000,-54336000,279120000,290501000,-266708000,1546687000,-424000000
98,Cash at the End of Period,77861000,65289000,355859000,334176000,279840000,558960000,849461000,582753000,- -,1706000000
99,Cash at the Beginning of Period,52027000,77861000,65289000,355859000,334176000,279840000,558960000,849461000,- -,2130000000
100,Free Cash Flow,-11035000,18634000,-41860000,72937000,-65272000,-113245000,-137094000,-597698000,1230691000,130000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1616707/000104746915002471/0001047469-15-002471-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670716000017/0001616707-16-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670717000133/0001616707-17-000133-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670718000087/0001616707-18-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670719000042/0001616707-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670720000025/0001616707-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670721000064/0001616707-21-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670722000031/0001616707-22-000031-index.htm
102,false,,,,,,,,,,
