,https://roic.ai/company/PBYI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-15093000,-14083,-16836,-15976,-10145959,-74185000,-54410000,-141648000,-239504000,-275447000,-288424000,-95206000,-52499000,-35709000,-31659000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-10.4181,-0.3793,-0.1928,-0.1586,-0.1251
17,Operating Income,-15093000,-14083,-16836,-15976,-10156661,-74450000,-54833000,-142275000,-240280000,-276596000,-292390000,-94672000,-39098000,-30402000,-29126000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-10.5613,-0.3772,-0.1436,-0.1351,-0.1151
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-80000,98000,174000,310000,996000,585000,435000,-18903000,-36497000,-29386000,324000
20,Income Before Tax,-15093000,- -,- -,- -,- -,-74352000,-54659000,-141965000,-239284000,-276011000,-291955000,-113575000,-75595000,-59788000,-28802000
21,Income Before Tax Ratio,-Infinity,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-10.5456,-0.4525,-0.2777,-0.2656,-0.1138
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207000,-324000
23,Net Income,-15093000,-14083,-16836,-15976,-10232878,-74352000,-54659000,-141965000,-239284000,-276011000,-291955000,-113575000,-75595000,-59995000,-29126000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-10.5456,-0.4525,-0.2777,-0.2665,-0.1151
25,EPS,-0.38,-0.00,-0.01,-0.01,-1.32,-3.42,-1.90,-4.73,-7.45,-8.29,-7.85,-2.99,-1.95,-1.52,-0.72
26,EPS Diluted,-0.38,-0.00,-0.01,-0.01,-1.32,-3.42,-1.90,-4.73,-7.45,-8.29,-7.85,-2.99,-1.95,-1.52,-0.72
27,Weighted Average Shares Outstanding,39291162,3000000,3000000,3000000,7746529,21725986,28696573,30010979,32126094,33295114,37169678,37942411,38768653,39576107,40638852
28,Weighted Average Shares Outstanding Diluted,39291162,3000000,3000000,3000000,7746529,21725986,28696573,30010979,32126094,33295114,37169678,37942411,38768653,39576107,40638852
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1401667/000113709108000134/0001137091-08-000134-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000113709109000115/0001137091-09-000115-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000143774910000861/0001437749-10-000861-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000143774911001881/0001437749-11-001881-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000119312512139883/0001193125-12-139883-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000119312513136650/0001193125-13-136650-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000119312514080183/0001193125-14-080183-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459015001193/0001564590-15-001193-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459016013716/0001564590-16-013716-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459017003090/0001564590-17-003090-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459018005152/0001564590-18-005152-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459019005830/0001564590-19-005830-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459020007591/0001564590-20-007591-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459021009840/0001564590-21-009840-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000143774922005164/0001437749-22-005164-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1407000,73,2408,462,53381734,137408000,43044000,38539000,31569000,194494000,81698000,108419000,60037000,85293000,63131000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,40904000,102788000,184320000,34982000,- -,57002000,51607000,8096000,18975000
33,Cash and Short-Term Investments,1407000,73,2408,462,53381734,137408000,83948000,141327000,215889000,229476000,81698000,165421000,111644000,93389000,82106000
34,Net Receivables,- -,- -,- -,- -,- -,10612000,9813000,1760000,- -,- -,9670000,21948000,28896000,25543000,32526000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2029000,2625000,3170000,3454000,7109000
36,Other Current Assets,- -,- -,- -,- -,281096,952000,2635000,6292000,7660000,6998000,12997000,13009000,22586000,23753000,18281000
37,Total Current Assets,1407000,73,2408,462,53662830,148972000,96396000,149379000,223549000,236474000,106394000,203003000,166296000,146139000,140022000
38,PP&E,- -,- -,- -,- -,682053,1479000,1684000,2157000,2383000,5153000,4470000,3963000,21826000,18885000,15773000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48355000,44408000,40461000,74140000,66125000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48355000,44408000,40461000,74140000,66125000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,1053284,1248000,6294000,11222000,13910000,11163000,6306000,7748000,6322000,5056000,4665000
45,Total Non-Current Assets,- -,- -,- -,- -,1735337,2727000,7978000,13379000,16293000,16316000,59131000,56119000,68609000,98081000,86563000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1407000,73,2408,462,55398167,151699000,104374000,162758000,239842000,252790000,165525000,259122000,234905000,244220000,226585000
48,Accounts Payable,- -,2249,2270,- -,86669,482000,10692000,14997000,17803000,20035000,27692000,20684000,19183000,12076000,11174000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14286000,7148000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,499542,21219000,8579000,29444000,14639000,17426000,30648000,46431000,71654000,87893000,91264000
53,Total Current Liabilities,- -,2249,2270,- -,586211,21701000,19271000,44441000,32442000,37461000,58340000,67115000,90837000,114255000,109586000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48477000,151886000,94962000,84025000,113067000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,439421,1089000,1116000,1269000,1393000,5505000,5406000,5815000,31643000,51891000,6378000
58,Total Non-Current Liabilities,- -,- -,- -,- -,439421,1089000,1116000,1269000,1393000,5505000,53883000,157701000,126605000,135916000,119445000
59,Other Liabilities,1407000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25267000,22643000,- -
61,Total Liabilities,1407000,2249,2270,- -,1025632,22790000,20387000,45710000,33835000,42966000,112223000,224816000,217442000,250171000,229031000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,300000,300,300,300,2004,3000,3000,3000,3000,4000,4000,4000,4000,4000,4000
64,Retained Earnings,- -,-29176,-46012,-61988,-10239809,-84592000,-139251000,-281216000,-520500000,-796511000,-1088466000,-1202041000,-1277636000,-1337631000,-1366757000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-10702,-276000,-699000,-1325000,-2101000,-2949000,-4063000,-5176000,-5859000,- -,-2000
66,Other Total Stockholders Equity,1107000,26700,45850,62150,64621042,213774000,223934000,399586000,728605000,1009280000,1145827000,1241519000,1300954000,1331676000,1364309000
67,Total Stockholders Equity,1407000,-2176,138,462,54372535,128909000,83987000,117048000,206007000,209824000,53302000,34306000,17463000,-5951000,-2446000
68,Total Liabilities And Stockholders Equity,2814000,73,2408,- -,55398167,151699000,104374000,162758000,239842000,252790000,165525000,259122000,234905000,244220000,226585000
69,Minority Interest,-1407000,- -,- -,462,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1407000,73,2408,462,55398167,151699000,104374000,162758000,239842000,252790000,165525000,259122000,234905000,244220000,226585000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1401667/000113709108000134/0001137091-08-000134-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000113709109000115/0001137091-09-000115-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000143774910000861/0001437749-10-000861-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000143774911001881/0001437749-11-001881-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000119312512139883/0001193125-12-139883-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000119312513136650/0001193125-13-136650-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000119312514080183/0001193125-14-080183-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459015001193/0001564590-15-001193-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459016013716/0001564590-16-013716-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459017003090/0001564590-17-003090-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459018005152/0001564590-18-005152-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459019005830/0001564590-19-005830-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459020007591/0001564590-20-007591-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459021009840/0001564590-21-009840-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000143774922005164/0001437749-22-005164-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-15093000,-14083,-16836,-15976,-10232878,-74352000,-54659000,-141965000,-239284000,-276011000,-291955000,-113575000,-75595000,-59995000,-29126000
74,Depreciation and Amortization,- -,- -,- -,- -,10702,265000,423000,627000,776000,1149000,2811000,7384000,8077000,10033000,10598000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,1408000,7519000,39151000,94934000,117264000,108735000,86939000,57327000,36575000,32633000
77,Change in Working Capital,- -,-1409176,2314,324,53076157,74194381,-50146000,27813000,86169000,7906000,-150959000,87834000,-60429000,-43575000,-1448000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9670000,-11103000,-8123000,2353000,-5983000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2029000,-596000,-545000,-284000,-3655000
80,Accounts Payable,- -,2249,21,-2270,- -,395000,10210000,4305000,2806000,2231000,7657000,-7008000,-1526000,-7107000,-902000
81,Other Working Capital,1407000,-2176,138,462,53076619,127271000,77125000,104938000,191107000,199013000,48054000,135888000,75459000,31884000,30436000
82,Other Non-Cash Items,- -,1411425,-2293,-2594,-44678999,-45527381,41815000,-2829000,-97063000,8002000,158898000,-92687000,92996000,57735000,7993000
83,Cash Provided by Operating Activities,-15093000,-11834,-16815,-18246,-1825018,-44012000,-55048000,-77203000,-154468000,-141690000,-172470000,-24105000,22376000,773000,20650000
84,CAPEX,- -,- -,- -,- -,-692755,-1062000,-628000,-1292000,-1181000,-7284000,-50431000,-609000,-306000,-20046000,1000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-49347000,-132259000,-214806000,-81794000,-79729000,-107502000,-127198000,-29826000,-38073000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,8446000,70277000,133222000,231267000,114724000,50488000,132667000,73275000,27192000
88,Other Investing Activites,- -,- -,- -,- -,-1492705,-159000,-2000,-1000,-3098000,-4000,-50000000,- -,- -,-20000000,-1000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1746039,-1221000,-41531000,-63275000,-85863000,142185000,-15436000,-57623000,5163000,23403000,-10881000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80000000,-8444000,-100000000
91,Common Stock Issued,- -,10500,19150,16300,56890808,129214000,- -,129440000,205133000,161854000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,16500000,- -,- -,- -,61983,45000,2215000,6533000,28228000,576000,75110000,108451000,12933000,8512000,68069000
95,Cash Used/Provided by Financing Activities,16500000,10500,19150,16300,56952791,129259000,2215000,135973000,233361000,162430000,75110000,108451000,-67067000,68000,-31931000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1407000,-1334,2335,-1946,- -,84026000,-94364000,-4505000,-6970000,162925000,-112796000,26723000,-39528000,24244000,-22162000
98,Cash at the End of Period,1407000,73,2408,462,53381734,137408000,43044000,38539000,31569000,194494000,81698000,112738000,73210000,97454000,75292000
99,Cash at the Beginning of Period,- -,1407,73,2408,- -,53382000,137408000,43044000,38539000,31569000,194494000,86015000,112738000,73210000,97454000
100,Free Cash Flow,-15093000,-11834,-16815,-18246,-2517773,-45074000,-55676000,-78495000,-155649000,-148974000,-222901000,-24714000,22070000,-19273000,20651000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1401667/000113709108000134/0001137091-08-000134-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000113709109000115/0001137091-09-000115-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000143774910000861/0001437749-10-000861-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000143774911001881/0001437749-11-001881-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000119312512139883/0001193125-12-139883-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000119312513136650/0001193125-13-136650-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000119312514080183/0001193125-14-080183-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459015001193/0001564590-15-001193-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459016013716/0001564590-16-013716-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459017003090/0001564590-17-003090-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459018005152/0001564590-18-005152-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459019005830/0001564590-19-005830-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459020007591/0001564590-20-007591-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000156459021009840/0001564590-21-009840-index.htm,https://www.sec.gov/Archives/edgar/data/1401667/000143774922005164/0001437749-22-005164-index.htm
102,false,,,,,,,,,,,,,,,
