,https://roic.ai/company/PRI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,52859000,40313000,202507000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,519711000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,374415000,122840000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21048000,81799000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69255000,- -
52,Other Current Liabilities,- -,- -,- -,8153000000,8276000000,8688000000,8734000000,8897937000,8728035000,9342159000,9931933000,9790189000,10478275000,-519711000,- -
53,Total Current Liabilities,- -,- -,- -,8153000000,8276000000,8688000000,8734000000,8897937000,8728035000,9342159000,9931933000,9790189000,10478275000,443670000,122840000
54,Long-Term Debt,- -,- -,- -,300000000,300000000,374433000,374481000,594532000,739805000,875410000,1109669000,1343346000,1557765000,1720187000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,86204000,90866000,125453000,141649000,198641000,152572000,164405000,188997000,202448000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-86637000,-91347000,-125453000,-144478000,-198641000,-152572000,-164405000,-188997000,- -,13910600000
58,Total Non-Current Liabilities,- -,- -,- -,300000000,300000000,374000000,374000000,594532000,736976000,875410000,1109669000,1343346000,1557765000,1922635000,13910600000
59,Other Liabilities,7396084000,7049147000,8284008000,- -,- -,748461000,- -,1189583000,1475288000,- -,- -,- -,- -,14548365000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53487000,52806000,- -
61,Total Liabilities,7396084000,7049147000,8284008000,8452814000,8575903000,9062461000,9107923000,9492988000,9466347000,10217569000,11041602000,11133535000,12036040000,13069400000,14033440000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,728000,649000,564000,548000,522000,483000,457000,443000,427000,412000,393000,394000
64,Retained Earnings,3596058000,3340841000,3648801000,395057000,566021000,503173000,640840000,795740000,952804000,1138851000,1375090000,1489520000,1593281000,1705786000,- -
65,Other Comprehensive Income/Loss,- -,- -,171000000,153000000,147000000,169000000,108000000,96000000,12000000,30000000,44000000,-28000000,59000000,- -,72388000
66,Other Total Stockholders Equity,1183907000,771145000,1123972000,882707000,708971000,602679000,472639000,352864000,180485000,52066000,-432000,-434000,-202000,129706000,2009730000
67,Total Stockholders Equity,4779965000,4111986000,4943773000,1431492000,1422641000,1275416000,1222027000,1245126000,1145772000,1221374000,1419101000,1461513000,1652491000,1835885000,2082512000
68,Total Liabilities And Stockholders Equity,12176049000,11161133000,13227781000,9884306000,9998544000,10337877000,10329950000,10738114000,10612119000,11438943000,12460703000,12595048000,13688531000,14905285000,16115952000
69,Minority Interest,- -,- -,- -,-9682911000,-2043083000,-1976076000,-1755712000,-2085717000,-2195583000,-2395381000,-2761808000,-25228000,-3675571000,-14312441000,7271000
70,Total Liabilities & Equity,12176049000,11161133000,13227781000,201395000,7955461000,8361801000,8574238000,8652397000,8416536000,9043562000,9698895000,12569820000,10012960000,592844000,16123223000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1475922/000119312511070177/0001193125-11-070177-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000144530512000508/0001445305-12-000508-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000147592213000004/0001475922-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000147592214000011/0001475922-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459015001024/0001564590-15-001024-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459016013368/0001564590-16-013368-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459017002594/0001564590-17-002594-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459018003151/0001564590-18-003151-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459019004515/0001564590-19-004515-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459020007489/0001564590-20-007489-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459021009754/0001564590-21-009754-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459022007995/0001564590-22-007995-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,593634000,167682000,494589000,257778000,178276000,173806000,162725000,181412000,189871000,219414000,350255000,324094000,366391000,386164000,371980000
74,Depreciation and Amortization,12415000,12938000,10342000,10063000,10731000,10095000,10803000,12266000,10998000,14595000,13551000,12417000,18300000,17697000,29836000
75,Deferred Income Tax,-6159000,-20959000,55923000,32030000,7426000,13332000,18333000,25757000,38292000,44316000,-53788000,2590000,-841000,266000,-25593000
76,Stock Based Compensation,- -,- -,- -,33301000,11588000,18944000,13788000,17982000,14940000,13442000,15267000,17251000,17533000,19027000,16842000
77,Change in Working Capital,29920000,- -,-8026962000,-112960000,-435862000,-9027000,-120610000,129680000,-554442000,-521788000,123920000,-693348000,10325298000,2868329000,-62644000
78,Accounts Receivable,- -,- -,- -,-7129000,3464000,-150638000,-81311000,-101091000,-61382000,-92949000,-9207000,53552000,-24790000,-132533000,-9101000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-8026962000,-8139922000,-8575784000,-8584811000,-8705421000,-8575741000,-9130183000,-9651971000,-9528051000,-10221399000,103899000,2972228000,35916000
82,Other Non-Cash Items,-21844000,510422000,8205190000,-179155000,315743000,-87172000,102860000,-129453000,559430000,522188000,-60681000,815063000,-10241168000,-2648066000,326535000
83,Cash Provided by Operating Activities,607966000,670083000,739082000,41057000,87902000,119978000,187899000,237644000,259089000,292167000,388524000,478067000,485513000,643417000,656956000
84,CAPEX,-7484000,-4301000,-4894000,-9864000,-3913000,- -,-23818000,-7484000,-7399000,-13669000,-6752000,-13517000,-25437000,-27622000,-24688000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,3000000,- -,- -,- -,- -,- -,- -,-494459000
86,Purchases of Investments,-1490218000,-2015434000,- -,-1123618000,-460603000,-497774000,-311913000,-437782000,-434339000,-389077000,-427089000,-635516000,-634004000,-525395000,-1081107000
87,Sales/Maturities of Investments,1616424000,1453956000,1592687000,1872351000,625336000,571017000,371215000,426621000,383273000,354823000,305560000,416232000,457557000,499488000,676871000
88,Other Investing Activites,-107000,3479000,-1945648000,705000,-32121000,-6594000,-23818000,-7484000,-7399000,-13669000,-6752000,-13517000,-25437000,- -,- -
89,Cash Used for Investing Activites,118615000,-562300000,-357855000,739574000,128699000,66649000,35484000,-15645000,-58465000,-47923000,-128281000,-232801000,-201884000,-53529000,-923383000
90,Debt Repayment,- -,- -,- -,- -,- -,-300000000,- -,- -,- -,- -,- -,- -,-281000,-274000,-508955000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-268212000,-101073000,-147922000,-200084000,-150057000,-150038000,-210146000,-225037000,-231431000,-18751000
93,Dividends Paid,-319302000,-422900000,-44927000,-1502000,-7312000,-14737000,-25058000,-26512000,-32807000,-33367000,-35821000,-44140000,-57630000,-64346000,-74636000
94,Other Financing Activites,-16820000,-13300000,-11500000,-1288391000,-200000000,371863000,-58809000,-1449000,-2377000,-1710000,-7602000,-6711000,-7186000,-5739000,710316000
95,Cash Used/Provided by Financing Activities,-336122000,-436200000,-56427000,-1289893000,-207312000,-211086000,-184940000,-175883000,-235268000,-185134000,-193461000,-260997000,-290134000,-301790000,107974000
96,Effect of Forex Changes on Cash,-4212000,5421000,-1894000,32778000,751000,597000,-1470000,-2789000,-5059000,572000,1204000,-2093000,1243000,2595000,3385000
97,Net Change In Cash,386247000,-322996000,322906000,-476484000,10040000,-23862000,36973000,43327000,-39703000,59682000,67986000,-17824000,-5262000,290693000,-155068000
98,Cash at the End of Period,625350000,302354000,625260000,126038000,136078000,112216000,149189000,192516000,152294000,211976000,279962000,262138000,256876000,547569000,392501000
99,Cash at the Beginning of Period,239103000,625350000,302354000,602522000,126038000,136078000,112216000,149189000,191997000,152294000,211976000,279962000,262138000,256876000,547569000
100,Free Cash Flow,600482000,665782000,734188000,31193000,83989000,119978000,164081000,230160000,251690000,278498000,381772000,464550000,460076000,615795000,632268000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1475922/000119312511070177/0001193125-11-070177-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000144530512000508/0001445305-12-000508-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000147592213000004/0001475922-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000147592214000011/0001475922-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459015001024/0001564590-15-001024-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459016013368/0001564590-16-013368-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459017002594/0001564590-17-002594-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459018003151/0001564590-18-003151-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459019004515/0001564590-19-004515-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459020007489/0001564590-20-007489-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459021009754/0001564590-21-009754-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459022007995/0001564590-22-007995-index.htm
102,false,,,,,,,,,,,,,,,
