,https://roic.ai/company/CYBR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,9376000,13657000,20159000,23840000,59160000,56310000,80737000,130125000,141710000,106769000,74740000
84,CAPEX,-431000,-686000,-752000,-1408000,-2066000,-2795000,-6757000,-8613000,-7036000,-7174000,-8928000
85,Acquisitions Net,- -,- -,- -,- -,-53656000,- -,-41329000,-18450000,- -,-68603000,- -
86,Purchases of Investments,- -,-7102000,-8809000,-52570000,-619000,-123373000,-64326000,-61118000,-199675000,-526333000,-462279000
87,Sales/Maturities of Investments,800000,4555000,8735000,2533000,49329000,4307000,17355000,39438000,63489000,189723000,243013000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,369000,-3233000,-826000,-51445000,-7012000,-121861000,-95057000,-48743000,-143222000,-412387000,-228194000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,88468000,52575000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-387000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6691000,58000,159000,942000,5632000,3969000,2624000,17980000,532042000,13249000,10949000
95,Cash Used/Provided by Financing Activities,6691000,-329000,159000,89410000,58207000,3969000,2624000,17980000,532042000,13249000,10949000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-689000
97,Net Change In Cash,16436000,10095000,19492000,61805000,110355000,-61582000,-11696000,99362000,530530000,-292369000,-143194000
98,Cash at the End of Period,32792000,42887000,62379000,124184000,234539000,172957000,161261000,261883000,792413000,500044000,356850000
99,Cash at the Beginning of Period,16356000,32792000,42887000,62379000,124184000,234539000,172957000,162521000,261883000,792413000,500044000
100,Free Cash Flow,8945000,12971000,19407000,22432000,57094000,53515000,73980000,121512000,134674000,99595000,65812000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1598110/000119312515066968/d868692d20f.htm,https://www.sec.gov/Archives/edgar/data/1598110/000117891316004658/0001178913-16-004658-index.html,https://www.sec.gov/Archives/edgar/data/1598110/000117891317000810/0001178913-17-000810-index.html,https://www.sec.gov/Archives/edgar/data/1598110/000117891318000853/0001178913-18-000853-index.html,https://www.sec.gov/Archives/edgar/data/1598110/000117891319000824/0001178913-19-000824-index.html,https://www.sec.gov/Archives/edgar/data/1598110/000117891320000737/0001178913-20-000737-index.html,- -,- -
102,false,,,,,,,,,,,
