,https://roic.ai/company/V,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,355000000,115000000,184000000,1271000000,743000000,2069000000,1979000000,2497000000,3319000000,3564000000,3547000000,4236000000,3752000000,2025000000
33,Cash and Short-Term Investments,- -,- -,270124000,275379000,5334000000,4732000000,4051000000,3398000000,2817000000,4255000000,3950000000,6015000000,8938000000,13438000000,11709000000,12074000000,20041000000,18512000000
34,Net Receivables,- -,- -,258035000,254716000,1473000000,1049000000,878000000,972000000,1356000000,1702000000,1699000000,1332000000,2740000000,2554000000,2790000000,4590000000,2882000000,3726000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,1065772000,1976844000,4367000000,3460000000,3805000000,4820000000,7613000000,1865000000,3913000000,3545000000,2635000000,3031000000,3717000000,4306000000,4722000000,5369000000
37,Total Current Assets,- -,- -,1593931000,2506939000,11174000000,9241000000,8734000000,9190000000,11786000000,7822000000,9562000000,10892000000,14313000000,19023000000,18216000000,20970000000,27645000000,27607000000
38,PP&E,- -,- -,- -,- -,1080000000,1204000000,1357000000,1541000000,1634000000,1732000000,1892000000,1888000000,2150000000,2253000000,2472000000,2695000000,2737000000,2715000000
39,Goodwill,- -,- -,- -,- -,10213000000,10208000000,11447000000,11668000000,11681000000,11681000000,11753000000,11825000000,15066000000,15110000000,15194000000,15656000000,15910000000,15958000000
40,Intangible Assets,- -,- -,- -,- -,10883000000,10883000000,11478000000,11436000000,11420000000,11351000000,11411000000,11361000000,27234000000,27848000000,27558000000,26780000000,27808000000,27664000000
41,Intangible Assets,- -,- -,- -,- -,21096000000,21091000000,22925000000,23104000000,23101000000,23032000000,23164000000,23186000000,42300000000,42958000000,42752000000,42436000000,43718000000,43622000000
42,Investments,- -,- -,701643000,964022000,836000000,270000000,138000000,811000000,3369000000,2790000000,3050000000,3429000000,3977000000,1926000000,4082000000,2157000000,231000000,1705000000
43,Tax Assets,- -,- -,237533000,470626000,- -,- -,- -,- -,- -,- -,8000000,11000000,22000000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,430811000,448530000,795000000,475000000,254000000,114000000,123000000,580000000,893000000,830000000,1273000000,1817000000,1703000000,4316000000,6588000000,7247000000
45,Total Non-Current Assets,- -,- -,1369987000,1883178000,23807000000,23040000000,24674000000,25570000000,28227000000,28134000000,29007000000,29344000000,49722000000,48954000000,51009000000,51604000000,53274000000,55289000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,2963918000,4390117000,34981000000,32281000000,33408000000,34760000000,40013000000,35956000000,38569000000,40236000000,64035000000,67977000000,69225000000,72574000000,80919000000,82896000000
48,Accounts Payable,- -,- -,119075000,98586000,159000000,156000000,137000000,169000000,152000000,184000000,147000000,127000000,203000000,179000000,183000000,156000000,174000000,266000000
49,Short-Term Debt,- -,- -,32339000,41280000,51000000,12000000,12000000,- -,- -,- -,- -,- -,- -,1749000000,- -,- -,2999000000,999000000
50,Tax Payable,- -,- -,- -,148551000,122000000,327000000,40000000,63000000,58000000,64000000,73000000,75000000,153000000,243000000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,37000000,39000000,42000000,63000000,59000000,60000000,82000000,81000000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,1241549000,3142223000,6918000000,4235000000,3307000000,3219000000,7743000000,4091000000,5777000000,5166000000,7843000000,8066000000,11122000000,13259000000,11337000000,14474000000
53,Total Current Liabilities,- -,- -,1392963000,3282089000,7165000000,4442000000,3498000000,3451000000,7954000000,4335000000,6006000000,5374000000,8046000000,9994000000,11305000000,13415000000,14510000000,15739000000
54,Long-Term Debt,- -,- -,41280000,- -,55000000,44000000,32000000,- -,- -,- -,- -,- -,15882000000,16618000000,16630000000,16729000000,21071000000,19978000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,3811000000,3807000000,4181000000,4205000000,4058000000,4149000000,4145000000,4123000000,4808000000,5980000000,4618000000,4807000000,5237000000,6128000000
57,Other Non-Current Liabilities,- -,- -,909021000,1570745000,2809000000,795000000,683000000,667000000,371000000,602000000,1005000000,897000000,2387000000,2625000000,2666000000,2939000000,3891000000,3462000000
58,Total Non-Current Liabilities,- -,- -,950301000,1570745000,6675000000,4646000000,4896000000,4872000000,4429000000,4751000000,5150000000,5020000000,23077000000,25223000000,23914000000,24475000000,30199000000,29568000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,2343264000,4852834000,13840000000,9088000000,8394000000,8323000000,12383000000,9086000000,11156000000,10394000000,31123000000,35217000000,35219000000,37890000000,44709000000,45307000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5717000000,5526000000,5470000000,5462000000,5086000000,3080000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,186000000,2219000000,4368000000,6706000000,7809000000,7974000000,9131000000,11843000000,10462000000,9508000000,11318000000,13502000000,14088000000,15351000000
65,Other Comprehensive Income/Loss,- -,- -,582814000,-328000,-70000000,-188000000,-151000000,-176000000,-171000000,21000000,-17000000,-74000000,-458000000,878000000,547000000,-650000000,354000000,436000000
66,Other Total Stockholders Equity,- -,- -,620654000,- -,21025000000,21158000000,20794000000,19907000000,19992000000,18875000000,18299000000,18073000000,22908000000,22374000000,22141000000,21832000000,21768000000,- -
67,Total Stockholders Equity,- -,- -,582814000,-501327000,21141000000,23189000000,25011000000,26437000000,27630000000,26870000000,27413000000,29842000000,32912000000,32760000000,34006000000,34684000000,36210000000,37589000000
68,Total Liabilities And Stockholders Equity,- -,- -,2926078000,4351507000,34981000000,32277000000,33405000000,34760000000,40013000000,35956000000,38569000000,40236000000,64035000000,67977000000,69225000000,72574000000,80919000000,82896000000
69,Minority Interest,- -,- -,37840000,38610000,- -,4000000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,2963918000,4390117000,34981000000,32281000000,33408000000,34760000000,40013000000,35956000000,38569000000,40236000000,64035000000,67977000000,69225000000,72574000000,80919000000,82896000000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1403161/000119312507270394/0001193125-07-270394-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000119312508240384/0001193125-08-240384-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000119312509239249/0001193125-09-239249-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000119312510265236/0001193125-10-265236-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000119312511315956/0001193125-11-315956-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000138410812000011/0001384108-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316113000011/0001403161-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316114000017/0001403161-14-000017-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316115000013/0001403161-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000058/0001403161-16-000058-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000044/0001403161-17-000044-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/0001403161-18-000055-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/0001403161-19-000050-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000070/0001403161-20-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316121000060/0001403161-21-000060-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,264701000,454561000,-1076095000,804000000,2353000000,2966000000,3650000000,2144000000,4980000000,5438000000,6328000000,5991000000,6699000000,10301000000,12080000000,10866000000,12311000000
74,Depreciation and Amortization,- -,135528000,720206000,625693000,237000000,226000000,265000000,288000000,333000000,397000000,435000000,494000000,502000000,556000000,613000000,656000000,767000000,804000000
75,Deferred Income Tax,- -,85186000,31630000,-873695000,-27000000,297000000,249000000,164000000,-1690000000,1527000000,-580000000,195000000,-764000000,1700000000,-1277000000,214000000,307000000,873000000
76,Stock Based Compensation,- -,- -,- -,- -,74000000,115000000,131000000,154000000,147000000,179000000,172000000,187000000,221000000,235000000,327000000,407000000,416000000,542000000
77,Change in Working Capital,- -,-732807000,321968000,-976118000,4784150000,790000000,437000000,503000000,-1907000000,-345000000,69000000,1962000000,749000000,2762000000,-2118000000,644000000,5580000000,-6702000000
78,Accounts Receivable,- -,-14285000,- -,- -,-24000000,-102000000,-7000000,-79000000,-161000000,-38000000,-53000000,-19000000,-65000000,-54000000,-70000000,-333000000,-43000000,-343000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,56580000,- -,-20491000,-10000000,-3000000,-21000000,29000000,-17000000,40000000,-56000000,-13000000,43000000,-30000000,3000000,-24000000,21000000,88000000
81,Other Working Capital,- -,-121000000,200968000,-775150000,4009000000,4799000000,5236000000,5739000000,3832000000,3487000000,3556000000,5518000000,6267000000,9029000000,6911000000,7555000000,13135000000,-7510000000
82,Other Non-Cash Items,- -,728021000,-1093857000,2805362000,-5341150000,-3223000000,-1357000000,-887000000,5982000000,-3716000000,1671000000,-2582000000,-1125000000,-2744000000,4867000000,-1217000000,-7496000000,7399000000
83,Cash Provided by Operating Activities,- -,480629000,434508000,505147000,531000000,558000000,2691000000,3872000000,5009000000,3022000000,7205000000,6584000000,5574000000,9208000000,12713000000,12784000000,10440000000,15227000000
84,CAPEX,- -,-119267000,- -,- -,-415000000,-306000000,-241000000,-353000000,-376000000,-471000000,-553000000,-414000000,-523000000,-707000000,-718000000,-756000000,-736000000,-705000000
85,Acquisitions Net,- -,97424000,- -,-2500000,- -,- -,-1805000000,-268000000,-3000000,- -,-149000000,-93000000,-9082000000,-302000000,-196000000,-699000000,-77000000,-75000000
86,Purchases of Investments,- -,-1896715000,-3783841000,-3070490000,-2517000000,-48000000,-28000000,-1923000000,-4152000000,-3167000000,-2581000000,-2875000000,-28014000000,-3284000000,-5822000000,-3154000000,-2342000000,-5182000000
87,Sales/Maturities of Investments,- -,1425427000,3607904000,2769231000,2458000000,1298000000,76000000,245000000,2115000000,2474000000,2342000000,1937000000,26703000000,5016000000,3638000000,4008000000,4510000000,5701000000
88,Other Investing Activites,- -,20000000,-87265000,478000,1028000000,886000000,94000000,- -,2000000,-471000000,-553000000,-404000000,-523000000,-695000000,-704000000,10000000,72000000,109000000
89,Cash Used for Investing Activites,- -,-473131000,-263202000,-463241000,554000000,1830000000,-1904000000,-2299000000,-2414000000,-1164000000,-941000000,-1435000000,-10916000000,735000000,-3084000000,-591000000,1427000000,-152000000
90,Debt Repayment,- -,-33768000,-36579000,-36651000,-24000000,-54000000,-24000000,-54000000,-6000000,-6000000,- -,- -,- -,- -,-1750000000,- -,- -,-3000000000
91,Common Stock Issued,- -,- -,- -,- -,19100000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-13446000000,-2646000000,-1000000000,-2024000000,-710000000,-5365000000,-4118000000,-2910000000,-7157000000,-6891000000,-7192000000,-8607000000,-8114000000,-8676000000
93,Dividends Paid,- -,- -,- -,- -,-93000000,-318000000,-368000000,-423000000,-595000000,-864000000,-1006000000,-1177000000,-1350000000,-1579000000,-1918000000,-2269000000,-2664000000,-2798000000
94,Other Financing Activites,- -,-12198000,- -,- -,-1913000000,267000000,-150000000,-803000000,-1344000000,4489000000,-1354000000,484000000,15984000000,2546000000,-380000000,-1185000000,6810000000,64000000
95,Cash Used/Provided by Financing Activities,- -,-45966000,-36579000,-36651000,3624000000,-2751000000,-1542000000,-3304000000,-2655000000,-1746000000,-6478000000,-3603000000,7477000000,-5924000000,-11240000000,-12061000000,-3968000000,-14410000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-5000000,1000000,5000000,-9000000,7000000,- -,-1000000,1000000,-34000000,236000000,-101000000,-277000000,440000000,-37000000
97,Net Change In Cash,- -,-38468000,134727000,5255000,4704000000,-362000000,-750000000,-1740000000,-53000000,112000000,-215000000,1547000000,2101000000,4255000000,-1712000000,-145000000,8339000000,628000000
98,Cash at the End of Period,- -,135397000,270124000,275379000,4979000000,4617000000,3867000000,2127000000,2074000000,2186000000,1971000000,3518000000,5619000000,9874000000,8162000000,10832000000,19171000000,19799000000
99,Cash at the Beginning of Period,- -,173865000,135397000,270124000,275000000,4979000000,4617000000,3867000000,2127000000,2074000000,2186000000,1971000000,3518000000,5619000000,9874000000,10977000000,10832000000,19171000000
100,Free Cash Flow,- -,361362000,434508000,505147000,116000000,252000000,2450000000,3519000000,4633000000,2551000000,6652000000,6170000000,5051000000,8501000000,11995000000,12028000000,9704000000,14522000000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1403161/000119312507270394/0001193125-07-270394-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000119312508240384/0001193125-08-240384-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000119312509239249/0001193125-09-239249-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000119312510265236/0001193125-10-265236-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000119312511315956/0001193125-11-315956-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000138410812000011/0001384108-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316113000011/0001403161-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316114000017/0001403161-14-000017-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316115000013/0001403161-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000058/0001403161-16-000058-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000044/0001403161-17-000044-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/0001403161-18-000055-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/0001403161-19-000050-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000070/0001403161-20-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316121000060/0001403161-21-000060-index.htm
102,false,,,,,,,,,,,,,,,,,,
