,https://roic.ai/company/HRTG,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,120000,20757000,20028000,30565000,53433000,462452000,410516000,495759000,464732000,71925000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,-31225000,-28313000,-42684000,-411912000,-369972000,-424081000,-1025743000,- -
37,Total Current Assets,- -,- -,473594000,638625000,719548000,771250000,816766000,927285000,440956000,455191000
38,PP&E,201000,10935000,17087000,17111000,17179000,18748000,17998000,20753000,18685000,45179000
39,Goodwill,- -,- -,- -,- -,46454000,152459000,152459000,152459000,152459000,91959000
40,Intangible Assets,- -,- -,- -,- -,26542000,101611000,76835000,68628000,62277000,55926000
41,Intangible Assets,- -,- -,- -,- -,72996000,254070000,229294000,221087000,214736000,147885000
42,Investments,13068000,130114000,324310000,400096000,602982000,567013000,526105000,588874000,562610000,670769000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,9426000
44,Other Non-Current Assets,- -,- -,-199960000,-218434000,-379461000,160129000,178550000,181671000,-562610000,-670769000
45,Total Non-Current Assets,- -,- -,141437000,198773000,313696000,999960000,951947000,1012385000,233421000,202490000
46,Other Assets,81864000,281978000,- -,- -,- -,- -,- -,- -,- -,1728061000
47,Total Assets,81864000,281978000,615031000,837398000,1033244000,1771210000,1768713000,1939670000,674377000,1980762000
48,Accounts Payable,8987000,29591000,17113000,60210000,96667000,35525000,175354000,163576000,171166000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,20000000,10000000,10000000,- -
50,Tax Payable,3905000,2805000,12808000,2092000,- -,3660000,2241000,- -,- -,11739000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,18477000,- -
52,Other Current Liabilities,- -,- -,321908000,- -,505713000,1171464000,999232000,1188047000,-92076000,- -
53,Total Current Liabilities,- -,- -,339021000,- -,602380000,1206989000,1194586000,1361623000,107567000,- -
54,Long-Term Debt,1000000,- -,- -,- -,72905000,184405000,128794000,119248000,110998000,120757000
55,Deferred Revenue,- -,- -,5143000,- -,- -,51109000,44996000,37464000,39995000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,3003000,34333000,7705000,12623000,18477000,9426000
57,Other Non-Current Liabilities,- -,- -,15778000,7964000,-3003000,-85442000,-32701000,-40087000,-48472000,- -
58,Total Non-Current Liabilities,1000000,- -,20921000,7964000,72905000,184405000,148794000,129248000,120998000,130183000
59,Other Liabilities,54745000,201994000,- -,488809000,- -,- -,- -,- -,1660466000,1767894000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,8369000,8155000,- -
61,Total Liabilities,53745000,201994000,359942000,480845000,675285000,1391394000,1343380000,1490871000,1647035000,1637711000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,33585000,62850000,3000,3000,3000,3000,3000,3000,3000,3000
64,Retained Earnings,-5466000,17924000,65021000,155955000,182809000,175226000,195750000,217266000,219782000,138381000
65,Other Comprehensive Income/Loss,- -,-790000,1723000,-2033000,-5018000,-3064000,-6527000,7330000,6057000,-4573000
66,Other Total Stockholders Equity,- -,- -,188342000,202628000,180165000,207651000,236107000,224200000,216502000,209240000
67,Total Stockholders Equity,28119000,79984000,255089000,356553000,357959000,379816000,425333000,448799000,442344000,343051000
68,Total Liabilities And Stockholders Equity,81864000,281978000,615031000,837398000,1033244000,1771210000,1768713000,1939670000,2089379000,1980762000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-1415002000,- -
70,Total Liabilities & Equity,81864000,281978000,615031000,837398000,1033244000,1771210000,1768713000,1939670000,674377000,1980762000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1598665/000119312515097128/d859722d10k.htm,https://www.sec.gov/Archives/edgar/data/1598665/000156459016014232/0001564590-16-014232-index.html,https://www.sec.gov/Archives/edgar/data/1598665/000156459017004457/0001564590-17-004457-index.html,https://www.sec.gov/Archives/edgar/data/1598665/000156459018005881/0001564590-18-005881-index.html,https://www.sec.gov/Archives/edgar/data/1598665/000156459019007360/0001564590-19-007360-index.html,https://www.sec.gov/Archives/edgar/data/1598665/000156459020009748/0001564590-20-009748-index.html,https://www.sec.gov/Archives/edgar/data/1598665/000156459021011792/0001564590-21-011792-index.htm,https://www.sec.gov/Archives/edgar/data/1598665/000095017022003575/0000950170-22-003575-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-5466000,34213000,47097000,92512000,33865000,-1119000,27155000,28636000,9326000,-74727000
74,Depreciation and Amortization,- -,150000,777000,1350000,8976000,7742000,27070000,10436000,8101000,- -
75,Deferred Income Tax,-3046000,-893000,-3764000,1016000,3103000,19619000,-21563000,-898000,6238000,- -
76,Stock Based Compensation,5520000,5733000,3301000,2647000,4815000,4815000,5273000,5379000,4683000,- -
77,Change in Working Capital,51671000,- -,134573000,504052000,-521457000,-552907000,57919000,-56518000,767727000,121802000
78,Accounts Receivable,-120000,-10227000,-9931000,-10287000,-10754000,-285194000,50184000,-117658000,59875000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,8987000,20604000,-12478000,43097000,36457000,-79106000,149398000,-10624000,5567000,- -
81,Other Working Capital,- -,- -,134573000,638625000,117168000,-435739000,-377820000,-434338000,333389000,455191000
82,Other Non-Cash Items,796000,65848000,12212000,-447717000,545828000,529416000,-426000,132622000,-625864000,-47075000
83,Cash Provided by Operating Activities,49475000,105051000,194196000,153860000,75130000,7566000,95428000,119657000,170211000,- -
84,CAPEX,-201000,-10884000,-6929000,-1174000,-1621000,-385000,-2281000,-4984000,-755000,- -
85,Acquisitions Net,- -,- -,- -,-6000000,-110319000,-140919000,- -,- -,- -,- -
86,Purchases of Investments,-13084000,-126971000,-231070000,-237946000,-317666000,-215844000,-218667000,-256880000,-470503000,- -
87,Sales/Maturities of Investments,- -,7424000,38738000,151307000,180190000,349906000,245313000,207921000,493320000,- -
88,Other Investing Activites,-603000,-6063000,-786000,6849000,- -,- -,- -,358000,- -,- -
89,Cash Used for Investing Activites,-13888000,-136494000,-200047000,-86964000,-249416000,-7242000,24365000,-53585000,22062000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-25189000,-132503000,-18771000,-9665000,- -
91,Common Stock Issued,23385000,33630000,78758000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-26539000,-63222000,-2000000,-16183000,-9997000,- -
93,Dividends Paid,- -,- -,- -,- -,-6806000,-8249000,-6380000,-6959000,-6852000,- -
94,Other Financing Activites,4900000,-1000000,22515000,8900000,77171000,144216000,108930000,-3521000,-2384000,- -
95,Cash Used/Provided by Financing Activities,28285000,32630000,101273000,8900000,43826000,47556000,-31953000,-45434000,-28898000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,28285000,1187000,95422000,75796000,-130460000,47880000,87840000,20638000,163375000,- -
98,Cash at the End of Period,63872000,65059000,160481000,236277000,105817000,153697000,262370000,283008000,446383000,- -
99,Cash at the Beginning of Period,- -,63872000,65059000,160481000,236277000,105817000,174530000,262370000,283008000,446383000
100,Free Cash Flow,49274000,94167000,187267000,152686000,73509000,7181000,93147000,114673000,169456000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1598665/000119312515097128/d859722d10k.htm,https://www.sec.gov/Archives/edgar/data/1598665/000156459016014232/0001564590-16-014232-index.html,https://www.sec.gov/Archives/edgar/data/1598665/000156459017004457/0001564590-17-004457-index.html,https://www.sec.gov/Archives/edgar/data/1598665/000156459018005881/0001564590-18-005881-index.html,https://www.sec.gov/Archives/edgar/data/1598665/000156459019007360/0001564590-19-007360-index.html,https://www.sec.gov/Archives/edgar/data/1598665/000156459020009748/0001564590-20-009748-index.html,https://www.sec.gov/Archives/edgar/data/1598665/000156459021011792/0001564590-21-011792-index.htm,https://www.sec.gov/Archives/edgar/data/1598665/000095017022003575/0000950170-22-003575-index.htm
102,false,,,,,,,,,,
