,https://roic.ai/company/EVER,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,585000,593000,1456000,7065000,8452000,- -
37,Total Current Assets,25201000,17650000,60550000,85333000,97401000,- -
38,PP&E,2362000,2129000,4481000,5197000,15794000,- -
39,Goodwill,- -,- -,- -,- -,9794000,- -
40,Intangible Assets,- -,- -,- -,- -,3366000,- -
41,Intangible Assets,- -,- -,- -,- -,13160000,- -
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,687000,740000,715000,691000,2695000,- -
45,Total Non-Current Assets,3049000,2869000,5196000,5888000,31649000,- -
46,Other Assets,- -,- -,- -,- -,- -,143607000
47,Total Assets,28250000,20519000,65746000,91221000,129050000,143607000
48,Accounts Payable,10422000,11894000,16826000,23663000,32964000,- -
49,Short-Term Debt,1466000,361000,- -,- -,2593000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,815000,986000,1440000,1501000,1869000,- -
52,Other Current Liabilities,1351000,1775000,3099000,13225000,9421000,- -
53,Total Current Liabilities,14054000,15016000,21365000,38389000,46847000,- -
54,Long-Term Debt,2625000,4250000,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,37229000,51797000,1197000,1062000,11221000,- -
58,Total Non-Current Liabilities,39854000,56047000,1197000,1062000,11221000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,58482000
60,Capital Lease Obligations,- -,- -,- -,- -,10686000,- -
61,Total Liabilities,53908000,71063000,22562000,39451000,58068000,58482000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,9000,9000,26000,27000,28000,- -
64,Retained Earnings,-31168000,-51319000,-99892000,-107009000,-118211000,- -
65,Other Comprehensive Income/Loss,-3945000,-5283000,-6268000,-7454000,-7000,10000
66,Other Total Stockholders Equity,9446000,6049000,149318000,166206000,189172000,- -
67,Total Stockholders Equity,-25658000,-50544000,43184000,51770000,70982000,85125000
68,Total Liabilities And Stockholders Equity,28250000,20519000,65746000,91221000,129050000,143607000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,28250000,20519000,65746000,91221000,129050000,143607000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1640428/000119312519094588/0001193125-19-094588-index.htm,https://www.sec.gov/Archives/edgar/data/1640428/000119312520072378/0001193125-20-072378-index.htm,https://www.sec.gov/Archives/edgar/data/1640428/000119312521063397/0001193125-21-063397-index.htm,https://www.sec.gov/Archives/edgar/data/1640428/000119312522054390/0001193125-22-054390-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-933000,-5071000,-13791000,-7117000,-11202000,-19434000
74,Depreciation and Amortization,1437000,1360000,1341000,2186000,3350000,5072000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-2510000
76,Stock Based Compensation,1956000,1860000,7121000,12721000,24179000,30020000
77,Change in Working Capital,2927000,-8513000,36551000,7759000,3610000,-6138000
78,Accounts Receivable,-471000,-2478000,-2766000,-15232000,-13970000,10511000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3597000,1552000,4932000,6837000,9301000,-3968000
81,Other Working Capital,11147000,2634000,39185000,46944000,50554000,227000
82,Other Non-Cash Items,98000,8692000,-33119000,-11136000,-9269000,179000
83,Cash Provided by Operating Activities,5485000,-1672000,-1897000,4413000,10668000,7189000
84,CAPEX,-1083000,-1185000,-3668000,-2975000,-3822000,-2862000
85,Acquisitions Net,- -,- -,- -,- -,-14930000,-15955000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1083000,-1185000,-3668000,-2975000,- -,- -
89,Cash Used for Investing Activites,-1083000,-1185000,-3668000,-2975000,-18752000,-18817000
90,Debt Repayment,-31873000,-19800000,-27354000,- -,- -,- -
91,Common Stock Issued,- -,- -,52313000,- -,- -,- -
92,Common Stock Repurchased,-19358000,-9229000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,58042000,21849000,19877000,2982000,4907000,3615000
95,Cash Used/Provided by Financing Activities,6811000,-7180000,44836000,2982000,4907000,3615000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-7000,-6000
97,Net Change In Cash,11213000,-10037000,39271000,4420000,-3184000,-8019000
98,Cash at the End of Period,12400000,2363000,41884000,46304000,43120000,35101000
99,Cash at the Beginning of Period,1187000,12400000,2613000,41884000,46304000,43120000
100,Free Cash Flow,4402000,-2857000,-5565000,1438000,6846000,4327000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1640428/000119312519094588/0001193125-19-094588-index.htm,https://www.sec.gov/Archives/edgar/data/1640428/000119312520072378/0001193125-20-072378-index.htm,https://www.sec.gov/Archives/edgar/data/1640428/000119312521063397/0001193125-21-063397-index.htm,https://www.sec.gov/Archives/edgar/data/1640428/000119312522054390/0001193125-22-054390-index.htm
102,false,,,,,,
