,https://roic.ai/company/IOR,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,-6200000,-14100000,-12100000,-11300000,-11300000,-4500000,-4700000,-4700000,-6100000,9658000,13175000,21226000,10690000,6969000,6591000,5647000,4560000,3129000,5432000,5994000,4002000,1707000,1326000,1268000,1295000,1329000,1564000,1265000,1170000,1035000,1098000,1810000,1588000,1589000,1578
11,COGS and Expenses,-6200000,-14100000,-12100000,-11300000,-11300000,-4500000,-4700000,-4700000,-6100000,9658000,13175000,21226000,10690000,6969000,6591000,5647000,4560000,3129000,5432000,5994000,4002000,2669000,1517000,1432000,1317000,1396000,1651000,1315000,1231000,1035000,1098000,1810000,1588000,1589000,- -
12,Interest Income ,- -,- -,- -,4700000,2400000,300000,300000,300000,200000,300000,- -,200000,- -,- -,194000,270000,- -,- -,4135000,3395000,4735000,2993000,4661000,4292000,4447000,5183000,7129000,4729000,4376000,4494000,4237000,4880000,6574000,5373000,- -
13,Interest Expense (Gain),- -,4900000,6200000,4500000,3300000,1900000,1800000,1900000,2000000,2600000,- -,5800000,- -,- -,6074000,4721000,- -,- -,- -,- -,3768000,2410000,1883000,1281000,1211000,1284000,1160000,674000,652000,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,1200000,900000,- -,900000,1000000,1200000,1261000,1718000,2297000,2967000,2450000,2930000,1867000,2165000,1392000,1042000,989000,793000,255000,186000,18000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,2400000,-1800000,200000,-3400000,-100000,1300000,3600000,2600000,2300000,3293000,5035000,7418000,4289000,19244000,5542000,8673000,3947000,6884000,2419000,1161000,3806000,21808000,3482000,3089000,3130000,3750000,5478000,3414000,3145000,3459000,3139000,-9133000,-1588000,5334000,2642
16,EBITDA ratio,0.2308,-0.1463,0.0163,-0.4000,-0.0179,0.1970,0.4932,0.3714,0.2911,0.3657,0.4032,0.5117,0.2681,1.4015,0.4263,0.8775,0.5051,1.1658,0.3752,0.1514,1.6562,16.8923,14.1545,9.8690,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,-Infinity,-Infinity,6945.3125,2.3845
17,Operating Income,16600000,26400000,24400000,19800000,16900000,11100000,12000000,11700000,14000000,-653000,-688000,-972000,5307000,6762000,6410000,4237000,3254000,2776000,1015000,1675000,-1704000,-1378000,-1271000,-1119000,-1317000,-1396000,-2346000,-1518000,-1418000,-1292000,-1348000,-1810000,-1588000,-1589000,-1578000
18,Operating Income ratio,1.5962,2.1463,1.9837,2.3294,3.0179,1.6818,1.6438,1.6714,1.7722,-0.0725,-0.0551,-0.0670,0.3317,0.4925,0.4930,0.4287,0.4164,0.4701,0.1574,0.2184,-0.7415,-1.0674,-5.1667,-3.5751,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2069.0104,-1424.1877
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26842000,3974000,15549000,4943000,2496000,-3678000,-4773000,967000,6470000,2681000,2909000,3130000,3862000,10943000,4023000,3724000,4494000,4487000,12203000,6811000,6923000,1580642
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-737000,5092000,1410000,1790000,1813000,2466000,8597000,2505000,2306000,3202000,3139000,10393000,5223000,5334000,2642
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.3207,3.9442,5.7317,5.7188,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,6945.3125,2.3845
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000,-7566000,493000,-48000,821000,876000,3063000,946000,807000,1121000,1631000,2183000,1078000,1120000,-956
23,Net Income,2400000,-6700000,-6000000,-9100000,-4300000,-600000,900000,-300000,-900000,-568000,3317000,-679000,1322000,16794000,-3462000,2085000,1782000,5492000,1377000,172000,-735000,26709000,920000,1838000,669000,1521000,5518000,1559000,1499000,2081000,1508000,8210000,4145000,4214000,3598
24,Net Income ratio,0.2308,-0.5447,-0.4878,-1.0706,-0.7679,-0.0909,0.1233,-0.0429,-0.1139,-0.0631,0.2656,-0.0468,0.0826,1.2231,-0.2663,0.2109,0.2281,0.9301,0.2136,0.0224,-0.3198,20.6886,3.7398,5.8722,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5486.9792,3.2473
25,EPS,0.43,-1.21,-1.05,-1.63,-0.79,-0.11,0.18,-0.06,-0.19,-0.12,0.73,-0.15,0.29,3.68,-0.77,0.48,0.41,1.32,0.33,0.04,-0.18,6.41,0.22,0.44,0.16,0.36,1.33,0.37,0.36,0.50,0.36,1.97,0.99,1.01,0.00
26,EPS Diluted,0.43,-1.21,-1.05,-1.63,-0.79,-0.11,0.18,-0.06,-0.19,-0.12,0.73,-0.15,0.29,3.68,-0.77,0.48,0.41,1.32,0.33,0.04,-0.18,6.41,0.22,0.44,0.16,0.36,1.33,0.37,0.36,0.50,0.36,1.97,0.99,1.01,0.00
27,Weighted Average Shares Outstanding,5630631,5527506,5738222,5577006,5471573,5460005,5005005,5005005,4741584,4590024,4559664,4565496,4582158,4567530,4481025,4316835,4316835,4168035,4168035,4168035,4168035,4168264,4168214,4168214,4168214,4168214,4168214,4168214,4168214,4168214,4168214,4168214,4173675,4168414,4168214
28,Weighted Average Shares Outstanding Diluted,5630631,5527506,5738222,5577006,5471573,5460005,5005005,5005005,4741584,4741584,4607782,4565496,4585204,4567530,4481025,4316835,4316835,4168035,4168035,4168035,4168035,4168264,4168214,4168214,4168214,4168214,4168214,4168214,4168214,4168214,4168214,4168214,4173675,4168414,4168214
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/949961/000095013405006611/0000950134-05-006611-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312506070585/0001193125-06-070585-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312507070491/0001193125-07-070491-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312508070761/0001193125-08-070761-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312509068870/0001193125-09-068870-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312510073299/0001193125-10-073299-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312511084715/0001193125-11-084715-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000101054912000347/0001010549-12-000347-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000101054913000257/0001010549-13-000257-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000101054914000146/0001010549-14-000146-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000101054915000094/0001010549-15-000094-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713116004815/0001387131-16-004815-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713117001810/0001387131-17-001810-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713118001359/0001387131-18-001359-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713119002363/0001387131-19-002363-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713120003173/0001387131-20-003173-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713121003965/0001387131-21-003965-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713122003959/0001387131-22-003959-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,3186000,1145000,103000,722000,2087000,66000,10000,58000,399000,201000,80000,267000,52000,2000,20000,1000,2000,3000,7000,2000,1000,2000,4000,5000,12000,2000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,1800000,1500000,- -,141000,142000,- -,- -,- -,- -,- -,- -,- -,92000,89000,37000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,5486000,2945000,1603000,722000,2228000,208000,10000,58000,399000,201000,80000,267000,52000,94000,109000,38000,2000,3000,7000,2000,1000,2000,4000,5000,12000,2000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1998000,- -,- -,- -,- -,- -,10497000,45988000,55172000,65083000,45543000,27801000,77809000,83668000,48598000,52160000,58534000,68074000,66095000,59195000,37768000,63661000,96119000,100251000,104456000,591000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55172000,-65083000,-45543000,- -,676000,2400000,2240000,1546000,- -,- -,- -,- -,- -,- -,- -,- -,- -,96300000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,399000,201000,80000,- -,78537000,86162000,50947000,53744000,58536000,68077000,66102000,59197000,37769000,63663000,96123000,100256000,104468000,96893000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,6623000,- -,83700000,86542000,86418000,87457000,75359000,50972000,31972000,31319000,58621000,40571000,36942000,29503000,29561000,24511000,24511000,24511000,25717000,22717000,22717000,22717000,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,515000,17564000,74000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36579000,29786000,26459000,1225000,1257000,2390000,25916000,1517000,- -,- -,- -,11173000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37016000,29503000,66140000,54297000,50970000,25736000,26974000,25107000,48633000,24234000,- -,- -,- -,11173000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,63593000,90309000,88695000,91185000,96519000,91833000,90185000,101144000,90802000,99140000,108831000,116307000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,63593000,90309000,88695000,91185000,96519000,91833000,90185000,101144000,91201000,99341000,108911000,116307000,115553000,115665000,117087000,108041000,109506000,93813000,93076000,84304000,86402000,87897000,96123000,100256000,104468000,108066000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2460000,6891000,401000,125000,149000,216000,37000,6000,23000,10000,26000,14000,12000,12000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42319000,37080000,36604000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6550000,5127000,5127000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,3900000,4300000,4300000,2300000,2200000,1500000,1600000,2700000,1900000,2600000,2700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,3900000,4300000,4300000,2300000,2200000,1500000,1600000,2700000,1900000,2600000,2700000,44779000,43971000,43555000,5252000,5276000,216000,37000,6000,23000,10000,26000,14000,12000,12000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,38957000,61323000,60786000,62852000,54206000,54426000,51432000,60825000,44571000,52817000,61546000,44354000,- -,- -,- -,28588000,28508000,12357000,10240000,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000,-23000,14000,48000,-6000,-26000,-32000,-25000,29000,-17000,-46000,25146000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,61300000,60800000,62900000,54200000,54400000,51400000,60800000,44600000,52800000,61500000,69500000,- -,- -,- -,28588000,28508000,12357000,10240000,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,78012000,- -,121635000,- -,108421000,108811000,- -,- -,89310000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,41212000,65178000,65135000,67194000,56521000,56611000,52878000,62055000,47410000,54161000,63467000,71563000,44779000,43971000,43555000,33840000,33784000,12573000,10277000,6000,23000,10000,26000,14000,12000,12000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,15000,15000,15000,15000,14000,14000,14000,14000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42438000,-39688000,-41312000,-40898000,-24789000,-28251000,-25481000,-23699000,-18206000,-17330000,-17158000,-17893000,8816000,9736000,11574000,12243000,13764000,19282000,20841000,22340000,24421000,25929000,34139000,38284000,42498000,46096000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5560000,-7875000,-7502000,-6002000,-3620000,-4311000,-5061000,-2456000,-2313000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,64804000,64804000,64857000,64874000,70332000,71334000,70276000,68776000,65603000,66266000,67016000,64374000,64229000,61916000,61916000,61916000,61916000,61916000,61916000,61916000,61916000,61916000,61916000,61916000,61916000,61916000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,22381000,25131000,23560000,23991000,39998000,35222000,37307000,39089000,43791000,44667000,44839000,44067000,70774000,71694000,73532000,74201000,75722000,81240000,82799000,84298000,86379000,87887000,96097000,100242000,104456000,108054000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,63593000,90309000,88695000,91185000,96519000,91833000,90185000,101144000,91201000,98828000,108306000,115630000,115553000,115665000,117087000,108041000,109506000,93813000,93076000,84304000,86402000,87897000,96123000,100256000,104468000,108066000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,513000,605000,677000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,63593000,90309000,88695000,91185000,96519000,91833000,90185000,101144000,91201000,99341000,108911000,116307000,115553000,115665000,117087000,108041000,109506000,93813000,93076000,84304000,86402000,87897000,96123000,100256000,104468000,108066000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/949961/000095013405006611/0000950134-05-006611-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312506070585/0001193125-06-070585-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312507070491/0001193125-07-070491-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312508070761/0001193125-08-070761-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312509068870/0001193125-09-068870-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312510073299/0001193125-10-073299-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312511084715/0001193125-11-084715-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000101054912000347/0001010549-12-000347-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000101054913000257/0001010549-13-000257-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000101054914000146/0001010549-14-000146-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000101054915000094/0001010549-15-000094-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713116004815/0001387131-16-004815-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713117001810/0001387131-17-001810-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713118001359/0001387131-18-001359-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713119002363/0001387131-19-002363-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713120003173/0001387131-20-003173-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713121003965/0001387131-21-003965-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713122003959/0001387131-22-003959-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-9100000,-4300000,-600000,900000,-300000,-900000,-568000,3317000,-679000,1322000,16794000,-3462000,2085000,1782000,5492000,1377000,172000,-735000,26709000,920000,1838000,669000,1521000,5518000,1559000,1499000,2081000,1508000,8210000,4145000,4214000,3598
74,Depreciation and Amortization,- -,- -,- -,1200000,900000,- -,900000,1000000,1200000,1261000,1718000,2297000,2967000,2450000,2930000,1867000,2165000,1392000,1042000,989000,793000,255000,186000,18000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,-200000,- -,- -,- -,- -,- -,-2200000,-1700000,-400000,- -,2000000,100000,700000,-100000,-701000,602000,-821000,-180000,36458000,8433000,-34799000,41100000,4768000,14601000,-1796000,-6874000,-21445000,25907000,32444000,4145000,4214000,-7575000
78,Accounts Receivable,- -,- -,- -,-2100000,100000,- -,100000,-300000,-300000,-200000,-1100000,-400000,127000,338000,-1554000,779000,-825000,-1693000,-1151000,-1391000,2843000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,213000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,2000000,200000,- -,- -,300000,300000,-600000,1400000,-400000,421000,-682000,30000,-807000,-56000,155000,-141000,922000,376000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,-3900000,-4300000,-4300000,-2300000,-2200000,-1500000,-1600000,-2301000,-1699000,-2520000,-2700000,33758000,42191000,7392000,48492000,53260000,67861000,66065000,59191000,37746000,63653000,96097000,100242000,104456000,96881000
82,Other Non-Cash Items,- -,- -,- -,7900000,3800000,1100000,-600000,200000,1100000,1564000,-1750000,-222000,-970000,-23136000,-1597000,-7149000,-3755000,-6307000,-1837000,476000,3454000,-65758000,-7973000,33160000,-40866000,-2904000,-18960000,4817000,5649000,22818000,-24631000,-39026000,-4157000,-4116000,4591402
83,Cash Provided by Operating Activities,- -,- -,- -,-200000,400000,500000,1200000,900000,1400000,57000,1585000,996000,3319000,-1892000,-2029000,-2497000,92000,-124000,1184000,816000,3332000,-2336000,1566000,217000,903000,3385000,1159000,4580000,274000,3454000,2784000,1628000,4133000,4312000,-2980000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14119000,-39075000,-3945000,-7486000,-39281000,-3466000,-365000,- -,- -,-95000,-275000,-26000,- -,-156000,-58000,- -,- -,- -,-1206000,- -,- -,- -,22550000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5287000,-37334000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,2000000,- -,- -,1000000,500000,- -,- -,- -,- -,- -,50137000,6860000,2372000,- -,2990000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,1300000,300000,500000,-100000,-200000,-300000,-82000,23369000,391000,9564000,79169000,-53000,6629000,60000,1814000,-9840000,-19663000,-9413000,-20994000,-3237000,-1980000,2128000,-6374000,14200000,-1253000,9961000,-3455000,-2783000,-1626000,-4132000,-4305000,2970000
89,Cash Used for Investing Activites,- -,- -,- -,1300000,300000,600000,-100000,-200000,-300000,-14201000,-15706000,-1554000,-3209000,2554000,-2519000,6764000,60000,1814000,-9935000,-19938000,-9439000,29143000,3623000,392000,2128000,-3384000,14200000,-2459000,9961000,-3455000,-2783000,-1626000,-4132000,-4305000,2970000
90,Debt Repayment,- -,- -,- -,-2000000,-2400000,-200000,-10800000,-600000,-4600000,-439000,-19452000,-1422000,-8681000,-18153000,-14783000,-26308000,-603000,-1435000,-7539000,-14801000,-7884000,-27020000,-5239000,-585000,-2374000,- -,-27701000,-2117000,-10240000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,17000,32000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
