,https://roic.ai/company/QTXB,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
25,EPS,-0.21,-0.52,-0.47,-0.17,-0.38,-0.26,-0.19,-0.09,-0.01,-0.00,-0.00,-0.07,-0.26,-0.15,-0.18,-0.07,0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,-0.01,-0.01
26,EPS Diluted,-0.21,-0.52,-0.47,-0.17,-0.38,-0.26,-0.19,-0.09,-0.01,-0.00,-0.00,-0.07,-0.26,-0.15,-0.18,-0.07,0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,-0.01,-0.01
27,Weighted Average Shares Outstanding,4950000,8010000,9180000,11680000,12180000,9520000,9580000,9910000,10221558,10721558,13906198,15731487,29629947,40627309,42133840,43676575,44427630,49047665,50089570,52563165,58805401,66834677,74246914,78696461,78696461,78696461,78696461
28,Weighted Average Shares Outstanding Diluted,4950000,8010000,9180000,11680000,12180000,9520000,9580000,9910000,10221558,10721558,13906198,15731487,29629947,40627309,42133840,43676575,44427630,49047665,50089570,52563165,58805401,66834677,74246914,130534433,78696461,78696461,78696461
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/820608/0000912057-96-005835-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/820608/000141588914001339/0001415889-14-001339-index.htm,- -,https://www.sec.gov/Archives/edgar/data/820608/000141588916005518/0001415889-16-005518-index.htm,https://www.sec.gov/Archives/edgar/data/820608/000165495417009181/0001654954-17-009181-index.htm,https://www.sec.gov/Archives/edgar/data/820608/000165495418004035/0001654954-18-004035-index.htm,https://www.sec.gov/Archives/edgar/data/820608/000165495419004468/0001654954-19-004468-index.htm,https://www.sec.gov/Archives/edgar/data/820608/000165495420004054/0001654954-20-004054-index.htm,https://www.sec.gov/Archives/edgar/data/820608/000165495421004257/0001654954-21-004257-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3920000,2460000,670000,530000,670000,430000,10000,10000,32006,20426,108471,990523,1256912,213332,66226,376211,229944,7565,9989,4457,218546,61078,691,460111,322024,130351,55428
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,402532,- -,- -,- -
33,Cash and Short-Term Investments,3920000,2460000,670000,530000,670000,430000,60000,10000,32006,20426,108471,990523,1256912,213332,66226,376211,229944,7565,9989,4457,218546,61078,691,862643,322024,130351,55428
34,Net Receivables,- -,- -,30000,60000,60000,10000,30000,20000,- -,- -,- -,- -,460903,296408,277449,320317,682325,283810,202334,120917,352,- -,- -,- -,- -,- -,- -
35,Inventory,40000,160000,190000,170000,70000,70000,40000,- -,- -,- -,- -,- -,- -,37313,40138,4681,3770,2910,2564,1978,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,420000,260000,320000,260000,260000,80000,10000,10000,- -,- -,11575,258241,118736,338977,301888,128228,23409,17123,22779,30218,40902,76396,28094,28160,37764,7000,- -
37,Total Current Assets,4380000,2880000,1210000,1020000,1060000,590000,140000,40000,32006,20426,120046,1248764,1836551,886030,685701,829437,939448,311408,237666,157570,259800,137474,28785,890803,359788,137351,55428
38,PP&E,160000,450000,620000,820000,710000,650000,360000,270000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2191,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,30000,20000,30000,60000,60000,60000,80000,80000,77203,72378,67553,62729,113669,2162225,2012097,59780,46805,39393,31981,37092,28521,19949,13874,- -,- -,- -,- -
41,Intangible Assets,30000,20000,30000,60000,60000,60000,80000,80000,77203,72378,67553,62729,113669,2162225,2012097,59780,46805,39393,31981,37092,28521,19949,13874,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,263601,200000,200000,200000,200000,200000,200000,169948,500000,222000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,110000,120000,120000,70000,60000,60000,10000,- -,- -,- -,- -,10437,362513,602387,706873,190683,115572,35434,4380,3285,- -,1098,- -,- -,- -,- -,- -
45,Total Non-Current Assets,300000,590000,770000,950000,830000,770000,450000,350000,77203,72378,67553,73166,2476182,2764612,2718970,514064,362377,274827,236361,240377,230712,221047,183822,500000,222000,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4680000,3470000,1980000,1970000,1890000,1360000,590000,390000,109209,92804,187599,1321930,4312733,3650642,3404671,1343501,1301825,586235,474027,397947,490512,358521,212607,1390803,581788,137351,55428
48,Accounts Payable,180000,200000,250000,530000,300000,60000,150000,390000,200503,230503,146211,126408,244863,720408,2205661,749225,631574,222564,375040,285412,462306,404821,160671,167900,55611,62222,16312
49,Short-Term Debt,2000000,- -,- -,- -,420000,- -,400000,400000,452500,452500,452500,55407,- -,806358,3927063,- -,- -,168140,417548,738694,1156378,1312109,1658447,1945746,2006413,1538662,1387694
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83333,- -,58781,337160,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,50000,80000,770000,480000,390000,210000,230000,480000,439348,439348,123156,85400,41692,235283,300692,235000,170000,16443,16978,19711,42770,34366,36342,26708,26165,664788,- -
53,Total Current Liabilities,2230000,280000,1020000,1010000,1110000,270000,780000,1270000,1092351,1122351,721867,267215,369888,1762049,6492197,1321385,801574,407147,809566,1043817,1661454,1751296,1855460,2140354,2088189,2265672,1404006
54,Long-Term Debt,- -,- -,200000,220000,40000,460000,- -,- -,- -,- -,- -,- -,- -,49733,44000,44000,44000,44000,44000,44000,44000,39430,35646,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-10000,10000,- -,-10000,- -,- -,- -,- -,- -,- -,376569,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,190000,230000,40000,450000,- -,- -,- -,- -,- -,- -,376569,49733,44000,44000,44000,44001,44000,44000,44000,39430,35646,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1032477
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2230000,280000,1210000,1240000,1150000,720000,780000,1270000,1092351,1122351,721867,267215,746457,1811782,6536197,1365385,845574,451148,853566,1087817,1705454,1790726,1891106,2140354,2088189,2265672,2436483
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,74921,74921,74921,81411,- -,- -,- -,40604,179162,204162,204162,204162,166769,166769,166769,166769,61969,61969,61969
63,Common Stock,70000,90000,100000,130000,100000,100000,100000,100000,107215,107215,139061,182397,373780,416996,428863,444276,444276,631883,607786,647286,696412,697729,786964,786964,786964,786964,786964
64,Retained Earnings,-1210000,-5400000,-9740000,-11730000,-16360000,-18850000,-20670000,-21540000,-21662918,-21709323,-21729165,-22821723,-30514237,-37388222,-45109623,-48263119,-47819948,-48603564,-49321531,-49679862,-50506847,-50974627,-51372621,-50503482,-51240332,-51862252,- -
65,Other Comprehensive Income/Loss,-10000,-100000,-240000,-370000,-520000,-640000,-680000,-720000,- -,- -,- -,-2127,-15638,-101335,-199055,-218867,-246709,-159853,-29126,-30221,- -,-32408,-33506,-33506,- -,- -,- -
66,Other Total Stockholders Equity,3600000,8600000,10650000,12700000,17520000,20030000,21060000,21270000,20497640,20497640,20980915,23614757,33722371,38911421,41748289,47975222,47899470,48062459,48159170,48168765,48428724,48710332,48773895,48833704,48884998,48884998,-3229988
67,Total Stockholders Equity,2450000,3190000,770000,730000,740000,640000,-190000,-890000,-983142,-1029547,-534268,1054715,3566276,1838860,-3131526,-21884,456251,135087,-379539,-689870,-1214942,-1432205,-1678499,-749551,-1506401,-2128321,-2381055
68,Total Liabilities And Stockholders Equity,4680000,3470000,1980000,1970000,1890000,1360000,590000,380000,109209,92804,187599,1321930,4312733,3650642,3404671,1343501,1301825,586235,474027,397947,490512,358521,212607,1390803,581788,137351,55428
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4680000,3470000,1980000,1970000,1890000,1360000,590000,390000,109209,92804,187599,1321930,4312733,3650642,3404671,1343501,1301825,586235,474027,397947,490512,358521,212607,1390803,581788,137351,55428
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/820608/0000912057-96-005835-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/820608/000141588914001339/0001415889-14-001339-index.htm,- -,https://www.sec.gov/Archives/edgar/data/820608/000141588916005518/0001415889-16-005518-index.htm,https://www.sec.gov/Archives/edgar/data/820608/000165495417009181/0001654954-17-009181-index.htm,https://www.sec.gov/Archives/edgar/data/820608/000165495418004035/0001654954-18-004035-index.htm,https://www.sec.gov/Archives/edgar/data/820608/000165495419004468/0001654954-19-004468-index.htm,https://www.sec.gov/Archives/edgar/data/820608/000165495420004054/0001654954-20-004054-index.htm,https://www.sec.gov/Archives/edgar/data/820608/000165495421004257/0001654954-21-004257-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1050000,-4200000,-4330000,-1990000,-4630000,-2490000,-1820000,-870000,-124033,-46405,-19842,-1092558,-7692514,-6044337,-7721401,-3153496,831188,-783616,-717967,-358331,-826985,-467780,-397994,869139,-736850,-621920,- -
74,Depreciation and Amortization,20000,90000,150000,150000,160000,130000,100000,70000,53575,4825,4825,37639,4458547,294604,283436,92484,60613,33885,10338,9184,9665,9665,7173,10856,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,582792,- -,7950,- -,- -,- -,55000,- -,- -,- -,- -,- -
77,Change in Working Capital,110000,450000,-2410000,-180000,-60000,370000,-960000,-590000,169655,-41580,500104,1583370,485114,-2342682,-4930477,5314548,629822,-233613,-476161,-314347,191812,-212168,-212853,577124,-478850,-399920,779743
78,Accounts Receivable,- -,- -,-30000,-30000,- -,50000,- -,10000,- -,- -,- -,- -,- -,- -,- -,-26868,-346008,336,1787,1417,565,352,- -,- -,- -,- -,- -
79,Inventory,- -,-120000,-30000,20000,100000,- -,30000,- -,- -,- -,- -,- -,- -,-37313,-2825,35457,911,860,346,586,1978,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-20000,-50000,-280000,230000,240000,-90000,-240000,- -,- -,- -,- -,- -,- -,- -,84206,248939,- -,169990,118522,176894,-57485,38850,19727,-12029,6611,-21300
81,Other Working Capital,2150000,2600000,190000,10000,-50000,320000,-640000,-1230000,-1060345,-1101925,-601821,981549,1466663,-876019,-5806496,-491948,137874,-95739,-571900,-886247,4376,-1613822,-1826675,-1249551,-1728401,-2128321,-1348578
82,Other Non-Cash Items,160000,400000,2840000,330000,-80000,-420000,1120000,1150000,-98482,71580,-556274,-1550785,931293,3106511,9567134,-3952527,-3355345,548015,1001689,513962,333597,388905,509031,-1607732,957780,830167,-854666
83,Cash Provided by Operating Activities,-760000,-3260000,-3750000,-1690000,-4610000,-2410000,-1560000,-240000,715,-11580,-71187,-1022334,-1817560,-4985904,-2801308,-1116199,-1833722,-427379,-182101,-149532,-291911,-226378,-94643,-150613,-257920,-191673,-74923
84,CAPEX,-90000,-380000,-310000,-50000,-40000,-60000,-10000,- -,- -,- -,- -,-12564,-168991,-265503,-103307,-277870,- -,- -,-5475,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2195023,-1536000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1014223,- -,- -,1655954,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,160000,60000,-20000,-30000,- -,- -,170000,20000,- -,- -,- -,- -,-450000,-200000,-75000,-263800,31501,- -,- -,80000,120000,-50000,- -,496945,200583,- -,- -
89,Cash Used for Investing Activites,70000,-320000,-330000,-80000,-40000,-60000,160000,20000,- -,- -,- -,-12564,-2814014,-987280,-178307,-291670,1687455,- -,-5475,80000,120000,-50000,- -,496945,200583,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1386733,- -,- -,- -,- -,- -,-2590,-1744,-1912,-60750,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,25000,- -,159232,1046950,1975063,3942773,169189,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,2700000,130000,1920000,1760000,4600000,2420000,1050000,180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1890000,2000000,360000,-140000,190000,-190000,-70000,40000,- -,- -,- -,870000,2922900,986831,2663320,3105000,- -,205000,190000,64000,386000,121500,36000,115000,- -,- -,- -
95,Cash Used/Provided by Financing Activities,4590000,2130000,2280000,1620000,4790000,2230000,980000,220000,25000,- -,159232,1916950,4897963,4929604,2832509,1718267,- -,205000,190000,64000,386000,118910,34256,113088,-80750,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3890000,-1460000,-1790000,-150000,140000,-240000,-420000,- -,25715,-11580,88045,882052,266389,-1043580,-147106,309985,-146267,-223379,2424,-5532,214089,-157468,-60387,459420,-138087,-191673,-74923
98,Cash at the End of Period,3890000,2460000,670000,520000,670000,430000,10000,10000,32006,20426,108471,990523,1256912,213332,66226,376211,229944,6565,9989,4457,218546,61078,691,460111,322024,130351,55428
99,Cash at the Beginning of Period,- -,3920000,2460000,670000,530000,670000,430000,10000,6291,32006,20426,108471,990523,1256912,213332,66226,376211,229944,7565,9989,4457,218546,61078,691,460111,322024,130351
100,Free Cash Flow,-850000,-3640000,-4060000,-1740000,-4650000,-2470000,-1570000,-240000,715,-11580,-71187,-1034898,-1986551,-5251407,-2904615,-1394069,-1833722,-427379,-187576,-149532,-291911,-226378,-94643,-150613,-257920,-191673,-74923
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/820608/0000912057-96-005835-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/820608/000141588914001339/0001415889-14-001339-index.htm,- -,https://www.sec.gov/Archives/edgar/data/820608/000141588916005518/0001415889-16-005518-index.htm,https://www.sec.gov/Archives/edgar/data/820608/000165495417009181/0001654954-17-009181-index.htm,https://www.sec.gov/Archives/edgar/data/820608/000165495418004035/0001654954-18-004035-index.htm,https://www.sec.gov/Archives/edgar/data/820608/000165495419004468/0001654954-19-004468-index.htm,https://www.sec.gov/Archives/edgar/data/820608/000165495420004054/0001654954-20-004054-index.htm,https://www.sec.gov/Archives/edgar/data/820608/000165495421004257/0001654954-21-004257-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
