,https://roic.ai/company/LMAT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,5866000,5936000,- -,9102000,10817000,43641000,42060000,37116000,39550000,42911000,39687000,39131000,41725000,48588000,58184000,59027000,80311000,94017000,92092000,94263000,139883000
38,PP&E,- -,- -,- -,2435000,2658000,2389000,2891000,2327000,2101000,3806000,4661000,4544000,5810000,6878000,7022000,8012000,12378000,14102000,30062000,31102000,32130000
39,Goodwill,- -,- -,- -,6709000,8853000,8853000,10942000,11022000,11022000,11917000,11917000,13749000,15031000,17281000,17789000,23426000,23844000,29868000,39951000,65945000,65945000
40,Intangible Assets,- -,- -,- -,1626000,2412000,1930000,3886000,2883000,3316000,3686000,2985000,5191000,6144000,7157000,6336000,9897000,8234000,13692000,24893000,58905000,52710000
41,Intangible Assets,- -,- -,- -,8335000,11265000,10783000,14828000,13905000,14338000,15603000,14902000,18940000,21175000,24438000,24125000,33323000,32078000,43560000,64844000,124850000,118655000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,134000,6000,273000,1615000,1418000,1205000,1399000,1378000,1215000,1084000,1686000,1566000
44,Other Non-Current Assets,6296000,6782000,- -,629000,328000,150000,1372000,1051000,917000,820000,431000,172000,167000,170000,168000,163000,178000,194000,259000,909000,568000
45,Total Non-Current Assets,6296000,6782000,- -,11399000,14251000,13322000,19091000,17283000,17356000,20363000,20000000,23929000,28767000,32904000,32520000,42897000,46012000,59071000,96249000,158547000,152919000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12162000,12718000,- -,20501000,25068000,56963000,61151000,54399000,56906000,63274000,59687000,63060000,70492000,81492000,90704000,101924000,126323000,153088000,188341000,252810000,292802000
48,Accounts Payable,- -,- -,- -,466000,265000,818000,2565000,606000,1136000,1320000,981000,1060000,1235000,1127000,1366000,1217000,1543000,1732000,2604000,2394000,2340000
49,Short-Term Debt,- -,932000,- -,472000,1232000,32000,262000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1757000,4454000,1870000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,963000,885000,444000,483000,312000,703000,2927000,1003000,2394000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,552000,- -,- -,- -
52,Other Current Liabilities,- -,1430000,- -,2868000,3598000,4528000,7512000,6327000,5412000,9069000,5558000,7334000,8985000,8914000,9002000,9265000,11646000,17474000,16490000,18297000,17603000
53,Total Current Liabilities,- -,2362000,- -,3806000,5095000,5378000,10339000,6933000,6548000,10389000,6539000,8394000,10220000,10041000,10368000,10482000,13189000,19758000,20851000,25145000,21813000
54,Long-Term Debt,- -,- -,- -,1080000,648000,- -,42000,78000,188000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35532000,14067000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,398000,604000,833000,996000,1260000,1546000,443000,989000,1673000,3461000,2919000,1678000,1941000,2176000,484000,1179000,127000,70000
57,Other Non-Current Liabilities,- -,2332000,- -,404000,185000,53000,1188000,380000,411000,86000,71000,105000,249000,325000,774000,2001000,1188000,2611000,18170000,19434000,2701000
58,Total Non-Current Liabilities,- -,2332000,- -,1882000,1437000,886000,2226000,1718000,2145000,529000,1060000,1778000,3710000,3244000,2452000,3942000,3364000,3095000,19349000,55093000,16838000
59,Other Liabilities,5044000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,60000,29000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15712000,16745000,15937000
61,Total Liabilities,5044000,4694000,- -,5688000,6532000,6264000,12565000,8651000,8693000,10918000,7599000,10172000,13930000,13285000,12820000,14424000,16553000,22853000,40200000,80238000,38651000
62,Preferred Stock,- -,- -,- -,2191000,2191000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,81000,86000,153000,155000,157000,159000,161000,163000,165000,170000,188000,197000,200000,207000,211000,217000,221000,235000
64,Retained Earnings,- -,- -,- -,-2060000,-2005000,-9946000,-12880000,-16194000,-14596000,-8583000,-6440000,-3869000,-667000,3248000,8161000,15335000,28333000,45831000,57029000,70554000,88125000
65,Other Comprehensive Income/Loss,- -,- -,- -,792000,-151000,73000,291000,-272000,94000,-429000,-606000,-433000,-253000,-2365000,-4049000,-4583000,-2289000,-3900000,-4007000,-1525000,-3435000
66,Other Total Stockholders Equity,1710000,8024000,- -,13809000,18415000,60419000,61020000,62057000,62556000,61207000,58971000,57025000,57312000,67136000,73575000,76548000,83519000,88093000,94902000,103322000,- -
67,Total Stockholders Equity,1710000,8024000,- -,14813000,18536000,50699000,48586000,45748000,48213000,52356000,52088000,52888000,56562000,68207000,77884000,87500000,109770000,130235000,148141000,172572000,254151000
68,Total Liabilities And Stockholders Equity,6754000,12718000,- -,20501000,25068000,56963000,61151000,54399000,56906000,63274000,59687000,63060000,70492000,81492000,90704000,101924000,126323000,153088000,188341000,252810000,292802000
69,Minority Interest,5408000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,12162000,12718000,- -,20501000,25068000,56963000,61151000,54399000,56906000,63274000,59687000,63060000,70492000,81492000,90704000,101924000,126323000,153088000,188341000,252810000,292802000
71,SEC Link,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158895/000119312508071258/0001193125-08-071258-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312509069450/0001193125-09-069450-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312510069986/0001193125-10-069986-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312511082920/0001193125-11-082920-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312512133838/0001193125-12-133838-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312513129404/0001193125-13-129404-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312514109881/0001193125-14-109881-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312515096794/0001193125-15-096794-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312516499592/0001193125-16-499592-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312517074936/0001193125-17-074936-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312518076905/0001193125-18-076905-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000143774919004574/0001437749-19-004574-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000143774920004836/0001437749-20-004836-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000143774921005956/0001437749-21-005956-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000143774922004662/0001437749-22-004662-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,927000,55000,-1172000,-2934000,-3314000,1598000,6013000,2143000,2571000,3202000,3915000,7758000,10590000,17177000,22943000,17934000,21220000,26907000
74,Depreciation and Amortization,- -,- -,- -,967000,1208000,1308000,1394000,1593000,1419000,1376000,2037000,2234000,2793000,3334000,3394000,3591000,4055000,4324000,5416000,8395000,11070000
75,Deferred Income Tax,- -,- -,- -,- -,182000,-6000,639000,249000,224000,- -,1109000,287000,287000,-72000,-384000,140000,300000,-2152000,824000,-328000,79000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,801000,985000,967000,1097000,1213000,1253000,1302000,1424000,1680000,2256000,2349000,2642000,3022000,3479000
77,Change in Working Capital,- -,- -,- -,-700000,426000,32541000,-6542000,-1538000,2819000,-480000,626000,-2411000,768000,7042000,9269000,729000,18577000,7137000,-3018000,-2123000,48952000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-353000,-486000,-973000,-174000,-640000,-1247000,-654000,-1879000,-922000,-1507000,-1283000,-1301000,-939000,-818000
79,Inventory,- -,- -,- -,167000,-1769000,-780000,-1800000,1473000,164000,-1735000,-998000,-3725000,-2168000,-2711000,608000,-134000,-1352000,-4262000,-11335000,-2609000,3779000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3170000,1357000,861000,-1086000,2617000,-103000,1524000,4314000,-596000,4322000,-1734000
81,Other Working Capital,- -,- -,- -,5296000,5722000,38263000,31721000,30183000,33002000,32522000,33148000,30737000,31505000,38547000,47816000,48545000,67122000,74259000,71241000,69118000,118070000
82,Other Non-Cash Items,- -,- -,- -,488000,-3073000,-33197000,5617000,2790000,-1605000,-824000,-3842000,828000,-2915000,-10009000,-10023000,166000,-19497000,-15095000,-9619000,4614000,-55385000
83,Cash Provided by Operating Activities,- -,- -,- -,1682000,-1202000,-526000,-1826000,581000,5440000,7052000,3170000,4722000,5388000,5512000,11438000,16896000,22868000,19506000,14179000,34800000,35102000
84,CAPEX,- -,- -,- -,-1563000,-1013000,-969000,-1393000,-738000,-1625000,-2558000,-2085000,-1325000,-2897000,-1189000,-2290000,-2843000,-6417000,-3054000,-3761000,-2982000,-4882000
85,Acquisitions Net,- -,- -,- -,-500000,-1379000,- -,-5109000,-835000,-759000,-3520000,263000,-3873000,-3291000,-6559000,-1205000,-14368000,- -,-4882000,-21240000,-72627000,- -
86,Purchases of Investments,- -,- -,- -,-300000,- -,-15689000,-12094000,-4323000,- -,- -,- -,- -,- -,- -,- -,- -,-22541000,-19619000,-22699000,-2205000,-59194000
87,Sales/Maturities of Investments,- -,- -,- -,- -,300000,295000,9402000,14909000,4566000,803000,- -,- -,- -,- -,- -,- -,- -,20500000,23600000,22900000,3000000
88,Other Investing Activites,- -,- -,- -,-544000,710000,433000,6000,-114000,-1048000,-47000,-64000,-116000,-164000,-15000,-2000,-2000,- -,- -,- -,2023000,- -
89,Cash Used for Investing Activites,- -,- -,- -,-2907000,-1382000,-15930000,-9188000,9013000,2182000,-5235000,-1822000,-5198000,-6188000,-7748000,-3480000,-17211000,-28958000,-7055000,-24100000,-52891000,-61076000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-262000,- -,- -,-469000,- -,- -,-1133000,- -,- -,- -,- -,- -,-26000000,-39000000
91,Common Stock Issued,- -,- -,- -,2216000,3115000,35852000,245000,304000,202000,132000,69000,359000,1219000,10834000,4836000,1442000,5500000,2969000,4856000,5971000,63241000
92,Common Stock Repurchased,- -,- -,- -,-84000,-561000,-159000,-82000,-66000,-686000,-2516000,-2213000,-2021000,-373000,-211000,-266000,-311000,-778000,-741000,-683000,-570000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1237000,-1518000,-1838000,-2308000,-2845000,-3323000,-4179000,-5445000,-6736000,-7695000,-9336000
94,Other Financing Activites,- -,- -,- -,-774000,-66000,-4522000,-153000,- -,108000,49000,50000,23000,31000,-520000,-646000,-385000,-463000,-1199000,-2059000,60449000,-1203000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,1358000,2488000,31171000,10000,-24000,-376000,-2335000,-3800000,-3157000,-961000,6662000,1079000,-2577000,80000,-4416000,-4622000,32155000,13702000
96,Effect of Forex Changes on Cash,- -,- -,- -,32000,189000,-142000,69000,-72000,51000,-60000,-30000,-51000,24000,-445000,-278000,-271000,818000,-813000,11000,914000,-637000
97,Net Change In Cash,- -,- -,- -,165000,93000,14574000,-10935000,9498000,7297000,-578000,-2482000,-3684000,-1737000,3981000,8759000,-3163000,-5192000,7222000,-14532000,14978000,-12909000
98,Cash at the End of Period,- -,- -,- -,724000,817000,15391000,6691000,15895000,23192000,22614000,20132000,16448000,14711000,18692000,27451000,24288000,19096000,26318000,11786000,26764000,13855000
99,Cash at the Beginning of Period,- -,- -,- -,559000,724000,817000,17626000,6397000,15895000,23192000,22614000,20132000,16448000,14711000,18692000,27451000,24288000,19096000,26318000,11786000,26764000
100,Free Cash Flow,- -,- -,- -,119000,-2215000,-1495000,-3219000,-157000,3815000,4494000,1085000,3397000,2491000,4323000,9148000,14053000,16451000,16452000,10418000,31818000,30220000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158895/000119312508071258/0001193125-08-071258-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312509069450/0001193125-09-069450-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312510069986/0001193125-10-069986-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312511082920/0001193125-11-082920-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312512133838/0001193125-12-133838-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312513129404/0001193125-13-129404-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312514109881/0001193125-14-109881-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312515096794/0001193125-15-096794-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312516499592/0001193125-16-499592-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312517074936/0001193125-17-074936-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312518076905/0001193125-18-076905-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000143774919004574/0001437749-19-004574-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000143774920004836/0001437749-20-004836-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000143774921005956/0001437749-21-005956-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000143774922004662/0001437749-22-004662-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
