,https://roic.ai/company/AASP,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,800000,1100000,2222900,8333100,721800,1143851,643979,233261,180012,246468,297498,125000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14177,- -,- -,- -,- -
45,Total Non-Current Assets,- -,200000,900000,1200000,2306700,18314500,25235400,25184683,1588981,1115046,981525,1054580,1331531,1096010,937501,972127,887127,1246447,729754,693364,669441,663569,601164,527373,306,14232,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1000000,4600000,5100000,8621700,18793700,28693400,25710373,1832876,1316298,1103032,1112075,1350184,1140201,992206,983267,902544,1544182,759472,805543,686616,668201,612101,566842,344,28457,14215,37,69,64
48,Accounts Payable,- -,200000,300000,1200000,661700,1973600,1419900,2184624,893689,811464,726981,311720,199287,223335,280940,193159,81670,154090,198664,160469,359907,417802,531025,304250,45129,18332,6791,12486,22666,- -
49,Short-Term Debt,- -,500000,- -,- -,- -,1240600,677700,13267207,65822,71185,306917,566210,458656,1490100,2054022,5277062,17631,- -,22415,43208,35120,4445059,4345015,4331308,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55592,- -,- -,- -,100000,75000,125000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,400000,100000,142400,404300,940900,- -,- -,- -,98658,230983,232690,206035,594486,3010927,8010314,9005868,9465618,10135356,10730267,6960582,7534930,8428782,61824,159281,237354,301307,361987,483010
53,Total Current Liabilities,- -,700000,700000,1300000,804100,3618500,3038500,15451831,959511,882649,1132556,1108913,890633,1919470,2929448,8481148,8109615,9215550,9686697,10339033,11125294,11923443,12485970,13189340,106953,177613,244145,313793,384653,483010
54,Long-Term Debt,- -,- -,- -,- -,- -,5850000,15113400,966032,5193989,5568479,5183834,4025614,4238680,3935878,3433521,121035,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1215746,- -,- -,- -,25000,100000,100000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-100000,- -,91000,727900,1407400,3977197,1373044,1068518,1285668,1988733,2178704,2529996,2853358,1725505,2029296,690636,753397,728904,698309,744326,670025,594061,- -,- -,- -,- -,- -,-482946
58,Total Non-Current Liabilities,- -,- -,-100000,- -,91000,6577900,16520800,4943229,6567033,6636997,6469502,6014347,6417384,6465874,6286879,1846540,2029296,1906382,753397,728904,698309,769326,770025,694061,- -,- -,- -,- -,- -,-482946
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80764,72677,41649,131891,96326,65705,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,700000,600000,1300000,895100,10196400,19559300,20395060,7526544,7519646,7602058,7123260,7308017,8385344,9216327,10327688,10138911,11121932,10440094,11067937,11823603,12692769,13255995,13883401,106953,177613,244145,313793,384653,64
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,3000,3000,3000,3000,3150,3150,3400,3400,3400,3400,3502,3502,3570,3570,4522,4522,4522,4624,4624,4624,5624,5658,5658,5658,5658,5658
64,Retained Earnings,- -,300000,300000,100000,-797200,-576500,-2063700,-5882487,-17008198,-18043354,-18250418,-17912994,-17835623,-20715507,-21554796,-23024931,-22932177,-23671780,-24282617,-24976480,-25877864,-26744979,-27475306,-28169696,-28797736,-28883726,-28964500,-29048326,-29119154,-29217516
65,Other Comprehensive Income/Loss,- -,- -,- -,-200000,-29800,-30000,-290700,-1925197,-218466,-308527,-394374,-462279,-461208,-523368,-598196,-598196,-765637,-685006,-783211,-856025,-702488,-615090,-726529,-838758,-11386,-11637,-11692,-11692,- -,- -
66,Other Total Stockholders Equity,- -,- -,3700000,3900000,8550600,9200800,11485500,13119997,11529846,12145383,11857256,11925161,11924090,13830243,13925369,14275204,14457877,14959675,15171183,15243997,15090460,15013066,15155173,15246084,28696889,28740549,28740604,28740604,28728912,28728912
67,Total Stockholders Equity,- -,300000,4000000,3800000,7726600,8597300,9134100,5315313,-5693668,-6203348,-6784136,-6446712,-6369341,-7405232,-8224121,-9344421,-9236367,-9393541,-9890123,-10583986,-11485370,-12342379,-13042038,-13757746,-106609,-149156,-229930,-313756,-384584,-482946
68,Total Liabilities And Stockholders Equity,- -,1000000,4600000,5100000,8621700,18793700,28693400,25710373,1832876,1316298,817922,676548,938676,980112,992206,983267,902544,1728391,549971,483951,338233,350390,213957,125655,344,28457,14215,37,69,-482882
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,285110,435527,411508,160089,- -,- -,- -,-184209,209501,321592,348383,317811,398144,441187,- -,- -,- -,- -,- -,482946
70,Total Liabilities & Equity,- -,1000000,4600000,5100000,8621700,18793700,28693400,25710373,1832876,1316298,1103032,1112075,1350184,1140201,992206,983267,902544,1544182,759472,805543,686616,668201,612101,566842,344,28457,14215,37,69,64
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/930245/000126327910000052/0001263279-10-000052-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327911000039/0001263279-11-000039-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327912000006/0001263279-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327913000011/0001263279-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327914000003/0001263279-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327915000008/0001263279-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327916000019/0001263279-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327917000012/0001263279-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000147237518000039/0001472375-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000147237519000019/0001472375-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000147237520000023/0001472375-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000147237521000024/0001472375-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000147237522000023/0001472375-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,300000,-200000,- -,-200000,-750200,120700,-1563500,-3818787,-11125711,-976791,-207064,337424,77371,-1653581,-839289,-825476,92754,-739603,-884087,-693863,-901384,-867115,-705327,-719390,-628040,-85990,-80774,-83826,-70828,-98362
74,Depreciation and Amortization,30000,- -,- -,- -,10800,205000,470400,1863073,98880,90061,85848,67903,71154,95122,74828,82442,85000,88897,98205,109628,108669,111321,112892,110031,1049,251,55,55,- -,- -
75,Deferred Income Tax,-140000,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15300,- -,- -,- -,- -,- -,- -,- -,944,5345,14177,14177,- -,- -
77,Change in Working Capital,-190000,100000,2900000,-400000,2910900,-8650200,3558800,-15345641,14210525,34219,-329652,-40369,179438,-1003299,-999464,-5595265,375810,-823617,-739164,-569875,-881265,-810692,-556222,-674838,13042956,-56473,-66542,-83826,-70828,-98362
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5228,3614,-3135,4981,-2039,-15339,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,56900,- -,-99500,46704,- -,-3907,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17014,- -,- -,- -,- -
81,Other Working Capital,- -,100000,3000000,2600000,5510900,-3139300,419500,-14926141,-715616,-681397,-1011049,-1051418,-871980,-1875279,-2874743,-8470008,-8094198,-8917815,-9656979,-10226854,-11108119,-11918811,-12475033,-13149871,-106915,-163388,-229930,-313756,-384584,-482946
82,Other Non-Cash Items,- -,- -,-2800000,1300000,-2852100,8634300,-5533200,16603645,-2775334,1129476,384205,-136788,-414358,1172237,1436277,6029030,-165203,2049678,1108380,1049704,1572397,1470018,1181843,1334808,-12544954,39410,55011,75347,60648,196724
83,Cash Provided by Operating Activities,- -,-100000,300000,700000,-680600,309800,-3067500,-697710,408360,276965,-66663,228170,-86395,-1389521,-327648,-309269,403661,575355,-416666,-104406,-101583,-96468,33186,50611,-128045,-97457,-78073,-78073,-81008,- -
84,CAPEX,-10000,- -,- -,- -,- -,-15978000,-15490100,-1000023,-32562,-26844,-5576,-74502,-324025,-32099,-41319,-117068,- -,-11227,-37064,-173141,-54803,-76114,-50487,-36240,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76306,- -,- -,- -,113967,- -,- -,- -,- -,46436,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,80000,- -,-700000,-3500000,1944600,1510800,1204500,- -,32500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6830,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,70000,- -,-700000,-3500000,1944600,-14467200,-14285600,-1000023,-62,-26844,70730,-74502,-324025,-32099,72648,-117068,- -,-11227,-37064,-126705,-54803,-76114,-50487,-36240,-6830,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71558,- -,-18235,-10269,-31028,-170120,-130565,-157171,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,3700000,- -,4838000,- -,2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-140000,100000,400000,-300000,-409000,8515300,17171400,-677771,-376538,-368355,-1281,-166255,399024,1429659,285750,381423,-332103,-291378,209864,232633,191014,337202,150066,146421,86999,97457,78073,78073,81008,- -
95,Cash Used/Provided by Financing Activities,-140000,100000,3700000,-300000,4429000,8515300,19671400,-677771,-376538,-373355,-1281,-166255,399024,1429659,285750,381423,-403661,-291378,191629,222364,159986,167082,19501,-10750,86999,97457,78073,78073,81008,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-80000,- -,- -,- -,5693000,-5642100,2318300,-2375504,31760,-123234,2786,-12587,-11396,8039,30750,- -,- -,- -,-262102,-8747,3600,- -,- -,3656,- -,- -,- -,- -,81008,- -
98,Cash at the End of Period,-80000,- -,- -,- -,5818100,176000,2494300,118796,150556,27322,30108,17521,6125,14164,44914,- -,- -,272750,10648,1900,5500,- -,- -,5856,- -,- -,- -,- -,- -,- -
99,Cash at the Beginning of Period,- -,- -,- -,3200000,125100,5818100,176000,2494300,118796,150556,27322,30108,17521,6125,14164,44914,- -,- -,272750,10647,1900,5500,-2200,2200,- -,- -,- -,- -,- -,- -
100,Free Cash Flow,-10000,-100000,300000,700000,-680600,-15668200,-18557600,-1697733,375798,250121,-72239,153668,-410420,-1421620,-368967,-426337,403661,564128,-453730,-277547,-156386,-172582,-17301,14371,-128045,-97457,-78073,-78073,-81008,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/930245/000126327910000052/0001263279-10-000052-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327911000039/0001263279-11-000039-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327912000006/0001263279-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327913000011/0001263279-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327914000003/0001263279-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327915000008/0001263279-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327916000019/0001263279-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327917000012/0001263279-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000147237518000039/0001472375-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000147237519000019/0001472375-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000147237520000023/0001472375-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000147237521000024/0001472375-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000147237522000023/0001472375-22-000023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
