,https://roic.ai/company/KNDI,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-532477,-1840124,-976563,-3721747,6664041,2290708,-21104916,9455840,24745143,25187040,-5528261,3714408,-8790526,-16195729,27874083
20,Income Before Tax,- -,- -,- -,- -,4656591,4600000,1300000,-500000,9700000,7600000,-19546729,14700000,20792720,-5829210,-31610500,2076060,-7880990,-15441333,29210288
21,Income Before Tax Ratio,- -,- -,- -,- -,0.1342,0.1136,0.0385,-0.0117,0.2413,0.1178,-0.2068,0.0864,0.1034,-0.0450,-0.3075,0.0185,-0.0581,-0.2007,0.3193
22,Income Tax expense (Gain),- -,- -,- -,- -,-372505,-9605,300000,400000,600000,1500000,1593994,2400000,6127230,681550,-2963030,7770750,-692260,-5047169,6346490
23,Net Income,- -,-23500,-50308,-6138,5029096,4900000,1000000,-1000000,9100000,6000000,-21140723,12300000,14665500,-6510760,-28347470,-5694700,-7188730,-10394164,22863798
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,0.1449,0.1210,0.0296,-0.0233,0.2264,0.0930,-0.2236,0.0723,0.0729,-0.0503,-0.2757,-0.0506,-0.0530,-0.1351,0.2499
25,EPS,- -,-0.00,-0.00,-0.00,0.31,0.25,0.05,-0.04,0.33,0.21,-0.61,0.29,0.31,-0.14,-0.59,-0.11,-0.14,-0.19,0.30
26,EPS Diluted,- -,-0.00,-0.00,-0.00,0.31,0.25,0.05,-0.04,0.32,0.20,-0.61,0.29,0.31,-0.14,-0.59,-0.11,-0.14,-0.19,0.30
27,Weighted Average Shares Outstanding,- -,23000000,23000000,27961000,16056838,19961000,19961000,22173550,27438725,29439328,34707973,42583495,46744718,47447665,47943830,51188647,52337308,55960010,76394573
28,Weighted Average Shares Outstanding Diluted,- -,23000000,23000000,27961000,16056838,19961000,21478717,22173550,28735748,29677325,34707973,42715818,46925554,47447665,47943830,51188647,52337308,55960010,76394573
29,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1316517/000114420409017192/0001144204-09-017192-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000114420410017502/0001144204-10-017502-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000114420411018940/0001144204-11-018940-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000114420412018691/0001144204-12-018691-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000106299313001563/0001062993-13-001563-index.html,- -,https://www.sec.gov/Archives/edgar/data/1316517/000106299315001343/0001062993-15-001343-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000106299316008324/0001062993-16-008324-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000106299317001411/0001062993-17-001411-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000121390018003097/0001213900-18-003097-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000121390019004189/0001213900-19-004189-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000121390020010244/0001213900-20-010244-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000121390021018480/0001213900-21-018480-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000121390022012325/0001213900-22-012325-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,3901,486,1322782,100000,200000,7800000,2300000,12100000,12762369,26400000,16738560,12235920,4891810,15662200,5490560,142078190,129223443
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,300000,229213,24400000,- -,83309095,1613730,4463100,1460034,128929893,47228614,- -,- -
33,Cash and Short-Term Investments,- -,- -,3901,486,1322782,100000,200000,8100000,2529213,36500000,12762369,109709095,18352290,16699020,6351844,144592093,52719174,142078190,129223443
34,Net Receivables,- -,- -,- -,- -,13250810,21300000,17500000,42700000,53300000,43700000,48639452,76500000,138315730,179886750,184777370,107157260,134999840,94456227,61797414
35,Inventory,- -,- -,- -,- -,3293529,3200000,5400000,5900000,6700000,7600000,9187714,15400000,17773680,11914110,15979790,21997870,27736570,19697383,33171973
36,Other Current Assets,- -,- -,823,- -,24717155,12600000,6900000,17600000,7470787,21200000,9422201,-63309095,23972260,55526050,31203886,-106397433,-19883144,50883776,118415306
37,Total Current Assets,- -,- -,4724,486,42584276,37200000,30000000,74300000,70000000,109000000,80011736,138300000,198413960,264025930,238312890,167349790,195572440,307115576,342608136
38,PP&E,- -,- -,- -,- -,12255534,22700000,23100000,23900000,31000000,35700000,29349872,84700000,67346940,42248620,65084900,82045920,74407860,105609801,111577411
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,322591,300000,322590,322590,322590,28552220,28270400,29712383,36027425
40,Intangible Assets,- -,- -,- -,- -,385539,9400000,10700000,10800000,11000000,15100000,15112687,16200000,13430430,12188930,12997160,16077860,14927590,10809818,13249079
41,Intangible Assets,- -,- -,- -,- -,385539,9400000,10700000,10800000,11000000,15400000,15435278,16500000,13753020,12511520,13319750,44630080,43197990,40522201,49276504
42,Investments,- -,- -,- -,- -,- -,- -,- -,272241,229213,161507,79428768,83309095,91801081,78820737,72141047,128929893,47228614,28938596,- -
43,Tax Assets,- -,- -,- -,- -,405006,- -,- -,- -,- -,- -,81076,2300000,1593580,878640,- -,1711340,1362790,8964946,2219297
44,Other Non-Current Assets,- -,- -,- -,- -,- -,300000,300000,327759,70787,38493,- -,-2009095,-1439561,41212743,49474253,4162237,9448706,4098720,- -
45,Total Non-Current Assets,- -,- -,- -,- -,13046079,32400000,34100000,35300000,42300000,51300000,124294994,184800000,173055060,175672260,200019950,261479470,175645960,188134264,163073212
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,4724,486,55630355,69600000,64100000,109600000,112300000,160300000,204306730,323100000,371469020,439698190,438332840,428829260,371218400,495249840,505681348
48,Accounts Payable,- -,- -,- -,- -,6425261,10000000,5600000,7300000,5900000,9500000,22843143,45800000,73957970,115870050,111595540,112309680,72093940,34257935,36677802
49,Short-Term Debt,- -,- -,- -,- -,34697854,39196401,34258106,47473910,36372492,57947151,50703304,41291623,40507031,49062390,61118809,43326855,50525349,92445,8198193
50,Tax Payable,- -,- -,- -,- -,- -,- -,201564,127339,153730,680253,1362828,1835685,624276,1364235,2902699,3471366,1796601,1313754,1620827
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44404,- -,13726000,6363751000,2191143,1340605,- -,38229242,- -
52,Other Current Liabilities,- -,500,4300,6200,1166538,2003599,2241894,1026090,10227508,5652849,13052565,12008377,2758869,-6351005530,9699498,7845740,9254451,11217803,19286695
53,Total Current Liabilities,- -,500,4300,6200,42289653,51200000,42100000,55800000,52500000,73100000,86643416,99100000,130949870,177677910,184604990,164822880,131873740,83797425,64162690
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,12700000,13084724,- -,- -,28794170,30737550,28794140,14353790,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,299161,- -,- -,- -,56362,- -,1009477,- -,- -,- -,4383425,1711343,1362786,3483171,2460141
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,9300000,3843638,- -,15042994,12400000,1593590,878640,-4383435,7878027,5771154,4202580,10337114
58,Total Non-Current Liabilities,- -,- -,- -,- -,299161,- -,- -,9300000,3900000,12700000,29137195,12400000,1593590,29672810,30737540,38383510,21487730,7685751,12797255
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,500,4300,6200,42588814,51200000,42100000,65100000,56400000,85800000,115780611,111500000,132543460,207350720,215342530,203206390,153361470,91483176,76959945
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,23000,27961,27961,19961,19961,19961,27396,27446,- -,37013,46275,46970,47700,48040,51480,52840,75377,77385
64,Retained Earnings,- -,-23500,-110826,-116964,5125120,10000000,11000000,10100000,19200000,25300000,4119086,16400000,31055920,24545160,-3802310,-9497010,-16685740,-27079900,-4216102
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,758355,1225134,1937268,3261082,5077721,5502344,7615246,4890103,-4741650,-20156873,-6310763,-19921258,-22723581,-8778151,251786
66,Other Total Stockholders Equity,- -,- -,83289,83289,- -,7185303,9014011,31085660,31543708,43222068,- -,190248461,212564328,227911480,233055345,254989662,257213408,439549338,3886931
67,Total Stockholders Equity,- -,-500,424,-5714,13041541,18430398,21971240,44474138,55848875,74522068,88526119,211584839,238925568,232347467,222990312,225622874,217856927,403766664,428721403
68,Total Liabilities And Stockholders Equity,- -,- -,4724,486,55630355,69630398,64071240,109574138,112248875,160322068,204306730,323084839,371469028,439698187,438332842,428829264,371218397,495249840,505681348
69,Minority Interest,- -,- -,- -,- -,- -,-30398,28760,25862,51125,-22068,- -,15161,-8,3,-2,-4,3,- -,- -
70,Total Liabilities & Equity,- -,- -,4724,486,55630355,69600000,64100000,109600000,112300000,160300000,204306730,323100000,371469020,439698190,438332840,428829260,371218400,495249840,505681348
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1316517/000114420409017192/0001144204-09-017192-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000114420410017502/0001144204-10-017502-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000114420411018940/0001144204-11-018940-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000114420412018691/0001144204-12-018691-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000106299313001563/0001062993-13-001563-index.html,- -,https://www.sec.gov/Archives/edgar/data/1316517/000106299315001343/0001062993-15-001343-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000106299316008324/0001062993-16-008324-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000106299317001411/0001062993-17-001411-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000121390018003097/0001213900-18-003097-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000121390019004189/0001213900-19-004189-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000121390020010244/0001213900-20-010244-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000121390021018480/0001213900-21-018480-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000121390022012325/0001213900-22-012325-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-23500,-50308,-6138,5029096,4900000,1000000,-1000000,9100000,6000000,-21140723,12300000,14665500,-6510760,-28347470,-5694700,-7188730,-10394164,22863798
74,Depreciation and Amortization,- -,- -,- -,- -,1453253,1976369,3436004,4714058,4696848,4978626,7708923,5571465,5788780,4863277,4777992,4326296,8202869,8222984,- -
75,Deferred Income Tax,- -,- -,- -,- -,-385074,9605,-19460,-62231,207327,92521,876255,1579855,1446345,3651362,-5448015,4815774,-1066536,-5349722,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,19053,- -,- -,22306987,14913212,5191307,285609,1360258,902666,- -
77,Change in Working Capital,- -,23500,924,-6138,302327,-14294623,1900000,30600000,-1000000,18400000,-42531680,45831680,28264090,18883930,-32640120,-51180990,61171790,159619451,55127295
78,Accounts Receivable,- -,- -,- -,- -,- -,3680979,-7141861,-1572489,4647184,-20513099,3251168,15445962,7052626,-40962889,-5821522,-57503289,-40123966,19247519,- -
79,Inventory,- -,- -,- -,- -,2169649,85959,-2166048,-312357,-550024,-904355,-1287045,-6280502,-3497460,4952792,-3311357,-5243388,-6458104,9246455,- -
80,Accounts Payable,- -,- -,- -,- -,- -,3048097,-4653358,1514332,-1614496,3566354,13699528,23095825,31814545,112150789,66784385,137390139,10440338,-30993717,- -
81,Other Working Capital,- -,-500,424,-5714,294623,-14000000,-12100000,18500000,17500000,35900000,-6631680,39200000,67464090,86348020,53707900,2526910,63698700,223318151,278445446
82,Other Non-Cash Items,- -,- -,-34965,8861,838514,22556314,-14848150,-29811276,-362105,-40212095,69774671,-72736756,-75602678,-85327564,53251835,61035632,-92365923,-203884467,-77749404
83,Cash Provided by Operating Activities,- -,- -,-84349,-3415,7238116,15147665,-8531606,4440551,12642070,-10721895,14687446,-7453756,-3130976,-49526543,-3214471,13587621,-29886272,-50883252,241689
84,CAPEX,- -,- -,- -,- -,-4200985,-8910186,-5131216,-3589396,-10485531,-19150867,-174964,-54661059,-827059,-6280853,-1879333,-1105498,-598198,-18184502,- -
85,Acquisitions Net,- -,- -,- -,- -,-12270859,-44129,- -,- -,- -,112551,-16133795,-96299,- -,- -,- -,-3068812,31850822,42897929,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-19284461,-10013921,-265536,- -,- -,-80668972,- -,-3201462,-3088327,4587971,- -,- -,-43478,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,6096353,21009274,- -,- -,29603171,- -,- -,- -,- -,4587971,1436217,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-792852,121443,-891851,-21966427,-11845363,-15316713,37133569,2980569,-1908596,10332419,-5004332,1686781,- -,23200386,22209904
89,Cash Used for Investing Activites,- -,- -,- -,- -,-17264696,-22020980,5864137,-25821359,-22330894,-4751858,-59844162,-50108255,-5937117,966627,2708638,-947441,31252624,51151450,22209904
90,Debt Repayment,- -,- -,- -,- -,- -,-32688893,-56450659,-70515986,-42171867,-66602687,-158112798,-89131633,-62993862,-35815325,-64348363,-92150156,-39234422,-79673404,- -
91,Common Stock Issued,- -,- -,88250,- -,- -,- -,- -,- -,- -,3784149,26387498,78358991,- -,- -,- -,- -,- -,151923247,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2492579,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,9652942,38979136,58508307,99476107,46505104,88441357,178043278,83547682,60415698,80642936,57050303,86852432,34746352,54196515,747929
95,Cash Used/Provided by Financing Activities,- -,- -,88250,- -,9652942,6290243,2057648,28960121,4333237,25622819,46317978,72775040,-2578164,44827611,-7298060,-5297724,-6980649,126446358,747929
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,662403,-424688,686648,-43354,-104227,-308322,-533989,-1595938,2005356,-770333,459780,-1099881,-226139,-706556,2955850
97,Net Change In Cash,- -,- -,88250,-3415,288765,-1007760,76827,7535959,-5459814,9840744,627273,13617091,-9640901,-4502638,-7344113,6242575,-5840436,126008000,26155372
98,Cash at the End of Period,- -,- -,3901,486,1322782,141380,218207,7754166,2294352,12135096,12762369,26379460,16738559,12235921,4891808,22353071,16512635,142520635,168676007
99,Cash at the Beginning of Period,- -,- -,- -,3901,1034017,1149140,141380,218207,7754166,2294352,12135096,12762369,26379460,16738559,12235921,16110496,22353071,16512635,142520635
100,Free Cash Flow,- -,- -,-84349,-3415,3037131,6237479,-13662822,851155,2156539,-29872762,14512482,-62114815,-3958035,-55807396,-5093804,12482123,-30484470,-69067754,241689
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1316517/000114420409017192/0001144204-09-017192-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000114420410017502/0001144204-10-017502-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000114420411018940/0001144204-11-018940-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000114420412018691/0001144204-12-018691-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000106299313001563/0001062993-13-001563-index.html,- -,https://www.sec.gov/Archives/edgar/data/1316517/000106299315001343/0001062993-15-001343-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000106299316008324/0001062993-16-008324-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000106299317001411/0001062993-17-001411-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000121390018003097/0001213900-18-003097-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000121390019004189/0001213900-19-004189-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000121390020010244/0001213900-20-010244-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000121390021018480/0001213900-21-018480-index.htm,https://www.sec.gov/Archives/edgar/data/1316517/000121390022012325/0001213900-22-012325-index.htm
102,false,,,,,,,,,,,,,,,,,,,
