,https://roic.ai/company/DCTH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-155.6965,-41.7962,-18.0580,-8.7064,-8.2530,-6.6906,-7.9457,-12.6000,-18.4282,-6.9004
19,Total Other Income Expenses (Gains),70000,30000,- -,- -,- -,- -,- -,- -,126500,2717000,- -,-8594670,-15951367,15566000,2003000,2695000,1923000,506000,-1531000,-26952000,7849000,11029000,-2853000,-1118000
20,Income Before Tax,-2050000,-570000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51868000,-30324000,-17381000,-14704000,-17971000,-45117000,-19222000,-8879000,-24156000,-25649000
21,Income Before Tax Ratio,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-149.9075,-38.3848,-16.2591,-8.4167,-9.0216,-16.6177,-5.6419,-5.6196,-20.8962,-7.2149
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2050000,-570000,-960185,-1876007,-1807046,-2250411,-3266332,-2864619,-10951605,-3663506,-6864885,-22056592,-46683645,-30885000,-51868000,-30324000,-17381000,-14704000,-17971000,-45117000,-19222000,-8879000,-24156000,-25649000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-149.9075,-38.3848,-16.2591,-8.4167,-9.0216,-16.6177,-5.6419,-5.6196,-20.8962,-7.2149
25,EPS,-0.28,-0.08,-230.40,-122.88,-112.64,-76.80,-71.68,-46.08,-140.80,-40.96,-69.12,-209.92,-307.20,-21613016095.17,-36296710986.70,-10610216934.92,-4054350361.56,-1469959012.30,-546779444.43,-140443.08,-503.85,-1047.00,-8.35,-8.85
26,EPS Diluted,-0.28,-0.08,-230.40,-122.88,-112.64,-76.80,-71.68,-46.08,-140.80,-40.96,-69.12,-209.92,-307.20,-21613016095.17,-36296710986.70,-10610216934.92,-4054350361.56,-1469959012.30,-546779444.43,-140443.08,-503.85,-1047.00,-8.35,-8.85
27,Weighted Average Shares Outstanding,7356290,7356290,7356290,7356290,7356290,7356290,7356290,7356290,7356290,1,1,1,1,7356290,7356290,7356290,7356290,7356290,7356290,325,38161,25900,2897827,2897827
28,Weighted Average Shares Outstanding Diluted,7356290,7356290,7356290,7356290,7356290,7356290,7356290,7356290,7356290,1,1,1,1,7356290,7356290,7356290,7356290,7356290,7356290,325,38161,25900,2897827,2897827
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/872912/000127592706000012/0001275927-06-000012-index.htm,- -,https://www.sec.gov/Archives/edgar/data/872912/000114420408014783/0001144204-08-014783-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000095015509000032/0000950155-09-000032-index.htm,- -,https://www.sec.gov/Archives/edgar/data/872912/000134100411000655/0001341004-11-000655-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000114036112013203/0001140361-12-013203-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000114036113012269/0001140361-13-012269-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000114036114012399/0001140361-14-012399-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000114036115011362/0001140361-15-011362-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459016015042/0001564590-16-015042-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459017005455/0001564590-17-005455-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459018005963/0001564590-18-005963-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459019022587/0001564590-19-022587-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459020012846/0001564590-20-012846-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459021016962/0001564590-21-016962-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000119312522090104/0001193125-22-090104-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,560000,5803577,3295300,1063650,313615,202335,1704131,6289723,7886937,10787137,35486319,45621453,25777000,23726000,31249000,20469000,12607000,4409000,3999000,2516000,10002000,28575000,22802000
32,Short-Term Investments,- -,- -,- -,- -,370000,2017321,7055129,11097790,2408302,- -,222710,- -,1492000,4980000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,560000,5803577,3295300,1433650,2330936,7257464,12801921,8698025,7886937,11009847,35486319,47113453,30757000,23726000,31249000,20469000,12607000,4409000,3999000,2516000,10002000,28575000,22802000
34,Net Receivables,- -,- -,32368,1056,5406,14272,32886,91574,- -,- -,- -,- -,- -,- -,144000,349000,174000,277000,403000,317000,1164000,52000,57000,44000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1105000,719000,349000,757000,660000,1248000,858000,654000,855000,1412000
36,Other Current Assets,- -,10000,69166,69667,96583,47500,47816,26917,61917,10204152,331346,799416,1784276,1231000,1457000,1711000,974000,960000,28684000,2025000,1381000,1909000,2851000,6894000
37,Total Current Assets,- -,570000,5905111,3366023,1535639,2392708,7338166,12920412,8759942,18091089,11341193,36285735,48897729,31988000,26432000,34028000,21966000,14601000,34156000,7589000,5919000,12617000,32338000,31152000
38,PP&E,- -,10000,5250,13496,13750,13787,13606,7554,3719,15037,17489,521306,1679980,3253000,4042000,3069000,1798000,1132000,1083000,1298000,925000,1595000,1351000,1972000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,20000,24000,24000,262571,24000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,30000,29250,37496,276321,37787,13606,7554,3719,15037,17489,521306,1679980,3253000,4042000,3069000,1798000,1132000,1083000,1298000,925000,1595000,1351000,1972000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,600000,5934361,3403519,1811960,2430495,7351772,12927966,8763661,18106126,11358682,36807041,50577709,35241000,30474000,37097000,23764000,15733000,35239000,8887000,6844000,14212000,33689000,33124000
48,Accounts Payable,- -,- -,798915,176080,175170,260200,564626,330070,670367,125278,- -,- -,610457,925000,939000,582000,748000,284000,594000,3846000,7715000,4533000,1774000,638000
49,Short-Term Debt,- -,- -,230000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13343000,- -,2038000,664000,2495000,5055000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,525000,170000
52,Other Current Liabilities,- -,110000,- -,- -,- -,- -,- -,- -,- -,1552000,1151807,13048694,20586867,7912000,9217000,6050000,3828000,6028000,22158000,3968000,7997000,10315000,5241000,91000
53,Total Current Liabilities,- -,110000,1028915,176080,175170,260200,564626,330070,670367,1677278,1151807,13048694,21197324,8837000,10156000,6632000,4576000,6312000,36095000,7814000,17750000,15512000,10035000,5954000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,450000,4639000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,309000,6000,- -,- -,30000,- -,3405000,2860000,2072000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360000,1043000,820000,604000,395000,628000,197000,- -,10579000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,309000,366000,1043000,820000,634000,395000,4033000,5057000,2522000,15218000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,861000,945000,- -
61,Total Liabilities,- -,110000,1028915,176080,175170,260200,564626,330070,670367,1677278,1151807,13048694,21497324,9137000,10465000,6998000,5619000,7132000,36729000,8209000,21783000,20569000,12557000,21172000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,10000,39039,39038,41189,97446,152151,188497,206608,252593,253553,362231,430281,482000,768000,1343000,97000,223000,41000,1141000,103000,1000,60000,79000
64,Retained Earnings,- -,-11310000,-13770752,-15646759,-17453805,-19704216,-22970548,-25835167,-36786772,-40450278,-47315163,-69371755,-116055400,-146940000,-198808000,-229132000,-246513000,-261217000,-279188000,-324832000,-344054000,-371171000,- -,-420976000
65,Other Comprehensive Income/Loss,- -,- -,-9750,-14764,-21074,-26066,-31692,-6052,-6052,-4323,-24200,-16200,-26200,- -,37000,96000,20000,-8000,-41000,42000,50000,28000,-104000,18000
66,Other Total Stockholders Equity,- -,11790000,18646909,18849924,19070480,21803131,29637235,38250618,44679510,56630856,57292685,92784071,144731704,172562000,218012000,257792000,264541000,269603000,277698000,324327000,328962000,364785000,22122000,432831000
67,Total Stockholders Equity,- -,490000,4905446,3227439,1636790,2170295,6787146,12597896,8093294,16428848,10206875,23758347,29080385,26104000,20009000,30099000,18145000,8601000,-1490000,678000,-14939000,-6357000,22078000,11952000
68,Total Liabilities And Stockholders Equity,- -,600000,5934361,3403519,1811960,2430495,7351772,12927966,8763661,18106126,11358682,36807041,50577709,35241000,30474000,37097000,23764000,15733000,35239000,8887000,6844000,14212000,34635000,33124000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-946000,- -
70,Total Liabilities & Equity,- -,600000,5934361,3403519,1811960,2430495,7351772,12927966,8763661,18106126,11358682,36807041,50577709,35241000,30474000,37097000,23764000,15733000,35239000,8887000,6844000,14212000,33689000,33124000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/872912/000127592706000012/0001275927-06-000012-index.htm,- -,https://www.sec.gov/Archives/edgar/data/872912/000114420408014783/0001144204-08-014783-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000095015509000032/0000950155-09-000032-index.htm,- -,https://www.sec.gov/Archives/edgar/data/872912/000134100411000655/0001341004-11-000655-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000114036112013203/0001140361-12-013203-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000114036113012269/0001140361-13-012269-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000114036114012399/0001140361-14-012399-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000114036115011362/0001140361-15-011362-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459016015042/0001564590-16-015042-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459017005455/0001564590-17-005455-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459018005963/0001564590-18-005963-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459019022587/0001564590-19-022587-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459020012846/0001564590-20-012846-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459021016962/0001564590-21-016962-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000119312522090104/0001193125-22-090104-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2050000,-570000,-960185,-1876007,-1807046,-2250411,-3266332,-2864619,-10951605,-3663506,-6864885,-22056592,-46683645,-30885000,-51868000,-30324000,-17381000,-14704000,-17971000,-45117000,-19222000,-8879000,-24156000,-25649000
74,Depreciation and Amortization,- -,- -,3000,5014,6410,4990,5526,6052,3835,4323,5861,7981,472291,1035000,1331000,1126000,958000,617000,305000,310000,444000,1789000,192000,146000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,667112,2315089,3839320,3605000,3825000,291000,491000,657000,427000,129000,58000,277000,3911000,7832000
77,Change in Working Capital,-130000,460000,4416196,-1686253,-1829474,772039,4641032,5816802,-4500767,8324236,-6224425,13047655,4463364,-4549405,-6875000,11120000,-10006000,-9101000,-10228000,1714000,-11606000,8936000,25198000,2895000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144000,-211000,161000,-52000,-138000,108000,-293000,497000,-36000,13000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1105000,391000,237000,-420000,95000,-543000,385000,204000,-201000,-557000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4791000,- -,-1136000
81,Other Working Capital,- -,460000,4876196,3189943,1360469,2132508,6773540,12590342,8089575,16413811,10189386,23237041,27700405,23151000,16276000,27396000,17390000,8289000,-1939000,-225000,-11831000,-2895000,22303000,25198000
82,Other Non-Cash Items,760000,-980000,-3820270,1292229,1849530,-646791,-4326312,-5977452,6246086,-10234250,5693060,-3776375,13825956,-6577595,3581000,-16315000,10386000,6111000,13254000,27566000,15594000,-25813000,-28013000,-7828000
83,Cash Provided by Operating Activities,-1420000,-1090000,-361259,-2265017,-1780580,-2120173,-2946086,-3019217,-9202451,-5569197,-6723277,-10462242,-24082714,-37372000,-50006000,-34102000,-15552000,-16420000,-14213000,-15398000,-14732000,-23690000,-22868000,-22604000
84,CAPEX,- -,- -,- -,-13260,-6664,-5029,-5347,-11097790,-5424548,-15641,-8313,-515440,-1637695,-2607000,-2120000,-142000,-44000,-170000,-258000,-524000,-76000,-24000,-782000,-143000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-370000,-2017321,-6052383,- -,- -,-9878700,-246910,- -,-3235000,-4980000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1500000,370000,1014575,7055129,14114036,2408302,9878700,4048614,1743000,1492000,4980000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200,- -,- -,- -,- -,37000,180000,-1087000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-13260,1123336,-1652350,-5043155,-4042661,8689488,-7486039,9623477,3533374,-3129695,-6095000,2860000,-142000,-7000,10000,-1345000,-524000,-76000,-24000,-782000,-143000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4870000,-39000,-26000,- -
91,Common Stock Issued,- -,- -,5873293,- -,267500,3022487,7877961,8563674,5098555,14652450,- -,35475954,37347543,23623000,- -,- -,- -,- -,- -,15000,10917000,- -,39764000,4000
92,Common Stock Repurchased,630000,800000,- -,- -,-51103,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2950000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-499535,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-310000,- -,230000,-230000,-238571,- -,- -,- -,- -,- -,- -,- -,- -,- -,45058000,41702000,4869000,8655000,7409000,18380000,7189000,30344000,2617000,20818000
95,Cash Used/Provided by Financing Activities,320000,800000,5603758,-230000,-22174,3022487,7877961,8563674,5098555,14652450,- -,35475954,37347543,23623000,45058000,41702000,4869000,8655000,7409000,15445000,13236000,30305000,42355000,20822000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000,65000,-90000,-107000,-49000,67000,-174000,14000,-132000,- -
97,Net Change In Cash,-1100000,-290000,5242499,-2508277,-679418,-750035,-111280,1501796,4585592,1597214,2900200,28547086,10135134,-19844000,-2051000,7523000,-10780000,-7862000,-8198000,-410000,-1746000,6605000,18573000,-1803000
98,Cash at the End of Period,1416000,-290000,5803577,3295300,1063650,313615,202335,1704131,6289723,7886937,10787137,35486319,45621453,25777000,23726000,31249000,20469000,12607000,4409000,3999000,3578000,10183000,28756000,26953000
99,Cash at the Beginning of Period,2516000,- -,561078,5803577,1743068,1063650,313615,202335,1704131,6289723,7886937,6939233,35486319,45621000,25777000,23726000,31249000,20469000,12607000,4409000,5324000,3578000,10183000,28756000
100,Free Cash Flow,-1420000,-1090000,-361259,-2278277,-1787244,-2125202,-2951433,-14117007,-14626999,-5584838,-6731590,-10977682,-25720409,-39979000,-52126000,-34244000,-15596000,-16590000,-14471000,-15922000,-14808000,-23714000,-23650000,-22747000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/872912/000127592706000012/0001275927-06-000012-index.htm,- -,https://www.sec.gov/Archives/edgar/data/872912/000114420408014783/0001144204-08-014783-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000095015509000032/0000950155-09-000032-index.htm,- -,https://www.sec.gov/Archives/edgar/data/872912/000134100411000655/0001341004-11-000655-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000114036112013203/0001140361-12-013203-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000114036113012269/0001140361-13-012269-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000114036114012399/0001140361-14-012399-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000114036115011362/0001140361-15-011362-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459016015042/0001564590-16-015042-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459017005455/0001564590-17-005455-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459018005963/0001564590-18-005963-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459019022587/0001564590-19-022587-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459020012846/0001564590-20-012846-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000156459021016962/0001564590-21-016962-index.htm,https://www.sec.gov/Archives/edgar/data/872912/000119312522090104/0001193125-22-090104-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
